Layer[0],Layer[1],Layer[8],Layer[9],Layer[10],classifier
0.445090,0.017440,0.772706,0.001472,0.000512,1.244164
0.421346,0.017568,0.758082,0.001280,0.000448,1.204804
0.418241,0.017504,0.764162,0.001664,0.000448,1.210467
0.421313,0.017536,0.750978,0.001472,0.000448,1.197923
0.420737,0.017408,0.758850,0.001504,0.000480,1.204995
0.419009,0.017568,0.765922,0.001600,0.000512,1.210692
0.420897,0.017408,0.757955,0.001568,0.000416,1.204420
0.420577,0.017409,0.744290,0.001408,0.000512,1.190180
0.421826,0.017632,0.776450,0.001664,0.000544,1.225124
0.417633,0.017856,0.749474,0.001440,0.000416,1.192803
0.420737,0.017408,0.748258,0.001600,0.000480,1.196131
0.427073,0.017792,0.754402,0.001568,0.000512,1.207651
0.421185,0.018304,0.757314,0.001600,0.000512,1.205891
0.422177,0.017792,0.741506,0.001536,0.000448,1.189507
0.419777,0.017600,0.758658,0.001632,0.000416,1.205603
0.420257,0.017824,0.737955,0.001856,0.000480,1.184292
0.416961,0.017792,0.780899,0.001728,0.000352,1.224548
0.416226,0.017792,0.764610,0.001888,0.000416,1.207364
0.420674,0.017536,0.766274,0.001792,0.000480,1.212836
0.421505,0.017632,0.787394,0.001504,0.000416,1.234659
0.417665,0.017312,0.746690,0.001504,0.000544,1.191715
0.417185,0.017824,0.752450,0.001440,0.000480,1.196227
0.443073,0.017728,0.759683,0.002016,0.000512,1.231588
0.420833,0.017441,0.754914,0.001728,0.000416,1.201732
0.416866,0.017536,0.763266,0.001600,0.000416,1.210084
0.420545,0.017728,0.760738,0.001504,0.000448,1.208643
0.418273,0.017472,0.761122,0.001472,0.000448,1.205987
0.417921,0.017536,0.780514,0.001472,0.000416,1.224227
0.417953,0.017280,0.740098,0.001472,0.000448,1.183299
0.417249,0.017344,0.738467,0.001536,0.000448,1.180836
0.421378,0.017504,0.770530,0.001344,0.000608,1.217476
0.416546,0.017632,0.765122,0.001376,0.000352,1.208260
0.421793,0.018080,0.749858,0.001600,0.000352,1.198499
0.439009,0.017440,0.764738,0.001376,0.000416,1.229251
0.421313,0.017344,0.750498,0.001216,0.000384,1.196515
0.416929,0.017312,0.768098,0.001344,0.000416,1.211043
0.423361,0.017280,0.742722,0.001344,0.000352,1.190755
0.420961,0.017312,0.754979,0.001344,0.000416,1.200516
0.435490,0.017536,0.796418,0.001632,0.000640,1.259204
0.421857,0.017632,0.752290,0.001536,0.000352,1.199651
0.421281,0.017600,0.748898,0.001504,0.000384,1.195715
0.435361,0.017856,0.771202,0.001664,0.000352,1.233283
0.417857,0.017696,0.742370,0.001312,0.000384,1.184643
0.420993,0.017664,0.745090,0.001216,0.000384,1.190659
0.434305,0.017600,0.756515,0.001344,0.000352,1.215588
0.422369,0.017504,0.741315,0.001216,0.000320,1.188132
0.415681,0.017344,0.746979,0.001376,0.000352,1.186852
0.420353,0.017473,0.749250,0.001376,0.000352,1.193796
0.415393,0.017505,0.741954,0.001280,0.000320,1.182116
0.420002,0.017408,0.771746,0.001984,0.000480,1.218436
0.420258,0.017536,0.738210,0.001280,0.000384,1.182660
0.415649,0.017472,0.759138,0.001440,0.000416,1.200739
0.416673,0.017184,0.758914,0.001312,0.000384,1.200035
0.420321,0.017632,0.731234,0.001344,0.000384,1.176259
0.415009,0.017504,0.760034,0.001312,0.000384,1.199235
0.436993,0.017376,0.747170,0.001376,0.000416,1.209315
0.420833,0.017344,0.745730,0.001408,0.000448,1.190755
0.420417,0.017568,0.750882,0.001408,0.000352,1.195907
0.415649,0.017696,0.747138,0.001536,0.000384,1.189283
0.420641,0.017472,0.745506,0.001312,0.000352,1.190532
0.420289,0.017344,0.762051,0.001280,0.000352,1.206756
0.417121,0.017376,0.744514,0.001408,0.000384,1.186724
0.421410,0.017280,0.745250,0.001408,0.000320,1.190756
0.420866,0.017312,0.772610,0.001248,0.000320,1.218180
0.420097,0.017312,0.742946,0.001312,0.000416,1.186947
0.420545,0.017632,0.745090,0.001216,0.000384,1.190147
0.419937,0.017280,0.790562,0.001408,0.000416,1.234819
0.416833,0.017600,0.746530,0.001408,0.000384,1.187363
0.420705,0.017408,0.731618,0.001280,0.000480,1.176643
0.437729,0.017472,0.766082,0.001409,0.000416,1.228612
0.416129,0.017248,0.743907,0.001280,0.000384,1.184100
0.416705,0.017472,0.751747,0.001536,0.000352,1.194244
0.420706,0.017248,0.744130,0.001280,0.000352,1.189156
0.420738,0.017280,0.744002,0.001344,0.000416,1.188964
0.420514,0.017504,0.760930,0.001472,0.000416,1.206564
0.420321,0.017280,0.746274,0.001312,0.000384,1.190467
0.422241,0.017792,0.736002,0.001280,0.000352,1.182595
0.416033,0.017536,0.755394,0.001440,0.000448,1.197731
0.416257,0.017504,0.741986,0.001312,0.000352,1.182659
0.417089,0.017664,0.733570,0.001312,0.000384,1.175203
0.431425,0.017344,0.747618,0.001248,0.000384,1.203619
0.416545,0.017344,0.749922,0.001664,0.000416,1.192131
0.421249,0.017472,0.744258,0.001280,0.000352,1.189955
