Layer[0],Layer[9],Layer[10],classifier
0.420673,0.833410,0.001056,1.260547
0.425953,0.783971,0.000864,1.215684
0.425345,0.818306,0.000960,1.249187
0.433569,0.815427,0.000768,1.255684
0.420833,0.768994,0.000608,1.194819
0.424609,0.761954,0.000608,1.191363
0.432481,0.775811,0.000864,1.214692
0.420385,0.781314,0.000576,1.207107
0.426145,0.802658,0.000704,1.234307
0.420322,0.770050,0.000864,1.197380
0.420417,0.824258,0.000672,1.250435
0.425505,0.841603,0.000960,1.272804
0.425505,0.775586,0.000736,1.206339
0.421793,0.758242,0.000832,1.186211
0.445090,0.780450,0.001024,1.231716
0.425921,0.761410,0.000640,1.192355
0.420737,0.772674,0.000672,1.198563
0.431618,0.800194,0.000800,1.238212
0.421057,0.801986,0.000576,1.228547
0.425633,0.816643,0.000672,1.250148
0.425793,0.791234,0.000640,1.222851
0.416193,0.785283,0.000832,1.206788
0.421345,0.850530,0.000960,1.277987
0.420833,0.780226,0.000704,1.206787
0.425730,0.776802,0.000832,1.208100
0.437601,0.783554,0.000896,1.227395
0.420193,0.784035,0.000608,1.209540
0.420609,0.782018,0.000704,1.208099
0.421601,0.798082,0.000800,1.225763
0.420546,0.787778,0.000640,1.216708
0.425985,0.806210,0.000768,1.238083
0.420578,0.786690,0.000896,1.213796
0.425729,0.776258,0.000896,1.208003
0.417857,0.818595,0.000736,1.244516
0.425601,0.766370,0.000832,1.198019
0.425569,0.778434,0.000736,1.209699
0.443202,0.773314,0.000768,1.222852
0.425633,0.783490,0.000704,1.215011
0.416065,0.787715,0.000704,1.209668
0.424993,0.789154,0.000704,1.223235
0.420449,0.816003,0.000576,1.242020
0.427841,0.802370,0.000736,1.236323
0.426401,0.788963,0.000704,1.220548
0.420833,0.782882,0.000704,1.208931
0.426113,0.831843,0.000768,1.263588
0.425921,0.807874,0.000704,1.240867
0.425537,0.816739,0.000960,1.248932
0.433057,0.785762,0.000864,1.224963
0.422465,0.780642,0.000640,1.208387
0.426241,0.787714,0.000928,1.221891
0.427233,0.768514,0.000832,1.202019
0.420674,0.789922,0.001088,1.216356
0.417409,0.797826,0.000960,1.221955
0.426530,0.782850,0.000704,1.215268
0.421953,0.821986,0.000736,1.250467
0.439426,0.795010,0.000800,1.241188
0.420993,0.788642,0.000800,1.215363
0.425506,0.814562,0.000704,1.246020
0.425857,0.793410,0.000736,1.225891
0.420225,0.791874,0.000896,1.219043
0.421441,0.840227,0.000864,1.268964
0.420961,0.822050,0.001024,1.250275
0.425185,0.771651,0.000832,1.203396
0.425473,0.810914,0.000672,1.243107
0.420673,0.821635,0.000768,1.248260
0.420161,0.790434,0.000800,1.216867
0.439170,0.813090,0.000832,1.260036
0.420641,0.769474,0.000576,1.196611
0.426402,0.810466,0.000704,1.245220
0.422177,0.834914,0.000704,1.263171
0.421281,0.771842,0.000768,1.199587
0.421217,0.811490,0.000704,1.238307
0.420513,0.824482,0.000608,1.251747
0.417249,0.789794,0.000896,1.213539
0.438753,0.787778,0.001024,1.233795
0.425473,0.801987,0.000672,1.233252
