Layer[5],Layer[6],Layer[7],Layer[8],Layer[9],Layer[10],classifier
1.743618,0.014432,0.000576,0.001504,0.001056,0.000416,1.766882
1.749027,0.014400,0.000480,0.001504,0.001120,0.000384,1.772163
1.712675,0.014592,0.000480,0.001536,0.000960,0.000352,1.735555
1.761187,0.014944,0.000480,0.001504,0.001184,0.000384,1.784963
1.722467,0.014752,0.000448,0.001536,0.000864,0.000384,1.745283
1.721315,0.015232,0.000480,0.001504,0.001120,0.000352,1.745155
1.745571,0.014272,0.000512,0.001536,0.000992,0.000384,1.768387
1.721346,0.015008,0.000544,0.001536,0.001024,0.000384,1.744962
1.704002,0.014528,0.000448,0.001568,0.001184,0.000384,1.727106
1.732131,0.014464,0.000448,0.001504,0.001088,0.000352,1.754915
1.719299,0.014240,0.000480,0.001504,0.000896,0.000352,1.741827
1.746627,0.015904,0.000416,0.001536,0.001120,0.000384,1.772003
1.754947,0.014752,0.000544,0.001472,0.001120,0.000384,1.778851
1.724067,0.014848,0.000480,0.001600,0.001056,0.000384,1.747075
1.702787,0.014432,0.000448,0.001472,0.001088,0.000416,1.725571
1.749347,0.015936,0.000448,0.001504,0.000992,0.000384,1.773955
1.735043,0.014304,0.000416,0.001440,0.001088,0.000352,1.757571
1.738402,0.014400,0.000512,0.001536,0.000992,0.000384,1.761346
1.718595,0.014240,0.000448,0.001536,0.000928,0.000384,1.741091
1.730659,0.015168,0.000480,0.001408,0.000960,0.000384,1.754275
1.740866,0.014369,0.000448,0.001504,0.000896,0.000448,1.763267
1.733443,0.016448,0.000416,0.001504,0.001088,0.000384,1.758467
1.715619,0.014944,0.000480,0.001536,0.001088,0.000384,1.739651
1.764259,0.014784,0.000480,0.001536,0.001056,0.000384,1.787267
1.734499,0.014528,0.000448,0.001536,0.001056,0.000384,1.757795
1.747459,0.014624,0.000544,0.001536,0.001024,0.000384,1.770307
1.706339,0.014848,0.000512,0.001440,0.001120,0.000384,1.729603
1.740067,0.014816,0.000448,0.001536,0.001088,0.000384,1.763587
1.736323,0.014400,0.000512,0.001504,0.000960,0.000352,1.758595
1.773315,0.015904,0.000480,0.001536,0.000960,0.000352,1.798275
1.746083,0.014496,0.000448,0.001504,0.000960,0.000384,1.768771
1.726243,0.014240,0.000448,0.001504,0.000960,0.000352,1.748739
1.748963,0.014720,0.000512,0.001472,0.001088,0.000352,1.772515
1.738115,0.014656,0.000416,0.001504,0.000960,0.000352,1.760835
1.748099,0.014560,0.000480,0.001472,0.000992,0.000352,1.770755
1.748130,0.014560,0.000480,0.001472,0.001056,0.000352,1.771074
1.713539,0.014496,0.000448,0.001408,0.001024,0.000384,1.736227
1.717379,0.014464,0.000480,0.001472,0.001024,0.000352,1.740195
1.739491,0.014528,0.000448,0.001472,0.000992,0.000384,1.762051
1.783651,0.014528,0.000480,0.001408,0.000992,0.000352,1.806179
1.749827,0.014560,0.000480,0.001504,0.001024,0.000352,1.772835
1.751619,0.016288,0.000480,0.001600,0.000992,0.000352,1.776835
1.733411,0.014752,0.000480,0.001568,0.001152,0.000352,1.757187
1.749219,0.014944,0.000480,0.001472,0.000992,0.000352,1.772707
1.741699,0.014528,0.000512,0.001472,0.000992,0.000384,1.764579
1.768643,0.014560,0.000448,0.001536,0.001088,0.000384,1.792067
1.712035,0.014400,0.000480,0.001504,0.001024,0.000416,1.734723
1.741731,0.014592,0.000448,0.001440,0.001056,0.000384,1.765219
1.718019,0.014336,0.000480,0.001568,0.000896,0.000384,1.740003
1.748515,0.014592,0.000448,0.001472,0.000928,0.000384,1.771043
1.711555,0.014624,0.000480,0.001536,0.000960,0.000352,1.734179
1.738691,0.014400,0.000480,0.001504,0.000992,0.000352,1.761219
1.705218,0.014592,0.000544,0.001536,0.001344,0.000384,1.729154
1.733155,0.014528,0.000480,0.001696,0.000992,0.000384,1.756355
1.738915,0.014496,0.000480,0.001472,0.001024,0.000320,1.761667
1.741603,0.014432,0.000480,0.001536,0.000992,0.000384,1.764195
1.729218,0.014464,0.000480,0.001504,0.000992,0.000384,1.751778
1.735427,0.014464,0.000448,0.001504,0.001024,0.000416,1.758147
1.738947,0.014560,0.000480,0.001568,0.000992,0.000384,1.762019
1.781411,0.014720,0.000480,0.001504,0.000992,0.000352,1.804067
1.715779,0.014560,0.000480,0.001536,0.001568,0.000352,1.739107
1.758051,0.014752,0.000480,0.001504,0.000992,0.000416,1.781315
1.725827,0.014976,0.000480,0.001600,0.001248,0.000384,1.750051
1.740675,0.015104,0.000512,0.001536,0.001120,0.000384,1.764835
1.714499,0.014432,0.000480,0.001472,0.001152,0.000352,1.737475
1.726115,0.014432,0.000448,0.001472,0.001184,0.000352,1.749059
1.734947,0.014368,0.000480,0.001472,0.000992,0.000416,1.757443
1.726851,0.014528,0.000480,0.001472,0.001024,0.000384,1.749987
1.711235,0.014432,0.000512,0.001504,0.001536,0.000320,1.734307
1.764354,0.014400,0.000512,0.001440,0.000960,0.000352,1.786754
1.762147,0.014592,0.000480,0.001472,0.001216,0.000384,1.785443
1.755235,0.014656,0.000480,0.001568,0.001120,0.000352,1.779203
1.728451,0.014464,0.000480,0.001536,0.001088,0.000352,1.751267
1.760643,0.016160,0.000480,0.001504,0.001152,0.000416,1.785155
1.717763,0.014304,0.000480,0.001504,0.001024,0.000416,1.740291
1.726050,0.015201,0.000416,0.001472,0.000992,0.000384,1.749571
1.736195,0.014560,0.000448,0.001504,0.000928,0.000416,1.758851
1.731267,0.016448,0.000448,0.001472,0.000928,0.000320,1.755811
1.715683,0.014432,0.000512,0.001472,0.000928,0.000352,1.738243
1.765091,0.014528,0.000448,0.001440,0.000960,0.000416,1.787331
1.709347,0.014432,0.000512,0.001536,0.000960,0.000352,1.731779
1.740130,0.014913,0.000480,0.001504,0.001248,0.000416,1.763843
1.714306,0.014624,0.000544,0.001472,0.001152,0.000384,1.737730
1.733955,0.015936,0.000480,0.001504,0.001088,0.000352,1.758371
1.742531,0.014432,0.000448,0.001504,0.000992,0.000384,1.765315
1.731491,0.014464,0.000480,0.001376,0.001024,0.000352,1.754019
1.720195,0.014432,0.000448,0.001536,0.001024,0.000384,1.742851
1.733314,0.014432,0.000544,0.001536,0.000896,0.000384,1.755490
1.708258,0.015040,0.000480,0.001536,0.001024,0.000384,1.731714
1.742402,0.014529,0.000448,0.001408,0.000960,0.000416,1.764771
1.743939,0.014592,0.000480,0.001440,0.000928,0.000384,1.766467
1.738179,0.015552,0.000480,0.001600,0.001120,0.000352,1.762691
1.718339,0.014624,0.000480,0.001472,0.000992,0.000384,1.741443
1.765763,0.014496,0.000480,0.001504,0.000960,0.000416,1.788131
1.713731,0.014496,0.000480,0.001440,0.000960,0.000384,1.736547
1.755907,0.014560,0.000736,0.001472,0.000928,0.000352,1.778499
1.733411,0.014784,0.000480,0.001536,0.001152,0.000384,1.757315
