Layer[0],Layer[10],classifier
0.416514,0.704738,1.190372
0.416545,0.760130,1.248612
0.420705,0.705058,1.191587
0.420225,0.704482,1.192131
0.420866,0.726402,1.216196
0.422402,0.714113,1.207204
0.416513,0.699714,1.184227
0.439297,0.713474,1.226275
0.416449,0.730690,1.218659
0.415681,0.705314,1.191843
0.420834,0.744994,1.236900
0.417346,0.726946,1.221700
0.417761,0.729922,1.219268
0.421857,0.712610,1.205187
0.416897,0.714082,1.203395
0.422369,0.717698,1.208387
0.420673,0.710498,1.199299
0.416642,0.713346,1.198884
0.436993,0.707586,1.213252
0.421985,0.714146,1.204867
0.417249,0.735298,1.220227
0.421345,0.710882,1.200483
0.421666,0.708834,1.202244
0.416833,0.732546,1.227268
0.416897,0.713954,1.201763
0.420929,0.714626,1.204387
0.420609,0.733538,1.226531
0.417217,0.742018,1.229187
0.421250,0.701762,1.192228
0.440097,0.706274,1.218084
0.416865,0.712962,1.198243
0.416161,0.706242,1.190211
0.440001,0.710626,1.223139
0.421889,0.712162,1.201443
0.421986,0.808994,1.311908
0.418273,0.710146,1.198019
0.417186,0.707330,1.192452
0.417089,0.716482,1.208932
0.421185,0.708642,1.200387
0.421793,0.703714,1.191363
0.420577,0.744130,1.239459
0.416545,0.744098,1.229955
0.416001,0.706786,1.191363
0.439330,0.701698,1.209220
0.416385,0.715554,1.204676
0.416417,0.693698,1.176547
0.415393,0.699394,1.186947
0.415873,0.692290,1.175491
0.416225,0.715521,1.204356
0.415681,0.699490,1.186307
0.416513,0.716930,1.200867
0.417985,0.729570,1.215427
0.416353,0.685730,1.167299
0.416161,0.696898,1.181124
0.420353,0.709730,1.204387
0.416321,0.684162,1.166947
0.416450,0.715778,1.203460
0.429665,0.691234,1.196100
0.415937,0.716194,1.209027
0.416225,0.698498,1.185251
0.429665,0.722530,1.226371
0.416129,0.708162,1.196515
0.416321,0.719618,1.209732
0.416449,0.700258,1.190115
0.416289,0.735522,1.227619
0.416417,0.737058,1.231907
0.415841,0.710434,1.194787
0.415745,0.706146,1.191171
0.415970,0.720962,1.206084
0.416417,0.707234,1.190628
0.416257,0.710178,1.197155
0.437921,0.712546,1.224355
0.420641,0.715330,1.210531
0.416929,0.753378,1.240419
0.421665,0.716162,1.209379
0.416737,0.714466,1.205347
0.420705,0.725218,1.216483
0.416641,0.728130,1.213187
0.421474,0.747554,1.246500
0.416674,0.727394,1.221924
0.416418,0.709442,1.196356
0.416609,0.709666,1.195204
0.432065,0.714146,1.217763
0.416289,0.741090,1.227075
0.415809,0.713794,1.200419
0.431681,0.737442,1.240675
0.416513,0.708770,1.193443
0.419873,0.707554,1.218787
0.415970,0.700642,1.184804
0.421249,0.696386,1.184132
0.416097,0.727746,1.223972
0.416833,0.700738,1.186467
0.420769,0.739202,1.230531
0.416161,0.742402,1.241731
0.415777,0.710626,1.195235
0.416353,0.708578,1.194179
0.432481,0.709570,1.212579
0.417473,0.709058,1.195491
0.420770,0.700290,1.189476
0.416066,0.714210,1.200836
0.415585,0.700546,1.183684
0.418401,0.716066,1.203811
0.417345,0.709378,1.196835
0.416417,0.713922,1.200771
0.416673,0.730466,1.216867
0.417345,0.714786,1.201411
0.415745,0.711650,1.196771
0.416289,0.727074,1.209987
0.421601,0.707906,1.197635
0.417121,0.710626,1.198275
0.440514,0.713474,1.223940
0.415810,0.734082,1.221188
0.416386,0.710850,1.196772
0.421410,0.711649,1.206884
0.419969,0.712514,1.202404
0.416161,0.735554,1.222180
0.416193,0.739362,1.224804
0.417057,0.710466,1.197988
0.415937,0.757250,1.248900
0.415073,0.722850,1.207236
0.416417,0.713474,1.211300
0.434017,0.715074,1.219043
0.417569,0.709538,1.200995
0.417665,0.714722,1.204899
0.416225,0.712578,1.198755
0.415937,0.708770,1.193123
0.414881,0.727874,1.216803
0.417153,0.704034,1.189635
0.415905,0.703874,1.187267
0.421633,0.741570,1.256227
0.416609,0.739202,1.223651
0.416769,0.716738,1.202115
0.435841,0.715938,1.223843
0.416513,0.716898,1.203171
0.416897,0.734978,1.223267
0.422337,0.703810,1.194947
0.417473,0.702402,1.186979
0.416226,0.728930,1.216964
0.417506,0.710562,1.196196
0.421378,0.715778,1.205604
0.420449,0.730051,1.223460
0.416449,0.712514,1.202436
0.416641,0.745954,1.236804
0.433474,0.709922,1.212996
0.414881,0.745475,1.249412
0.417026,0.740770,1.227108
0.415778,0.714882,1.200772
0.415810,0.701857,1.185380
0.416289,0.722594,1.213220
0.415809,0.711490,1.197252
0.420289,0.730530,1.217316
0.416225,0.725794,1.210052
0.416801,0.716098,1.201283
0.416065,0.712610,1.196803
0.416225,0.728706,1.219843
0.417217,0.723906,1.211427
0.420609,0.708130,1.197443
0.436545,0.709154,1.218531
0.415873,0.717794,1.201987
0.415777,0.708258,1.192995
0.417185,0.700194,1.182883
0.416033,0.722498,1.206243
0.415649,0.729090,1.217187
0.420353,0.708962,1.199555
0.420673,0.746306,1.235651
0.416993,0.726946,1.217763
0.418049,0.715650,1.202979
0.421089,0.704162,1.192131
0.440737,0.709570,1.222467
0.420129,0.731458,1.227491
0.421985,0.704354,1.193763
0.452161,0.726594,1.251907
0.420545,0.714434,1.207779
0.418049,0.723330,1.218051
0.415809,0.708674,1.194179
0.415425,0.698178,1.181027
0.415809,0.717378,1.201603
0.417665,0.709154,1.194531
0.415873,0.705026,1.190723
0.420257,0.723298,1.216067
0.416161,0.709218,1.194595
0.420609,0.695394,1.182531
0.443905,0.705858,1.223555
0.416929,0.701090,1.186787
0.416225,0.707554,1.192131
0.420545,0.700354,1.188355
0.421153,0.699170,1.187171
0.420801,0.731938,1.228259
0.416193,0.711714,1.198435
0.417409,0.746402,1.232771
0.421185,0.724770,1.222147
0.416225,0.709698,1.195299
0.417057,0.716546,1.203523
0.438273,0.741026,1.251587
0.416513,0.705474,1.193315
0.421089,0.731906,1.220643
0.431873,0.710914,1.217251
0.414497,0.727874,1.211331
0.415809,0.717922,1.226435
0.416673,0.713570,1.199299
0.421153,0.701378,1.189443
0.415809,0.749122,1.234979
0.416033,0.706786,1.190595
0.419105,0.724930,1.215587
0.422017,0.726242,1.223172
0.416545,0.747874,1.233380
0.421282,0.708386,1.199396
0.434498,0.709410,1.209476
0.416546,0.696833,1.181764
0.416258,0.726722,1.210596
0.416098,0.730530,1.215460
0.416162,0.706690,1.191556
0.416482,0.719266,1.211972
0.416546,0.735938,1.221892
0.415970,0.732546,1.217252
0.416482,0.726274,1.218628
0.417313,0.734786,1.224163
0.415617,0.729538,1.210915
0.431233,0.730786,1.228131
0.416193,0.745858,1.232515
0.416513,0.711170,1.196963
0.430913,0.704706,1.205283
0.420865,0.740546,1.232259
0.416481,0.783586,1.288292
0.417058,0.744386,1.241284
0.420545,0.710658,1.200643
0.416353,0.727650,1.235459
0.416705,0.712450,1.198371
0.416385,0.701890,1.185251
0.435649,0.734722,1.242211
0.416609,0.750114,1.236291
0.415873,0.715106,1.208611
0.419617,0.716322,1.206115
0.416641,0.715970,1.202851
0.420705,0.732162,1.224868
0.416385,0.703714,1.190308
0.420641,0.710082,1.200580
0.420353,0.727714,1.227268
0.416290,0.702434,1.186404
0.415938,0.710754,1.194372
0.417090,0.720706,1.224356
0.415937,0.741570,1.226147
0.416769,0.718146,1.217443
0.438241,0.713634,1.221475
0.420417,0.704898,1.195683
0.416769,0.743874,1.229955
0.420673,0.731266,1.220611
0.416257,0.741474,1.228324
0.416321,0.756866,1.243556
0.417634,0.738306,1.233860
0.416385,0.734146,1.218947
0.416641,0.731042,1.223075
0.421281,0.711810,1.201827
0.416321,0.712610,1.201059
0.430017,0.708418,1.206083
0.416129,0.708066,1.192099
0.420449,0.708546,1.197027
0.417761,0.743746,1.233412
0.416097,0.696674,1.181764
0.416353,0.717474,1.209636
0.416545,0.702562,1.186436
0.416225,0.694434,1.187492
0.420705,0.702690,1.200356
0.415425,0.685410,1.170340
0.416001,0.721730,1.206436
0.415618,0.741890,1.239524
0.415777,0.702882,1.188451
0.416545,0.710722,1.195267
0.432961,0.736194,1.237379
0.416513,0.710242,1.194691
0.416449,0.715650,1.202371
0.416289,0.717986,1.209476
0.421538,0.713793,1.203332
0.416290,0.759458,1.263556
0.417505,0.699202,1.184227
0.416257,0.740514,1.227171
0.416385,0.719426,1.207395
0.416801,0.712642,1.196707
0.419841,0.709186,1.198500
0.435362,0.725218,1.235364
0.417793,0.730018,1.218595
0.416353,0.700706,1.184931
0.416545,0.712834,1.200835
0.420513,0.725698,1.218115
0.421153,0.729602,1.221348
0.421377,0.717410,1.208260
0.418338,0.755202,1.245956
0.421377,0.736866,1.228867
0.416737,0.696002,1.179843
0.416609,0.701058,1.186179
0.439137,0.764227,1.277764
0.420801,0.721634,1.214275
0.416321,0.741090,1.253987
0.421537,0.754306,1.247044
0.421602,0.715234,1.207812
0.416801,0.733058,1.227267
0.416129,0.744866,1.230243
0.420705,0.734402,1.227011
0.432545,0.705218,1.205475
0.416129,0.705698,1.189732
0.421122,0.732898,1.224612
0.432449,0.716514,1.220419
0.416161,0.711362,1.197155
0.416513,0.725218,1.212163
0.416033,0.703394,1.185827
0.420801,0.733282,1.221604
0.420289,0.761603,1.252068
0.419681,0.738498,1.226883
0.416385,0.743714,1.230691
0.441025,0.744290,1.256964
0.418114,0.713058,1.199492
0.422593,0.721346,1.216771
0.421537,0.718690,1.213219
0.419809,0.716130,1.207491
0.420481,0.731490,1.229220
0.416097,0.704226,1.190819
0.420161,0.710786,1.204771
0.416385,0.729122,1.222435
0.421025,0.712898,1.203075
0.419969,0.745186,1.235268
0.449986,0.734658,1.266948
0.416865,0.721090,1.212163
0.416705,0.716962,1.204003
0.416545,0.718306,1.206180
0.416866,0.714818,1.202660
0.416673,0.735650,1.226979
0.417889,0.714946,1.202499
0.418081,0.713826,1.200803
0.416513,0.728899,1.219044
0.417761,0.701698,1.189443
