Layer[9],Layer[10],classifier
1.762085,0.000672,1.766501
1.765028,0.000864,1.770756
1.728932,0.000704,1.733220
1.750404,0.000672,1.755012
1.729092,0.000672,1.732932
1.787204,0.000704,1.792836
1.756196,0.000704,1.760196
1.755204,0.000832,1.762308
1.742308,0.000800,1.746980
1.758212,0.000736,1.763300
1.757636,0.000896,1.762596
1.789605,0.000736,1.793797
1.756868,0.001024,1.761412
1.770404,0.000928,1.775492
1.735012,0.000896,1.740004
1.761540,0.000736,1.766980
1.741444,0.000832,1.746980
1.754820,0.000736,1.760516
1.763173,0.000704,1.767621
1.757028,0.000832,1.762404
1.734788,0.000672,1.739076
1.790917,0.000736,1.796229
1.741668,0.000832,1.746628
1.783300,0.000704,1.788100
1.727044,0.000800,1.731268
1.754084,0.000768,1.758916
1.796613,0.000832,1.801701
1.752356,0.000832,1.757412
1.725380,0.000736,1.729540
1.797412,0.000800,1.801892
1.756068,0.000704,1.759876
1.773989,0.000800,1.778469
1.743268,0.000768,1.747524
1.756325,0.000768,1.760837
1.727268,0.000928,1.731556
1.804996,0.000736,1.809732
1.732676,0.000704,1.737764
1.788804,0.000864,1.793892
1.755204,0.000704,1.759492
1.784836,0.001024,1.789956
1.726660,0.000864,1.731044
1.783077,0.000992,1.788069
1.753316,0.000928,1.757668
1.782821,0.000832,1.787205
1.758756,0.000672,1.762788
1.761476,0.000800,1.765956
1.725348,0.000832,1.730980
1.775236,0.000768,1.779396
1.761572,0.000864,1.765924
1.796676,0.000800,1.801924
1.753956,0.000704,1.757892
1.735076,0.000736,1.738980
1.749764,0.000672,1.753988
1.753285,0.000800,1.757541
1.712196,0.000672,1.716228
1.774884,0.000768,1.779396
1.731684,0.000832,1.737156
1.785124,0.000736,1.789572
1.728484,0.000736,1.732644
1.788772,0.000768,1.793284
1.755940,0.000736,1.760196
1.828420,0.001184,1.835268
1.739876,0.000736,1.744836
1.785092,0.000992,1.789636
1.761637,0.000832,1.766885
1.761860,0.000928,1.768676
1.765540,0.000704,1.770660
1.755204,0.000832,1.759876
1.764549,0.000864,1.770341
