Layer[0],Layer[1],Layer[3],Layer[4],Layer[5],Layer[6],Layer[7],Layer[8],Layer[9],Layer[10],classifier
0.416545,0.017472,0.673794,0.047776,0.000832,0.013569,0.000384,0.001536,0.001120,0.000352,1.180580
0.434241,0.017440,0.669730,0.047680,0.000864,0.013984,0.000448,0.001472,0.001088,0.000384,1.194755
0.420673,0.017600,0.663682,0.047424,0.000896,0.014240,0.000384,0.001632,0.001056,0.000416,1.175523
0.421026,0.017664,0.684833,0.063425,0.000896,0.013888,0.000352,0.001536,0.001152,0.000384,1.213284
0.420481,0.017472,0.680034,0.047712,0.000864,0.013792,0.000352,0.001504,0.001152,0.000352,1.191491
0.419841,0.017344,0.680546,0.048288,0.000896,0.013825,0.000384,0.001504,0.001088,0.000384,1.191332
0.421985,0.017472,0.704450,0.051008,0.000896,0.013472,0.000416,0.001440,0.001056,0.000384,1.220163
0.421633,0.017440,0.669858,0.048224,0.000896,0.013600,0.000384,0.001440,0.001216,0.000384,1.182531
0.416130,0.017888,0.683874,0.048064,0.000896,0.013600,0.000448,0.001824,0.001088,0.000352,1.191524
0.421249,0.017440,0.700994,0.050720,0.000864,0.013376,0.000416,0.001408,0.001120,0.000384,1.215875
0.416386,0.018240,0.673569,0.048897,0.000864,0.013536,0.000416,0.001536,0.001056,0.000352,1.182116
0.421889,0.017472,0.682818,0.048608,0.000832,0.013952,0.000416,0.001440,0.001056,0.000352,1.196291
