Layer[10],classifier
1.719076,1.792516
1.692452,1.759204
1.687268,1.756228
1.712324,1.783908
1.708836,1.786884
1.673604,1.740292
1.691172,1.764996
1.673700,1.743012
1.679460,1.751140
1.668292,1.735396
1.718340,1.789092
1.674116,1.741700
1.719908,1.795653
1.673572,1.743877
1.717125,1.813605
1.671364,1.737124
1.689956,1.757924
1.692516,1.759204
1.720516,1.790596
1.678788,1.744997
1.710373,1.788997
1.665252,1.729828
1.692932,1.762596
1.669796,1.738020
1.718628,1.799364
1.691620,1.762821
1.736100,1.812452
1.672228,1.738756
1.694308,1.762308
1.685924,1.755877
1.689924,1.757732
1.692644,1.760068
1.714180,1.785316
1.691620,1.759205
1.690116,1.761988
1.694692,1.765348
1.679620,1.771268
1.669028,1.734469
1.671076,1.754660
1.705092,1.773124
1.676389,1.767781
1.674116,1.740932
1.675908,1.745508
1.698116,1.765636
1.675972,1.761348
1.699332,1.766533
1.667300,1.732388
1.669636,1.737060
1.693892,1.759940
1.706788,1.772516
1.700068,1.767428
1.701988,1.775748
1.705317,1.809893
1.663844,1.732900
1.699300,1.768709
1.669028,1.734532
1.697989,1.769573
1.670948,1.739044
1.675205,1.747685
1.705412,1.779012
1.672900,1.745572
1.671396,1.741572
1.671972,1.741668
1.716196,1.789156
1.660708,1.731140
1.659460,1.723428
1.650212,1.716996
1.662532,1.735332
1.699940,1.765252
1.670564,1.740740
1.657892,1.725860
1.668036,1.739940
1.692868,1.766180
1.738181,1.812645
1.706916,1.780324
1.732420,1.815620
1.704516,1.772132
1.698820,1.770629
1.679108,1.747428
1.686980,1.760292
1.695813,1.776581
1.713060,1.789252
1.700996,1.768484
1.690148,1.757348
1.704452,1.770437
1.688164,1.759524
1.686628,1.753604
1.726404,1.799524
1.679716,1.750052
1.693028,1.765509
1.675012,1.743140
1.686628,1.756836
1.698564,1.767620
1.744549,1.826117
1.713124,1.784581
1.719108,1.800421
1.679588,1.745988
1.703332,1.772132
1.699940,1.773796
1.723524,1.796100
1.679044,1.744836
1.711876,1.788100
1.705605,1.774053
1.683748,1.750885
1.698820,1.767524
1.716324,1.792356
1.703492,1.775428
1.690052,1.761412
1.695556,1.761956
1.721988,1.790628
1.682500,1.750180
1.701636,1.773988
1.678564,1.747876
1.719844,1.793572
1.672868,1.739812
1.734948,1.813668
1.674852,1.742980
1.679300,1.744580
1.680324,1.748676
1.714116,1.780804
1.679428,1.748772
1.703300,1.777540
1.708388,1.782341
1.677092,1.743045
1.678980,1.749349
1.685189,1.755109
1.682564,1.750180
1.696708,1.766340
1.671268,1.739140
1.692452,1.764100
1.673636,1.740836
1.742052,1.819204
1.700708,1.772357
1.702085,1.774565
1.684228,1.752484
1.698180,1.771524
1.680356,1.750084
1.688580,1.759076
1.670020,1.737348
1.721221,1.789061
1.682052,1.751396
1.737028,1.806052
1.673060,1.740100
1.702916,1.774949
1.701892,1.768548
1.722532,1.801700
1.674212,1.741348
1.712613,1.792965
1.679748,1.753732
1.724388,1.806180
1.711237,1.782085
1.695044,1.768708
1.709572,1.777188
1.710661,1.777061
1.677668,1.745316
1.682308,1.748484
1.678021,1.744869
1.690244,1.757348
1.674660,1.740132
1.709668,1.777989
1.684100,1.752548
1.705124,1.786404
1.707909,1.780837
1.691652,1.758948
1.700484,1.769189
1.715076,1.793540
1.682372,1.748964
1.694916,1.761348
1.706372,1.774052
1.721029,1.788741
1.682916,1.751716
1.692100,1.764581
1.676964,1.743076
1.717348,1.801061
1.703780,1.771044
1.709733,1.785125
1.678724,1.744548
1.703973,1.781509
1.688740,1.755812
1.691045,1.758149
1.709028,1.781444
1.705476,1.786564
1.684708,1.757028
1.685892,1.761604
1.694020,1.763812
1.666468,1.736644
1.658884,1.726692
1.681348,1.747876
1.658820,1.723812
1.706660,1.774436
1.651076,1.716484
1.683588,1.752100
1.707140,1.777669
1.728420,1.811236
1.699972,1.768644
1.671332,1.739908
1.672036,1.741796
1.675396,1.748804
1.672420,1.742533
1.684612,1.756612
1.672324,1.746052
1.671140,1.741028
1.662692,1.727236
1.684036,1.758596
1.694884,1.762981
1.670276,1.738468
1.684164,1.755332
1.687492,1.755621
1.678628,1.747108
1.723972,1.797124
1.679396,1.749604
1.682404,1.757796
1.714084,1.785828
1.707780,1.780004
1.697252,1.767524
1.719845,1.792005
1.700004,1.772389
1.701572,1.777316
1.698084,1.769668
1.730788,1.809828
1.701252,1.775492
1.713284,1.782564
1.660677,1.730053
1.695428,1.763525
1.655556,1.722980
1.691140,1.757540
1.657252,1.725796
1.674820,1.744324
1.645284,1.709861
1.680420,1.751620
1.735812,1.818629
1.736357,1.816421
1.685221,1.757541
1.699365,1.778725
1.704036,1.775396
1.703556,1.776612
1.707876,1.777028
1.721956,1.793540
1.709092,1.778020
1.732036,1.804228
1.684612,1.751044
1.697092,1.769252
1.675876,1.744356
1.722404,1.799588
1.675268,1.742340
1.676580,1.749252
1.676772,1.745605
1.694052,1.767429
1.707301,1.776805
1.698596,1.773508
1.699332,1.765508
1.689604,1.770788
1.667524,1.732356
1.713988,1.786244
1.671780,1.738085
1.716741,1.788133
1.677636,1.746084
1.692868,1.763588
1.709348,1.777540
1.678180,1.746404
1.686340,1.757221
1.684069,1.750501
1.661380,1.728260
1.682500,1.748388
1.664772,1.729572
1.708100,1.775876
1.674916,1.740581
1.685124,1.759684
1.678756,1.747780
1.700676,1.773380
1.680452,1.749605
1.683812,1.760068
1.671556,1.738596
1.681284,1.746532
1.689540,1.757669
1.711556,1.785572
1.693476,1.760740
1.720357,1.801637
1.695236,1.764644
1.696676,1.766117
1.697316,1.767620
1.715108,1.787620
1.696421,1.762757
1.689636,1.772164
1.686532,1.754565
1.679940,1.748196
1.662244,1.726948
1.707716,1.783077
1.711780,1.780580
1.712484,1.792101
1.677028,1.746212
1.690500,1.763556
1.693220,1.760644
1.694756,1.775812
1.669380,1.735844
1.712164,1.790148
1.658724,1.725508
1.734116,1.821380
1.696452,1.766468
1.722628,1.805956
1.663748,1.728612
1.671204,1.756452
1.678628,1.748036
1.692644,1.784229
1.669988,1.734916
1.675684,1.742789
1.693540,1.761348
1.711045,1.802021
1.671172,1.738756
1.676900,1.743844
1.672804,1.746372
1.700548,1.767108
1.676772,1.743109
1.694564,1.763684
1.679044,1.745028
1.703845,1.790597
1.674596,1.742884
1.711204,1.802212
1.703173,1.771909
1.685988,1.785636
1.703204,1.769188
1.671236,1.757124
1.686340,1.755909
1.672900,1.740260
1.676452,1.744420
1.693284,1.759109
1.704228,1.771620
1.662724,1.729924
1.673156,1.744100
1.684324,1.751780
1.698724,1.768484
1.700580,1.767652
1.698245,1.763653
1.664068,1.729221
1.671556,1.739524
1.686660,1.758756
1.677828,1.745892
1.662692,1.730789
1.709892,1.778820
1.702180,1.770180
1.693636,1.764036
1.702724,1.770564
1.678980,1.749828
1.672580,1.739364
1.683685,1.749189
1.698916,1.766181
1.683876,1.753925
1.690596,1.762180
1.667908,1.734020
1.699940,1.766308
1.677764,1.746756
1.682020,1.750052
1.682084,1.748324
1.678692,1.745508
1.678116,1.744420
1.676036,1.743908
1.706564,1.782852
1.713444,1.783876
1.708068,1.778116
1.676292,1.745092
1.723684,1.791364
1.698436,1.767300
1.677508,1.747396
1.709508,1.778500
1.717188,1.786917
1.682244,1.750789
1.709316,1.779589
1.712325,1.781989
1.682468,1.750788
1.708516,1.788964
1.707716,1.777188
1.698436,1.765348
1.707012,1.774309
1.707429,1.806053
1.679556,1.745444
1.700548,1.806948
1.706052,1.776356
1.687364,1.756804
1.695972,1.764741
1.706084,1.778788
1.683620,1.753220
1.700164,1.777956
1.704452,1.770789
1.703844,1.779972
1.680900,1.751588
1.696420,1.765924
1.672836,1.742820
1.703397,1.777349
1.715716,1.787044
1.702564,1.776804
1.682693,1.754053
1.692420,1.763204
1.683716,1.753572
1.693924,1.767941
1.676996,1.747268
1.732708,1.811396
1.710244,1.787461
1.702020,1.779620
1.677540,1.745828
1.679108,1.750981
1.708804,1.775684
1.704996,1.785764
1.671492,1.738020
1.707332,1.781412
1.674116,1.741380
1.707748,1.786596
1.701188,1.774276
1.729861,1.819045
1.667236,1.733604
1.691173,1.762853
1.685796,1.752964
1.699044,1.768293
1.709092,1.775108
1.701444,1.769604
1.712260,1.780548
1.696612,1.770276
1.686148,1.754468
1.709188,1.783268
1.695876,1.762852
1.698340,1.773540
1.661252,1.727940
1.699940,1.779620
1.695972,1.763396
1.726212,1.796101
1.678372,1.747492
1.721732,1.805797
1.684900,1.751972
1.700837,1.770821
1.676484,1.743204
1.723044,1.795204
1.677700,1.749092
1.724324,1.800452
1.685573,1.752389
1.697124,1.768772
