Layer[0],Layer[1],Layer[2],Layer[3],Layer[4],Layer[5],Layer[6],Layer[9],Layer[10],classifier
0.439617,0.017408,0.202657,0.004832,0.046816,0.000576,0.013472,0.183008,0.000608,0.915714
0.415234,0.017280,0.203200,0.004832,0.046912,0.000608,0.013568,0.179681,0.000576,0.889571
0.415265,0.017376,0.202337,0.004832,0.046880,0.000768,0.013408,0.177313,0.000544,0.884611
0.415297,0.017408,0.202433,0.004832,0.046784,0.000608,0.013312,0.159680,0.000480,0.866562
0.415298,0.017568,0.203712,0.004928,0.047104,0.000480,0.013344,0.175329,0.000576,0.883907
0.420033,0.017248,0.202465,0.004864,0.046784,0.000544,0.013408,0.170720,0.000545,0.882275
0.414913,0.017280,0.202240,0.004800,0.046881,0.000576,0.013280,0.180480,0.000448,0.886690
0.415329,0.017472,0.222337,0.005056,0.046816,0.000832,0.013312,0.166881,0.000512,0.895235
0.415521,0.017408,0.202785,0.004864,0.046848,0.000992,0.013312,0.181824,0.000480,0.890178
0.415329,0.017632,0.202880,0.004768,0.046785,0.000672,0.013312,0.203392,0.000608,0.911394
0.419586,0.017312,0.202976,0.004832,0.046816,0.000800,0.013408,0.185825,0.000512,0.898627
0.433345,0.017408,0.202561,0.004832,0.047232,0.001056,0.013408,0.182657,0.000576,0.910787
0.415681,0.017568,0.202529,0.004800,0.046784,0.000800,0.013344,0.170944,0.000544,0.879682
0.414946,0.017408,0.202464,0.004832,0.046752,0.000800,0.013376,0.166433,0.000736,0.874019
0.415105,0.017568,0.202433,0.004800,0.046848,0.000800,0.013312,0.212161,0.000672,0.920931
0.415905,0.017440,0.202465,0.004800,0.046848,0.000832,0.013344,0.173280,0.000544,0.881954
0.416226,0.017408,0.203264,0.004800,0.046880,0.001024,0.013344,0.189665,0.000608,0.899299
0.415233,0.017152,0.202785,0.004800,0.046784,0.001024,0.013376,0.180577,0.000512,0.888419
0.433729,0.017376,0.202785,0.004800,0.047008,0.000992,0.013312,0.155168,0.000576,0.882466
0.415970,0.017344,0.202176,0.004864,0.046816,0.000992,0.013376,0.165761,0.000544,0.873539
0.415297,0.017472,0.202465,0.004768,0.046784,0.000480,0.013344,0.148160,0.000512,0.855170
