Layer[0],Layer[1],Layer[6],Layer[7],Layer[8],Layer[9],Layer[10],classifier
0.416193,0.017632,0.752322,0.000928,0.002272,0.001184,0.000608,1.197571
0.434786,0.017568,0.754914,0.000864,0.002112,0.001184,0.000352,1.218628
0.416513,0.018304,0.739042,0.000704,0.002048,0.001216,0.000384,1.184675
0.421025,0.017504,0.766658,0.000832,0.003264,0.001120,0.000352,1.217635
0.420833,0.017568,0.748258,0.000864,0.002208,0.001088,0.000352,1.197507
0.420738,0.017440,0.771138,0.000736,0.002208,0.001056,0.000352,1.219844
0.419841,0.017632,0.773442,0.000832,0.002272,0.001056,0.000384,1.222371
0.420065,0.017600,0.743842,0.000672,0.002080,0.001088,0.000416,1.192195
0.420737,0.020897,0.755810,0.001056,0.003488,0.001152,0.000352,1.210148
0.416385,0.017888,0.780706,0.000832,0.003520,0.001312,0.000576,1.228323
0.421185,0.017536,0.750434,0.000832,0.002976,0.001504,0.000352,1.201475
0.420865,0.017632,0.751235,0.000736,0.002208,0.001088,0.000544,1.201156
0.442530,0.017600,0.757250,0.000704,0.002432,0.001152,0.000544,1.228932
0.421985,0.021152,0.747778,0.000736,0.002240,0.001088,0.000352,1.202243
0.417761,0.018144,0.742402,0.000800,0.002464,0.001088,0.000352,1.189475
0.418306,0.017696,0.750082,0.000800,0.002400,0.001216,0.000416,1.197732
0.417185,0.020928,0.749570,0.000704,0.002144,0.001120,0.000576,1.198659
0.421089,0.020896,0.776899,0.000992,0.003456,0.001344,0.000352,1.231716
0.416706,0.017760,0.781122,0.001120,0.003616,0.001408,0.000384,1.229220
0.421185,0.017632,0.747906,0.000832,0.002656,0.001344,0.000352,1.198595
0.416193,0.017760,0.761954,0.001056,0.002464,0.001152,0.000352,1.207299
0.416674,0.017440,0.755458,0.000928,0.002048,0.001088,0.000416,1.200740
0.421089,0.017408,0.754338,0.000896,0.002208,0.001088,0.000384,1.203779
0.437633,0.017824,0.742498,0.000960,0.003200,0.001088,0.000384,1.210307
0.416642,0.017504,0.740418,0.000832,0.003296,0.001152,0.000416,1.186756
0.420609,0.017408,0.737986,0.000704,0.001984,0.000960,0.000544,1.186563
0.419713,0.017472,0.750146,0.000800,0.003424,0.001056,0.000352,1.199427
0.415873,0.017600,0.751746,0.000704,0.002048,0.001024,0.000352,1.195587
0.420706,0.017632,0.798402,0.000768,0.002304,0.001024,0.000352,1.248516
0.420641,0.017568,0.750626,0.000704,0.002272,0.001120,0.000384,1.200355
0.420705,0.017568,0.737410,0.000704,0.002144,0.001088,0.000576,1.186819
0.415393,0.017504,0.779810,0.000704,0.002400,0.001056,0.000416,1.224036
0.420545,0.017568,0.757474,0.000672,0.002240,0.001088,0.000384,1.206467
0.420641,0.017440,0.745602,0.000800,0.002272,0.001120,0.000576,1.195331
0.435905,0.017632,0.760963,0.000768,0.002304,0.001088,0.000384,1.225508
0.415137,0.017536,0.753506,0.000640,0.002208,0.001120,0.000384,1.197123
0.420257,0.017216,0.751362,0.000736,0.002976,0.001248,0.000352,1.200579
0.415585,0.017312,0.776451,0.000864,0.002304,0.001088,0.000384,1.220676
0.420929,0.017472,0.759042,0.000704,0.003232,0.001280,0.000352,1.210243
0.416481,0.017600,0.783138,0.000864,0.002720,0.001184,0.000352,1.229283
0.415745,0.017600,0.755235,0.000768,0.002336,0.001152,0.000608,1.199972
0.420289,0.017536,0.755170,0.000800,0.002336,0.001152,0.000608,1.204739
0.420961,0.017728,0.773794,0.000736,0.002880,0.001120,0.000352,1.224451
0.420417,0.017504,0.756707,0.000768,0.002048,0.001120,0.000352,1.205764
0.420161,0.017760,0.745282,0.000704,0.002432,0.001056,0.000352,1.194115
0.435265,0.017472,0.782850,0.000768,0.002304,0.001088,0.000608,1.246627
0.420289,0.018176,0.744739,0.000768,0.002080,0.001120,0.000384,1.193956
0.419393,0.017248,0.749442,0.000704,0.002112,0.001088,0.000352,1.196067
0.422049,0.017824,0.758018,0.000736,0.002272,0.001088,0.000576,1.210883
0.422817,0.017568,0.762755,0.000768,0.002432,0.001536,0.000384,1.214660
0.421409,0.017824,0.783010,0.000960,0.002784,0.001152,0.000384,1.235203
0.415873,0.017536,0.741602,0.000832,0.002784,0.001248,0.000384,1.186179
0.420801,0.017665,0.752290,0.000864,0.003008,0.001344,0.000608,1.203492
0.416833,0.017984,0.778754,0.000800,0.002240,0.001184,0.000352,1.224579
0.417377,0.017696,0.752546,0.000864,0.002688,0.001312,0.000416,1.199235
0.421601,0.017537,0.749250,0.000800,0.002240,0.001216,0.000384,1.199684
0.432673,0.017760,0.758882,0.000992,0.002496,0.001216,0.000384,1.221603
0.417249,0.017440,0.784482,0.000960,0.003104,0.001120,0.000384,1.231459
0.421282,0.017664,0.739842,0.000928,0.002752,0.018848,0.000832,1.209508
0.420993,0.017728,0.751138,0.000928,0.003072,0.001088,0.000384,1.201667
0.416609,0.020928,0.756930,0.000832,0.002528,0.001024,0.000320,1.205667
0.416994,0.017600,0.779106,0.000832,0.002464,0.001184,0.000352,1.225316
0.422337,0.020992,0.754946,0.000864,0.002656,0.001056,0.000384,1.209667
0.421441,0.020864,0.752642,0.000864,0.002496,0.001056,0.000384,1.206211
0.416674,0.017600,0.771586,0.000896,0.002720,0.001056,0.000384,1.217028
0.421409,0.017792,0.748994,0.000864,0.002272,0.001120,0.000416,1.199203
0.416513,0.017504,0.750370,0.000800,0.002144,0.001024,0.000352,1.195299
