Layer[0],Layer[1],Layer[2],Layer[3],Layer[4],Layer[5],Layer[6],Layer[7],Layer[8],Layer[9],Layer[10],classifier
0.415969,0.017568,0.202817,0.005024,0.048864,0.000576,0.194561,0.000672,0.002080,0.001152,0.000384,0.898339
0.415137,0.017344,0.203297,0.005088,0.049312,0.000544,0.196865,0.000672,0.002080,0.001184,0.000320,0.900195
0.418689,0.017728,0.201921,0.004768,0.049440,0.000608,0.195616,0.000576,0.002016,0.001184,0.000384,0.901058
0.415521,0.017472,0.202656,0.004832,0.049025,0.000608,0.186976,0.000640,0.001888,0.001120,0.000384,0.889762
0.416066,0.017408,0.202976,0.005056,0.049312,0.000576,0.196545,0.000576,0.001888,0.001120,0.000352,0.900195
0.416161,0.017344,0.219425,0.005248,0.050784,0.000608,0.187169,0.000672,0.002176,0.001088,0.000320,0.910243
0.416897,0.017536,0.202785,0.005120,0.050592,0.000576,0.194528,0.000608,0.002048,0.001216,0.000320,0.902178
0.424929,0.017472,0.202305,0.005024,0.050336,0.000480,0.185184,0.000672,0.002016,0.001024,0.000352,0.897442
0.416002,0.017376,0.203104,0.005184,0.049920,0.000576,0.180801,0.000704,0.002176,0.000960,0.000320,0.884739
0.428705,0.017280,0.202337,0.005024,0.049568,0.000576,0.188865,0.000608,0.002048,0.000960,0.000320,0.903587
0.415457,0.017280,0.202817,0.004800,0.049056,0.000576,0.185216,0.000768,0.002016,0.001088,0.000352,0.887554
0.415426,0.017312,0.202816,0.004864,0.047936,0.000576,0.181217,0.000608,0.002048,0.000960,0.000352,0.881763
0.415489,0.017536,0.202401,0.005312,0.061376,0.000704,0.186593,0.000672,0.001952,0.000960,0.000352,0.901091
0.415713,0.017312,0.202400,0.004800,0.048225,0.000544,0.182560,0.000736,0.001984,0.000960,0.000352,0.882146
0.415585,0.017440,0.202593,0.005440,0.049248,0.000512,0.182721,0.000736,0.001888,0.000896,0.000352,0.884579
0.415393,0.017344,0.202369,0.004768,0.048160,0.000576,0.188288,0.000704,0.001728,0.000960,0.000352,0.887298
