Layer[3],Layer[4],Layer[5],Layer[6],Layer[7],Layer[8],Layer[9],Layer[10],classifier
1.698433,0.048800,0.000832,0.013536,0.000384,0.001440,0.001152,0.000352,1.771041
1.697314,0.048672,0.000864,0.013632,0.000416,0.001536,0.001184,0.000384,1.770178
1.673282,0.048832,0.000640,0.013824,0.000384,0.001536,0.001184,0.000384,1.745954
1.721217,0.050336,0.000800,0.014080,0.000384,0.001537,0.001216,0.000384,1.796738
1.705474,0.049536,0.000864,0.013536,0.000384,0.001440,0.001184,0.000384,1.778658
1.693506,0.050560,0.000832,0.013824,0.000416,0.001504,0.001120,0.000384,1.768578
1.695297,0.050881,0.000896,0.013536,0.000384,0.001472,0.001248,0.000320,1.770370
1.721313,0.051360,0.000832,0.013536,0.000352,0.001440,0.001088,0.000384,1.796929
1.680418,0.048832,0.000832,0.013600,0.000416,0.001376,0.001216,0.000448,1.752994
1.739330,0.048736,0.000800,0.013472,0.000384,0.001472,0.001088,0.000352,1.812194
1.708193,0.048929,0.000800,0.013824,0.000352,0.001504,0.001216,0.000352,1.781090
1.682721,0.049600,0.000832,0.013824,0.000416,0.001472,0.001152,0.000352,1.756705
1.668482,0.050176,0.000864,0.013504,0.000352,0.001472,0.001056,0.000320,1.742562
1.710850,0.050272,0.000864,0.013472,0.000416,0.001408,0.001120,0.000384,1.785506
1.678369,0.049888,0.000864,0.013568,0.000384,0.001472,0.001088,0.000384,1.752353
1.708386,0.049504,0.000800,0.013856,0.000384,0.001472,0.001088,0.000384,1.782370
1.700770,0.050880,0.000800,0.013792,0.000384,0.001440,0.001184,0.000384,1.776226
1.734466,0.048480,0.000608,0.013568,0.000384,0.001408,0.001088,0.000384,1.806754
1.666146,0.048992,0.000864,0.013504,0.000352,0.001504,0.001088,0.000384,1.739362
1.710081,0.048928,0.000896,0.013856,0.000352,0.001536,0.001184,0.000384,1.783777
1.703169,0.048896,0.000864,0.013792,0.000384,0.001504,0.001120,0.000352,1.776449
1.689729,0.053921,0.000608,0.013504,0.000416,0.001472,0.001056,0.000384,1.768098
1.706370,0.048864,0.000800,0.013472,0.000448,0.001536,0.001184,0.000416,1.779522
1.702882,0.049472,0.000640,0.013792,0.000416,0.001728,0.001152,0.000416,1.777154
1.643170,0.048192,0.000800,0.013920,0.000384,0.001504,0.001152,0.000384,1.715746
1.698914,0.048992,0.000864,0.013536,0.000416,0.001472,0.001120,0.000384,1.771842
1.683362,0.048896,0.000608,0.013536,0.000416,0.001504,0.001088,0.000384,1.756258
1.701762,0.052288,0.000832,0.014048,0.000416,0.001472,0.001504,0.000416,1.779746
1.680194,0.048736,0.001088,0.013984,0.000384,0.001440,0.001152,0.000416,1.753890
1.682146,0.049376,0.000704,0.013792,0.000416,0.001472,0.001216,0.000480,1.755682
1.688098,0.049440,0.000832,0.014432,0.000384,0.001504,0.001312,0.000384,1.762850
1.694241,0.049280,0.000800,0.014433,0.000416,0.001568,0.001184,0.000384,1.768354
1.702594,0.048288,0.000864,0.013728,0.000352,0.001440,0.001216,0.000384,1.775202
1.696321,0.050304,0.000832,0.013888,0.000384,0.001408,0.001248,0.000448,1.770881
1.679330,0.050624,0.000800,0.013536,0.000352,0.001472,0.001216,0.000416,1.754402
1.691649,0.049632,0.000864,0.013920,0.000384,0.001408,0.001216,0.000416,1.765729
1.708386,0.048608,0.000608,0.013504,0.000416,0.001504,0.001120,0.000352,1.780866
1.724770,0.049472,0.000800,0.013888,0.000384,0.001472,0.001120,0.000352,1.798082
1.691202,0.048640,0.000800,0.013472,0.000416,0.001440,0.001120,0.000320,1.763042
1.719106,0.049856,0.000832,0.013600,0.000416,0.001440,0.001216,0.000320,1.792418
1.672513,0.051552,0.000832,0.013728,0.000416,0.001408,0.001088,0.000352,1.747905
1.722306,0.048608,0.000832,0.013568,0.000384,0.001472,0.001152,0.000352,1.794562
1.663554,0.049088,0.000832,0.013536,0.000384,0.001408,0.001152,0.000416,1.736482
1.682242,0.048544,0.000896,0.013600,0.000416,0.001440,0.001088,0.000352,1.754402
1.675362,0.048192,0.000832,0.013792,0.000352,0.001408,0.001056,0.000384,1.747330
1.742113,0.047905,0.000672,0.013536,0.000416,0.001440,0.001056,0.000352,1.813346
1.661890,0.048832,0.000832,0.013536,0.000384,0.001376,0.001088,0.000384,1.734306
1.726210,0.048064,0.000800,0.013472,0.000384,0.001472,0.001024,0.000384,1.797986
1.694562,0.047680,0.000832,0.013504,0.000384,0.001408,0.001152,0.000416,1.765666
1.701218,0.048448,0.000832,0.013568,0.000352,0.001408,0.001184,0.000384,1.773474
1.694977,0.048480,0.000832,0.013408,0.000384,0.001440,0.001184,0.000384,1.766913
1.702658,0.051296,0.000832,0.013728,0.000416,0.001472,0.001152,0.000320,1.777986
1.689602,0.048352,0.000832,0.013472,0.000384,0.001408,0.001152,0.000352,1.761730
1.707298,0.049248,0.000832,0.013536,0.000384,0.001408,0.001120,0.000384,1.780578
1.708098,0.048960,0.000800,0.013472,0.000384,0.001440,0.001152,0.000384,1.781058
1.685441,0.048704,0.000832,0.013504,0.000384,0.001504,0.001248,0.000416,1.758241
1.670498,0.049344,0.000640,0.013440,0.000448,0.001408,0.001184,0.000448,1.743458
1.686625,0.049280,0.000832,0.014016,0.000384,0.001472,0.001152,0.000384,1.760577
1.666530,0.048928,0.000832,0.013952,0.000448,0.001536,0.001312,0.000352,1.740866
1.720098,0.049856,0.000832,0.013568,0.000416,0.001696,0.001216,0.000384,1.794402
1.691810,0.049696,0.000608,0.013568,0.000384,0.001504,0.001152,0.000384,1.765410
1.695138,0.049568,0.000832,0.013568,0.000384,0.001408,0.001216,0.000384,1.768290
1.701121,0.049248,0.000896,0.013568,0.000416,0.001472,0.001184,0.000352,1.774433
1.677506,0.049024,0.000832,0.013792,0.000384,0.001472,0.001280,0.000448,1.750882
1.677601,0.048608,0.000896,0.013536,0.000384,0.001440,0.001216,0.000384,1.750529
1.697570,0.048992,0.000672,0.013632,0.000416,0.001536,0.001248,0.000576,1.771266
1.672258,0.048544,0.001056,0.013920,0.000384,0.001536,0.001216,0.000352,1.746338
1.669858,0.048896,0.000832,0.013664,0.000416,0.001568,0.001216,0.000384,1.743138
1.734722,0.051040,0.000864,0.014688,0.000640,0.001728,0.001664,0.000544,1.816898
1.659074,0.049088,0.000832,0.014112,0.000352,0.001536,0.001216,0.000384,1.733410
1.656322,0.048768,0.000864,0.013888,0.000416,0.001664,0.001216,0.000352,1.730242
1.702210,0.048704,0.000832,0.013632,0.000416,0.001472,0.001248,0.000416,1.775170
1.674850,0.050560,0.017984,0.014304,0.000352,0.001728,0.001280,0.000384,1.768418
1.656354,0.049248,0.000832,0.014080,0.000416,0.001568,0.001280,0.000384,1.730402
1.699073,0.065312,0.000832,0.013696,0.000352,0.001696,0.001280,0.000320,1.789730
1.668353,0.048673,0.000864,0.013792,0.000352,0.001664,0.001184,0.000384,1.741986
1.674210,0.063872,0.000832,0.013568,0.000384,0.001664,0.001216,0.000320,1.763010
1.652866,0.048256,0.000832,0.013760,0.000416,0.001440,0.001152,0.000320,1.725090
1.683073,0.063040,0.000832,0.013696,0.000416,0.001472,0.001248,0.000352,1.771073
1.670722,0.049568,0.000640,0.013632,0.000384,0.001440,0.001120,0.000416,1.743938
1.709922,0.051904,0.000800,0.013696,0.000448,0.001728,0.001376,0.000416,1.786306
1.705569,0.048960,0.000640,0.014016,0.000416,0.001440,0.001184,0.000384,1.778913
1.674690,0.048352,0.000832,0.013664,0.000416,0.001504,0.001280,0.000384,1.747426
1.700482,0.049152,0.000832,0.013632,0.000416,0.001504,0.001184,0.000320,1.773954
1.712162,0.049728,0.000800,0.013760,0.000480,0.001504,0.001248,0.000384,1.786306
1.677506,0.049248,0.000800,0.013728,0.000416,0.001600,0.001248,0.000384,1.751490
1.694945,0.048576,0.000864,0.013600,0.000384,0.001408,0.001184,0.000384,1.767937
1.688802,0.048864,0.000640,0.013600,0.000416,0.001632,0.001184,0.000352,1.762434
1.714722,0.050272,0.000832,0.013920,0.000384,0.001504,0.001280,0.000352,1.789794
1.680705,0.049216,0.000832,0.014144,0.000384,0.001664,0.001184,0.000320,1.755105
1.709154,0.050944,0.000800,0.014080,0.000416,0.001728,0.001248,0.000352,1.785410
1.698466,0.049312,0.000864,0.013664,0.000384,0.001664,0.001120,0.000352,1.772226
1.714177,0.049664,0.000864,0.013984,0.000448,0.001440,0.001120,0.000416,1.788833
1.677026,0.048992,0.000832,0.013760,0.000384,0.001536,0.001184,0.000352,1.751106
1.700290,0.048800,0.000832,0.013824,0.000384,0.001504,0.001216,0.000352,1.773634
1.674786,0.049024,0.000800,0.013888,0.000448,0.001472,0.001312,0.000416,1.748834
