Layer[0],Layer[8],Layer[9],Layer[10],classifier
0.416609,0.776803,0.001504,0.000448,1.201796
0.416129,0.761858,0.001248,0.000416,1.184451
0.420545,0.765954,0.001280,0.000384,1.192899
0.420705,0.803203,0.001440,0.000416,1.230500
0.420705,0.792226,0.001248,0.000416,1.220323
0.416545,0.773026,0.001248,0.000384,1.196643
0.415713,0.774307,0.001248,0.000416,1.196708
0.416353,0.780642,0.001504,0.000384,1.203843
0.416161,0.756866,0.001216,0.000416,1.179747
0.416801,0.769314,0.001344,0.000384,1.192931
0.438529,0.804962,0.001344,0.000320,1.250179
0.415937,0.800898,0.001280,0.000352,1.223107
0.415682,0.762114,0.001376,0.000416,1.185092
0.436033,0.760610,0.001408,0.000384,1.203331
0.420801,0.783970,0.001312,0.000416,1.213027
0.416769,0.790883,0.001248,0.000384,1.214948
0.416961,0.775490,0.001280,0.000416,1.199491
0.416865,0.774498,0.001088,0.000416,1.198435
0.416641,0.813507,0.001568,0.000416,1.237668
0.421505,0.769538,0.001248,0.000384,1.197635
0.421249,0.770370,0.001344,0.000416,1.198371
0.421122,0.792130,0.001312,0.000416,1.220260
0.420513,0.770210,0.001312,0.000448,1.197315
0.421057,0.764354,0.001408,0.000448,1.192611
0.432866,0.776386,0.001472,0.000448,1.218052
0.416481,0.761538,0.001472,0.000416,1.184611
0.416801,0.759234,0.001376,0.000320,1.182659
0.416450,0.779330,0.001536,0.000448,1.202852
0.417185,0.779458,0.001440,0.000384,1.204579
0.417601,0.774883,0.001504,0.000288,1.199172
0.415265,0.766978,0.001216,0.000320,1.188739
0.416513,0.771874,0.001472,0.000288,1.195171
0.416865,0.822563,0.001664,0.000384,1.246724
0.417089,0.764738,0.001472,0.000384,1.188707
0.418625,0.779266,0.001568,0.000384,1.207075
0.437666,0.777186,0.001504,0.000448,1.222788
0.416385,0.780162,0.001536,0.000416,1.204067
0.420609,0.778851,0.001472,0.000352,1.206628
0.451969,0.778178,0.001568,0.000352,1.238147
0.415105,0.767330,0.001600,0.000416,1.189379
0.416129,0.825986,0.001632,0.000448,1.250179
0.421345,0.792962,0.001408,0.000416,1.221603
0.418017,0.768738,0.001536,0.000448,1.193763
0.420865,0.792482,0.001696,0.000384,1.221443
0.417058,0.777026,0.001472,0.000416,1.201540
0.417825,0.778018,0.001536,0.000384,1.203459
0.438241,0.766243,0.001504,0.000480,1.212740
0.417089,0.775810,0.001440,0.000416,1.200163
0.421825,0.784002,0.001632,0.000448,1.213955
0.437633,0.777730,0.001408,0.000416,1.222307
0.424513,0.766498,0.001472,0.000416,1.198307
0.417250,0.799106,0.001504,0.000448,1.223780
0.422049,0.778370,0.001248,0.000384,1.207395
0.421409,0.808515,0.001536,0.000416,1.237764
0.421985,0.794498,0.001568,0.000416,1.223907
0.422241,0.780963,0.001696,0.000384,1.210436
0.420897,0.773826,0.001344,0.000416,1.201763
0.444481,0.805059,0.001600,0.000416,1.257156
0.416769,0.795810,0.001280,0.000384,1.219427
0.417409,0.760322,0.001280,0.000512,1.184739
0.436738,0.768130,0.001344,0.000384,1.212484
0.421761,0.773282,0.001376,0.000512,1.201891
0.421826,0.795778,0.001440,0.000416,1.224804
0.417281,0.767970,0.001376,0.000416,1.192803
0.417121,0.806851,0.001376,0.000416,1.231748
0.417345,0.790274,0.001312,0.000384,1.214467
0.416449,0.761474,0.001312,0.000384,1.184771
0.417089,0.771426,0.001568,0.000384,1.195491
0.416737,0.793442,0.001344,0.000416,1.217187
0.417698,0.770722,0.001440,0.000416,1.196004
0.420961,0.778114,0.001408,0.000416,1.206499
0.444130,0.776834,0.001440,0.000544,1.228580
0.417217,0.765218,0.001408,0.000416,1.189539
0.417793,0.772771,0.001472,0.000480,1.197956
0.416385,0.781410,0.001312,0.000384,1.205091
0.417793,0.780930,0.001504,0.000352,1.206627
0.416961,0.784194,0.001248,0.000384,1.208611
0.420641,0.781922,0.001376,0.000480,1.209411
0.420449,0.814978,0.001344,0.000416,1.242563
0.416705,0.799011,0.001536,0.000544,1.223300
0.416577,0.774946,0.001376,0.000416,1.198019
0.420737,0.795138,0.001472,0.000416,1.223267
0.432929,0.777858,0.001472,0.000480,1.218211
0.416385,0.802723,0.001504,0.000480,1.227332
0.417409,0.776962,0.001440,0.000416,1.201507
0.416257,0.812355,0.001536,0.000448,1.235972
0.417089,0.800130,0.001344,0.000448,1.224387
0.417377,0.816771,0.001408,0.000416,1.241252
0.417409,0.766562,0.001536,0.000544,1.191171
0.417473,0.773251,0.001376,0.000416,1.197892
0.421217,0.790498,0.001472,0.000384,1.219523
0.417889,0.756227,0.001376,0.000416,1.181252
0.418209,0.823202,0.001440,0.000384,1.248515
0.434530,0.785506,0.001664,0.000448,1.228772
0.417089,0.774082,0.001408,0.000384,1.198723
0.417345,0.778690,0.001376,0.000416,1.202915
