Layer[0],Layer[1],IN[2],INFER[2-2],OUT[2],TEE[2-2],Layer[3],Layer[4],Layer[5],Layer[6],Layer[7],Layer[8],Layer[9],Layer[10],classifier
0.428571,0.018273,0.098150,0.550659,0.079109,0.731535,0.005600,0.048131,0.000832,0.013857,0.000384,0.001536,0.001120,0.000352,1.257264
0.447837,0.017825,0.107975,0.553635,0.099335,0.765041,0.005472,0.048515,0.000896,0.013601,0.000352,0.001568,0.001184,0.000320,1.311219
0.429020,0.017953,0.113959,0.556644,0.094246,0.768913,0.005792,0.048131,0.000800,0.014241,0.000384,0.001665,0.001184,0.000672,1.298355
0.427995,0.017729,0.111303,0.579429,0.096903,0.791891,0.005696,0.048803,0.000736,0.014337,0.000480,0.001728,0.001216,0.000384,1.318676
0.428059,0.017665,0.106407,0.552419,0.088870,0.751184,0.005856,0.048163,0.000800,0.014113,0.000448,0.001760,0.001248,0.000448,1.278833
0.429083,0.017889,0.107687,0.552259,0.100102,0.763537,0.005888,0.048131,0.000833,0.013760,0.000417,0.001664,0.001152,0.000416,1.290546
0.449212,0.017793,0.109671,0.554148,0.105510,0.773170,0.005600,0.048195,0.000800,0.013985,0.000416,0.001728,0.001184,0.000384,1.320275
0.428860,0.018401,0.107943,0.576453,0.103974,0.792338,0.005761,0.049123,0.000800,0.014497,0.000416,0.001728,0.001248,0.000416,1.321908
0.428667,0.017569,0.110791,0.555588,0.136360,0.807059,0.005825,0.048099,0.000800,0.013953,0.000416,0.001536,0.001152,0.000384,1.334068
0.429051,0.017633,0.110887,0.553412,0.094246,0.762097,0.006048,0.048739,0.000800,0.013921,0.000512,0.001632,0.001248,0.000384,1.290034
0.428411,0.017985,0.108647,0.552675,0.101383,0.766929,0.008704,0.048324,0.000800,0.013793,0.000480,0.001504,0.001152,0.000352,1.296754
0.448125,0.017761,0.109607,0.553699,0.099687,0.766577,0.005600,0.048323,0.000832,0.014337,0.000416,0.001600,0.001216,0.000384,1.313204
0.428635,0.017633,0.110567,0.555011,0.119815,0.789139,0.005632,0.048547,0.000576,0.013537,0.000416,0.001568,0.001216,0.000384,1.316051
0.432891,0.017825,0.113991,0.554979,0.096582,0.769041,0.005568,0.068516,0.000864,0.014273,0.000448,0.001761,0.001184,0.000416,1.321172
