Layer[0],Layer[1],Layer[2],Layer[3],Layer[4],Layer[5],Layer[6],IN[7],INFER[7-7],OUT[7],TEE[7-7],Layer[8],Layer[9],Layer[10],classifier
0.428633,0.017857,0.209261,0.005280,0.048195,0.000832,0.026113,0.106535,0.065764,0.070980,0.246991,0.002560,0.001088,0.000640,0.996186
0.429145,0.017793,0.209548,0.004800,0.048515,0.000864,0.013857,0.104646,0.066116,0.075429,0.249743,0.002688,0.001632,0.000448,0.987226
0.443674,0.017698,0.208876,0.004896,0.048035,0.000800,0.013761,0.109478,0.064836,0.074244,0.251855,0.003328,0.001312,0.000448,1.002555
0.429881,0.017761,0.208972,0.005088,0.048451,0.000864,0.013889,0.099109,0.066596,0.071813,0.240686,0.003968,0.001152,0.000416,0.978521
0.428633,0.017537,0.209676,0.004992,0.047555,0.000608,0.014049,0.099526,0.066628,0.075492,0.245007,0.003264,0.001056,0.000448,0.980089
0.446106,0.017665,0.209580,0.004992,0.048867,0.000640,0.013825,0.098214,0.067268,0.072676,0.241518,0.002433,0.001056,0.000416,0.994650
0.428985,0.017665,0.209260,0.004897,0.048099,0.000608,0.013824,0.094598,0.061892,0.078596,0.238478,0.003073,0.001536,0.000640,0.974585
0.428441,0.017729,0.209420,0.005025,0.047906,0.000640,0.013760,0.097830,0.065572,0.079941,0.246575,0.002912,0.001408,0.000448,0.981241
0.428377,0.017409,0.209485,0.004832,0.064804,0.000672,0.013953,0.097317,0.067683,0.072292,0.240526,0.002688,0.001216,0.000448,0.992602
0.427993,0.017729,0.209804,0.004832,0.047555,0.000608,0.013729,0.102726,0.067076,0.076388,0.249806,0.002401,0.001280,0.000416,0.984154
0.428633,0.017601,0.209004,0.004928,0.047843,0.000832,0.013825,0.102182,0.066532,0.077348,0.249614,0.002401,0.001344,0.000416,0.984314
0.427705,0.017633,0.208940,0.005056,0.047299,0.000608,0.013793,0.099654,0.066020,0.072132,0.241198,0.003040,0.001472,0.000384,0.974457
