Layer[0],Layer[1],Layer[2],IN[3],INFER[3-4],OUT[4],TEE[3-4],Layer[5],Layer[6],Layer[7],Layer[8],Layer[9],Layer[10],classifier
0.428347,0.017505,0.208333,0.102726,0.120840,0.094246,0.321972,0.000800,0.014497,0.000384,0.001632,0.001056,0.000384,1.002046
0.428794,0.017346,0.208780,0.102918,0.126632,0.077605,0.311283,0.000768,0.014305,0.000448,0.001632,0.001088,0.000384,0.991421
0.429499,0.017505,0.208429,0.107591,0.125191,0.075941,0.313267,0.000768,0.014625,0.000448,0.001504,0.001057,0.000384,0.995134
0.428731,0.017505,0.208493,0.098790,0.127304,0.106599,0.336949,0.000736,0.015201,0.000416,0.001536,0.001120,0.000352,1.018015
0.430778,0.017986,0.209709,0.114247,0.131720,0.093286,0.344245,0.000896,0.015073,0.000448,0.001568,0.001152,0.000416,1.030527
0.452028,0.017601,0.209837,0.103783,0.126664,0.083269,0.317908,0.001024,0.015297,0.000448,0.001760,0.001184,0.000480,1.024767
0.428730,0.017537,0.209261,0.103399,0.129352,0.089093,0.325589,0.000832,0.014625,0.000448,0.001664,0.001152,0.000512,1.007166
0.428378,0.017697,0.208877,0.103142,0.122632,0.085605,0.315347,0.001184,0.017121,0.000416,0.001632,0.001153,0.000384,0.999678
0.445179,0.017441,0.208909,0.104807,0.127304,0.086533,0.322676,0.000768,0.014177,0.000384,0.001600,0.001152,0.000416,1.019679
0.428346,0.017921,0.208717,0.107047,0.122919,0.080709,0.314804,0.000864,0.014753,0.000448,0.001472,0.001024,0.000416,0.995774
0.430138,0.019170,0.208589,0.107430,0.128008,0.085574,0.325492,0.000832,0.014849,0.000416,0.001536,0.001248,0.000480,1.010110
0.428635,0.017697,0.228590,0.102470,0.127272,0.086854,0.320564,0.000864,0.014529,0.000416,0.001600,0.001184,0.000480,1.022079
0.428250,0.017537,0.208909,0.099974,0.127880,0.078149,0.310323,0.000768,0.014689,0.000416,0.001472,0.001088,0.000384,0.990877
0.428667,0.017441,0.208845,0.102822,0.127559,0.086117,0.321236,0.000768,0.014977,0.000480,0.001664,0.001216,0.000416,1.003774
0.428090,0.017537,0.208524,0.103175,0.143849,0.091717,0.343478,0.000768,0.015713,0.000480,0.001952,0.001216,0.000416,1.025279
0.429691,0.017569,0.208653,0.100166,0.127528,0.080549,0.312211,0.001056,0.015297,0.000448,0.001536,0.001056,0.000416,0.995070
0.428315,0.018241,0.208717,0.100678,0.126024,0.081093,0.311539,0.000768,0.015137,0.000416,0.001632,0.001153,0.000352,0.993278
0.428762,0.017377,0.208460,0.097286,0.119847,0.114407,0.335765,0.000832,0.014913,0.000448,0.001568,0.000992,0.000352,1.016447
0.427867,0.018049,0.208749,0.103110,0.129000,0.101767,0.337717,0.000896,0.015137,0.000448,0.001568,0.001088,0.000352,1.018687
0.428219,0.018177,0.208333,0.110151,0.122760,0.083365,0.320436,0.000768,0.014081,0.000416,0.001600,0.001120,0.000384,1.000926
0.429914,0.020674,0.208429,0.100774,0.124744,0.080709,0.310515,0.000992,0.015169,0.000480,0.001632,0.001088,0.000416,0.996797
