Layer[0],Layer[1],Layer[2],Layer[3],Layer[4],Layer[5],IN[6],INFER[6-6],OUT[6],TEE[6-6],Layer[7],Layer[8],Layer[9],Layer[10],classifier
0.429209,0.017761,0.208813,0.005472,0.047203,0.000544,0.101734,0.081797,0.078180,0.265264,0.000736,0.002048,0.001216,0.000448,0.985498
0.443450,0.017569,0.209261,0.005344,0.046915,0.000832,0.101446,0.084869,0.080453,0.270032,0.000704,0.002624,0.001152,0.000448,1.005403
0.429050,0.018049,0.208940,0.005313,0.046978,0.000832,0.101190,0.080228,0.080261,0.266032,0.000736,0.002624,0.001248,0.000480,0.989147
0.428633,0.017569,0.208493,0.005120,0.046947,0.000768,0.101190,0.082597,0.091621,0.278768,0.000704,0.001984,0.001248,0.000416,0.997723
0.428922,0.018209,0.228909,0.005216,0.046979,0.000736,0.097925,0.078596,0.071012,0.251695,0.000704,0.002016,0.001216,0.000448,0.992955
0.427834,0.017569,0.208940,0.004928,0.046883,0.000800,0.100294,0.083461,0.073541,0.261360,0.000704,0.001888,0.001184,0.000352,0.979130
0.428026,0.017569,0.208780,0.005472,0.047171,0.000800,0.101990,0.076517,0.092741,0.275185,0.000704,0.002272,0.001184,0.000416,0.994779
0.428569,0.017569,0.208333,0.005152,0.047075,0.000736,0.097318,0.080324,0.097605,0.278768,0.000800,0.002209,0.001088,0.000416,0.997915
0.428889,0.017633,0.208812,0.005057,0.046850,0.000768,0.134023,0.093126,0.074628,0.305233,0.000768,0.002240,0.001120,0.000384,1.024956
0.428793,0.017569,0.208780,0.005312,0.047075,0.000768,0.133864,0.083493,0.074788,0.295826,0.000704,0.002144,0.001152,0.000480,1.015964
0.428281,0.017569,0.207917,0.005312,0.046851,0.000768,0.119271,0.082341,0.070820,0.276528,0.000768,0.001920,0.001152,0.000416,0.994970
0.427577,0.017729,0.209324,0.005376,0.046947,0.000704,0.098694,0.079620,0.081285,0.263055,0.000768,0.002560,0.001185,0.000416,0.982746
0.430361,0.017601,0.209004,0.005184,0.046947,0.000768,0.105414,0.082660,0.082885,0.274896,0.000672,0.001952,0.001184,0.000384,0.996507
0.428057,0.017633,0.208588,0.005024,0.046947,0.000768,0.105062,0.083141,0.074789,0.266384,0.000704,0.001856,0.001216,0.000416,0.984762
0.448667,0.017569,0.209132,0.005472,0.046979,0.000704,0.102118,0.079973,0.072164,0.257871,0.000736,0.001952,0.001184,0.000416,0.998619
0.429177,0.017569,0.208525,0.005216,0.046819,0.000608,0.098886,0.081540,0.079237,0.263087,0.000800,0.002016,0.001153,0.000416,0.982874
0.428313,0.017505,0.208908,0.004960,0.046851,0.000512,0.128264,0.083205,0.075524,0.290737,0.000736,0.001792,0.001121,0.000352,1.008956
0.427641,0.017569,0.228333,0.005472,0.046787,0.000544,0.100934,0.074405,0.068676,0.247791,0.000896,0.001664,0.001152,0.000384,0.985818
0.427577,0.017633,0.208652,0.004929,0.046786,0.000736,0.098342,0.080997,0.072068,0.254927,0.000673,0.002400,0.001312,0.000416,0.973017
0.428121,0.017633,0.209388,0.005248,0.047043,0.000800,0.106854,0.077413,0.074789,0.262864,0.000672,0.002112,0.001216,0.000448,0.982714
0.428313,0.017601,0.208716,0.005312,0.047107,0.000832,0.137576,0.078853,0.077733,0.297682,0.000736,0.002112,0.001248,0.000416,1.018620
0.429145,0.017665,0.208940,0.005120,0.046947,0.000832,0.107174,0.080356,0.079077,0.270160,0.000768,0.001952,0.001088,0.000448,0.990138
0.428921,0.017825,0.209165,0.005248,0.048227,0.000800,0.111526,0.084773,0.093605,0.293617,0.000864,0.002304,0.001217,0.000448,1.017372
0.430585,0.017634,0.208812,0.005408,0.048419,0.000800,0.106278,0.082148,0.098886,0.290897,0.000992,0.002913,0.001280,0.000448,1.015996
0.428697,0.017762,0.208620,0.005536,0.048387,0.000800,0.105958,0.082693,0.078725,0.270864,0.000672,0.002112,0.001408,0.000545,0.993435
0.429049,0.017601,0.209293,0.005152,0.048323,0.000832,0.107558,0.080965,0.073509,0.265488,0.000768,0.002048,0.001184,0.000448,0.987386
0.429177,0.017857,0.209324,0.005121,0.048323,0.000768,0.107366,0.081477,0.073220,0.265871,0.000736,0.002016,0.001216,0.000448,0.988858
0.429978,0.017569,0.209100,0.005345,0.048386,0.000832,0.104775,0.080580,0.079652,0.268848,0.000800,0.002273,0.001408,0.000448,0.992283
0.430873,0.017601,0.209805,0.005504,0.048771,0.000768,0.110535,0.080836,0.084165,0.279441,0.000864,0.002272,0.001312,0.000448,1.006235
