Layer[0],Layer[1],Layer[2],Layer[3],Layer[4],IN[5],INFER[5-5],OUT[5],TEE[5-5],Layer[6],Layer[7],Layer[8],Layer[9],Layer[10],classifier
0.429050,0.017697,0.209485,0.005152,0.048003,0.104006,0.061316,0.084389,0.253231,0.015649,0.000416,0.001536,0.001248,0.000384,0.989947
0.428602,0.017889,0.209709,0.005280,0.048675,0.108710,0.063620,0.080645,0.256879,0.015169,0.000768,0.001728,0.001216,0.000416,0.994972
0.451323,0.017825,0.209645,0.005152,0.048483,0.109031,0.063235,0.080645,0.256655,0.015457,0.000928,0.001569,0.001280,0.000608,1.018077
0.429434,0.018113,0.209421,0.005088,0.048451,0.109639,0.063492,0.100838,0.277649,0.015265,0.000736,0.001856,0.001120,0.000416,1.015165
0.429081,0.017825,0.210348,0.005344,0.048771,0.107495,0.061412,0.118087,0.290738,0.016097,0.000736,0.001632,0.001312,0.000416,1.030045
0.451451,0.017857,0.209612,0.005217,0.048643,0.104902,0.060548,0.078820,0.248014,0.017281,0.000769,0.001600,0.001088,0.000448,1.010684
0.429305,0.017761,0.208620,0.005024,0.048643,0.109031,0.074020,0.083749,0.270704,0.015488,0.000897,0.001728,0.001120,0.000640,1.008092
0.428953,0.017729,0.209356,0.005217,0.048770,0.109383,0.066980,0.081829,0.262160,0.015425,0.000704,0.001696,0.001216,0.000384,0.999451
0.429017,0.017761,0.228718,0.005248,0.048930,0.103303,0.060995,0.083045,0.250767,0.015841,0.000736,0.001761,0.001152,0.000640,1.009180
0.428698,0.017697,0.210221,0.005472,0.048739,0.105382,0.064964,0.085381,0.259023,0.015681,0.000704,0.001505,0.001248,0.000608,0.997436
0.428665,0.017761,0.208908,0.005472,0.048931,0.101830,0.069252,0.089733,0.264016,0.015425,0.000480,0.001536,0.001184,0.000416,1.000507
0.429049,0.017985,0.209645,0.005376,0.048483,0.126440,0.065860,0.071620,0.267824,0.014849,0.000512,0.001568,0.001216,0.000672,1.005980
0.428505,0.017698,0.209548,0.005120,0.048259,0.107943,0.063492,0.082021,0.257744,0.015713,0.000448,0.001504,0.001248,0.000416,0.994427
0.428826,0.017761,0.208941,0.005280,0.049027,0.112071,0.060195,0.078853,0.255055,0.015169,0.000896,0.001536,0.001248,0.000416,0.992796
0.428602,0.018337,0.209421,0.005120,0.048579,0.108007,0.061699,0.108807,0.282161,0.015649,0.000736,0.001728,0.001472,0.000640,1.020317
0.428794,0.017697,0.209388,0.005281,0.048387,0.102566,0.059235,0.072229,0.238190,0.015457,0.000736,0.001504,0.001120,0.000416,0.975322
0.430874,0.017665,0.210157,0.005056,0.048611,0.107462,0.066052,0.086918,0.264656,0.015809,0.000768,0.001536,0.001120,0.000608,1.005788
0.428314,0.017857,0.209933,0.005152,0.048227,0.105606,0.060932,0.073668,0.243886,0.015201,0.000864,0.001568,0.001249,0.000448,0.981115
0.428089,0.017857,0.209709,0.005056,0.049027,0.107111,0.061219,0.079269,0.251119,0.015329,0.000768,0.001440,0.001152,0.000416,0.987706
0.429114,0.017601,0.210444,0.005121,0.048611,0.101734,0.058691,0.073637,0.237806,0.015457,0.000704,0.001824,0.001248,0.000608,0.976474
0.428409,0.017889,0.209900,0.005185,0.048738,0.106502,0.062980,0.075140,0.249230,0.015841,0.000736,0.001761,0.001152,0.000384,0.988347
