Layer[0],IN[1],INFER[1-1],OUT[1],TEE[1-1],Layer[2],Layer[3],Layer[4],Layer[5],Layer[6],Layer[7],Layer[8],Layer[9],Layer[10],classifier
0.429053,0.107015,0.091174,0.122472,0.324469,0.232431,0.005377,0.048451,0.000800,0.013441,0.000352,0.001472,0.001696,0.000672,1.066086
0.428540,0.106407,0.092678,0.143786,0.346967,0.212046,0.005152,0.048067,0.000833,0.013504,0.000353,0.001536,0.001632,0.000384,1.066150
0.428989,0.109799,0.100711,0.098342,0.312628,0.212462,0.009441,0.048387,0.000800,0.013761,0.000352,0.001536,0.001121,0.000416,1.037221
0.431388,0.159530,0.097510,0.147754,0.410459,0.213326,0.005600,0.049892,0.001056,0.014145,0.000320,0.001984,0.002336,0.000608,1.143467
0.429661,0.124168,0.101447,0.097414,0.327413,0.211278,0.005665,0.048899,0.001088,0.013921,0.000608,0.001664,0.002048,0.000384,1.049669
0.429021,0.110087,0.101863,0.094278,0.310420,0.209646,0.005440,0.048739,0.001056,0.014081,0.000672,0.001696,0.001120,0.000576,1.029796
0.430909,0.111815,0.099559,0.106119,0.321653,0.224143,0.005408,0.048163,0.001024,0.013825,0.000320,0.001504,0.001664,0.000352,1.056550
0.430748,0.110728,0.092390,0.116392,0.323670,0.215534,0.005344,0.048964,0.001056,0.014177,0.000384,0.001536,0.001440,0.000640,1.050725
0.429052,0.137834,0.095750,0.087270,0.325238,0.209870,0.005344,0.048259,0.001056,0.013793,0.000384,0.001568,0.001184,0.000352,1.043269
0.429309,0.106599,0.095942,0.089542,0.296147,0.227695,0.005345,0.048387,0.000832,0.014081,0.000352,0.001568,0.001152,0.000608,1.032900
0.429468,0.110151,0.092550,0.095622,0.302356,0.209614,0.005472,0.048484,0.000832,0.014081,0.000416,0.001600,0.001120,0.000384,1.020771
0.429885,0.134505,0.090118,0.091174,0.319765,0.209678,0.005312,0.048451,0.000832,0.014113,0.000416,0.001505,0.001280,0.000384,1.038341
0.428444,0.110471,0.100422,0.097895,0.312821,0.210638,0.005376,0.048611,0.000832,0.034755,0.000736,0.001632,0.001184,0.000608,1.053317
0.429276,0.142185,0.097030,0.087302,0.330710,0.209806,0.005344,0.048132,0.000864,0.014145,0.000384,0.001632,0.001440,0.000384,1.049573
0.430589,0.108167,0.091110,0.095494,0.298611,0.209646,0.005473,0.048643,0.000800,0.014081,0.000352,0.001504,0.001568,0.000672,1.018787
0.429020,0.107719,0.092294,0.097830,0.302131,0.209710,0.005377,0.048611,0.000800,0.014113,0.000608,0.001568,0.001568,0.000576,1.021123
0.429244,0.107815,0.093350,0.092870,0.297812,0.212142,0.005344,0.048003,0.000832,0.013857,0.000416,0.001472,0.001344,0.000608,1.018147
0.429308,0.110824,0.104199,0.090150,0.309557,0.210286,0.005440,0.048483,0.000800,0.014209,0.000384,0.001568,0.000961,0.000608,1.029156
0.428957,0.144745,0.104647,0.095751,0.349047,0.210158,0.005440,0.048611,0.000800,0.013985,0.000384,0.001504,0.001217,0.000640,1.067847
