size,input(us),output(us)
294,75.303001404,60.453001022
294,87.975999832,63.204999924
294,78.246999741,59.524999619
294,96.744001389,65.574001312
294,77.893999100,61.188999176
294,99.624000549,68.742000580
294,76.006999969,60.132999420
294,82.726999283,72.326000214
294,75.973999023,61.413000107
294,95.335998535,69.926000595
120,74.886999130,58.788999557
120,88.295000076,60.868999481
120,98.152999878,60.996999741
120,106.856998444,65.413000107
120,100.808000565,64.965999603
120,109.225000381,67.878000259
120,96.743999481,61.221000671
120,112.426000595,71.973999023
120,94.312000275,61.477001190
120,84.518999100,60.453001022
120,96.583999634,61.732999802
120,82.439001083,63.269001007
120,82.759000778,61.125000000
120,75.750999451,60.164999008
120,81.095001221,60.645000458
120,78.855001450,62.149000168
120,81.287000656,64.933000565
120,76.806999207,59.909000397
120,93.991998672,66.885000229
120,109.930000305,63.429000854
120,115.625000000,66.725999832
120,94.920000076,66.340999603
120,113.128999710,71.621999741
120,84.583000183,60.069000244
120,116.137001038,71.526000977
120,93.096000671,62.052999496
120,107.017000198,61.798000336
120,85.447000504,113.545000076
120,78.854000092,58.885000229
120,82.822999954,59.812999725
120,79.590999603,60.260999680
120,82.694999695,61.413000107
120,74.310998917,59.173000336
120,83.111000061,59.684999466
120,74.118000031,58.340999603
120,99.304000854,68.006000519
120,74.278999329,58.853000641
120,76.677999496,64.612998962
120,74.725999832,60.293001175
120,79.494998932,60.292999268
120,73.222000122,60.421001434
120,94.215999603,65.092998505
120,76.741998672,59.013000488
120,82.663000107,60.901000977
120,87.784000397,61.476999283
120,87.752000809,64.805000305
120,78.406999588,59.045000076
120,83.687000275,62.565000534
120,84.006999969,62.597000122
120,131.979999542,74.406000137
120,97.927999496,61.861000061
120,91.911998749,65.157999039
120,83.654998779,61.893999100
120,90.120000839,65.125000000
120,81.765998840,58.309000015
120,102.697000504,76.357999802
120,94.791999817,64.069999695
120,102.184999466,67.428998947
120,83.975000381,58.692998886
120,98.952999115,61.604999542
120,79.621999741,60.517000198
120,116.425998688,72.006000519
120,87.047000885,59.460998535
120,109.129999161,64.165000916
120,82.215000153,60.740999222
120,87.879999161,64.197000504
120,82.663000107,58.277000427
120,86.854999542,69.541999817
120,80.103000641,58.789001465
120,96.935998917,68.133998871
120,86.534999847,61.701999664
120,124.777999878,64.965999603
120,79.783000946,58.597000122
120,97.031999588,68.997999191
120,78.246000290,61.765998840
120,95.048000336,68.038000107
120,79.015001297,60.933000565
120,123.945999146,64.966001511
120,78.854999542,60.548999786
120,104.071998596,66.118000031
120,78.982000351,60.421001434
120,105.897001266,69.701999664
120,77.222000122,63.686000824
120,97.383998871,67.686000824
120,78.375000000,65.317001343
120,101.224000931,70.406000137
120,80.902999878,60.708999634
120,103.784000397,64.614000320
120,81.063001633,58.372999191
120,109.833000183,64.838001251
120,80.870998383,61.828998566
120,91.175001144,70.149999619
120,79.366998672,59.301000595
120,86.694999695,68.261999130
120,90.598999023,60.388999939
120,94.888000488,63.814001083
120,81.222999573,58.500000000
120,91.399000168,71.173999786
120,79.943000793,61.572999954
120,98.631999969,62.852998734
84,80.743000031,61.861000061
84,100.935998917,68.069999695
84,84.902999878,60.229000092
84,89.159999847,59.012998581
84,81.190999985,60.836999893
84,90.343999863,60.901000977
84,80.421998978,58.212999344
84,102.407999039,62.501001358
84,82.982999802,60.132999420
84,100.104000092,63.749000549
84,84.999000549,59.013000488
84,102.727998734,63.398000717
84,80.934999466,61.701000214
84,88.807998657,60.069000244
84,80.071001053,57.765001297
84,108.777000427,63.045000076
84,80.805999756,61.989000320
84,98.024000168,68.101999283
84,85.159000397,59.588998795
84,87.911998749,65.380998611
84,81.062000275,58.340999603
84,109.545000076,62.277999878
84,82.309999466,59.524999619
84,98.472000122,66.245000839
84,81.255001068,58.500999451
84,99.751998901,63.524999619
84,81.127000809,59.493000031
84,85.831001282,58.405000687
84,80.966999054,58.916999817
84,88.998998642,65.573999405
84,81.606000900,58.981000900
84,90.375999451,69.829999924
84,77.319000244,63.204999924
84,97.097000122,64.069000244
84,78.951000214,57.956998825
84,102.952999115,67.493000031
84,76.869998932,61.572999954
84,97.319999695,64.260999680
84,77.222999573,58.084999084
84,94.728000641,62.405000687
84,81.767000198,60.132999420
84,102.121000290,65.892999649
84,78.150001526,59.493000031
84,80.517999649,59.716999054
84,106.825000763,65.734001160
84,90.695999146,60.005001068
84,80.965999603,59.109001160
84,84.486999512,59.076999664
84,81.735000610,59.077001572
84,87.270999908,65.477998734
84,77.990001678,59.524999619
84,96.360000610,60.868999481
84,83.430999756,58.533000946
84,95.624000549,65.445999146
84,79.238998413,60.388999939
84,83.590999603,61.572999954
84,85.222999573,60.997999191
84,105.448999405,62.118000031
84,77.958000183,58.309000015
84,76.645999908,110.794000626
84,73.350000381,58.565000534
84,72.358001709,57.604000092
84,78.278999329,60.612998962
84,72.870000839,60.260999680
84,72.165998459,58.948999405
84,70.437000275,58.180999756
84,88.232000351,70.789999008
84,70.790000916,57.797000885
84,79.302000046,58.885000229
84,72.037998199,58.212999344
84,89.254999161,64.870000839
84,73.670000076,57.861000061
84,78.181999207,64.261999130
84,71.813999176,58.885000229
84,78.406000137,63.206001282
84,71.461999893,58.756999969
84,75.878000259,64.005998611
84,72.326000214,57.797000885
84,91.079000473,66.661998749
84,72.710000992,58.340999603
84,91.720001221,61.732999802
84,75.942001343,57.701000214
84,97.641000748,63.396999359
84,76.486000061,59.909000397
84,82.311000824,62.533000946
84,74.309999466,59.973001480
84,79.910999298,58.340999603
84,77.861999512,57.701000214
84,134.731000900,76.263000488
84,102.503999710,60.069000244
84,108.424999237,65.573999405
84,83.911001205,60.453001022
84,104.711999893,78.790998459
84,85.831001282,60.517000198
84,89.256000519,62.693000793
84,85.254999161,58.020999908
84,98.888999939,68.836999893
84,81.542999268,59.173000336
84,96.136001587,61.028999329
84,81.414999008,63.909000397
10,102.249000549,65.957000732
10,84.135000229,58.661001205
10,99.527999878,68.934000015
10,83.398998260,60.005001068
10,96.583999634,67.844999313
10,81.574998856,59.011999130
10,94.791999817,66.852998734
10,78.727001190,58.340999603
10,90.600000381,62.820999146
10,80.583000183,57.732999802
10,83.750999451,61.861999512
10,84.583000183,58.083999634
10,86.182998657,62.341001511
10,82.246999741,57.444000244
10,103.784999847,67.364999771
10,82.951000214,58.724998474
10,106.985000610,74.118000031
10,83.975000381,58.661001205
10,99.624000549,67.654001236
10,82.311000824,58.468999863
10,88.423000336,63.429000854
10,83.782999039,57.669000626
10,101.031999588,63.365999222
10,81.958999634,57.475999832
10,88.646999359,62.917999268
10,84.263000488,57.797000885
10,86.918998718,64.549999237
10,80.871000290,57.349000931
10,86.215000153,60.773000717
10,80.550998688,59.300998688
10,87.079000473,62.885999680
10,78.277999878,57.060998917
10,101.448999405,69.220998764
10,83.526998520,58.500999451
10,83.942998886,63.876998901
10,81.126001358,58.980998993
10,97.319999695,67.332998276
10,83.047000885,59.461000443
10,99.432998657,62.084999084
10,82.375000000,58.180999756
10,87.047998428,61.413000107
10,81.831001282,58.085000992
10,85.255001068,62.469999313
10,95.368000031,58.725000381
10,113.640998840,66.053998947
10,87.846998215,58.981000900
10,88.871000290,60.068998337
10,84.263000488,58.981000900
10,85.286998749,63.333000183
10,80.230001450,58.693000793
10,95.847999573,60.452999115
10,80.679000854,59.268999100
10,96.232000351,63.524999619
10,79.718999863,59.620998383
10,100.711999893,65.028999329
10,78.021999359,59.204999924
10,79.367000580,61.444999695
10,79.014999390,58.117000580
10,99.559999466,68.166000366
10,78.501998901,58.437000275
10,117.450000763,65.413000107
10,76.390001297,58.180999756
10,74.854000092,57.828998566
10,75.109998703,57.349000931
10,75.045999527,57.508998871
10,93.384000778,66.468999863
10,78.023000717,57.923999786
10,87.718999863,59.812999725
10,81.190999985,58.116998672
10,89.672000885,63.173000336
10,75.910999298,57.732000351
10,81.253999710,62.149999619
10,76.998001099,58.981000900
10,92.552000046,65.476999283
10,74.950000763,57.701000214
10,85.000000000,64.517000198
10,75.847000122,56.611999512
10,83.879001617,63.236999512
10,78.246000290,57.060998917
10,81.542999268,58.500999451
10,76.805999756,57.445001602
10,97.159999847,64.388999939
10,77.317998886,58.052999496
10,84.071001053,62.085000992
10,75.526998520,57.476999283
10,84.326999664,65.733999252
10,76.646999359,57.923999786
10,79.847000122,58.724998474
10,75.334999084,58.181001663
10,106.792999268,64.388999939
10,76.774000168,57.413000107
10,93.736000061,62.628999710
10,74.981998444,58.084999084
10,94.120000839,68.742000580
10,74.085998535,57.572999954
10,94.375999451,69.157999039
10,85.670999527,59.301000595
10,85.830999374,66.149999619
10,82.055000305,58.020999908
10,86.888000488,61.413000107
1,79.655000687,58.020999908
1,92.968000412,61.413000107
1,78.566999435,58.789001465
1,94.440000534,68.069999695
1,77.735000610,58.213001251
1,93.287000656,63.654001236
1,77.446998596,57.347999573
1,76.006999969,59.173000336
1,76.327001572,58.756999969
1,77.413999557,57.604999542
1,88.679000854,67.718000412
1,77.319000244,57.541000366
1,100.841001511,67.684999466
1,79.942001343,58.085000992
1,94.567998886,62.756999969
1,78.726999283,57.829000473
1,96.423999786,72.229999542
1,83.270999908,59.301000595
1,100.841001511,64.485000610
1,80.103000641,57.348001480
1,98.567998886,61.222000122
1,79.462999344,57.701000214
1,97.255998611,63.524999619
1,77.287000656,57.861000061
1,109.384998322,71.781999588
1,79.430999756,57.763999939
1,104.104999542,63.812999725
1,116.266000748,67.844999313
1,123.467000961,67.877000809
1,88.103000641,61.030000687
1,104.903999329,64.774000168
1,84.903001785,57.444999695
1,99.784999847,66.724998474
1,84.839000702,58.053001404
1,99.847999573,64.517000198
1,91.591999054,63.076999664
