Layer[0],Layer[1],Layer[2],IN[3],INFER[3-6],OUT[6],TEE[3-6],Layer[7],Layer[8],Layer[9],Layer[10],classifier
0.395436,0.017665,0.192229,0.129380,0.100547,0.062082,0.295049,0.000768,0.004928,0.001088,0.000352,0.914171
0.396908,0.017760,0.195366,0.125444,0.101123,0.063490,0.293257,0.000672,0.002528,0.001120,0.000416,0.914875
0.414668,0.017857,0.193509,0.135108,0.107972,0.069122,0.315626,0.000864,0.005472,0.001632,0.000384,0.957404
0.394860,0.017504,0.192742,0.154949,0.123939,0.062946,0.345066,0.000608,0.001920,0.000864,0.000352,0.959804
0.395563,0.017441,0.192518,0.135076,0.103875,0.066370,0.308329,0.000736,0.002304,0.001056,0.000352,0.924891
0.394156,0.017665,0.192517,0.122052,0.116036,0.077410,0.318634,0.000736,0.002432,0.001056,0.000352,0.933308
0.394796,0.017665,0.192517,0.142276,0.102371,0.062913,0.310601,0.000672,0.002305,0.000928,0.000480,0.927548
0.394859,0.017601,0.192134,0.130564,0.104131,0.062594,0.300265,0.000672,0.002144,0.000896,0.000576,0.914619
0.394635,0.017760,0.192102,0.132100,0.106019,0.063586,0.304841,0.000736,0.005024,0.001024,0.000576,0.922939
0.410124,0.017729,0.191845,0.120836,0.108099,0.061698,0.293929,0.000800,0.002720,0.001056,0.000576,0.925467
0.394700,0.017473,0.191781,0.124548,0.100387,0.064354,0.292361,0.000640,0.004800,0.000960,0.000352,0.909083
0.394476,0.017408,0.191430,0.121220,0.100995,0.059874,0.285417,0.000768,0.002720,0.001120,0.000352,0.900187
0.393739,0.017665,0.191814,0.148932,0.109155,0.061602,0.323081,0.000704,0.002016,0.000960,0.000320,0.935899
0.394060,0.017537,0.191397,0.120900,0.098083,0.059426,0.281449,0.000640,0.005280,0.001088,0.000352,0.897435
0.393804,0.017632,0.192230,0.133604,0.111363,0.062690,0.310953,0.000608,0.004928,0.000928,0.000352,0.927291
0.394380,0.017921,0.191525,0.132292,0.100867,0.061986,0.298121,0.000704,0.002752,0.001024,0.000416,0.913403
0.410732,0.017664,0.192006,0.137508,0.110499,0.063234,0.314153,0.000640,0.002176,0.001088,0.000384,0.944668
0.394028,0.017472,0.191718,0.136740,0.100995,0.058626,0.299241,0.000672,0.001952,0.001056,0.000384,0.912507
0.395852,0.017377,0.192709,0.147237,0.104323,0.064098,0.318890,0.000704,0.002464,0.001344,0.000640,0.937724
0.395884,0.017504,0.226087,0.136164,0.105795,0.064674,0.310249,0.000640,0.002304,0.001280,0.000641,0.962909
0.395308,0.017664,0.192326,0.140900,0.104675,0.062978,0.311913,0.000736,0.002400,0.001184,0.000384,0.928827
0.395692,0.017568,0.192454,0.133796,0.105027,0.063938,0.306441,0.000704,0.002464,0.001216,0.000640,0.923963
0.394923,0.017665,0.192230,0.134628,0.104611,0.090755,0.333322,0.000800,0.002624,0.001312,0.000480,0.951164
0.395308,0.017792,0.192038,0.137412,0.107363,0.064034,0.311913,0.000640,0.002496,0.001120,0.000545,0.928732
0.396204,0.017505,0.192197,0.155269,0.101635,0.061090,0.321418,0.000768,0.002368,0.001152,0.000640,0.939452
0.394507,0.017409,0.192005,0.124292,0.098819,0.059394,0.285705,0.000640,0.002368,0.001184,0.000384,0.901594
0.412748,0.017920,0.191686,0.138372,0.114884,0.064033,0.320425,0.000736,0.002272,0.001248,0.000384,0.955261
0.395372,0.017696,0.192070,0.131236,0.100003,0.060130,0.294537,0.000640,0.002080,0.000928,0.000352,0.910139
0.396940,0.017441,0.191749,0.138852,0.102339,0.062946,0.307337,0.000736,0.005121,0.001440,0.000672,0.927996
0.394444,0.017792,0.192038,0.138564,0.101763,0.061410,0.304873,0.000864,0.001952,0.001024,0.000416,0.919643
0.394700,0.017697,0.192453,0.141316,0.100163,0.062434,0.306889,0.000736,0.001984,0.000832,0.000576,0.921979
0.395692,0.017568,0.192198,0.147492,0.104772,0.060833,0.316137,0.000928,0.002369,0.001824,0.000576,0.934492
0.394284,0.017728,0.191814,0.136292,0.103907,0.062786,0.305961,0.000704,0.002048,0.001056,0.000384,0.920347
0.394348,0.017408,0.191910,0.133828,0.111011,0.063586,0.311401,0.000608,0.005056,0.001088,0.000384,0.928795
0.395244,0.017728,0.191910,0.120452,0.099171,0.060289,0.282760,0.000704,0.002081,0.001024,0.000384,0.898075
0.394700,0.017696,0.192070,0.126276,0.098275,0.062913,0.290344,0.000737,0.005184,0.000896,0.000352,0.908187
0.394892,0.017504,0.208102,0.125988,0.111235,0.061249,0.301673,0.000704,0.002016,0.001057,0.000384,0.934076
0.394347,0.017409,0.192006,0.159076,0.104323,0.066242,0.332841,0.000672,0.005217,0.001152,0.000384,0.950556
0.396140,0.017760,0.192038,0.123427,0.102531,0.060929,0.289832,0.000640,0.002081,0.001088,0.000352,0.906939
0.394636,0.017760,0.191750,0.123492,0.100547,0.058913,0.285832,0.000608,0.002208,0.000961,0.000448,0.900379
0.395403,0.017441,0.192197,0.134435,0.100034,0.061794,0.299368,0.000704,0.005057,0.001184,0.000352,0.918075
0.394540,0.017568,0.191782,0.133316,0.100515,0.062594,0.299465,0.000704,0.002688,0.001152,0.000352,0.914779
0.394252,0.017600,0.191590,0.136964,0.099267,0.061122,0.300553,0.000672,0.004992,0.001216,0.000320,0.917179
0.416684,0.017825,0.192037,0.138308,0.109124,0.061858,0.312362,0.000704,0.002528,0.001120,0.000384,0.949596
0.395532,0.017664,0.191686,0.132420,0.101763,0.061570,0.298665,0.000672,0.001984,0.001024,0.000320,0.913787
0.394604,0.017824,0.192166,0.132676,0.108259,0.062178,0.305897,0.000640,0.005152,0.001056,0.000416,0.923867
0.395436,0.017696,0.192038,0.135140,0.128068,0.071234,0.337706,0.000736,0.002656,0.001184,0.000416,0.955388
0.395212,0.017728,0.192262,0.133540,0.100803,0.061378,0.298793,0.000640,0.003008,0.001120,0.000352,0.915323
0.395435,0.017505,0.191622,0.130852,0.098018,0.059841,0.291752,0.000704,0.002752,0.001216,0.000384,0.909179
0.395724,0.017824,0.192134,0.137284,0.100323,0.062530,0.303145,0.000640,0.002016,0.000992,0.000384,0.918843
0.412428,0.017953,0.191749,0.142340,0.110179,0.064226,0.320010,0.000768,0.005056,0.001120,0.000416,0.957724
0.395308,0.017888,0.191814,0.132196,0.137380,0.061954,0.334538,0.000800,0.002784,0.001088,0.000384,0.950972
0.395244,0.017472,0.191846,0.129348,0.099459,0.060482,0.292169,0.000704,0.002752,0.000992,0.000384,0.907579
0.395468,0.017984,0.191782,0.139172,0.110275,0.062626,0.315241,0.000640,0.002496,0.001057,0.000384,0.931324
0.394571,0.017793,0.192326,0.135716,0.099267,0.062049,0.299944,0.000672,0.002080,0.000960,0.000352,0.914811
0.394603,0.017441,0.191717,0.122372,0.106531,0.059106,0.290985,0.000640,0.002144,0.000896,0.000640,0.904954
0.396300,0.018017,0.192421,0.133412,0.100643,0.060706,0.297673,0.000800,0.002944,0.001184,0.000416,0.917179
0.410284,0.018048,0.192454,0.138404,0.098435,0.059938,0.299785,0.000640,0.002144,0.001056,0.000576,0.931995
0.395596,0.017953,0.191973,0.140069,0.101891,0.062081,0.306954,0.000672,0.002240,0.000960,0.000416,0.922844
0.394283,0.017537,0.191878,0.130723,0.101154,0.062209,0.297352,0.000672,0.002080,0.000960,0.000384,0.910971
0.395244,0.017601,0.208870,0.131332,0.107843,0.063266,0.305513,0.000736,0.002880,0.001056,0.000352,0.938780
0.394028,0.017569,0.192037,0.135460,0.099683,0.060610,0.298729,0.000672,0.002112,0.000864,0.000416,0.912539
0.394411,0.017345,0.191973,0.125700,0.101155,0.061762,0.291529,0.000704,0.002016,0.000896,0.000512,0.904282
0.393996,0.017601,0.191461,0.129828,0.101571,0.061666,0.296041,0.000640,0.002048,0.000992,0.000384,0.909275
0.394700,0.017376,0.191494,0.119172,0.107363,0.061026,0.290569,0.000640,0.005216,0.000992,0.000384,0.907291
0.394508,0.017440,0.191558,0.152132,0.102019,0.063041,0.320233,0.000640,0.004993,0.000864,0.000352,0.936348
0.394987,0.017569,0.191686,0.131459,0.108963,0.061570,0.304809,0.000704,0.002144,0.000928,0.000320,0.920059
0.395020,0.017600,0.208966,0.135588,0.109219,0.062178,0.310057,0.000640,0.002080,0.000928,0.000352,0.942236
0.394603,0.017601,0.191590,0.130499,0.101283,0.065058,0.299880,0.000672,0.004961,0.000992,0.000384,0.916699
0.395371,0.017377,0.191718,0.128131,0.105251,0.062274,0.298760,0.000672,0.002016,0.000897,0.000352,0.913051
0.394220,0.017248,0.192101,0.119908,0.100067,0.064482,0.287177,0.000640,0.002016,0.000992,0.000288,0.900251
0.394188,0.017440,0.192134,0.132740,0.099651,0.061058,0.296361,0.000640,0.001952,0.000768,0.000384,0.909787
0.394092,0.017696,0.191494,0.132900,0.101475,0.067778,0.305161,0.000704,0.002976,0.000992,0.000384,0.919867
0.394252,0.017857,0.191781,0.136740,0.100067,0.062210,0.302281,0.000736,0.003008,0.001120,0.000352,0.917499
0.411309,0.017792,0.192166,0.156996,0.115012,0.063138,0.338154,0.000704,0.005056,0.000864,0.000384,0.972573
0.394315,0.017408,0.191942,0.129540,0.099491,0.063553,0.295657,0.000704,0.002016,0.000896,0.000384,0.909115
0.395595,0.017569,0.192070,0.140676,0.112451,0.068450,0.324745,0.000672,0.005184,0.001057,0.000384,0.944444
0.394668,0.017600,0.191750,0.137796,0.122340,0.078242,0.341610,0.000640,0.002848,0.001408,0.000416,0.957308
0.395819,0.017633,0.191622,0.135204,0.104643,0.061730,0.305097,0.000672,0.002240,0.001024,0.000608,0.921179
0.394796,0.017600,0.191878,0.133764,0.111683,0.061090,0.309481,0.000672,0.002080,0.001024,0.000384,0.923963
0.394795,0.017921,0.191814,0.145444,0.110563,0.064066,0.323081,0.000704,0.002624,0.001152,0.000352,0.939227
0.413996,0.017665,0.191909,0.128228,0.109923,0.061250,0.302473,0.000704,0.002208,0.000992,0.000576,0.937819
0.394956,0.017761,0.191973,0.121956,0.098915,0.060418,0.284553,0.000736,0.002144,0.000960,0.000384,0.900219
0.394604,0.017760,0.191974,0.139972,0.101667,0.061250,0.306121,0.000704,0.002176,0.000960,0.000384,0.920859
0.394636,0.017953,0.191717,0.150053,0.109731,0.064418,0.327146,0.000768,0.005120,0.001152,0.000416,0.944924
0.395243,0.017664,0.192198,0.129380,0.100771,0.061825,0.294952,0.000832,0.002112,0.000992,0.000416,0.910971
0.394828,0.017536,0.191526,0.129828,0.098755,0.059521,0.291272,0.000672,0.005313,0.001152,0.000352,0.909371
0.397100,0.017824,0.193286,0.136132,0.105507,0.062402,0.307369,0.000704,0.002688,0.001312,0.000352,0.928731
0.395756,0.017440,0.192710,0.125316,0.102627,0.062466,0.293449,0.000736,0.002176,0.001184,0.000384,0.911515
0.395308,0.017536,0.192486,0.127108,0.112451,0.061218,0.304265,0.000832,0.002112,0.001088,0.000416,0.920859
0.394795,0.017729,0.192070,0.139908,0.101955,0.067170,0.312265,0.000800,0.005056,0.001280,0.000352,0.931515
0.394795,0.033665,0.192582,0.142980,0.113412,0.062562,0.321834,0.000672,0.002112,0.001024,0.000384,0.954012
0.395372,0.017504,0.191750,0.130692,0.103459,0.061986,0.299241,0.000736,0.002432,0.001088,0.000608,0.915867
0.394796,0.017696,0.191526,0.138116,0.101411,0.062018,0.304585,0.000704,0.002240,0.000992,0.000384,0.919451
0.394252,0.017729,0.191685,0.132132,0.099107,0.078851,0.313226,0.000832,0.002112,0.000992,0.000352,0.926972
0.394795,0.017632,0.192070,0.141924,0.102723,0.062402,0.309801,0.000800,0.002048,0.000960,0.000608,0.925659
0.394380,0.017920,0.191910,0.139620,0.102275,0.063074,0.308297,0.000640,0.005056,0.001088,0.000352,0.925595
0.395660,0.017665,0.192038,0.144900,0.102979,0.062402,0.313257,0.000768,0.002208,0.001248,0.000672,0.930812
0.412269,0.017696,0.192198,0.142116,0.113187,0.062722,0.320969,0.000672,0.002112,0.001120,0.000641,0.953853
0.395467,0.017505,0.191910,0.139460,0.102659,0.063234,0.308265,0.000928,0.002080,0.000960,0.000576,0.923771
0.395692,0.017632,0.191750,0.143460,0.102115,0.063202,0.311913,0.000704,0.005121,0.001184,0.000672,0.931516
0.394699,0.017537,0.191878,0.156388,0.104547,0.063106,0.327305,0.000640,0.002208,0.001153,0.000448,0.942812
0.395563,0.017888,0.191590,0.165125,0.101539,0.060546,0.330058,0.000704,0.002880,0.001184,0.000384,0.947644
0.395052,0.017280,0.192166,0.135012,0.099811,0.060258,0.298345,0.000768,0.005088,0.001088,0.000640,0.916763
0.395756,0.017440,0.191462,0.141796,0.100611,0.061026,0.306345,0.000640,0.002208,0.001024,0.000352,0.921819
0.413741,0.017728,0.191750,0.143332,0.102787,0.062274,0.311401,0.000768,0.003296,0.001184,0.000384,0.947452
0.396108,0.017761,0.192357,0.140133,0.101699,0.062273,0.307401,0.000705,0.002848,0.001120,0.000384,0.924668
0.395436,0.017729,0.191685,0.130084,0.102275,0.060706,0.296073,0.000768,0.003104,0.001184,0.000352,0.913947
0.396044,0.017600,0.222343,0.142980,0.110244,0.064386,0.320938,0.000896,0.003008,0.001248,0.000352,0.969501
0.394668,0.017697,0.192037,0.141061,0.102915,0.062209,0.309290,0.000640,0.002016,0.000992,0.000352,0.924060
0.394636,0.017408,0.191910,0.132292,0.104707,0.067714,0.307529,0.000704,0.002848,0.001184,0.000320,0.923003
0.395020,0.017632,0.191878,0.124868,0.102979,0.060610,0.291817,0.000736,0.003008,0.001184,0.000352,0.908379
0.397036,0.017632,0.192550,0.135652,0.101763,0.061826,0.302345,0.000736,0.004736,0.001216,0.000384,0.923707
0.395628,0.017792,0.191878,0.131364,0.104643,0.061922,0.300873,0.000672,0.002112,0.001088,0.000384,0.916699
