Layer[0],IN[1],INFER[1-3],OUT[3],TEE[1-3],Layer[4],Layer[5],Layer[6],Layer[7],Layer[8],Layer[9],Layer[10],classifier
0.395563,0.168549,0.558896,0.080835,0.812633,0.049281,0.000672,0.013600,0.000417,0.001472,0.001216,0.000416,1.283366
0.396140,0.168517,0.549712,0.068546,0.790584,0.050497,0.000608,0.013856,0.000352,0.001504,0.001120,0.000480,1.262374
0.395596,0.166277,0.540144,0.066402,0.776887,0.050978,0.000640,0.013664,0.000384,0.001472,0.001184,0.000416,1.248709
0.395979,0.188101,0.567825,0.067234,0.827256,0.049154,0.000672,0.013856,0.000416,0.001440,0.001216,0.000416,1.297638
0.395148,0.166821,0.538704,0.067106,0.776311,0.049826,0.000608,0.013632,0.000384,0.001408,0.001120,0.000608,1.245957
0.395211,0.168869,0.539152,0.066306,0.778232,0.049569,0.000672,0.013632,0.000448,0.001504,0.001184,0.000672,1.248453
0.395532,0.169733,0.552656,0.066338,0.792535,0.049410,0.000640,0.013952,0.000384,0.001536,0.001280,0.000640,1.264453
0.396043,0.169221,0.552528,0.068738,0.794423,0.049538,0.000672,0.013664,0.000416,0.001536,0.001632,0.000640,1.265349
0.395531,0.167749,0.570129,0.082691,0.826265,0.049761,0.000704,0.013824,0.000416,0.001536,0.001248,0.000448,1.297542
0.395468,0.189030,0.539952,0.066338,0.799256,0.049249,0.000736,0.013665,0.000416,0.001536,0.001216,0.000640,1.268838
0.395436,0.171045,0.539280,0.067170,0.781623,0.048962,0.000672,0.013632,0.000384,0.001472,0.001152,0.000416,1.251365
0.409036,0.160805,0.556848,0.066849,0.788312,0.049537,0.000608,0.013568,0.000416,0.001505,0.001248,0.000352,1.270886
0.395852,0.173701,0.548017,0.064322,0.789688,0.050049,0.000512,0.013825,0.000384,0.001504,0.001152,0.000608,1.260198
0.395755,0.160261,0.537040,0.066562,0.767575,0.049186,0.000640,0.013696,0.000352,0.001568,0.001056,0.000384,1.236388
0.396012,0.150436,0.548016,0.064130,0.766390,0.048770,0.000640,0.013888,0.000384,0.001504,0.001024,0.000384,1.234916
0.395244,0.193382,0.536432,0.064066,0.797752,0.048193,0.000608,0.013505,0.000416,0.001440,0.001184,0.000416,1.265958
0.395372,0.170309,0.558481,0.079842,0.814232,0.048162,0.000640,0.013600,0.000416,0.001536,0.001216,0.000416,1.283430
0.395339,0.193510,0.539472,0.066658,0.803736,0.048034,0.000672,0.013632,0.000448,0.001472,0.001344,0.000608,1.272421
0.395212,0.191429,0.539504,0.066690,0.801847,0.048098,0.000608,0.013664,0.000448,0.001440,0.001248,0.000416,1.269957
0.414348,0.171397,0.540016,0.067138,0.782455,0.049666,0.000640,0.013568,0.000416,0.001472,0.001152,0.000416,1.270853
0.396140,0.173093,0.539408,0.067618,0.783863,0.049953,0.000640,0.013537,0.000608,0.001536,0.001216,0.000480,1.256197
0.396011,0.169893,0.538896,0.065442,0.778231,0.048993,0.000672,0.013536,0.000385,0.001504,0.001216,0.000416,1.247717
0.396588,0.167589,0.551376,0.066850,0.789624,0.049921,0.000672,0.013568,0.000352,0.001600,0.001184,0.000416,1.260710
0.395852,0.168069,0.538512,0.066978,0.777239,0.049217,0.000672,0.013537,0.000384,0.001504,0.001184,0.000416,1.246757
0.395980,0.172101,0.557169,0.074946,0.808536,0.049698,0.000672,0.013536,0.000384,0.001568,0.001280,0.000448,1.279430
0.395947,0.170373,0.551761,0.068386,0.794616,0.049185,0.000640,0.013569,0.000384,0.001536,0.001184,0.000384,1.264901
0.395500,0.169189,0.550736,0.067682,0.791511,0.049346,0.000640,0.013536,0.000384,0.001600,0.001312,0.000416,1.261733
0.413228,0.149092,0.537392,0.065890,0.755990,0.049282,0.000704,0.013472,0.000416,0.001824,0.001248,0.000416,1.243908
0.395596,0.156388,0.536303,0.065410,0.761942,0.049314,0.000640,0.013536,0.000480,0.001504,0.001248,0.000416,1.231557
0.408332,0.169541,0.559377,0.095619,0.829145,0.050241,0.000704,0.013729,0.000416,0.001600,0.001088,0.000416,1.313063
0.396716,0.171077,0.537872,0.066754,0.779447,0.050978,0.000640,0.013632,0.000352,0.001568,0.001216,0.000448,1.252006
0.395500,0.172581,0.539632,0.067138,0.782999,0.049794,0.000672,0.013632,0.000416,0.001504,0.001216,0.000448,1.252869
0.395403,0.169285,0.557425,0.070370,0.801656,0.050306,0.000640,0.013600,0.000384,0.001536,0.001216,0.000416,1.272613
0.396331,0.168357,0.539984,0.066882,0.779095,0.049057,0.000576,0.013601,0.000384,0.001536,0.001120,0.000448,1.249221
0.395692,0.169733,0.537584,0.073570,0.784823,0.050785,0.000608,0.013633,0.000416,0.001568,0.001216,0.000416,1.256133
0.414733,0.173413,0.559441,0.081058,0.818360,0.050658,0.000704,0.013760,0.000416,0.001568,0.001248,0.000448,1.310055
0.396107,0.168453,0.539184,0.070083,0.781592,0.050209,0.000704,0.013632,0.000352,0.001536,0.001216,0.000416,1.252549
0.395916,0.169605,0.555729,0.083490,0.813688,0.050242,0.000640,0.013664,0.000448,0.001536,0.001248,0.000416,1.285702
0.396107,0.165028,0.537840,0.066626,0.773430,0.049986,0.000672,0.013632,0.000384,0.001536,0.001153,0.000448,1.244677
0.395916,0.171589,0.537680,0.067682,0.781143,0.049154,0.000640,0.013600,0.000384,0.001536,0.001248,0.000384,1.251461
0.411532,0.170725,0.537424,0.067554,0.779415,0.049602,0.000608,0.013664,0.000384,0.001568,0.001184,0.000384,1.265861
0.395244,0.170789,0.541360,0.067746,0.783479,0.048802,0.000608,0.013824,0.000416,0.001568,0.001184,0.000384,1.252293
0.395915,0.169861,0.551409,0.068034,0.792920,0.048897,0.000640,0.013569,0.000384,0.001568,0.001216,0.000416,1.262533
0.395979,0.167749,0.539280,0.068578,0.779255,0.048770,0.000608,0.013600,0.000416,0.001600,0.001185,0.000416,1.249509
0.397419,0.170854,0.548944,0.067298,0.790872,0.049345,0.000672,0.013665,0.000416,0.001568,0.001184,0.000416,1.262533
0.396012,0.164933,0.563601,0.079650,0.812568,0.050210,0.000608,0.013920,0.000416,0.001568,0.001184,0.000416,1.284263
0.395500,0.189573,0.551153,0.066754,0.811256,0.050049,0.000608,0.013569,0.000352,0.001536,0.001152,0.000416,1.281126
0.395691,0.168965,0.540016,0.068098,0.780920,0.050113,0.000640,0.014017,0.000384,0.001568,0.001472,0.000416,1.252741
0.413420,0.169573,0.539536,0.067458,0.780535,0.049601,0.000641,0.013920,0.000608,0.001824,0.001120,0.000640,1.269509
0.395724,0.167205,0.539728,0.066946,0.778039,0.050338,0.000640,0.013728,0.000416,0.001824,0.001152,0.000640,1.250245
0.395660,0.169061,0.539856,0.088419,0.801400,0.049249,0.000640,0.013729,0.000576,0.001888,0.001120,0.000640,1.271750
0.395724,0.166693,0.540560,0.074690,0.785623,0.049698,0.000672,0.013824,0.000448,0.001536,0.001120,0.000640,1.256645
0.395755,0.167269,0.552337,0.067554,0.790904,0.048929,0.000640,0.013857,0.000384,0.001600,0.001184,0.000448,1.260709
0.395116,0.156837,0.591601,0.085506,0.838521,0.051202,0.000704,0.013664,0.000416,0.001856,0.001088,0.000416,1.309895
0.395755,0.152676,0.537200,0.064898,0.758358,0.049601,0.001057,0.014400,0.000416,0.001792,0.001152,0.000640,1.230340
0.395532,0.196069,0.568176,0.067906,0.835960,0.048738,0.000704,0.013696,0.000384,0.001472,0.001152,0.000384,1.307047
0.395819,0.168613,0.539856,0.066914,0.779255,0.048577,0.000608,0.013601,0.000352,0.001536,0.001184,0.000416,1.248453
0.396556,0.168709,0.539696,0.066594,0.778935,0.049217,0.000640,0.013697,0.000384,0.001408,0.001184,0.000448,1.249765
0.394763,0.173125,0.553680,0.086211,0.817816,0.049665,0.000672,0.013729,0.000384,0.001504,0.001184,0.000416,1.287270
0.395723,0.171493,0.540561,0.069826,0.785944,0.050401,0.000608,0.013601,0.000416,0.001568,0.001184,0.000416,1.257861
0.396140,0.169893,0.537072,0.066594,0.777271,0.049186,0.000608,0.013664,0.000384,0.001568,0.001088,0.000448,1.247205
0.412492,0.154341,0.548848,0.064898,0.772119,0.048322,0.000640,0.013568,0.000352,0.001440,0.001152,0.000384,1.256837
0.395884,0.181285,0.552881,0.063873,0.802104,0.048449,0.000576,0.013824,0.000352,0.001440,0.001025,0.000288,1.269670
0.395148,0.161669,0.537872,0.066722,0.770039,0.049089,0.001025,0.014144,0.000384,0.001504,0.001024,0.000416,1.238917
0.396267,0.153029,0.548304,0.066306,0.771479,0.047970,0.000640,0.013536,0.000416,0.001472,0.001440,0.000352,1.240036
0.395723,0.170949,0.539088,0.067650,0.781527,0.048321,0.000640,0.013633,0.000384,0.001504,0.001184,0.000416,1.251973
0.395275,0.169765,0.553745,0.083970,0.811544,0.048962,0.000672,0.013568,0.000416,0.001472,0.001184,0.000384,1.281030
0.395691,0.164900,0.539184,0.066145,0.773910,0.048897,0.000608,0.013504,0.000384,0.001472,0.001217,0.000384,1.242245
0.395212,0.138788,0.534768,0.063746,0.740726,0.048482,0.000640,0.013696,0.000384,0.001408,0.001120,0.000352,1.208228
0.410540,0.145764,0.538320,0.065666,0.753814,0.048450,0.000544,0.013600,0.000352,0.001568,0.001056,0.000352,1.237828
0.394700,0.137444,0.552208,0.064194,0.757846,0.049666,0.000672,0.013664,0.000384,0.001472,0.001056,0.000352,1.225540
0.394667,0.154629,0.548464,0.063298,0.769943,0.049890,0.000480,0.013568,0.000384,0.001536,0.001376,0.000416,1.237988
0.395404,0.143332,0.537296,0.063938,0.748406,0.048257,0.000640,0.013441,0.000384,0.001440,0.001088,0.000352,1.215588
