Layer[0],Layer[1],IN[2],INFER[2-2],OUT[2],TEE[2-2],Layer[3],Layer[4],Layer[5],Layer[6],Layer[7],Layer[8],Layer[9],Layer[10],classifier
0.395532,0.017568,0.136228,0.545137,0.084482,0.770199,0.006912,0.048162,0.001056,0.013536,0.000384,0.001504,0.001184,0.000672,1.264805
0.395820,0.017409,0.135268,0.511343,0.071298,0.721685,0.005472,0.048802,0.000864,0.013920,0.000384,0.001536,0.001120,0.000608,1.215844
0.395436,0.017344,0.138469,0.513295,0.072130,0.727606,0.005376,0.048354,0.000992,0.013472,0.000384,0.001472,0.001088,0.000416,1.220036
0.395660,0.017824,0.165220,0.512816,0.070754,0.753463,0.005568,0.048705,0.000864,0.013601,0.000384,0.001504,0.001248,0.000320,1.247557
0.395884,0.017568,0.139044,0.512912,0.069186,0.725206,0.005376,0.048385,0.000832,0.013665,0.000352,0.001568,0.001216,0.000384,1.218500
0.395404,0.017984,0.138468,0.513807,0.070114,0.725814,0.005312,0.048289,0.001056,0.013793,0.000384,0.001504,0.001056,0.000480,1.219076
0.396236,0.017952,0.160389,0.517071,0.071523,0.752727,0.005472,0.049569,0.001056,0.013729,0.000416,0.001760,0.002400,0.000640,1.253189
0.394827,0.017793,0.141476,0.514031,0.069474,0.728949,0.005409,0.048289,0.000992,0.013856,0.000385,0.001568,0.001440,0.000480,1.222660
0.394955,0.017568,0.139492,0.545520,0.089219,0.779799,0.009280,0.048322,0.000832,0.013472,0.000384,0.001504,0.001088,0.000384,1.276517
0.395499,0.017760,0.137508,0.513263,0.070307,0.724726,0.005344,0.048769,0.000832,0.013505,0.000352,0.001504,0.001184,0.000896,1.218212
0.395307,0.017665,0.134116,0.515663,0.072194,0.725429,0.005216,0.048674,0.000864,0.013472,0.000384,0.001472,0.001280,0.000640,1.217412
0.395596,0.017696,0.148197,0.512943,0.068034,0.732886,0.005440,0.049250,0.000800,0.013472,0.000384,0.001568,0.001216,0.000416,1.226244
0.394956,0.017664,0.137156,0.525904,0.069698,0.736278,0.005440,0.049090,0.000864,0.013568,0.000416,0.001504,0.001216,0.000416,1.229540
0.395083,0.017761,0.142980,0.514479,0.071427,0.732662,0.005568,0.048641,0.000832,0.013505,0.000416,0.001504,0.001312,0.000544,1.226020
0.395628,0.017665,0.136260,0.511759,0.068706,0.720533,0.005312,0.049025,0.001120,0.013440,0.000384,0.001536,0.001184,0.000608,1.214084
0.395564,0.017568,0.132932,0.513967,0.068258,0.719030,0.005376,0.048193,0.000864,0.013441,0.000352,0.001536,0.001248,0.000608,1.211556
0.397164,0.017761,0.137668,0.543728,0.108739,0.796023,0.005376,0.048578,0.000928,0.013568,0.000480,0.001504,0.001216,0.000608,1.292039
0.394956,0.017920,0.136196,0.513904,0.068898,0.722550,0.005344,0.048673,0.000864,0.013601,0.000384,0.001504,0.001248,0.000352,1.214756
0.395340,0.017633,0.135684,0.512847,0.069058,0.721333,0.005440,0.048578,0.000864,0.013440,0.000384,0.001472,0.001248,0.000608,1.214436
0.394668,0.017632,0.139012,0.531152,0.079939,0.754423,0.005440,0.049857,0.000864,0.013537,0.000416,0.001504,0.001216,0.000640,1.248485
0.394827,0.017697,0.125764,0.511727,0.072386,0.713333,0.005312,0.048834,0.000832,0.013568,0.000448,0.001504,0.001184,0.000352,1.205251
0.394668,0.017568,0.136932,0.513136,0.069538,0.723190,0.005376,0.048417,0.000864,0.013473,0.000416,0.001504,0.001152,0.000384,1.214404
0.409548,0.017664,0.124612,0.526000,0.076930,0.731414,0.005280,0.048322,0.000832,0.013504,0.000384,0.001440,0.001280,0.000416,1.238212
0.395436,0.017440,0.136773,0.513679,0.068930,0.722742,0.005184,0.048929,0.000865,0.013568,0.000352,0.001536,0.001024,0.000608,1.214948
0.394763,0.017696,0.137284,0.512975,0.069474,0.723349,0.005281,0.070114,0.000928,0.013600,0.000416,0.001504,0.001088,0.000576,1.237604
0.394956,0.017280,0.123012,0.511151,0.070722,0.708277,0.005408,0.048514,0.000960,0.013504,0.000416,0.001536,0.001248,0.000576,1.200259
0.395340,0.017312,0.139717,0.513359,0.069442,0.726358,0.005472,0.049506,0.000832,0.013472,0.000416,0.001472,0.001152,0.000448,1.220292
0.394603,0.017312,0.136804,0.541744,0.102627,0.785399,0.005473,0.048257,0.001024,0.013472,0.000416,0.001472,0.001249,0.000704,1.277126
0.395436,0.017345,0.141796,0.511791,0.070242,0.727477,0.005440,0.048194,0.000832,0.013504,0.000480,0.001472,0.001312,0.000577,1.219717
0.395340,0.017824,0.139044,0.510255,0.070050,0.724086,0.005376,0.048833,0.000832,0.013472,0.000384,0.001472,0.001216,0.000608,1.218372
0.412076,0.017569,0.138884,0.513103,0.068674,0.724277,0.005440,0.050626,0.000832,0.013440,0.000448,0.001504,0.001185,0.000384,1.235813
0.395564,0.017633,0.137604,0.514479,0.070178,0.726357,0.005408,0.047810,0.000832,0.013440,0.000416,0.001568,0.001216,0.000384,1.218980
0.395788,0.017312,0.131268,0.512047,0.070211,0.717430,0.005472,0.048513,0.000832,0.013505,0.000416,0.001344,0.001280,0.000576,1.211364
0.395500,0.017601,0.141124,0.513167,0.071778,0.729781,0.005472,0.048226,0.000864,0.013600,0.000448,0.001568,0.001088,0.000352,1.222596
0.395340,0.017953,0.136740,0.513615,0.069474,0.723701,0.005472,0.047778,0.000864,0.013408,0.000416,0.001536,0.001120,0.000352,1.215300
0.396556,0.017696,0.136548,0.532496,0.086211,0.759703,0.005312,0.048417,0.001056,0.013473,0.000416,0.001472,0.001184,0.000384,1.254501
0.396204,0.017697,0.133124,0.512527,0.068962,0.718613,0.005472,0.048738,0.000800,0.013408,0.000352,0.001536,0.001184,0.000352,1.212740
