Layer[0],Layer[1],IN[2],INFER[2-6],OUT[6],TEE[2-6],Layer[7],Layer[8],Layer[9],Layer[10],classifier
0.395468,0.017632,0.123492,0.596274,0.066338,0.789240,0.000768,0.004960,0.001376,0.000352,1.216004
0.395948,0.017792,0.121956,0.582993,0.066082,0.774679,0.000768,0.002752,0.001216,0.000352,1.199620
0.412013,0.017920,0.136484,0.598194,0.065762,0.805656,0.000704,0.003360,0.001376,0.000352,1.248005
0.395212,0.017729,0.118403,0.583889,0.065154,0.770582,0.000960,0.003296,0.001312,0.000416,1.195236
0.395595,0.017665,0.140356,0.586065,0.083107,0.813528,0.000704,0.003168,0.001120,0.000384,1.238180
0.394955,0.017536,0.133316,0.583953,0.069346,0.790167,0.000736,0.003201,0.001472,0.000352,1.214180
0.397004,0.017665,0.139876,0.586449,0.074626,0.805079,0.000768,0.002560,0.001313,0.000352,1.232229
0.396011,0.017600,0.136580,0.645011,0.092259,0.877818,0.000800,0.003232,0.001216,0.000512,1.303270
0.396044,0.017536,0.138500,0.586418,0.066050,0.794296,0.000768,0.003072,0.001248,0.000448,1.220516
0.395372,0.017953,0.129475,0.597938,0.063490,0.794263,0.000832,0.003104,0.001376,0.000352,1.218596
0.413741,0.017536,0.135300,0.599410,0.071458,0.809368,0.000704,0.002976,0.001216,0.000384,1.252581
0.396716,0.017857,0.123331,0.584658,0.063906,0.775351,0.000768,0.003168,0.001312,0.000320,1.201348
0.395436,0.018208,0.133444,0.583121,0.064834,0.784695,0.000736,0.005217,0.001312,0.000384,1.212228
0.395723,0.017825,0.133860,0.585489,0.065314,0.788151,0.000768,0.003136,0.001152,0.000416,1.213187
0.395180,0.017729,0.135268,0.584017,0.071010,0.793559,0.000736,0.005152,0.001056,0.000416,1.220068
0.395595,0.017665,0.132292,0.601778,0.078050,0.815960,0.000736,0.003072,0.001440,0.000384,1.241540
0.396684,0.017761,0.139236,0.588049,0.072962,0.804151,0.000832,0.002625,0.001536,0.000416,1.230821
0.395884,0.017664,0.126148,0.584145,0.067938,0.781751,0.000640,0.002944,0.001088,0.000352,1.206692
0.396044,0.017665,0.163268,0.605810,0.069666,0.842456,0.000736,0.003008,0.001248,0.000352,1.267750
0.395500,0.018080,0.130756,0.601490,0.067746,0.803608,0.000736,0.003168,0.001120,0.000320,1.228452
0.397676,0.018049,0.143652,0.587409,0.069954,0.804535,0.000769,0.005408,0.001376,0.000416,1.233669
