IN[0],INFER[0-1],OUT[1],TEE[0-1],Layer[2],Layer[3],Layer[4],Layer[5],Layer[6],Layer[7],Layer[8],Layer[9],Layer[10],classifier
0.147428,1.019710,0.067842,1.242597,0.194118,0.005184,0.048130,0.000800,0.014272,0.000576,0.001440,0.001504,0.000608,1.514509
0.156388,1.040640,0.107299,1.311911,0.194150,0.005440,0.047617,0.000800,0.014721,0.000640,0.001472,0.001536,0.000640,1.584559
0.151717,1.021023,0.069314,1.249606,0.198566,0.005408,0.048417,0.000832,0.014081,0.000576,0.001536,0.001472,0.000384,1.525934
0.149604,1.034462,0.071970,1.263174,0.194278,0.005472,0.048033,0.000864,0.014049,0.000576,0.001504,0.001248,0.000416,1.535214
0.148996,1.017343,0.066658,1.239749,0.193541,0.005601,0.048353,0.000800,0.013729,0.000352,0.001504,0.001184,0.000672,1.510573
0.154821,1.038111,0.071842,1.272806,0.193734,0.005312,0.048130,0.000832,0.014080,0.000352,0.001504,0.001216,0.000608,1.544078
0.148740,1.018303,0.067906,1.240805,0.194118,0.005536,0.048257,0.000640,0.013761,0.000608,0.001568,0.001248,0.000480,1.511789
0.128676,1.016415,0.067490,1.219429,0.193574,0.005376,0.048033,0.000576,0.013857,0.000352,0.001504,0.001504,0.000576,1.489677
0.151236,1.023359,0.070338,1.253221,0.198214,0.005376,0.048514,0.000768,0.014368,0.000608,0.001536,0.001824,0.000608,1.530637
0.151077,1.019838,0.072610,1.250405,0.193830,0.005632,0.048610,0.000800,0.014016,0.000352,0.001536,0.001376,0.000352,1.521709
0.148996,1.022366,0.069154,1.264645,0.193510,0.005632,0.048706,0.000832,0.014464,0.000320,0.001472,0.001312,0.000321,1.536174
0.141252,1.020958,0.069539,1.239429,0.193861,0.005569,0.048225,0.000800,0.013792,0.000609,0.001504,0.001344,0.000608,1.510733
0.149540,1.038815,0.082722,1.279366,0.193542,0.005440,0.048257,0.000608,0.014144,0.000576,0.001440,0.001440,0.000352,1.550094
0.152197,1.021438,0.069058,1.250437,0.193829,0.005120,0.048898,0.000800,0.014048,0.000320,0.001504,0.001089,0.000384,1.521390
0.151684,1.038751,0.084355,1.282694,0.193894,0.005312,0.048097,0.000576,0.013729,0.000320,0.001408,0.001184,0.000544,1.553454
0.153284,1.023327,0.070306,1.251717,0.193926,0.005536,0.048289,0.000640,0.014273,0.000352,0.001472,0.001664,0.000384,1.523245
0.151461,1.017214,0.067842,1.243621,0.212647,0.009184,0.048257,0.000832,0.013665,0.000352,0.001408,0.001632,0.000384,1.537326
0.147684,1.018303,0.068898,1.241509,0.193574,0.005120,0.047969,0.000608,0.013633,0.000352,0.001440,0.001472,0.000448,1.510925
0.141508,1.018847,0.068834,1.236517,0.193606,0.005056,0.048321,0.000832,0.013633,0.000352,0.001536,0.001344,0.000608,1.507181
0.170789,1.028735,0.071362,1.278918,0.193414,0.005184,0.048706,0.000832,0.014080,0.000352,0.001472,0.001504,0.000416,1.550222
0.135717,1.016702,0.066914,1.226981,0.192998,0.005536,0.048290,0.000800,0.013920,0.000352,0.001504,0.001440,0.000384,1.497709
0.152997,1.038111,0.088963,1.288519,0.193381,0.005568,0.048097,0.000832,0.013825,0.000352,0.001504,0.001408,0.000352,1.559471
0.149732,1.018431,0.068514,1.243845,0.193542,0.005024,0.048481,0.000864,0.013761,0.000320,0.001472,0.001216,0.000384,1.514061
0.150501,1.055615,0.091683,1.305383,0.193286,0.005376,0.048385,0.000801,0.013920,0.000608,0.001472,0.001088,0.000384,1.576367
0.149285,1.017342,0.068930,1.243141,0.193318,0.005312,0.048290,0.000768,0.013856,0.000384,0.001408,0.001408,0.000416,1.513133
