Layer[0],Layer[1],Layer[2],TEE[3-7],Layer[8],Layer[9],Layer[10],classifier
0.415600,0.017313,0.202184,0.258506,0.002144,0.001056,0.000416,0.904931
0.420080,0.017761,0.203208,0.271051,0.002464,0.001152,0.000352,0.924740
0.419600,0.017569,0.202856,0.270122,0.002528,0.001089,0.000384,0.921381
0.416272,0.017729,0.202184,0.248554,0.002208,0.001120,0.000352,0.895619
0.417776,0.017889,0.202984,0.252682,0.002304,0.000960,0.000384,0.901827
0.422961,0.017569,0.220840,0.261131,0.002400,0.000992,0.000608,0.932869
0.416848,0.017633,0.202856,0.245737,0.002273,0.001088,0.000352,0.893795
0.418992,0.017313,0.203016,0.266314,0.002433,0.001088,0.000352,0.916452
0.417585,0.017472,0.202856,0.264331,0.002336,0.001088,0.000384,0.912708
0.418417,0.017601,0.202920,0.256394,0.002496,0.000992,0.000416,0.906564
0.416785,0.017536,0.203080,0.262347,0.002432,0.001056,0.000416,0.910916
0.417905,0.017856,0.203880,0.262955,0.002624,0.001216,0.000576,0.915588
0.417168,0.035394,0.203080,0.264010,0.002240,0.001056,0.000384,0.931492
0.421809,0.017217,0.202824,0.260138,0.002400,0.000992,0.000320,0.912740
0.416593,0.017440,0.202695,0.261035,0.002336,0.001056,0.000416,0.908996
0.415696,0.017633,0.202600,0.263306,0.002336,0.001088,0.000384,0.909796
0.420400,0.017697,0.202952,0.256970,0.003008,0.000992,0.000416,0.909091
0.418544,0.017729,0.202664,0.259722,0.002336,0.001056,0.000384,0.909667
0.416592,0.017473,0.202696,0.259466,0.002464,0.001056,0.000352,0.907043
0.433681,0.017697,0.203304,0.264362,0.002272,0.001089,0.000416,0.930341
0.419568,0.017505,0.202632,0.264650,0.002465,0.001088,0.000416,0.915268
0.416752,0.017696,0.203144,0.275915,0.003328,0.001696,0.000608,0.927909
0.422864,0.017568,0.202984,0.289420,0.002368,0.001152,0.000608,0.944549
0.417488,0.017569,0.202984,0.259562,0.002560,0.000993,0.000384,0.909092
0.416656,0.017537,0.202856,0.266922,0.002593,0.001120,0.000576,0.914660
0.418065,0.017568,0.202856,0.260619,0.003328,0.001248,0.000640,0.911716
0.439217,0.017633,0.202184,0.262122,0.002241,0.001120,0.000384,0.931237
0.416688,0.017601,0.206568,0.265386,0.002400,0.000993,0.000352,0.916740
0.417328,0.017569,0.202440,0.271722,0.002336,0.000960,0.000384,0.919812
0.418001,0.017632,0.202632,0.287948,0.002752,0.001152,0.000352,0.937957
0.416881,0.017696,0.202407,0.261995,0.002496,0.000992,0.000416,0.909892
0.418289,0.017761,0.204040,0.272042,0.002657,0.001152,0.000384,0.925253
0.420657,0.017729,0.203144,0.271146,0.002560,0.001312,0.000384,0.924325
0.433617,0.017248,0.202728,0.266155,0.002624,0.001056,0.000352,0.932132
0.417777,0.017248,0.202888,0.269803,0.002496,0.001088,0.000384,0.918628
0.419377,0.017537,0.202600,0.256586,0.002304,0.001056,0.000384,0.908132
0.417873,0.017505,0.219272,0.269195,0.002432,0.001056,0.000352,0.935269
0.417488,0.017505,0.203240,0.243434,0.002272,0.001024,0.000352,0.892195
0.416752,0.017729,0.202856,0.255658,0.002432,0.000960,0.000384,0.903715
0.420977,0.017568,0.203016,0.269771,0.002496,0.001024,0.000384,0.922788
0.440817,0.017504,0.210345,0.258154,0.002336,0.000992,0.000384,0.938821
0.416977,0.017537,0.202504,0.268266,0.002304,0.001056,0.000416,0.916996
0.422128,0.017345,0.203368,0.254538,0.002400,0.001088,0.000352,0.908707
0.416497,0.017824,0.221385,0.255946,0.002560,0.001120,0.000640,0.923588
0.417328,0.017665,0.203592,0.263498,0.002496,0.001280,0.000352,0.913507
0.418800,0.017409,0.202888,0.255594,0.002432,0.001248,0.000384,0.905411
