Layer[0],Layer[1],Layer[2],Layer[3],TEE[4-7],Layer[8],Layer[9],Layer[10],classifier
0.417009,0.017664,0.202504,0.005312,0.265355,0.002432,0.001056,0.000608,0.918820
0.416625,0.017568,0.202504,0.005153,0.248937,0.002144,0.001056,0.000608,0.901668
0.416880,0.018273,0.201928,0.004896,0.253994,0.002240,0.000928,0.000352,0.906339
0.420976,0.017697,0.202376,0.005184,0.252522,0.002272,0.001248,0.000608,0.910083
0.439089,0.018272,0.202824,0.005024,0.252234,0.002496,0.001249,0.000608,0.930405
0.415889,0.017952,0.203400,0.005217,0.260042,0.002368,0.000960,0.000384,0.913828
0.416016,0.017440,0.203112,0.005024,0.254762,0.002304,0.000992,0.000608,0.907652
0.420176,0.017729,0.219945,0.005408,0.249418,0.002208,0.000992,0.000608,0.923204
0.421969,0.017473,0.202312,0.005056,0.257482,0.002272,0.000960,0.000352,0.915428
0.421456,0.017504,0.203720,0.004800,0.261355,0.002304,0.000992,0.000384,0.920004
0.417137,0.017792,0.202343,0.005185,0.257322,0.002176,0.000992,0.000608,0.910756
0.420593,0.017568,0.202632,0.004992,0.254058,0.002273,0.000992,0.000352,0.910724
0.417137,0.017728,0.202536,0.005057,0.259626,0.002336,0.001024,0.000384,0.912772
0.416752,0.017569,0.202504,0.005024,0.254506,0.002240,0.000992,0.000416,0.907427
0.417712,0.017856,0.221161,0.005184,0.257162,0.002560,0.001217,0.000640,0.933253
0.417073,0.017601,0.202951,0.005056,0.259658,0.002464,0.001184,0.000416,0.914340
0.422385,0.017472,0.202568,0.005025,0.259914,0.002496,0.001056,0.000832,0.919524
0.416464,0.017825,0.202920,0.005280,0.247178,0.002208,0.001056,0.000384,0.900771
0.417873,0.018016,0.202664,0.005249,0.265290,0.002560,0.001056,0.000608,0.921508
0.416176,0.017888,0.202376,0.004896,0.258411,0.002464,0.001024,0.000608,0.911556
0.417680,0.017760,0.202728,0.005280,0.256747,0.002272,0.000992,0.000384,0.911812
0.438193,0.017889,0.202280,0.005280,0.259178,0.002912,0.001088,0.000608,0.935013
0.423280,0.017697,0.202280,0.004864,0.244714,0.002272,0.001056,0.000608,0.904131
0.421969,0.017729,0.202472,0.005248,0.258506,0.002496,0.001088,0.000384,0.917604
0.416816,0.017601,0.203816,0.004864,0.272267,0.002624,0.001184,0.000416,0.928420
0.417201,0.017856,0.202663,0.005089,0.260202,0.002592,0.000992,0.000416,0.914340
0.420688,0.017761,0.203144,0.005056,0.245994,0.002528,0.000992,0.000416,0.904227
0.421328,0.017889,0.202536,0.005248,0.254730,0.002624,0.001217,0.000384,0.913060
0.434705,0.017729,0.202504,0.005024,0.263370,0.002432,0.001248,0.000384,0.935941
0.417904,0.017537,0.202568,0.005312,0.259754,0.002689,0.001056,0.000416,0.914660
0.420369,0.017664,0.202184,0.004961,0.261482,0.002464,0.001056,0.000576,0.919396
0.418033,0.017664,0.202408,0.005249,0.254217,0.002688,0.001088,0.000352,0.909540
0.420720,0.017633,0.202600,0.005184,0.247978,0.002304,0.000928,0.000352,0.903939
0.418193,0.017728,0.202440,0.005281,0.248809,0.002401,0.000960,0.000352,0.903172
0.415665,0.017760,0.202824,0.005121,0.249513,0.002881,0.001248,0.000416,0.903972
0.438802,0.017760,0.202600,0.005249,0.250441,0.002529,0.001184,0.000384,0.927397
0.416561,0.017792,0.202568,0.005217,0.242185,0.002336,0.001184,0.000416,0.896291
0.416369,0.017568,0.202408,0.005313,0.250281,0.002401,0.001344,0.000608,0.904164
0.417616,0.017537,0.202312,0.005280,0.278859,0.002592,0.001248,0.000352,0.934244
0.416464,0.017793,0.202280,0.005056,0.248970,0.002592,0.001184,0.000384,0.902019
0.415600,0.017921,0.201960,0.005312,0.253578,0.002592,0.001344,0.000576,0.906339
0.416912,0.017729,0.202184,0.005088,0.240618,0.002976,0.001440,0.000576,0.895427
0.433905,0.017889,0.202344,0.005344,0.249354,0.003072,0.001408,0.000608,0.922116
0.416080,0.017889,0.202664,0.004992,0.254890,0.003136,0.001376,0.000576,0.909635
0.416657,0.017824,0.202408,0.005313,0.247753,0.003201,0.001440,0.000640,0.903780
0.416176,0.017793,0.221481,0.005248,0.250922,0.002784,0.001152,0.000384,0.924452
0.415920,0.017761,0.202696,0.004896,0.247594,0.002816,0.001376,0.000576,0.901667
0.415664,0.017985,0.202440,0.005280,0.250282,0.002656,0.001088,0.000576,0.904003
0.416625,0.017824,0.202600,0.005313,0.243273,0.002496,0.001088,0.000384,0.898339
0.416945,0.017792,0.202536,0.005281,0.250665,0.002433,0.001056,0.000608,0.905956
0.416848,0.017505,0.202984,0.004800,0.253834,0.002496,0.001056,0.000384,0.907844
0.416208,0.018145,0.202632,0.005280,0.254250,0.002592,0.001312,0.000576,0.908867
0.416592,0.038562,0.202568,0.004800,0.257130,0.002528,0.001088,0.000384,0.932068
0.419696,0.018049,0.204520,0.005056,0.254922,0.002432,0.001248,0.000384,0.914756
0.417200,0.017825,0.202984,0.005184,0.252618,0.002528,0.001248,0.000384,0.908451
0.416784,0.017921,0.203336,0.005056,0.257066,0.002592,0.001344,0.000576,0.912708
