IN[0],INFER[0-7],OUT[7],TEE[0-7],Layer[8],Layer[9],Layer[10],classifier
0.126115,1.581423,0.068962,1.782709,0.005600,0.001280,0.000448,1.792597
0.126564,1.581935,0.065634,1.781173,0.003360,0.001216,0.000416,1.788341
0.151044,1.630769,0.068066,1.857495,0.003680,0.001088,0.000416,1.865815
0.131076,1.565070,0.065890,1.769812,0.003392,0.001216,0.000416,1.777236
0.150629,1.567247,0.066594,1.790550,0.002656,0.001248,0.000416,1.797046
0.156676,1.569198,0.068834,1.803573,0.003040,0.001216,0.000512,1.810902
0.136548,1.578575,0.069090,1.791061,0.002752,0.001248,0.000448,1.797909
0.112836,1.568911,0.084802,1.773749,0.003040,0.001408,0.000448,1.781429
0.148005,1.565134,0.066882,1.786453,0.003808,0.001120,0.000448,1.794197
0.149541,1.581935,0.068834,1.806486,0.003552,0.001280,0.000448,1.814134
0.144997,1.566830,0.065410,1.783925,0.002688,0.001024,0.000352,1.790197
0.145413,1.579471,0.070562,1.800886,0.003008,0.001344,0.000480,1.808022
0.138308,1.563695,0.064002,1.771797,0.003072,0.001152,0.000416,1.778613
0.134980,1.594191,0.073795,1.810102,0.003488,0.001344,0.000416,1.817814
0.123139,1.562383,0.065410,1.757652,0.002656,0.000992,0.000384,1.763892
0.130116,1.580879,0.071938,1.789429,0.003488,0.001248,0.000480,1.797461
0.148229,1.567823,0.066946,1.789782,0.003392,0.001216,0.000416,1.797174
0.148548,1.580175,0.073410,1.808053,0.004352,0.001216,0.000448,1.816246
0.147268,1.564623,0.065634,1.784181,0.002624,0.000992,0.000384,1.790421
0.169925,1.583279,0.073090,1.834167,0.003488,0.001184,0.000384,1.842871
0.130179,1.564526,0.064674,1.766004,0.002688,0.001024,0.000448,1.772308
0.145220,1.582767,0.070722,1.804501,0.003521,0.001184,0.000448,1.811830
0.131107,1.561774,0.064002,1.762836,0.002624,0.000992,0.000416,1.769172
0.127268,1.580719,0.079010,1.794101,0.003456,0.001184,0.000384,1.801749
0.124067,1.582607,0.064865,1.778164,0.002657,0.001056,0.000416,1.784501
0.140709,1.583727,0.067810,1.799766,0.003488,0.001216,0.000416,1.808854
0.144356,1.569550,0.065250,1.785237,0.004384,0.001312,0.000416,1.793621
0.142756,1.580111,0.068034,1.797173,0.004353,0.001152,0.000416,1.805846
0.148133,1.574511,0.070978,1.800150,0.003936,0.001376,0.000384,1.808470
0.156548,1.578063,0.071907,1.811766,0.003904,0.001184,0.000416,1.819990
0.129892,1.578671,0.063042,1.777141,0.003552,0.001088,0.000384,1.784629
0.144837,1.580047,0.080706,1.813206,0.002496,0.001056,0.000416,1.820086
0.170181,1.563470,0.065378,1.805141,0.002432,0.001025,0.000352,1.811158
0.144869,1.595567,0.065890,1.812598,0.004256,0.001120,0.000384,1.822134
0.144196,1.563471,0.063842,1.777941,0.003584,0.001120,0.000352,1.785237
0.145989,1.578607,0.072738,1.803542,0.005664,0.001216,0.000384,1.813142
0.145092,1.563055,0.066146,1.780469,0.002880,0.001248,0.000384,1.787253
0.143716,1.577231,0.086339,1.813622,0.003040,0.001184,0.000384,1.820502
0.147044,1.562606,0.064066,1.779573,0.004289,0.001120,0.000384,1.787606
0.173189,1.577391,0.072578,1.830038,0.005569,0.001120,0.000384,1.839255
0.158085,1.562990,0.063457,1.790485,0.005505,0.001120,0.000352,1.799574
0.138564,1.590127,0.079235,1.813302,0.003456,0.001248,0.000320,1.820950
0.138692,1.563247,0.064194,1.772693,0.005440,0.001024,0.000384,1.781749
0.149509,1.581775,0.072226,1.809398,0.005536,0.001120,0.000416,1.818550
0.147844,1.564559,0.063554,1.782773,0.002688,0.001024,0.000384,1.788981
0.137317,1.577102,0.073186,1.794454,0.005568,0.001120,0.000544,1.805334
0.153220,1.563567,0.064034,1.787317,0.003328,0.001440,0.000416,1.794741
0.186341,1.568079,0.069346,1.830966,0.002944,0.001120,0.000384,1.838198
0.139524,1.561422,0.061858,1.769236,0.003392,0.001088,0.000416,1.776916
0.151876,1.592880,0.063266,1.813814,0.002496,0.001088,0.000384,1.819798
0.145093,1.563534,0.062690,1.776405,0.002432,0.001088,0.000320,1.782389
0.175397,1.561070,0.061953,1.804565,0.002528,0.001025,0.000416,1.810614
0.139172,1.573199,0.068290,1.789045,0.003232,0.001376,0.000448,1.796789
0.132484,1.563183,0.065186,1.766805,0.002624,0.001056,0.000384,1.773429
0.147653,1.564558,0.064258,1.782709,0.002656,0.000993,0.000352,1.789174
0.148868,1.565071,0.064866,1.784053,0.002560,0.000960,0.000384,1.790133
0.165573,1.561295,0.063842,1.795766,0.002368,0.000864,0.000384,1.801622
0.143748,1.566831,0.065634,1.782901,0.002560,0.001056,0.000448,1.789237
0.172165,1.563631,0.089859,1.832151,0.005600,0.001248,0.000448,1.843479
0.126756,1.570671,0.064930,1.768149,0.003296,0.001120,0.000416,1.775189
0.120355,1.580079,0.118852,1.824950,0.002400,0.000960,0.000352,1.830806
0.130692,1.570190,0.065538,1.772116,0.005472,0.001217,0.000512,1.781461
0.148293,1.584239,0.080546,1.820534,0.003552,0.001281,0.000480,1.829687
0.142852,1.562127,0.064386,1.775829,0.002560,0.000960,0.000384,1.781941
0.143908,1.580527,0.095459,1.826326,0.003264,0.001152,0.000448,1.833782
0.147461,1.574510,0.063714,1.791765,0.002464,0.000960,0.000448,1.797782
0.143845,1.580815,0.074850,1.806166,0.002912,0.001312,0.000448,1.813366
0.166373,1.565070,0.063970,1.801718,0.002592,0.001088,0.000384,1.807958
0.144900,1.581007,0.076930,1.809526,0.002720,0.001056,0.000384,1.816310
0.141924,1.562670,0.064514,1.774644,0.002496,0.001248,0.000480,1.781204
0.139684,1.578191,0.085091,1.809974,0.005472,0.001056,0.000384,1.819606
0.146309,1.563406,0.061506,1.776469,0.004288,0.001216,0.000448,1.784661
0.142340,1.589455,0.090019,1.830870,0.004352,0.001152,0.000480,1.840566
0.148868,1.561486,0.064450,1.781045,0.002336,0.000992,0.000352,1.787029
0.132740,1.580655,0.077410,1.797109,0.002528,0.001120,0.000448,1.803509
0.128644,1.577263,0.063106,1.775413,0.002432,0.000960,0.000480,1.781333
0.133476,1.591151,0.071138,1.803701,0.004704,0.001216,0.000448,1.813813
0.143620,1.579950,0.065537,1.795574,0.002560,0.001184,0.000416,1.801942
0.123812,1.579023,0.080578,1.790197,0.004320,0.001088,0.000384,1.798613
0.144836,1.563823,0.063586,1.778261,0.002688,0.001120,0.000480,1.784629
0.139716,1.580719,0.068642,1.794389,0.004288,0.001120,0.000416,1.802421
0.132356,1.573295,0.063938,1.776405,0.004352,0.001024,0.000480,1.784405
0.111139,1.590608,0.069378,1.776853,0.002816,0.000832,0.000416,1.783925
0.144165,1.563086,0.063362,1.776533,0.002624,0.001024,0.000384,1.782677
0.128131,1.594608,0.076578,1.806901,0.002688,0.001120,0.000416,1.814101
0.145252,1.570799,0.065474,1.786581,0.002560,0.000992,0.000384,1.792757
0.128836,1.589743,0.089891,1.815254,0.002528,0.000832,0.000416,1.822166
0.145189,1.562094,0.063554,1.775861,0.004448,0.001152,0.000384,1.784117
0.155813,1.583791,0.073762,1.818326,0.002592,0.000864,0.000352,1.824502
0.114979,1.561774,0.061730,1.744116,0.002400,0.000992,0.000352,1.750100
0.143364,1.587888,0.100931,1.837367,0.002496,0.001056,0.000384,1.843415
0.128196,1.571982,0.064898,1.770388,0.002528,0.000960,0.000416,1.776405
