TEE[0-3],Layer[4],Layer[5],Layer[6],Layer[7],Layer[8],Layer[9],Layer[10],classifier
1.690411,0.049699,0.000896,0.014817,0.000576,0.001568,0.001280,0.000384,1.767120
1.723341,0.050019,0.000960,0.014497,0.000544,0.001536,0.001248,0.000352,1.800562
1.706508,0.048964,0.000896,0.014049,0.000608,0.001536,0.001152,0.000384,1.781873
1.748558,0.049795,0.000896,0.014369,0.000640,0.001536,0.001056,0.000608,1.825204
1.692907,0.049155,0.000896,0.014145,0.000544,0.001568,0.001120,0.000608,1.769008
1.706188,0.049348,0.000800,0.014785,0.000608,0.001600,0.001120,0.000352,1.781841
1.682411,0.049699,0.000896,0.014497,0.000576,0.001728,0.001248,0.000384,1.759535
1.715756,0.049219,0.000864,0.014465,0.000640,0.001504,0.001280,0.000416,1.791825
1.716909,0.049379,0.000768,0.014753,0.000864,0.001600,0.001088,0.000417,1.793042
1.738350,0.049508,0.000832,0.014433,0.000672,0.001504,0.001024,0.000608,1.815027
1.656905,0.049411,0.000928,0.014529,0.000672,0.001504,0.001280,0.000640,1.733166
1.685739,0.049443,0.000865,0.014720,0.000577,0.001600,0.001184,0.000384,1.761872
1.676267,0.049219,0.000768,0.014689,0.000640,0.001728,0.000960,0.000384,1.751983
1.731373,0.049507,0.000768,0.014753,0.000704,0.001600,0.001184,0.000352,1.808178
1.680266,0.049315,0.000832,0.014177,0.000608,0.001664,0.001280,0.000384,1.755343
1.724173,0.048963,0.000864,0.014177,0.000672,0.001440,0.001153,0.000352,1.799058
1.669065,0.048995,0.000800,0.013665,0.000608,0.001632,0.001216,0.000384,1.743694
1.686923,0.048995,0.000801,0.014112,0.000641,0.001600,0.001088,0.000416,1.762864
1.700332,0.048899,0.000768,0.013985,0.000640,0.001632,0.001216,0.000384,1.775088
1.698700,0.049475,0.000832,0.013729,0.000608,0.001504,0.001024,0.000384,1.773809
1.705036,0.049187,0.000832,0.014593,0.000576,0.001600,0.001024,0.000384,1.780273
1.712172,0.048995,0.000800,0.013665,0.000544,0.001568,0.001152,0.000320,1.788049
