Layer[0],IN[1],INFER[1-8],OUT[8],TEE[1-8],Layer[9],Layer[10],classifier
0.396236,0.152101,0.611026,0.063618,0.830809,0.001248,0.000352,1.232901
0.395948,0.175397,0.602962,0.062434,0.845945,0.001216,0.000352,1.247397
0.397068,0.142980,0.630867,0.075298,0.853337,0.001344,0.000416,1.256165
0.396044,0.159749,0.604369,0.063041,0.831000,0.001568,0.000321,1.234021
0.397964,0.151300,0.600434,0.061698,0.817080,0.001344,0.000352,1.220708
0.395980,0.166789,0.603090,0.062274,0.836441,0.001280,0.000576,1.238853
0.397867,0.156581,0.606130,0.064994,0.831193,0.001600,0.000672,1.237348
0.395979,0.157509,0.619890,0.061185,0.842265,0.001344,0.000288,1.243908
0.409868,0.139684,0.600850,0.061698,0.806168,0.001312,0.000288,1.221636
0.396236,0.149188,0.612531,0.061857,0.827448,0.001152,0.000320,1.229349
0.396812,0.153285,0.633490,0.073955,0.864378,0.001568,0.000416,1.268038
0.396268,0.155493,0.611762,0.062274,0.833209,0.001120,0.000320,1.234501
0.396908,0.159429,0.617074,0.061506,0.841337,0.001120,0.000288,1.243781
0.398764,0.172581,0.632595,0.072898,0.882394,0.001376,0.000608,1.286790
0.396492,0.188550,0.602641,0.062466,0.857881,0.001440,0.000544,1.260389
0.398219,0.166885,0.618738,0.064482,0.854297,0.001568,0.000480,1.260485
0.416332,0.152581,0.604529,0.062529,0.823704,0.001504,0.000672,1.247589
0.396332,0.157669,0.606866,0.063265,0.831640,0.001505,0.000608,1.235013
0.396107,0.161348,0.608690,0.116932,0.890618,0.001568,0.000448,1.293798
0.396172,0.144132,0.602898,0.065570,0.816184,0.001664,0.000640,1.219908
0.396012,0.162693,0.604850,0.065474,0.836505,0.001408,0.000416,1.239269
0.398060,0.129924,0.629299,0.074242,0.837817,0.001536,0.000608,1.242565
0.396332,0.160132,0.603346,0.063682,0.831128,0.001408,0.000576,1.233924
0.395628,0.129156,0.612050,0.062498,0.807800,0.001152,0.000320,1.208580
0.409932,0.119939,0.604146,0.065730,0.793367,0.001184,0.000288,1.208739
0.396075,0.141605,0.612690,0.064098,0.822553,0.001280,0.000544,1.224740
0.395756,0.145957,0.603889,0.064674,0.818200,0.001344,0.000256,1.220740
0.397772,0.134884,0.602546,0.064386,0.805752,0.001376,0.000448,1.209668
0.395372,0.128580,0.617938,0.060642,0.811192,0.001504,0.000320,1.212452
0.395340,0.138340,0.618483,0.068610,0.829785,0.001344,0.000352,1.230949
0.395564,0.150660,0.602194,0.063138,0.819704,0.001408,0.000320,1.221220
0.395788,0.151845,0.611218,0.061794,0.828857,0.001344,0.000352,1.230533
0.396780,0.193861,0.633939,0.077698,0.909531,0.001856,0.000352,1.313095
0.396076,0.124580,0.603506,0.061281,0.793303,0.001344,0.000288,1.195043
0.396396,0.157604,0.606449,0.062082,0.830264,0.001248,0.000320,1.231908
0.409100,0.166501,0.602930,0.061122,0.834681,0.001184,0.000416,1.249509
0.396140,0.144324,0.613330,0.062146,0.823480,0.001120,0.000544,1.225156
0.396364,0.151429,0.609138,0.062402,0.826617,0.001344,0.000288,1.228453
0.395052,0.138372,0.610770,0.061666,0.814616,0.001280,0.000352,1.215396
0.396044,0.139140,0.611442,0.060546,0.815096,0.001216,0.000384,1.216932
0.395596,0.131620,0.629074,0.074499,0.839449,0.001408,0.000352,1.241253
0.396172,0.153348,0.612978,0.061986,0.831672,0.001312,0.000320,1.232996
0.413932,0.233351,0.631827,0.071682,0.941500,0.003456,0.000640,1.365480
0.421708,0.239656,0.632818,0.072770,0.949373,0.003264,0.000896,1.381321
0.398700,0.171749,0.630195,0.070370,0.876890,0.002656,0.000704,1.285670
0.397740,0.165253,0.631251,0.075810,0.877146,0.002336,0.000672,1.283334
0.396491,0.165413,0.610834,0.066978,0.847386,0.001888,0.000384,1.251877
0.397996,0.162629,0.621746,0.068482,0.856729,0.002016,0.000448,1.262214
0.397036,0.182246,0.611314,0.066626,0.864634,0.001792,0.000384,1.268966
0.395788,0.159333,0.607698,0.065826,0.837113,0.001888,0.000288,1.240197
0.395691,0.148901,0.606354,0.066050,0.825753,0.001728,0.000608,1.229796
0.412748,0.160517,0.618962,0.066114,0.849241,0.001728,0.000384,1.269414
0.395308,0.158117,0.606162,0.066242,0.834713,0.001600,0.000416,1.236933
0.395436,0.161637,0.624594,0.084355,0.875130,0.001632,0.000512,1.277446
0.394956,0.163012,0.605649,0.065282,0.838264,0.001633,0.000448,1.240229
0.395852,0.199398,0.608050,0.067042,0.878458,0.001504,0.000416,1.281446
0.395660,0.177669,0.608306,0.064802,0.854681,0.001600,0.000384,1.257317
0.396011,0.165541,0.609810,0.065282,0.844729,0.001504,0.000480,1.247589
0.395692,0.160741,0.607954,0.065346,0.839033,0.001600,0.000416,1.241413
0.395244,0.190662,0.617810,0.066978,0.879706,0.001536,0.000416,1.281574
0.395884,0.185125,0.607442,0.066242,0.862745,0.001697,0.000416,1.265702
0.394763,0.160325,0.622131,0.075202,0.861786,0.001568,0.000704,1.263173
0.395692,0.160613,0.605585,0.065921,0.836312,0.001632,0.000416,1.238789
0.395564,0.148132,0.604818,0.065730,0.822680,0.001632,0.000448,1.225508
0.415020,0.161829,0.614610,0.067170,0.847705,0.001632,0.000448,1.269605
0.395244,0.160517,0.605298,0.067266,0.837145,0.001664,0.000416,1.240997
0.396268,0.160421,0.604658,0.072898,0.841849,0.001984,0.000384,1.245285
0.396140,0.188038,0.603986,0.065250,0.861082,0.001632,0.000416,1.263974
0.394732,0.161253,0.603505,0.066018,0.834904,0.001409,0.000416,1.236005
0.395500,0.160965,0.626674,0.069986,0.861689,0.001600,0.000640,1.264741
0.395148,0.156452,0.604017,0.063554,0.827544,0.001440,0.000288,1.228004
0.395660,0.154021,0.604882,0.064322,0.827129,0.001472,0.000352,1.229189
0.423756,0.155429,0.614258,0.065602,0.839289,0.001216,0.000288,1.269157
0.394892,0.154532,0.604786,0.064034,0.827160,0.001280,0.000288,1.227812
0.395116,0.180485,0.621331,0.065986,0.871898,0.001312,0.000384,1.273702
0.394828,0.188006,0.607218,0.064354,0.863386,0.001280,0.000416,1.265382
0.395852,0.162853,0.608306,0.066562,0.841913,0.001504,0.000384,1.245061
0.394923,0.187846,0.623410,0.069858,0.885434,0.001633,0.000448,1.287271
0.395660,0.198694,0.606258,0.066274,0.875578,0.001504,0.000448,1.278150
0.395564,0.173253,0.605938,0.081794,0.865209,0.001472,0.000384,1.267877
0.414445,0.162852,0.617874,0.067426,0.852281,0.001440,0.000384,1.273382
0.395084,0.160069,0.604786,0.066818,0.835449,0.001344,0.000384,1.237061
0.395339,0.160644,0.605426,0.091299,0.861145,0.001472,0.000512,1.263013
0.395308,0.156772,0.603345,0.064578,0.828536,0.001472,0.000480,1.230244
0.395115,0.160293,0.617330,0.066114,0.847705,0.001441,0.000672,1.250277
0.395724,0.167077,0.627282,0.087299,0.887546,0.001632,0.000736,1.291462
0.395116,0.157573,0.603698,0.064866,0.830617,0.001504,0.000480,1.232645
0.394924,0.164101,0.608146,0.067138,0.843321,0.001568,0.000448,1.244933
0.412172,0.161573,0.606066,0.066306,0.838105,0.001408,0.000704,1.257189
0.395372,0.156964,0.605618,0.066530,0.833272,0.001664,0.000672,1.235909
0.395371,0.144069,0.637362,0.088802,0.874746,0.001632,0.000384,1.277157
0.395148,0.142148,0.604594,0.065378,0.816120,0.001376,0.000448,1.218020
0.395052,0.160932,0.605746,0.065474,0.836408,0.001536,0.000416,1.238372
0.395468,0.161445,0.633811,0.112931,0.912251,0.001568,0.000480,1.314855
0.394988,0.160229,0.603218,0.066018,0.833209,0.001632,0.000384,1.235301
0.395019,0.150116,0.602802,0.067426,0.824153,0.001408,0.000480,1.225956
0.411180,0.162149,0.614034,0.072162,0.852985,0.001408,0.000417,1.271110
0.394700,0.156325,0.603442,0.065218,0.829273,0.001440,0.000416,1.230661
0.395020,0.159588,0.639283,0.077923,0.881658,0.001504,0.000352,1.284614
0.395627,0.147908,0.605554,0.065890,0.823640,0.001408,0.000352,1.226468
0.395212,0.155812,0.605458,0.066210,0.831672,0.001600,0.000448,1.233700
0.395212,0.159109,0.637363,0.087491,0.888603,0.001568,0.000448,1.291815
0.394987,0.146245,0.603346,0.065378,0.819609,0.001408,0.000448,1.221412
0.395180,0.157188,0.606194,0.066722,0.834360,0.001408,0.000640,1.236356
0.414380,0.160261,0.615314,0.067714,0.847321,0.001408,0.000384,1.269093
0.395884,0.151141,0.607218,0.067778,0.830265,0.001536,0.000640,1.233829
0.395788,0.157925,0.604721,0.088962,0.855897,0.001536,0.000480,1.258853
0.395116,0.147332,0.605906,0.064770,0.821976,0.001472,0.000384,1.223652
0.395051,0.191142,0.606162,0.065602,0.867290,0.001568,0.000384,1.269477
0.396012,0.160005,0.624338,0.070530,0.859033,0.001600,0.000640,1.262085
0.396108,0.155461,0.604082,0.065505,0.828953,0.001504,0.000448,1.231461
0.396172,0.157476,0.604177,0.064386,0.830200,0.001472,0.000416,1.233316
0.412300,0.156260,0.617267,0.064738,0.842489,0.001568,0.000480,1.261350
0.394955,0.158980,0.603794,0.068002,0.834904,0.001504,0.000384,1.236356
0.395403,0.162469,0.606002,0.095139,0.867962,0.001600,0.000416,1.271013
0.396555,0.158916,0.603954,0.064930,0.832120,0.001536,0.000480,1.236900
0.394987,0.153349,0.606194,0.064194,0.827641,0.001600,0.000416,1.229732
0.396044,0.161157,0.622834,0.078339,0.866106,0.001600,0.000608,1.269030
0.395435,0.159269,0.606322,0.064706,0.834457,0.001568,0.000448,1.236644
0.394892,0.160388,0.606610,0.063586,0.834648,0.001536,0.000448,1.235588
0.410604,0.178822,0.617554,0.064802,0.865178,0.001184,0.000608,1.281926
0.394347,0.152357,0.601586,0.062082,0.819769,0.001280,0.000416,1.219620
0.395052,0.154405,0.602034,0.087010,0.847225,0.001344,0.000448,1.248485
0.395051,0.182533,0.601458,0.062914,0.850489,0.001536,0.000416,1.252261
0.399980,0.168517,0.614322,0.069698,0.857177,0.001440,0.000416,1.264805
0.397067,0.158149,0.625107,0.109027,0.896635,0.001440,0.000416,1.301126
0.396587,0.143621,0.604946,0.070178,0.823449,0.001536,0.000704,1.228356
0.397292,0.190598,0.617074,0.067266,0.879386,0.001536,0.000640,1.283782
0.415597,0.162149,0.606706,0.068418,0.841817,0.001504,0.000512,1.264518
0.397196,0.192390,0.605394,0.066082,0.869242,0.001600,0.000736,1.274214
0.396044,0.159780,0.622643,0.072866,0.859705,0.001664,0.000416,1.262917
0.396940,0.145348,0.617523,0.065026,0.832537,0.001440,0.000608,1.236357
0.396332,0.189574,0.605458,0.067266,0.866618,0.001472,0.000384,1.269542
0.396492,0.173317,0.628275,0.066274,0.872186,0.001600,0.000480,1.275846
0.397228,0.171557,0.608946,0.069730,0.854713,0.001664,0.000576,1.259269
0.397643,0.158661,0.604722,0.065954,0.833305,0.001536,0.000608,1.237604
0.396747,0.192646,0.618066,0.068674,0.883386,0.001633,0.000416,1.286886
0.396780,0.150884,0.608210,0.066402,0.830200,0.001536,0.000672,1.234340
