Layer[0],Layer[1],Layer[2],Layer[3],Layer[4],Layer[5],Layer[6],TEE[7-9],Layer[10],classifier
0.415920,0.017249,0.201992,0.004832,0.047266,0.000576,0.013376,0.168807,0.000608,0.877058
0.415824,0.017249,0.202312,0.004832,0.046978,0.000576,0.013409,0.175047,0.000608,0.883747
0.434449,0.017313,0.202184,0.004864,0.047170,0.000576,0.013409,0.182375,0.000704,0.909348
0.420081,0.017345,0.202183,0.004833,0.046946,0.000576,0.013376,0.177703,0.000672,0.890115
0.415376,0.017345,0.204072,0.004864,0.046946,0.000512,0.013440,0.174918,0.000576,0.884706
0.415056,0.017249,0.202376,0.004832,0.047266,0.000608,0.013377,0.203432,0.000672,0.911812
0.415984,0.017473,0.202856,0.004832,0.047234,0.000576,0.013376,0.179911,0.000736,0.890627
0.416912,0.017409,0.202856,0.004832,0.046978,0.000608,0.013760,0.192008,0.000736,0.903587
0.416401,0.017216,0.202600,0.004864,0.048577,0.000576,0.013409,0.179143,0.000608,0.890307
0.440113,0.017537,0.202280,0.004832,0.047490,0.000608,0.013377,0.176615,0.000576,0.910628
0.420336,0.017953,0.202664,0.004768,0.047426,0.000544,0.013377,0.177318,0.000576,0.892259
0.415920,0.017473,0.202504,0.004992,0.047106,0.000576,0.013409,0.181095,0.000672,0.890499
0.415377,0.017184,0.202248,0.004865,0.047233,0.000545,0.013408,0.188775,0.000672,0.897188
0.415536,0.017185,0.202407,0.004896,0.047042,0.000576,0.013440,0.167783,0.000544,0.875810
0.416305,0.017697,0.204488,0.004800,0.046978,0.000576,0.013408,0.173991,0.000704,0.885251
0.415184,0.017281,0.201864,0.004800,0.047010,0.000544,0.013409,0.174247,0.000608,0.882051
0.434513,0.017345,0.202344,0.004832,0.046946,0.000608,0.013408,0.184103,0.000704,0.914468
0.417808,0.017377,0.203592,0.004800,0.048930,0.000608,0.013665,0.183175,0.000672,0.898915
0.416208,0.017505,0.203208,0.004928,0.048226,0.000576,0.013408,0.179847,0.000736,0.891299
0.416368,0.017313,0.202824,0.004832,0.048450,0.000576,0.013441,0.181095,0.000608,0.892483
0.416176,0.017472,0.202216,0.004864,0.047490,0.000544,0.013409,0.166950,0.000544,0.875970
0.421552,0.017281,0.202216,0.004864,0.047266,0.000608,0.013409,0.177127,0.000672,0.891427
0.416848,0.017409,0.202024,0.004800,0.047202,0.000576,0.013344,0.174951,0.000704,0.884322
0.438481,0.017409,0.202088,0.004864,0.047330,0.000544,0.013312,0.188648,0.000608,0.920292
0.415600,0.017505,0.202248,0.004864,0.048130,0.000576,0.013440,0.186600,0.000672,0.898403
0.420721,0.017441,0.202856,0.004960,0.049122,0.000576,0.013728,0.177799,0.000640,0.896196
0.420432,0.017664,0.202408,0.004800,0.049634,0.000608,0.013761,0.176711,0.000704,0.895715
0.415632,0.017665,0.202728,0.004832,0.049730,0.000576,0.013729,0.176103,0.000576,0.889955
0.415121,0.017376,0.202024,0.004865,0.048930,0.000576,0.013792,0.177863,0.000640,0.887587
0.420913,0.017313,0.202056,0.004800,0.049058,0.000544,0.013504,0.176263,0.000608,0.892515
0.420656,0.017537,0.203720,0.004832,0.047714,0.000576,0.013569,0.189607,0.000576,0.924964
0.416112,0.017472,0.202888,0.004768,0.047266,0.000576,0.013473,0.186823,0.000672,0.896899
0.416656,0.017441,0.202280,0.004832,0.046914,0.000544,0.013440,0.187880,0.000608,0.897603
0.415888,0.017281,0.201960,0.004800,0.047138,0.000576,0.013376,0.185159,0.000576,0.893603
0.430416,0.017344,0.202952,0.004832,0.046914,0.000576,0.013441,0.183975,0.000576,0.908835
0.420369,0.017473,0.202312,0.004896,0.047042,0.000576,0.013440,0.186536,0.000704,0.900260
0.416369,0.017568,0.202024,0.004864,0.047234,0.000576,0.013441,0.187111,0.000576,0.897411
0.436594,0.017472,0.202504,0.004897,0.047649,0.000576,0.013569,0.182823,0.000672,0.914532
0.416048,0.017441,0.202280,0.004992,0.047170,0.000544,0.013440,0.182696,0.000640,0.893667
0.415888,0.017537,0.202376,0.004800,0.048322,0.000608,0.013408,0.172519,0.000576,0.883202
0.416336,0.017537,0.202344,0.004800,0.048290,0.000544,0.013376,0.179719,0.000800,0.891266
0.420817,0.017249,0.202248,0.004864,0.047554,0.000576,0.013440,0.174279,0.000736,0.888867
0.416913,0.017313,0.203912,0.004800,0.047970,0.000576,0.013376,0.183495,0.000608,0.896964
0.420752,0.017601,0.201864,0.004864,0.048450,0.000544,0.013377,0.185223,0.000608,0.900163
0.415568,0.036385,0.202792,0.004865,0.048578,0.000576,0.013440,0.176775,0.000768,0.907555
0.416080,0.017505,0.202440,0.004800,0.047650,0.000608,0.013441,0.175110,0.000768,0.885987
0.415792,0.017441,0.202312,0.004864,0.048482,0.000576,0.013472,0.178311,0.000704,0.889763
0.416881,0.017729,0.203048,0.004864,0.048930,0.000576,0.013504,0.190920,0.000576,0.904580
0.416016,0.017505,0.202568,0.004832,0.047906,0.000576,0.013440,0.180647,0.000704,0.892354
0.416336,0.017281,0.202120,0.004896,0.048546,0.000576,0.013505,0.185831,0.000736,0.897123
0.420720,0.017377,0.202440,0.004768,0.048898,0.000544,0.013409,0.172231,0.000704,0.888803
0.416624,0.017281,0.220361,0.004992,0.048354,0.000576,0.013440,0.181256,0.000704,0.910468
0.420721,0.017216,0.202343,0.004769,0.047714,0.000544,0.013312,0.176903,0.000640,0.891747
0.415888,0.017505,0.202664,0.004800,0.047938,0.000576,0.013409,0.169030,0.000640,0.879427
0.416081,0.017441,0.202407,0.004769,0.047522,0.000608,0.013376,0.182535,0.000704,0.892611
0.416240,0.017473,0.202152,0.004832,0.048674,0.000576,0.013472,0.185736,0.000672,0.897283
0.421137,0.017441,0.202024,0.004800,0.049474,0.000576,0.013824,0.182535,0.000641,0.899620
0.416048,0.017216,0.202312,0.004832,0.049186,0.000576,0.013697,0.175143,0.000608,0.887747
0.415793,0.017697,0.219720,0.005056,0.049026,0.000544,0.013409,0.170663,0.000544,0.900004
0.414512,0.017441,0.202152,0.004992,0.048194,0.000576,0.013376,0.182599,0.000640,0.891299
0.419952,0.017217,0.201928,0.004832,0.047746,0.000544,0.013377,0.175110,0.000608,0.889219
0.415952,0.017249,0.201864,0.004800,0.046946,0.000576,0.013440,0.158535,0.000832,0.866722
0.438289,0.020769,0.201992,0.004800,0.046978,0.000544,0.013408,0.174311,0.000576,0.908035
0.419953,0.020737,0.202088,0.004864,0.047170,0.000448,0.013376,0.176327,0.000544,0.891715
0.416272,0.017217,0.202247,0.004768,0.047138,0.000576,0.013312,0.207240,0.000576,0.916131
0.415345,0.017633,0.202183,0.004801,0.065506,0.000608,0.013505,0.178343,0.000608,0.907044
0.415441,0.017313,0.201959,0.004897,0.046881,0.000640,0.013408,0.174727,0.000576,0.883587
0.415888,0.017441,0.202856,0.004800,0.047234,0.000576,0.013473,0.180551,0.000576,0.890403
0.416113,0.017280,0.202120,0.004800,0.046850,0.000576,0.013377,0.174375,0.000544,0.882691
0.433105,0.017377,0.202119,0.004961,0.046978,0.000576,0.013376,0.178567,0.000704,0.904003
0.415921,0.017312,0.201960,0.004832,0.046914,0.000608,0.013409,0.174407,0.000992,0.883363
0.414832,0.017313,0.202344,0.004832,0.046946,0.000576,0.013376,0.171719,0.000608,0.879330
0.416465,0.017216,0.202504,0.004769,0.047105,0.000576,0.013345,0.197928,0.000800,0.908644
0.416657,0.017249,0.202407,0.004961,0.046946,0.000576,0.013344,0.159110,0.000768,0.868930
0.419760,0.017505,0.202152,0.004864,0.047106,0.000544,0.013376,0.175591,0.000544,0.888898
0.416784,0.017569,0.202472,0.004800,0.046914,0.000608,0.013376,0.172967,0.000736,0.883138
0.441138,0.017376,0.202184,0.004833,0.046849,0.000576,0.013377,0.178215,0.000640,0.912356
0.415984,0.017729,0.202184,0.004768,0.046978,0.000544,0.013889,0.176327,0.000928,0.886851
0.421009,0.017281,0.202600,0.004832,0.046914,0.000608,0.013504,0.174247,0.000704,0.889059
0.416016,0.017473,0.202344,0.004768,0.047426,0.000576,0.013376,0.193640,0.000608,0.903043
0.416368,0.017472,0.202312,0.004800,0.047042,0.000576,0.013377,0.168134,0.000672,0.877346
