Layer[0],Layer[1],Layer[2],TEE[3-5],Layer[6],Layer[7],Layer[8],Layer[9],Layer[10],classifier
0.439538,0.017856,0.202472,0.252170,0.014465,0.000448,0.001536,0.001216,0.000320,0.938277
0.420336,0.017600,0.202280,0.243882,0.014752,0.000448,0.001537,0.001152,0.000384,0.910308
0.416176,0.017377,0.202120,0.252970,0.016225,0.000512,0.001568,0.001184,0.000320,0.915812
0.415984,0.017729,0.202568,0.272363,0.014336,0.000480,0.001600,0.001408,0.000352,0.934533
0.420753,0.017953,0.202184,0.251082,0.014656,0.000448,0.001600,0.001056,0.000384,0.917412
0.415856,0.017761,0.202376,0.255082,0.014945,0.000448,0.001536,0.001088,0.000448,0.918052
0.420593,0.017697,0.202152,0.235689,0.014432,0.000513,0.001536,0.001056,0.000352,0.902436
0.434833,0.017889,0.202696,0.247594,0.014624,0.000480,0.001569,0.001216,0.000384,0.930053
0.416016,0.017985,0.202120,0.250058,0.014560,0.000448,0.001728,0.001120,0.000384,0.912868
0.416144,0.017312,0.202120,0.249514,0.014529,0.000448,0.001568,0.001248,0.000352,0.911268
0.415824,0.017761,0.221481,0.277162,0.015936,0.000640,0.001504,0.001120,0.000320,0.959653
0.416240,0.017537,0.201992,0.244457,0.014817,0.000480,0.001568,0.001024,0.000352,0.906211
0.416272,0.017921,0.201704,0.246953,0.014593,0.000448,0.001600,0.000992,0.000352,0.907299
0.420144,0.017473,0.202088,0.254858,0.014657,0.000512,0.001568,0.000960,0.000448,0.921060
0.416561,0.017600,0.202024,0.243914,0.015137,0.000448,0.001472,0.001056,0.000384,0.906308
0.416049,0.017537,0.202504,0.242409,0.014529,0.000480,0.001536,0.000960,0.000384,0.904644
0.415472,0.017729,0.202024,0.231369,0.014176,0.000416,0.001569,0.001056,0.000416,0.891811
0.415984,0.017313,0.217960,0.251882,0.014497,0.000480,0.001536,0.000992,0.000352,0.930020
0.420176,0.017696,0.201864,0.234889,0.014561,0.000544,0.001600,0.000960,0.000384,0.900131
0.419729,0.017793,0.201864,0.242473,0.015713,0.000480,0.001536,0.000928,0.000320,0.907556
0.423633,0.017729,0.203912,0.297259,0.016000,0.000736,0.002080,0.001952,0.000576,0.976678
0.420368,0.017761,0.202888,0.243818,0.015744,0.000480,0.001792,0.001056,0.000384,0.912355
0.422064,0.017697,0.204648,0.275019,0.015809,0.000704,0.001984,0.002528,0.000608,0.954053
0.416592,0.017377,0.201992,0.238857,0.017569,0.000640,0.001632,0.001408,0.000576,0.904643
0.436657,0.017857,0.202184,0.269643,0.014464,0.000448,0.001600,0.000960,0.000384,0.952486
0.420592,0.017505,0.202024,0.239913,0.016416,0.000480,0.001472,0.001024,0.000352,0.907683
0.416624,0.017601,0.202184,0.246185,0.014369,0.000480,0.001504,0.001024,0.000384,0.907491
0.421104,0.017505,0.203688,0.258282,0.014785,0.000448,0.001600,0.001024,0.000544,0.928324
0.415633,0.017696,0.202344,0.243274,0.014401,0.000448,0.001504,0.001088,0.000352,0.904036
0.420593,0.017696,0.202248,0.241514,0.014464,0.000544,0.001537,0.000992,0.000352,0.907268
0.420400,0.017728,0.202472,0.237386,0.014176,0.000480,0.001536,0.000896,0.000832,0.903267
0.433649,0.017505,0.202472,0.238985,0.014337,0.000480,0.001504,0.000896,0.000416,0.917636
0.420432,0.017889,0.202408,0.241834,0.016352,0.000544,0.001536,0.000896,0.000384,0.909476
0.416560,0.017729,0.202312,0.251402,0.014304,0.000352,0.001664,0.000992,0.000352,0.915204
0.420913,0.017889,0.220232,0.251306,0.014721,0.000480,0.001472,0.000928,0.000352,0.937701
0.420689,0.018017,0.202984,0.242889,0.014145,0.000544,0.001536,0.000896,0.000352,0.909764
0.416048,0.017345,0.201800,0.234089,0.014177,0.000352,0.001568,0.001088,0.000352,0.894499
0.417105,0.017345,0.202727,0.261643,0.014592,0.000512,0.001568,0.000992,0.000352,0.925509
0.429873,0.017761,0.202792,0.239721,0.014561,0.000544,0.001472,0.000960,0.000320,0.915908
0.415376,0.017793,0.202184,0.233417,0.014273,0.000416,0.001536,0.000992,0.000384,0.893859
0.415184,0.017281,0.202120,0.225993,0.015713,0.000352,0.001600,0.000768,0.000384,0.887203
0.421040,0.017856,0.222697,0.256042,0.014401,0.000448,0.001632,0.001088,0.000352,0.944485
0.416881,0.017857,0.203112,0.237353,0.014208,0.000480,0.001472,0.001024,0.000384,0.900388
0.420848,0.017601,0.202216,0.247626,0.014400,0.000480,0.001632,0.001056,0.000448,0.914915
0.416592,0.018049,0.203240,0.243465,0.014689,0.000448,0.001536,0.001184,0.000416,0.907555
0.420593,0.017665,0.203048,0.247913,0.014368,0.000416,0.001696,0.000992,0.000352,0.915140
0.421488,0.017953,0.201896,0.246442,0.014560,0.000512,0.001568,0.001056,0.000384,0.913635
0.417456,0.017441,0.202632,0.244329,0.015009,0.000512,0.001632,0.001120,0.000576,0.909859
0.440305,0.017921,0.202248,0.246570,0.014624,0.000480,0.001504,0.001025,0.000384,0.933445
0.420848,0.017953,0.202696,0.238953,0.014017,0.000512,0.001440,0.001088,0.000384,0.905539
0.421168,0.017633,0.202792,0.234953,0.014433,0.000448,0.001632,0.001088,0.000384,0.901699
0.421776,0.017664,0.202088,0.258666,0.014689,0.000448,0.001504,0.000960,0.000352,0.925220
0.422256,0.017601,0.202120,0.239625,0.014625,0.000480,0.001504,0.000992,0.000384,0.906851
0.421360,0.017697,0.202120,0.241418,0.014112,0.000512,0.001440,0.000896,0.000832,0.907363
0.421872,0.017857,0.203560,0.225193,0.014432,0.000448,0.001472,0.000992,0.000320,0.893859
0.438321,0.017792,0.201896,0.242250,0.014336,0.000448,0.001472,0.000928,0.000384,0.925093
0.421136,0.017889,0.202408,0.238697,0.014209,0.000480,0.001440,0.000864,0.000352,0.904547
0.420880,0.017921,0.202088,0.250058,0.014753,0.000448,0.001472,0.000992,0.000352,0.918596
0.417873,0.018112,0.202792,0.261227,0.015296,0.000480,0.001472,0.001024,0.000416,0.926596
0.423216,0.017825,0.202696,0.238505,0.014369,0.000448,0.001408,0.000928,0.000416,0.907171
