Layer[0],IN[1],INFER[1-2],OUT[2],TEE[1-2],Layer[3],Layer[4],Layer[5],Layer[6],Layer[7],Layer[8],Layer[9],Layer[10],classifier
0.399756,0.166661,0.531504,0.068034,0.770167,0.006304,0.047650,0.000832,0.013696,0.000352,0.001440,0.000928,0.000352,1.248517
0.416748,0.157701,0.540144,0.065986,0.768823,0.007360,0.049890,0.000864,0.013504,0.000384,0.001504,0.000896,0.000320,1.268069
0.397772,0.142021,0.545104,0.065986,0.757111,0.009440,0.047905,0.000609,0.013536,0.000416,0.001440,0.001056,0.000384,1.237413
0.394636,0.149669,0.541936,0.071106,0.766615,0.012416,0.047746,0.000800,0.013568,0.000416,0.001440,0.001088,0.000352,1.246213
0.394315,0.188198,0.545872,0.067682,0.805624,0.006496,0.047426,0.000832,0.013568,0.000416,0.001504,0.001120,0.000352,1.278437
0.394731,0.167653,0.529968,0.067874,0.768855,0.006432,0.047426,0.000864,0.013600,0.000416,0.001536,0.001024,0.000320,1.242052
0.397676,0.163301,0.563185,0.093539,0.823737,0.009536,0.047457,0.000769,0.013568,0.000416,0.001440,0.001120,0.000320,1.303335
0.399244,0.183653,0.541008,0.068674,0.798039,0.012257,0.047553,0.000832,0.013569,0.000416,0.001440,0.000928,0.000352,1.281318
0.400075,0.161892,0.547057,0.066818,0.779479,0.005248,0.047329,0.000608,0.013505,0.000352,0.001440,0.001120,0.000352,1.256293
0.424556,0.166053,0.540336,0.069475,0.779576,0.006592,0.047553,0.000640,0.013569,0.000384,0.001376,0.000960,0.000320,1.282470
0.401708,0.162437,0.544432,0.067874,0.779031,0.012256,0.047362,0.000832,0.013568,0.000384,0.001344,0.000992,0.000384,1.265413
0.399596,0.155941,0.529936,0.080674,0.787736,0.005280,0.047617,0.001088,0.013633,0.000352,0.001408,0.001088,0.000384,1.266150
0.399276,0.165317,0.530352,0.066818,0.766359,0.006560,0.047553,0.000960,0.013569,0.000384,0.001376,0.001216,0.000352,1.244709
0.399756,0.165989,0.531568,0.068738,0.769847,0.005280,0.047777,0.000608,0.013761,0.000416,0.001440,0.001056,0.000352,1.247077
0.399116,0.158116,0.540464,0.077218,0.779895,0.009504,0.047298,0.000608,0.013568,0.000384,0.001376,0.001088,0.000320,1.260357
0.401932,0.197958,0.529103,0.067202,0.797880,0.007264,0.047905,0.000832,0.013569,0.000416,0.001440,0.000960,0.000352,1.280102
0.394635,0.162148,0.530384,0.066786,0.763222,0.005248,0.047458,0.001024,0.013568,0.000384,0.001472,0.001120,0.000352,1.235364
0.415596,0.163205,0.542032,0.070914,0.781143,0.005408,0.047554,0.000832,0.013632,0.000384,0.001344,0.000960,0.000352,1.274821
0.401036,0.152965,0.528560,0.065858,0.751287,0.007520,0.047457,0.000832,0.013537,0.000384,0.001440,0.000992,0.000384,1.231781
0.400012,0.150404,0.529744,0.070434,0.754966,0.012065,0.079458,0.000800,0.013505,0.000384,0.001440,0.001024,0.000416,1.272262
0.399052,0.166789,0.530608,0.068162,0.769175,0.013408,0.047426,0.000992,0.013536,0.000384,0.001376,0.001120,0.000352,1.253445
0.397740,0.154116,0.528272,0.076130,0.762358,0.005216,0.047490,0.001024,0.013504,0.000384,0.001408,0.000960,0.000384,1.238948
0.399180,0.159973,0.547632,0.077251,0.788632,0.009248,0.047937,0.001056,0.013505,0.000352,0.001440,0.001056,0.000416,1.269350
0.399340,0.169029,0.530224,0.067810,0.771639,0.005728,0.047650,0.001024,0.013568,0.000416,0.001312,0.000960,0.000352,1.250501
0.394668,0.153381,0.528688,0.071906,0.757719,0.005280,0.047425,0.001088,0.013633,0.000416,0.001408,0.001024,0.000384,1.230117
0.411244,0.171109,0.541809,0.070498,0.787544,0.006208,0.047649,0.000864,0.013569,0.000352,0.001504,0.001440,0.000384,1.279014
0.401292,0.162117,0.530063,0.069250,0.765111,0.006880,0.048865,0.000832,0.013569,0.000352,0.001440,0.000992,0.000352,1.246597
0.394316,0.166565,0.528176,0.066946,0.765751,0.012000,0.065634,0.001120,0.013632,0.000320,0.001440,0.000960,0.000352,1.263590
0.394251,0.163205,0.529616,0.068962,0.766039,0.006592,0.048738,0.000992,0.013504,0.000416,0.001440,0.001024,0.000384,1.240836
