IN[0],INFER[0-9],OUT[9],TEE[0-9],Layer[10],classifier
0.143364,1.585199,0.075618,1.811318,0.000864,1.814422
0.147332,1.584943,0.068866,1.808342,0.000704,1.810742
0.147972,1.594127,0.081923,1.832406,0.000704,1.835478
0.172581,1.582479,0.067202,1.828662,0.000832,1.831478
0.148356,1.586799,0.083267,1.825462,0.000704,1.828214
0.146436,1.583055,0.072418,1.808693,0.000736,1.811221
0.149253,1.588975,0.079906,1.826166,0.000640,1.829014
0.116484,1.579471,0.070082,1.773589,0.000768,1.776277
0.149092,1.579694,0.068707,1.805558,0.000768,1.808502
0.130116,1.583759,0.068162,1.789589,0.000672,1.792117
0.145540,1.580559,0.070050,1.802485,0.000768,1.805077
0.147236,1.585775,0.068642,1.808854,0.000768,1.811222
0.151653,1.581775,0.072290,1.812374,0.000768,1.814742
0.147332,1.568271,0.099139,1.821494,0.000768,1.824150
0.149317,1.577455,0.071426,1.805238,0.000704,1.807542
0.148164,1.586095,0.080578,1.822678,0.000736,1.825558
0.127844,1.576943,0.068610,1.780469,0.000640,1.782677
0.138116,1.589391,0.092995,1.829078,0.000704,1.832150
0.152516,1.580879,0.078915,1.820278,0.000736,1.823126
0.151012,1.588271,0.090562,1.837654,0.000608,1.840663
0.151429,1.572239,0.073826,1.804086,0.000768,1.806518
0.135652,1.593871,0.088291,1.825142,0.000672,1.827574
0.147204,1.573615,0.068994,1.796917,0.000768,1.799509
0.147172,1.596016,0.082146,1.831766,0.000640,1.834806
0.167685,1.599215,0.068066,1.840886,0.000736,1.843286
0.145380,1.601424,0.082338,1.835830,0.000640,1.838774
0.131076,1.575119,0.066690,1.779637,0.000640,1.781973
0.157732,1.601743,0.077091,1.847927,0.001120,1.851607
0.154500,1.578062,0.071491,1.811958,0.000768,1.814390
0.131139,1.593199,0.092931,1.825430,0.000704,1.828151
0.151333,1.581839,0.069506,1.810134,0.000704,1.812918
0.150501,1.586383,0.079778,1.824022,0.000736,1.826646
0.149284,1.568559,0.068674,1.793237,0.000736,1.796117
0.147620,1.593807,0.077250,1.826294,0.000736,1.829686
0.148452,1.581711,0.068674,1.805269,0.000768,1.808021
0.147237,1.584367,0.081986,1.821590,0.000672,1.824726
0.154340,1.578894,0.068738,1.809814,0.000704,1.812342
0.153477,1.600175,0.075683,1.838647,0.000768,1.841879
0.153636,1.577967,0.071266,1.810165,0.000832,1.812598
0.159941,1.584687,0.069986,1.820918,0.000736,1.823414
0.134820,1.572751,0.073346,1.787381,0.000800,1.790069
0.149796,1.582799,0.071139,1.810454,0.000864,1.813206
0.152388,1.569551,0.067618,1.796278,0.000800,1.798934
0.142084,1.571151,0.069890,1.789813,0.000736,1.792149
0.124195,1.583151,0.105988,1.818454,0.000736,1.820886
0.181798,1.572430,0.070690,1.830615,0.000800,1.833175
