Layer[0],Layer[1],Layer[2],Layer[3],Layer[4],Layer[5],Layer[6],Layer[7],Layer[8],Layer[9],IN[10],INFER[10-10],OUT[10],TEE[10-10],classifier
0.400108,0.017537,0.191301,0.004801,0.047169,0.000608,0.013408,0.000416,0.001537,0.001120,0.106019,0.034369,0.000064,0.142692,0.827321
0.406412,0.017536,0.191302,0.004864,0.047169,0.000544,0.013409,0.000384,0.001440,0.001056,0.106723,0.033889,0.000064,0.142916,0.833912
0.395083,0.017537,0.192038,0.005248,0.047073,0.000608,0.013441,0.000352,0.001504,0.001152,0.106339,0.030849,0.000064,0.139716,0.821080
0.396043,0.031105,0.192070,0.005248,0.047106,0.000576,0.013440,0.000384,0.001504,0.001184,0.105059,0.036609,0.000064,0.144452,0.840345
0.395980,0.017344,0.191494,0.004864,0.047106,0.000608,0.013408,0.000352,0.001440,0.001120,0.103331,0.034497,0.000064,0.140580,0.821656
0.396908,0.017697,0.192069,0.004897,0.047489,0.000608,0.013568,0.000352,0.001537,0.001184,0.106659,0.035905,0.000032,0.145060,0.828601
0.395948,0.017472,0.191622,0.004864,0.047105,0.000576,0.013504,0.000384,0.001440,0.001120,0.106115,0.037601,0.000064,0.146244,0.827096
0.416461,0.017408,0.191750,0.004832,0.047425,0.000576,0.013441,0.000384,0.001504,0.001184,0.102787,0.031201,0.000064,0.136420,0.838489
0.396204,0.017569,0.191461,0.004833,0.047297,0.000800,0.013472,0.000384,0.001505,0.001216,0.097794,0.030944,0.000032,0.131363,0.813880
0.400556,0.017696,0.191430,0.004864,0.047362,0.000576,0.013408,0.000384,0.001440,0.001056,0.098115,0.031937,0.000064,0.132612,0.817976
0.394955,0.017504,0.191910,0.004832,0.047105,0.000576,0.013441,0.000384,0.001408,0.001056,0.104323,0.038369,0.000064,0.145188,0.825016
0.395467,0.017633,0.191814,0.004832,0.047169,0.000608,0.013441,0.000384,0.001472,0.001056,0.102403,0.035169,0.000064,0.140036,0.820536
0.400332,0.017697,0.192229,0.004832,0.047105,0.000608,0.013472,0.000384,0.001472,0.001184,0.099683,0.028897,0.000032,0.131556,0.818840
0.395787,0.017537,0.191686,0.004800,0.047009,0.000576,0.013441,0.000352,0.001408,0.001120,0.102755,0.029825,0.000032,0.135076,0.815992
0.395372,0.017537,0.191909,0.004832,0.047010,0.000576,0.013440,0.000384,0.001408,0.001088,0.126500,0.037633,0.000096,0.167557,0.848121
0.401868,0.017345,0.192069,0.004864,0.047138,0.000640,0.013600,0.000384,0.001472,0.001152,0.106787,0.030816,0.000064,0.140292,0.827736
0.395820,0.017505,0.191685,0.004832,0.047170,0.000576,0.013504,0.000384,0.001504,0.001056,0.106276,0.034465,0.000064,0.143237,0.824153
0.395372,0.017440,0.191622,0.004864,0.047137,0.000609,0.013504,0.000384,0.001472,0.001024,0.104579,0.037889,0.000032,0.145412,0.825592
0.395980,0.017696,0.211942,0.005376,0.047521,0.000800,0.013537,0.000384,0.001472,0.001120,0.107427,0.033921,0.000064,0.143972,0.848249
0.395851,0.017665,0.191654,0.004896,0.047425,0.000576,0.013441,0.000384,0.001504,0.001088,0.103075,0.035201,0.000032,0.140580,0.821656
0.395180,0.017505,0.191845,0.004832,0.047074,0.000640,0.013472,0.000352,0.001440,0.001120,0.105092,0.032865,0.000032,0.140517,0.820537
0.395916,0.017504,0.191398,0.004832,0.047074,0.000608,0.013440,0.000384,0.001440,0.001056,0.103331,0.033345,0.000032,0.139172,0.819704
0.422221,0.017696,0.192262,0.005216,0.047617,0.000832,0.013569,0.000384,0.001504,0.001152,0.105699,0.034369,0.000064,0.143044,0.853561
0.396844,0.017504,0.192358,0.004896,0.047298,0.000576,0.013440,0.000384,0.001440,0.001056,0.104259,0.029793,0.000064,0.136452,0.819000
0.395787,0.017601,0.191910,0.004896,0.047137,0.000544,0.013505,0.000352,0.001536,0.001056,0.105795,0.037697,0.000064,0.146468,0.827640
0.395948,0.017633,0.191973,0.004896,0.047394,0.000576,0.013472,0.000384,0.001408,0.001120,0.105412,0.035297,0.000064,0.143301,0.825113
0.415821,0.017632,0.191590,0.005376,0.047617,0.000576,0.013505,0.000352,0.001536,0.001088,0.104611,0.037345,0.000032,0.144708,0.846425
0.396300,0.017632,0.191558,0.004864,0.047937,0.000832,0.013569,0.000352,0.001504,0.001184,0.106499,0.035425,0.000032,0.144580,0.827448
0.396908,0.017696,0.191558,0.004896,0.047394,0.000832,0.013568,0.000352,0.001536,0.001152,0.110179,0.035489,0.000032,0.148453,0.832249
0.400716,0.017536,0.191110,0.005312,0.048961,0.000801,0.013536,0.000352,0.001504,0.001184,0.109891,0.054850,0.000064,0.167557,0.855769
0.396076,0.017504,0.191654,0.004896,0.048450,0.000608,0.013504,0.000384,0.001472,0.001152,0.109795,0.034850,0.000064,0.146949,0.830265
0.396459,0.017729,0.191590,0.004832,0.048993,0.000608,0.013409,0.000384,0.001504,0.001152,0.109347,0.034369,0.000064,0.146308,0.830040
0.402220,0.017825,0.191749,0.004897,0.048417,0.000800,0.013504,0.000384,0.001505,0.001152,0.112643,0.030785,0.000032,0.146084,0.836825
0.397196,0.017569,0.210374,0.005056,0.048449,0.000832,0.013473,0.000384,0.001536,0.001184,0.116387,0.036097,0.000064,0.155237,0.858970
0.396300,0.017728,0.192294,0.004896,0.047969,0.000608,0.013440,0.000416,0.001504,0.001216,0.109059,0.030593,0.000096,0.142084,0.827224
0.397355,0.017536,0.191718,0.004896,0.048129,0.000544,0.013505,0.000384,0.001504,0.001184,0.117443,0.033505,0.000032,0.153476,0.838040
0.397228,0.017793,0.191461,0.004832,0.047906,0.000576,0.013600,0.000416,0.001472,0.001152,0.111588,0.033537,0.000064,0.147685,0.831961
0.414444,0.017729,0.191781,0.004896,0.050050,0.000608,0.013696,0.000384,0.001504,0.001152,0.111460,0.034497,0.000064,0.148549,0.851929
0.396876,0.017856,0.191526,0.004832,0.049506,0.000576,0.013728,0.000352,0.001568,0.001184,0.113636,0.034945,0.000064,0.151109,0.837657
0.396236,0.017569,0.191493,0.004864,0.048642,0.000576,0.013760,0.000352,0.001472,0.001184,0.112100,0.032769,0.000064,0.147653,0.830937
0.396460,0.017600,0.192038,0.004896,0.048002,0.000576,0.013664,0.000384,0.001504,0.001184,0.109411,0.038017,0.000064,0.150021,0.834105
0.401547,0.017728,0.191686,0.004896,0.047969,0.000608,0.013473,0.000416,0.001472,0.001120,0.108707,0.034305,0.000064,0.145572,0.833720
0.396780,0.017536,0.191622,0.004832,0.048002,0.000576,0.013536,0.000416,0.001504,0.001184,0.111684,0.035041,0.000064,0.149349,0.833785
0.400524,0.017760,0.191846,0.005280,0.047937,0.000576,0.013408,0.000320,0.001504,0.001120,0.116259,0.030336,0.000064,0.149252,0.836696
0.396748,0.017633,0.209766,0.005440,0.048385,0.000609,0.013536,0.000384,0.001504,0.001152,0.109475,0.034753,0.000064,0.146980,0.850585
