Layer[0],Layer[1],Layer[2],Layer[3],IN[4],INFER[4-4],OUT[4],TEE[4-4],Layer[5],Layer[6],Layer[7],Layer[8],Layer[9],Layer[10],classifier
0.398028,0.017729,0.192037,0.005121,0.119779,0.089571,0.065698,0.278472,0.000704,0.014432,0.000576,0.001600,0.001248,0.000416,0.918619
0.396683,0.017665,0.192006,0.005120,0.119395,0.084835,0.067426,0.275048,0.000896,0.014848,0.000672,0.001472,0.001216,0.000384,0.914171
0.397516,0.017856,0.191686,0.005024,0.116708,0.083522,0.064322,0.267944,0.000864,0.014337,0.000352,0.001536,0.001280,0.000384,0.906299
0.396427,0.017601,0.219110,0.005249,0.114019,0.093443,0.064898,0.275528,0.000704,0.014464,0.000640,0.001536,0.001152,0.000384,0.941051
0.395724,0.017409,0.191877,0.005089,0.113123,0.079650,0.062306,0.258855,0.001056,0.014753,0.000416,0.001472,0.001248,0.000416,0.896539
0.395148,0.017632,0.192070,0.004864,0.114915,0.084258,0.065634,0.268168,0.000800,0.014592,0.000416,0.001536,0.001248,0.000416,0.904731
0.395244,0.017569,0.192293,0.005184,0.114595,0.082530,0.075299,0.275721,0.000832,0.014272,0.000352,0.001536,0.020481,0.000640,0.932476
0.395627,0.017408,0.191718,0.005344,0.118723,0.099427,0.064194,0.285864,0.000928,0.014785,0.000640,0.001472,0.001184,0.000384,0.923643
0.394955,0.017697,0.191782,0.005344,0.118275,0.092867,0.066402,0.281032,0.000896,0.014272,0.000417,0.001504,0.001120,0.000448,0.917339
0.401675,0.017600,0.191814,0.005056,0.117155,0.081283,0.061986,0.263432,0.001184,0.014592,0.000640,0.001536,0.001248,0.000384,0.906554
0.414156,0.017569,0.192294,0.005088,0.113955,0.088515,0.063426,0.268968,0.001088,0.014688,0.001120,0.001568,0.001120,0.000480,0.926523
0.399244,0.017408,0.192102,0.005280,0.119172,0.084866,0.065986,0.273128,0.000832,0.014625,0.000640,0.001504,0.001216,0.000352,0.914139
0.400268,0.017376,0.191750,0.005152,0.116707,0.081218,0.061474,0.262536,0.000832,0.014144,0.000352,0.001440,0.001152,0.000384,0.903098
0.399595,0.017568,0.191462,0.005152,0.119555,0.106948,0.120835,0.350570,0.000704,0.014657,0.000640,0.001504,0.001152,0.000576,0.991357
0.395884,0.017568,0.191526,0.005088,0.119396,0.083010,0.062498,0.267624,0.000832,0.014336,0.000320,0.001376,0.001152,0.000320,0.903963
0.396748,0.017697,0.191717,0.005056,0.109476,0.084674,0.065538,0.262856,0.000864,0.014113,0.000640,0.001440,0.001056,0.000352,0.900059
0.396139,0.017632,0.192422,0.005216,0.122852,0.082562,0.064514,0.273160,0.001248,0.015136,0.000416,0.001440,0.001088,0.000384,0.912667
0.433325,0.017697,0.191781,0.005089,0.116163,0.092675,0.068386,0.280712,0.001184,0.014944,0.000672,0.001472,0.001024,0.000416,0.956989
0.399596,0.017537,0.191845,0.005089,0.115011,0.081186,0.065122,0.264391,0.000864,0.014561,0.000640,0.001504,0.001120,0.000384,0.905659
0.396748,0.017696,0.191846,0.005024,0.147044,0.090723,0.080002,0.320809,0.000833,0.014400,0.000672,0.001440,0.001120,0.000384,0.958588
0.399404,0.017953,0.210438,0.005312,0.114755,0.089123,0.063682,0.270600,0.000640,0.014081,0.000608,0.001408,0.001024,0.000384,0.929916
0.401740,0.017665,0.191910,0.005184,0.120387,0.081923,0.063618,0.269032,0.000768,0.014752,0.000640,0.001504,0.001120,0.000608,0.914011
0.399884,0.017793,0.191813,0.005184,0.117796,0.082754,0.074819,0.278569,0.000864,0.014592,0.000416,0.001472,0.001056,0.000352,0.920059
0.398956,0.017728,0.191494,0.004864,0.113699,0.082019,0.063010,0.261928,0.000992,0.014144,0.000416,0.001408,0.001088,0.000416,0.900762
0.399756,0.017504,0.191974,0.004896,0.120420,0.087458,0.064545,0.275560,0.000832,0.014592,0.000352,0.001536,0.001056,0.000416,0.916635
0.394571,0.017537,0.191878,0.005152,0.118051,0.081827,0.062530,0.265416,0.000864,0.014208,0.000384,0.001440,0.001088,0.000416,0.900250
0.401484,0.017505,0.191781,0.004833,0.116483,0.080130,0.061986,0.261575,0.000832,0.014081,0.000384,0.001472,0.001152,0.000416,0.903291
