Layer[0],Layer[1],IN[2],INFER[2-9],OUT[9],TEE[2-9],Layer[10],classifier
0.395660,0.017697,0.140356,0.618354,0.077123,0.841369,0.000704,1.261222
0.396171,0.017600,0.137924,0.589106,0.065250,0.796472,0.000704,1.215748
0.395755,0.017761,0.135972,0.591377,0.068515,0.800152,0.000704,1.220068
0.397580,0.017632,0.145701,0.616338,0.122308,0.889339,0.000736,1.310279
0.395820,0.017760,0.133316,0.592114,0.074946,0.804312,0.000704,1.223780
0.396716,0.017601,0.135908,0.588593,0.067746,0.796503,0.000800,1.216708
0.412877,0.017920,0.133988,0.606802,0.068354,0.813304,0.000768,1.250277
0.395531,0.017728,0.134788,0.588946,0.065698,0.793528,0.000768,1.212868
0.395756,0.020800,0.133188,0.586898,0.099139,0.824665,0.000928,1.248197
0.396172,0.017728,0.134212,0.591602,0.073890,0.804280,0.000736,1.223844
0.395052,0.017953,0.136804,0.591633,0.071330,0.803863,0.000672,1.222116
0.395564,0.017601,0.137156,0.605234,0.087298,0.835704,0.000736,1.256389
0.395083,0.017953,0.134084,0.589937,0.075139,0.803448,0.000768,1.222756
0.397292,0.017632,0.164933,0.606130,0.071234,0.846041,0.000704,1.266597
0.412972,0.017888,0.133348,0.596530,0.073890,0.807864,0.000864,1.245156
0.395404,0.017824,0.130116,0.587602,0.064770,0.786680,0.000736,1.205796
0.394796,0.017760,0.131236,0.587154,0.074818,0.797400,0.000864,1.216484
0.395372,0.017761,0.128996,0.593745,0.073922,0.800535,0.000928,1.219428
0.395308,0.017280,0.135780,0.589490,0.066370,0.795384,0.000736,1.213348
0.395148,0.017696,0.139908,0.604178,0.080227,0.828633,0.000864,1.247781
0.396459,0.017697,0.132484,0.592241,0.068835,0.797496,0.000800,1.217796
0.395660,0.017856,0.133380,0.590130,0.070786,0.798392,0.000832,1.218308
0.395276,0.017664,0.146597,0.599889,0.069603,0.820697,0.000736,1.240005
0.395692,0.017632,0.127012,0.589074,0.071138,0.791352,0.000736,1.209988
0.396108,0.017697,0.138468,0.588465,0.065378,0.796567,0.000736,1.216356
0.395852,0.017697,0.133380,0.602289,0.066081,0.805656,0.000736,1.225093
0.395948,0.017792,0.127588,0.583089,0.064450,0.779191,0.000736,1.198691
0.396140,0.017632,0.125060,0.602642,0.072546,0.804632,0.000864,1.224100
0.395628,0.017856,0.133732,0.603826,0.069282,0.810680,0.000800,1.229860
0.395820,0.017856,0.141956,0.584977,0.064002,0.795192,0.000704,1.214788
0.395180,0.017761,0.141124,0.601874,0.080258,0.827544,0.000608,1.245893
0.394732,0.017824,0.135556,0.588786,0.072386,0.800664,0.000704,1.219140
0.395851,0.017857,0.137252,0.590865,0.072579,0.804696,0.000736,1.224324
0.413325,0.017728,0.132740,0.596306,0.069218,0.802072,0.000672,1.239365
0.396332,0.017600,0.130820,0.589778,0.067010,0.791672,0.000768,1.211300
0.395916,0.017601,0.131844,0.587825,0.067074,0.790743,0.000800,1.210084
0.395852,0.017920,0.133668,0.589010,0.065762,0.792280,0.000672,1.211972
0.395372,0.017824,0.135812,0.591793,0.067234,0.799064,0.000672,1.218244
0.395436,0.017761,0.134212,0.607986,0.078306,0.825048,0.000608,1.243877
0.394988,0.017569,0.144452,0.588081,0.069282,0.805847,0.000768,1.224453
0.395563,0.017857,0.135172,0.589937,0.067041,0.796504,0.000704,1.215460
0.414348,0.017952,0.140324,0.606546,0.069282,0.820121,0.000832,1.259717
0.396460,0.017697,0.135972,0.591921,0.067554,0.800055,0.000704,1.220132
0.396908,0.017825,0.135620,0.591569,0.070626,0.801783,0.000896,1.222628
0.396204,0.017472,0.134084,0.592018,0.077954,0.807736,0.000864,1.227780
0.397227,0.017569,0.133060,0.587761,0.066402,0.791447,0.000640,1.212003
0.396331,0.017857,0.139908,0.617874,0.075907,0.838233,0.000800,1.258277
0.396396,0.017793,0.142660,0.586961,0.066178,0.800119,0.000704,1.220548
0.396204,0.017760,0.135652,0.588050,0.066370,0.794136,0.000768,1.214084
0.396428,0.017888,0.155973,0.612178,0.074242,0.846361,0.000864,1.267077
0.396044,0.017792,0.142596,0.590162,0.073730,0.810488,0.000704,1.230276
0.396044,0.017793,0.131364,0.588017,0.069634,0.793399,0.000672,1.213476
0.412300,0.017665,0.136996,0.606674,0.070466,0.818328,0.000768,1.254437
0.395211,0.017857,0.132708,0.588689,0.065570,0.791031,0.000736,1.210083
0.396075,0.017664,0.136068,0.622963,0.072866,0.835385,0.000736,1.254821
0.395564,0.017793,0.137796,0.586353,0.065250,0.793367,0.000832,1.212068
0.395275,0.017792,0.135044,0.603698,0.075234,0.817656,0.000736,1.236420
0.395819,0.017792,0.135236,0.623155,0.105635,0.870042,0.000704,1.289702
0.395852,0.017825,0.138948,0.585841,0.065058,0.794071,0.000672,1.213188
0.396812,0.017537,0.140388,0.585905,0.066338,0.796535,0.000704,1.216452
0.411532,0.017664,0.127940,0.592466,0.066722,0.791096,0.000768,1.225476
0.395404,0.017600,0.132643,0.589106,0.065730,0.791671,0.000672,1.210244
