Layer[0],Layer[1],IN[2],INFER[2-10],OUT[10],TEE[2-10],classifier
0.394603,0.017601,0.137860,0.598930,0.063458,0.803800,1.220132
0.395372,0.017760,0.128484,0.584945,0.064034,0.780759,1.198211
0.394379,0.017601,0.148804,0.587058,0.065346,0.804504,1.220708
0.395116,0.017697,0.125987,0.584658,0.063714,0.777815,1.194980
0.394700,0.017761,0.133060,0.586577,0.065090,0.788215,1.205028
0.410860,0.017600,0.131108,0.602866,0.065026,0.802584,1.236068
0.394539,0.017601,0.127620,0.585137,0.064898,0.780855,1.196835
0.394828,0.017377,0.133699,0.584753,0.065218,0.786999,1.203876
0.394316,0.017824,0.131684,0.588882,0.067618,0.791320,1.207940
0.394348,0.017793,0.132195,0.600145,0.065986,0.801847,1.218116
0.394827,0.017504,0.127908,0.606226,0.086786,0.824344,1.241028
0.394764,0.018017,0.127651,0.584178,0.063202,0.778711,1.195844
0.394315,0.017505,0.114691,0.581554,0.062657,0.762870,1.178946
0.394572,0.017760,0.122980,0.601426,0.073154,0.801400,1.217860
0.394795,0.017793,0.131876,0.596209,0.071874,0.803512,1.219972
0.394988,0.017793,0.131332,0.583345,0.063650,0.781943,1.198692
0.411949,0.017632,0.139652,0.598578,0.067266,0.808888,1.242981
0.397516,0.017824,0.169253,0.589106,0.067362,0.829337,1.249829
0.396588,0.017888,0.136196,0.588337,0.070274,0.798519,1.216964
0.395788,0.017985,0.137892,0.586961,0.064930,0.793239,1.211780
0.395660,0.018048,0.138116,0.602418,0.065730,0.810040,1.227876
0.395499,0.017600,0.133636,0.605234,0.080162,0.822936,1.240868
0.395532,0.017665,0.137252,0.586705,0.068194,0.795415,1.212964
0.395436,0.017792,0.138052,0.586738,0.064418,0.792728,1.210148
0.395308,0.017856,0.144645,0.595089,0.065730,0.808824,1.226276
0.395852,0.017600,0.137572,0.585106,0.065505,0.791543,1.208836
0.395756,0.017376,0.138116,0.582385,0.062850,0.786840,1.203940
0.410316,0.017792,0.143909,0.589649,0.069890,0.807320,1.240644
0.396140,0.017889,0.120451,0.589618,0.064834,0.778679,1.197444
0.395564,0.017985,0.136772,0.585617,0.084739,0.810456,1.228453
0.395884,0.017728,0.130468,0.582610,0.063713,0.780088,1.197732
0.395883,0.017729,0.119651,0.584210,0.062850,0.770295,1.188035
0.395852,0.017568,0.128644,0.634099,0.091363,0.857658,1.274854
0.396492,0.017793,0.129059,0.588338,0.068194,0.789175,1.207620
0.396971,0.017825,0.128548,0.584273,0.064386,0.780407,1.199523
0.396171,0.017569,0.146084,0.587154,0.064066,0.801048,1.219172
0.395948,0.017857,0.131267,0.588946,0.065698,0.789559,1.207748
0.395883,0.017793,0.145060,0.584946,0.070658,0.804024,1.222468
0.412589,0.017824,0.125572,0.601138,0.063394,0.793592,1.228805
0.396172,0.017761,0.164933,0.595281,0.065506,0.829016,1.247205
0.396332,0.017504,0.138756,0.586834,0.081858,0.810936,1.229188
0.396492,0.017760,0.129476,0.586033,0.065826,0.784631,1.203139
0.395691,0.017824,0.135012,0.585009,0.064354,0.787959,1.205635
0.395787,0.017952,0.135012,0.600082,0.090755,0.829273,1.246213
0.396235,0.017952,0.146820,0.584946,0.063938,0.799576,1.217860
0.395372,0.017473,0.125027,0.582578,0.063809,0.774711,1.191620
0.395692,0.017568,0.143556,0.608914,0.064194,0.820312,1.238277
0.395916,0.020769,0.138948,0.587377,0.068354,0.798103,1.219748
0.395564,0.017760,0.137028,0.584626,0.064834,0.789752,1.207300
0.411660,0.017600,0.140292,0.599634,0.064322,0.807864,1.241733
0.396459,0.017569,0.129188,0.586673,0.065410,0.784567,1.202659
0.396459,0.017472,0.131812,0.585937,0.064098,0.785431,1.203651
0.395884,0.017504,0.137285,0.583857,0.065122,0.789880,1.207332
0.396364,0.017536,0.121411,0.583889,0.062658,0.771415,1.189667
0.396908,0.018016,0.128196,0.599698,0.066562,0.799832,1.219684
0.397292,0.017537,0.156004,0.587890,0.069090,0.816312,1.235557
0.395884,0.017697,0.156676,0.583602,0.063522,0.807192,1.224165
0.396108,0.017473,0.152164,0.591858,0.075746,0.823192,1.241637
0.396940,0.017408,0.129700,0.586929,0.064834,0.784695,1.203427
0.395531,0.017281,0.130884,0.583825,0.062690,0.780727,1.197251
0.412300,0.017761,0.128964,0.593617,0.064706,0.790519,1.225092
0.395724,0.017504,0.125764,0.586449,0.064290,0.779639,1.196867
0.395339,0.017632,0.127812,0.583921,0.063170,0.778167,1.194979
0.395819,0.017825,0.129732,0.587409,0.065474,0.785943,1.203555
