TEE[0-2],Layer[3],Layer[4],Layer[5],Layer[6],Layer[7],Layer[8],Layer[9],Layer[10],classifier
1.671027,0.005377,0.050339,0.000576,0.013537,0.000384,0.001408,0.001152,0.000352,1.752473
1.684628,0.013120,0.047844,0.000576,0.013441,0.000384,0.001408,0.001056,0.000384,1.771098
1.660883,0.005216,0.047492,0.000576,0.013569,0.000352,0.001472,0.000928,0.000352,1.736792
1.676724,0.005185,0.047651,0.000992,0.013729,0.000416,0.001472,0.001184,0.000352,1.755449
1.683764,0.005280,0.047523,0.000576,0.013857,0.000448,0.001440,0.001088,0.000352,1.760857
1.716054,0.005248,0.047619,0.000608,0.013441,0.000384,0.001409,0.001088,0.000384,1.794812
1.671347,0.005184,0.047716,0.000608,0.013377,0.000416,0.001440,0.001056,0.000384,1.748792
1.711829,0.005312,0.047811,0.000640,0.013697,0.000384,0.001441,0.001184,0.000352,1.791996
1.659506,0.005281,0.047651,0.000608,0.013761,0.000448,0.001376,0.000992,0.000256,1.736248
1.721814,0.005409,0.047971,0.000768,0.013473,0.000384,0.001440,0.001088,0.000416,1.800668
1.672563,0.005313,0.047971,0.000576,0.013537,0.000384,0.001504,0.001184,0.000352,1.751064
1.728055,0.005505,0.049475,0.000800,0.013441,0.000416,0.001440,0.001152,0.000352,1.808828
1.679700,0.005472,0.048708,0.000576,0.013441,0.000384,0.001408,0.001024,0.000384,1.758521
1.684788,0.005504,0.048323,0.000864,0.013473,0.000448,0.001440,0.001152,0.000352,1.763545
1.665842,0.005217,0.049955,0.000608,0.013377,0.000384,0.001440,0.001121,0.000384,1.745496
1.717014,0.005280,0.048260,0.000576,0.013569,0.000416,0.001440,0.001120,0.000352,1.796507
1.682420,0.005473,0.047843,0.000608,0.013473,0.000448,0.001472,0.001056,0.000384,1.760857
1.695764,0.005696,0.048068,0.000576,0.013697,0.000448,0.001440,0.001120,0.000384,1.776410
1.665907,0.005312,0.047651,0.000576,0.013473,0.000416,0.001504,0.001152,0.000352,1.743768
1.681140,0.005313,0.047907,0.000608,0.013441,0.000416,0.001440,0.001120,0.000352,1.759225
1.668915,0.005537,0.048131,0.001024,0.013665,0.000448,0.001504,0.001280,0.000352,1.748888
1.737079,0.005312,0.047811,0.001025,0.013568,0.000385,0.001472,0.001184,0.000416,1.815837
1.687059,0.005280,0.047683,0.000832,0.013441,0.000384,0.001441,0.001216,0.000352,1.764857
1.688628,0.005216,0.047684,0.000576,0.013377,0.000416,0.001472,0.001088,0.000352,1.766073
