Layer[0],Layer[1],Layer[2],Layer[3],Layer[4],Layer[5],Layer[6],Layer[7],TEE[8-8],Layer[9],Layer[10],classifier
0.437553,0.017761,0.203112,0.004992,0.048642,0.000768,0.013633,0.000640,0.178087,0.001408,0.000416,0.916388
0.420273,0.017729,0.203336,0.004832,0.048514,0.000832,0.014272,0.000352,0.178855,0.001504,0.000576,0.899876
0.421169,0.017760,0.202664,0.005248,0.048257,0.000800,0.013665,0.000416,0.180039,0.001440,0.000384,0.901251
0.417393,0.017472,0.202983,0.005057,0.048130,0.000768,0.013792,0.000416,0.209992,0.001697,0.000384,0.927109
0.416880,0.017729,0.203336,0.005248,0.048290,0.000832,0.013920,0.000672,0.178919,0.001440,0.000384,0.899235
0.416976,0.017665,0.203112,0.004864,0.048354,0.000832,0.013857,0.000416,0.174375,0.001792,0.000608,0.891651
0.416112,0.017568,0.202664,0.005248,0.049026,0.000832,0.014177,0.000640,0.179079,0.001408,0.000608,0.896099
0.441969,0.017536,0.203112,0.005056,0.048226,0.000864,0.013953,0.000640,0.179527,0.001312,0.000416,0.921316
0.421777,0.017505,0.203080,0.005280,0.048738,0.000832,0.014176,0.000608,0.173031,0.001440,0.000416,0.894979
0.420753,0.017536,0.202824,0.005120,0.048129,0.000768,0.013985,0.000416,0.166183,0.001408,0.000384,0.885827
0.420720,0.017473,0.202888,0.005248,0.047554,0.000832,0.013729,0.000704,0.189415,0.001248,0.000352,0.907587
0.420465,0.017569,0.203400,0.005248,0.048514,0.000832,0.013792,0.000416,0.167303,0.001536,0.000352,0.888739
0.420241,0.017505,0.202952,0.005312,0.047874,0.000832,0.013824,0.000384,0.162119,0.001280,0.000352,0.880611
0.420433,0.017665,0.203015,0.005313,0.048770,0.000800,0.014464,0.000416,0.175623,0.001600,0.000352,0.897251
0.433041,0.018528,0.202664,0.005345,0.048258,0.000832,0.014176,0.000416,0.172711,0.001472,0.000352,0.906851
0.415568,0.017505,0.202408,0.005024,0.048418,0.000800,0.014305,0.000448,0.169990,0.001728,0.000384,0.885603
0.416176,0.017441,0.202472,0.005216,0.047906,0.000800,0.014017,0.000416,0.171046,0.001664,0.000353,0.885891
