Layer[0],Layer[1],Layer[2],Layer[3],Layer[4],TEE[5-5],Layer[6],Layer[7],Layer[8],Layer[9],Layer[10],classifier
0.421841,0.017537,0.203176,0.005088,0.047170,0.181447,0.014112,0.000480,0.001568,0.001056,0.000320,0.903460
0.417872,0.017729,0.203432,0.005024,0.047010,0.165927,0.015200,0.000416,0.001568,0.001056,0.000352,0.884835
0.416272,0.017697,0.203816,0.005280,0.047650,0.179399,0.015649,0.000480,0.001504,0.000992,0.000320,0.898531
0.417488,0.017697,0.203400,0.005280,0.048642,0.174343,0.016000,0.000481,0.001504,0.000992,0.000352,0.912644
0.416977,0.017632,0.203304,0.004929,0.047490,0.175718,0.014017,0.000448,0.001536,0.001088,0.000352,0.892963
0.416625,0.017760,0.203240,0.004833,0.047105,0.176710,0.014177,0.000480,0.001600,0.000960,0.000416,0.892771
0.419889,0.017537,0.202088,0.005312,0.047362,0.172967,0.013984,0.000448,0.001664,0.001120,0.000320,0.891427
0.420977,0.017601,0.203112,0.005216,0.047234,0.176295,0.014144,0.000544,0.001632,0.001024,0.000416,0.897795
0.420081,0.018208,0.203016,0.005313,0.047042,0.177830,0.014176,0.000512,0.001568,0.000960,0.000352,0.898435
0.415889,0.017377,0.203495,0.005312,0.046946,0.171334,0.014273,0.000512,0.001472,0.000992,0.000416,0.887555
0.432721,0.017729,0.203432,0.005216,0.048642,0.174535,0.014624,0.000448,0.001568,0.000928,0.000416,0.909987
0.416528,0.017345,0.202888,0.005248,0.047458,0.178759,0.016097,0.000512,0.001632,0.001056,0.000352,0.896739
0.416368,0.017697,0.202856,0.005248,0.048674,0.176967,0.014305,0.000448,0.001440,0.001088,0.000384,0.894339
0.415536,0.017825,0.202920,0.005248,0.048290,0.170887,0.014112,0.000448,0.001504,0.001057,0.000384,0.886307
0.420465,0.017312,0.203304,0.005281,0.048770,0.177190,0.014240,0.000480,0.001632,0.000992,0.000384,0.897603
0.416976,0.017600,0.202920,0.005441,0.047809,0.179399,0.014497,0.000448,0.001536,0.001088,0.000416,0.897251
0.415664,0.017185,0.203272,0.005248,0.047970,0.162694,0.016001,0.000480,0.001536,0.000960,0.000384,0.880482
0.433553,0.017569,0.206088,0.005248,0.048098,0.179783,0.014497,0.000448,0.001632,0.000992,0.000384,0.917764
0.416369,0.018016,0.202952,0.005217,0.048354,0.181095,0.014272,0.000480,0.001472,0.001024,0.000352,0.898531
0.415888,0.017569,0.202920,0.005280,0.048034,0.185671,0.014497,0.000448,0.001472,0.001024,0.000352,0.903267
0.420528,0.017697,0.204360,0.005312,0.047330,0.177543,0.014081,0.000480,0.001536,0.001088,0.000352,0.900675
