Layer[0],Layer[1],Layer[2],Layer[3],Layer[4],Layer[5],Layer[6],IN[7],INFER[7-9],OUT[9],TEE[7-9],Layer[10],classifier
0.401004,0.017633,0.191621,0.004833,0.047553,0.000832,0.014593,0.107395,0.034369,0.059170,0.203782,0.000736,0.888955
0.395851,0.017729,0.192102,0.004832,0.047553,0.000864,0.013601,0.121059,0.037921,0.061314,0.223334,0.000672,0.902554
0.414572,0.017633,0.191942,0.004960,0.048609,0.000800,0.013793,0.112835,0.037537,0.061570,0.216486,0.000736,0.917947
0.395244,0.017792,0.192262,0.004832,0.047970,0.000832,0.013952,0.113763,0.038722,0.062369,0.218854,0.000704,0.899707
0.400588,0.017857,0.192133,0.004896,0.047714,0.000800,0.013984,0.107780,0.038721,0.061762,0.212103,0.000864,0.898043
0.399851,0.017569,0.192006,0.004896,0.049505,0.000864,0.013985,0.107779,0.054466,0.084162,0.249799,0.000640,0.935067
0.399660,0.017568,0.192006,0.004800,0.047938,0.000832,0.013728,0.106115,0.039361,0.068162,0.216870,0.000704,0.900986
0.399980,0.017601,0.192358,0.004928,0.047361,0.000832,0.013825,0.107203,0.038049,0.062722,0.211142,0.000672,0.895323
0.400588,0.017600,0.192070,0.004800,0.049825,0.000832,0.013761,0.108803,0.034849,0.061058,0.208390,0.000768,0.895898
0.420684,0.017441,0.192102,0.004992,0.047969,0.000800,0.013761,0.107171,0.041153,0.063234,0.215494,0.000896,0.920955
0.399852,0.017536,0.191878,0.004896,0.047969,0.000864,0.013601,0.106179,0.038017,0.062306,0.209286,0.000672,0.893018
0.400620,0.017952,0.191430,0.004960,0.047778,0.000800,0.013568,0.109635,0.038274,0.063329,0.214502,0.000768,0.899067
0.400908,0.017601,0.191973,0.004897,0.048417,0.000832,0.014049,0.108867,0.054241,0.077283,0.243975,0.000832,0.930684
0.400748,0.017793,0.191845,0.004800,0.047746,0.000832,0.014208,0.114692,0.036097,0.058978,0.212775,0.000800,0.898683
0.396107,0.017600,0.191814,0.004864,0.047553,0.000832,0.014017,0.108579,0.039265,0.058370,0.209286,0.000704,0.889626
0.396556,0.017504,0.192102,0.004928,0.047393,0.000832,0.013760,0.106147,0.038753,0.060962,0.208838,0.000736,0.889178
0.422189,0.018272,0.192006,0.005376,0.048546,0.001056,0.013760,0.140516,0.045154,0.063041,0.252072,0.001216,0.964477
0.397228,0.017888,0.192070,0.005312,0.048386,0.000832,0.014144,0.110403,0.035553,0.057570,0.206598,0.000704,0.889658
0.396076,0.017633,0.192101,0.005152,0.047458,0.000832,0.014144,0.108324,0.034529,0.058945,0.205126,0.000736,0.885882
0.396236,0.017632,0.191846,0.005248,0.048097,0.000832,0.013473,0.129924,0.044833,0.064674,0.242567,0.000864,0.923131
0.396268,0.017568,0.191430,0.004800,0.047393,0.000800,0.013505,0.112739,0.036705,0.057826,0.210918,0.001024,0.890426
