Layer[0],Layer[1],Layer[2],IN[3],INFER[3-8],OUT[8],TEE[3-8],Layer[9],Layer[10],classifier
0.395723,0.017345,0.191846,0.133732,0.102819,0.062786,0.302825,0.001568,0.000416,0.915611
0.396395,0.017729,0.192038,0.131172,0.101123,0.063778,0.299657,0.001376,0.000416,0.912987
0.397036,0.017568,0.192294,0.159493,0.119523,0.065538,0.348170,0.001408,0.000384,0.962588
0.396684,0.017601,0.192453,0.133508,0.103203,0.062754,0.302409,0.001408,0.000416,0.916379
0.396556,0.017728,0.192198,0.134628,0.105123,0.063906,0.306953,0.001440,0.000480,0.920891
0.397260,0.017440,0.191782,0.135140,0.108387,0.063970,0.310761,0.001440,0.000416,0.924795
0.429613,0.017825,0.191909,0.139076,0.115428,0.063298,0.322506,0.001280,0.000384,0.969405
0.395948,0.017408,0.191846,0.133892,0.104355,0.069442,0.312585,0.001440,0.000384,0.926363
0.396588,0.017632,0.192934,0.137668,0.107971,0.064322,0.313385,0.001568,0.000384,0.928699
0.397324,0.017537,0.210982,0.136932,0.114723,0.063010,0.318217,0.001472,0.000416,0.952220
0.398123,0.017857,0.192038,0.134852,0.106435,0.063362,0.307945,0.001312,0.000384,0.923259
0.395884,0.017440,0.192038,0.126884,0.105827,0.063522,0.299593,0.001472,0.000480,0.912731
0.397004,0.017888,0.191814,0.136964,0.106051,0.064546,0.311177,0.001280,0.000480,0.925403
0.397228,0.017312,0.192325,0.156517,0.103075,0.061986,0.325162,0.001344,0.000416,0.939324
0.397099,0.017793,0.192230,0.133156,0.104131,0.064386,0.304681,0.001184,0.000416,0.918779
0.397292,0.017793,0.192613,0.120996,0.103427,0.062114,0.289705,0.001216,0.000416,0.905083
0.415948,0.017889,0.191718,0.165189,0.117635,0.073954,0.359978,0.001312,0.000416,0.993213
0.397324,0.017921,0.191845,0.135204,0.104324,0.065665,0.309482,0.001472,0.000416,0.924924
0.397675,0.017601,0.191942,0.142180,0.120451,0.066850,0.332873,0.001345,0.000384,0.946972
0.397228,0.017633,0.192069,0.133988,0.118084,0.070658,0.326090,0.001536,0.000512,0.940284
0.397067,0.017569,0.191846,0.134980,0.104419,0.062498,0.305193,0.001280,0.000416,0.918875
0.396619,0.017601,0.191782,0.136004,0.104611,0.063042,0.306921,0.001248,0.000384,0.920091
0.396747,0.017537,0.192198,0.139748,0.111651,0.072610,0.327593,0.001280,0.000448,0.941275
