Layer[0],IN[1],INFER[1-10],OUT[10],TEE[1-10],classifier
0.396620,0.168677,0.636627,0.077986,0.887994,1.289318
0.396716,0.163429,0.611762,0.068610,0.848121,1.249413
0.395083,0.141893,0.610898,0.070402,0.827161,1.226276
0.397644,0.173253,0.638099,0.069538,0.885850,1.289254
0.395371,0.166084,0.608594,0.075074,0.853977,1.254021
0.397035,0.161285,0.609234,0.068226,0.843641,1.245092
0.395756,0.148292,0.622322,0.069506,0.844633,1.244293
0.396268,0.172197,0.610674,0.069186,0.856409,1.257286
0.395788,0.160261,0.628275,0.073410,0.866682,1.266854
0.395340,0.150884,0.609650,0.067266,0.832121,1.231525
0.395756,0.167813,0.619698,0.069666,0.861369,1.261765
0.396492,0.194406,0.625490,0.068770,0.892986,1.293766
0.395467,0.167653,0.611250,0.070786,0.853849,1.254245
0.395819,0.168581,0.621362,0.068642,0.862553,1.262661
0.396588,0.164293,0.608946,0.067778,0.844857,1.246085
0.396300,0.190790,0.608818,0.069250,0.874682,1.275430
0.396011,0.165093,0.628467,0.108163,0.906075,1.306470
0.395179,0.200326,0.608242,0.068034,0.880730,1.281030
0.395820,0.172101,0.623506,0.072066,0.872153,1.271878
0.413100,0.183814,0.622610,0.081859,0.892891,1.310151
0.397100,0.166053,0.622578,0.075522,0.868377,1.270085
0.396300,0.194662,0.611026,0.092771,0.902427,1.302663
0.395691,0.164164,0.619475,0.069698,0.857402,1.259109
0.395723,0.160549,0.609522,0.077283,0.851738,1.252069
0.396012,0.168677,0.625107,0.073506,0.871354,1.271750
0.396940,0.190374,0.608626,0.068450,0.871098,1.272390
0.395212,0.168677,0.619666,0.069826,0.862329,1.261637
0.415917,0.171685,0.618994,0.071682,0.866873,1.287878
0.395435,0.194853,0.605714,0.067650,0.872089,1.271653
0.397132,0.161829,0.629810,0.092803,0.890138,1.292358
0.396107,0.168068,0.607633,0.067586,0.847482,1.247429
0.395404,0.186117,0.605234,0.067138,0.862009,1.261157
0.396075,0.190150,0.624307,0.079106,0.897691,1.298502
0.394571,0.166437,0.607890,0.066210,0.844313,1.242500
0.395820,0.165125,0.607954,0.066434,0.843225,1.242597
0.412397,0.170085,0.608530,0.068290,0.850681,1.267526
0.396524,0.182117,0.625555,0.072418,0.884250,1.286470
0.396812,0.154053,0.642963,0.084386,0.885690,1.287238
0.397068,0.155685,0.621970,0.069410,0.851161,1.253093
0.395276,0.159941,0.610322,0.071746,0.846041,1.245957
0.395564,0.185285,0.637074,0.069698,0.896187,1.296423
0.395979,0.153892,0.608082,0.074082,0.840280,1.240804
0.396012,0.170373,0.621746,0.069954,0.866233,1.266853
0.397611,0.169830,0.622930,0.067490,0.864474,1.266437
0.396236,0.191206,0.610546,0.067202,0.873050,1.273382
0.395947,0.166725,0.622931,0.079778,0.873530,1.273829
0.395211,0.166981,0.609778,0.069026,0.849817,1.250052
0.395820,0.164869,0.609970,0.067394,0.846137,1.246053
0.395020,0.188549,0.622483,0.069666,0.884890,1.283814
0.396396,0.165029,0.608562,0.070370,0.847609,1.248549
0.396171,0.151652,0.605650,0.065986,0.827448,1.227428
0.416140,0.198886,0.617714,0.068162,0.888634,1.308774
0.396300,0.174597,0.610354,0.071074,0.860761,1.263078
0.396172,0.158853,0.625170,0.078691,0.866266,1.266246
0.394764,0.155813,0.610834,0.085346,0.856281,1.255653
0.394956,0.193445,0.611218,0.069443,0.878234,1.277062
0.395180,0.187621,0.609874,0.068482,0.870202,1.270406
0.395788,0.171109,0.615538,0.069090,0.859929,1.260069
0.395531,0.159973,0.608210,0.068994,0.841305,1.241188
0.408748,0.169285,0.611058,0.068866,0.853210,1.266694
0.396076,0.160837,0.609746,0.069922,0.844761,1.245349
0.395276,0.166725,0.640595,0.105667,0.917467,1.316423
0.395755,0.192038,0.610578,0.070146,0.877306,1.277797
0.395788,0.168549,0.609810,0.070050,0.852441,1.252485
0.395084,0.175109,0.621714,0.069282,0.870554,1.269766
0.395499,0.167237,0.607506,0.068418,0.847065,1.246628
0.396075,0.190565,0.607762,0.073346,0.875770,1.276261
0.395468,0.190886,0.608722,0.068898,0.872698,1.272422
0.395084,0.198054,0.607378,0.068002,0.877626,1.276774
0.395404,0.167557,0.636051,0.082434,0.890266,1.289734
0.395596,0.158180,0.607890,0.070722,0.840825,1.240517
0.396620,0.168453,0.608818,0.068994,0.850681,1.251973
0.394700,0.195494,0.619154,0.071426,0.890522,1.291270
0.395275,0.166117,0.622355,0.068578,0.861114,1.260197
0.396043,0.168165,0.623091,0.069122,0.864474,1.264741
0.395884,0.170437,0.620050,0.069186,0.863673,1.263461
0.395659,0.169381,0.611858,0.072482,0.857722,1.258437
0.396619,0.168068,0.627282,0.108515,0.908378,1.309606
0.396844,0.166277,0.611314,0.068002,0.849529,1.250277
0.395372,0.164005,0.606546,0.074402,0.848953,1.248549
0.421165,0.170629,0.618642,0.069410,0.862393,1.287975
0.396172,0.168101,0.608178,0.069410,0.849561,1.249701
0.396268,0.169541,0.609682,0.074914,0.858361,1.259589
0.394892,0.164133,0.607282,0.068450,0.843897,1.242661
0.396651,0.162981,0.611250,0.073315,0.851482,1.252613
0.396108,0.198886,0.621075,0.076642,0.901275,1.301639
0.396043,0.167589,0.607090,0.068354,0.847161,1.247877
0.395788,0.171045,0.611698,0.069250,0.856057,1.256037
0.419981,0.196517,0.610386,0.070626,0.881402,1.305351
0.394700,0.164229,0.610130,0.076994,0.855289,1.253957
0.394955,0.165797,0.607826,0.067362,0.845241,1.244228
0.395820,0.164389,0.612338,0.071746,0.852601,1.252997
0.395948,0.188933,0.608210,0.066882,0.867897,1.267717
0.395116,0.165509,0.622514,0.090851,0.883546,1.283046
0.402284,0.219846,0.636274,0.085347,0.946524,1.355720
0.396972,0.159620,0.614962,0.069506,0.848665,1.250565
0.413420,0.158565,0.619858,0.069474,0.852473,1.270245
0.396940,0.197542,0.623570,0.070146,0.895226,1.296006
0.397676,0.167845,0.630643,0.114979,0.919067,1.320903
0.395308,0.167205,0.611570,0.079299,0.862074,1.261190
0.395691,0.167173,0.621203,0.068674,0.861146,1.260965
0.397388,0.178533,0.624083,0.072514,0.879962,1.282886
0.395915,0.164933,0.608914,0.068130,0.845753,1.245796
0.396652,0.160229,0.606258,0.070658,0.841305,1.242085
0.417101,0.159428,0.618642,0.068578,0.850361,1.271430
0.395724,0.160677,0.611250,0.072034,0.847993,1.248133
0.395916,0.148389,0.640723,0.108323,0.901787,1.301735
0.396908,0.162084,0.608562,0.066626,0.841432,1.242661
0.397100,0.158949,0.610930,0.072098,0.846041,1.247301
0.396492,0.179237,0.624050,0.068706,0.876282,1.276646
0.396428,0.155012,0.610226,0.066850,0.836536,1.237349
0.397356,0.192646,0.612050,0.068674,0.877882,1.279334
0.415820,0.151940,0.620242,0.067554,0.843705,1.263909
0.396331,0.168133,0.608850,0.067650,0.848665,1.248933
0.397356,0.167077,0.638675,0.086627,0.897115,1.298951
0.396332,0.167269,0.610354,0.068834,0.850553,1.251429
0.397931,0.172326,0.607282,0.068418,0.852282,1.254277
0.396268,0.190054,0.631571,0.067490,0.894843,1.295303
0.400620,0.219335,0.634131,0.074146,0.932828,1.341256
0.397804,0.167877,0.624402,0.071298,0.867481,1.269349
0.396140,0.140964,0.623410,0.066722,0.835736,1.236260
0.397419,0.154501,0.613874,0.070050,0.842873,1.243364
0.397260,0.143844,0.628338,0.074690,0.851737,1.253285
0.395916,0.188870,0.626994,0.067554,0.887450,1.287622
0.396428,0.179109,0.622995,0.076738,0.882938,1.282822
0.407180,0.172805,0.620339,0.068834,0.866170,1.278054
0.395724,0.148004,0.620499,0.066370,0.839033,1.238661
0.395915,0.142980,0.610194,0.067138,0.824504,1.224004
0.396684,0.146468,0.611059,0.069538,0.831417,1.232645
0.397676,0.160293,0.610834,0.068962,0.844633,1.246373
0.397483,0.143652,0.624370,0.074275,0.846841,1.248677
0.396779,0.135012,0.611186,0.066626,0.817176,1.218660
0.396107,0.139364,0.622898,0.067490,0.833912,1.233732
0.396524,0.139140,0.638451,0.083651,0.866170,1.266502
0.396844,0.164709,0.609778,0.070178,0.849017,1.249221
0.396940,0.138020,0.613139,0.067330,0.823129,1.224229
0.411821,0.137156,0.623410,0.065986,0.830488,1.245861
0.396396,0.138980,0.620243,0.066242,0.829689,1.229861
0.396908,0.152868,0.606130,0.066594,0.829528,1.230404
0.397580,0.148741,0.618866,0.067458,0.839129,1.240165
0.396204,0.141444,0.622611,0.067170,0.835929,1.236101
0.397707,0.145828,0.631923,0.075458,0.857401,1.259269
0.396684,0.141316,0.619699,0.068034,0.833497,1.234053
0.397772,0.158020,0.620019,0.067586,0.850137,1.251877
0.397100,0.199270,0.609266,0.068290,0.881818,1.283046
0.398187,0.151236,0.618610,0.070755,0.845113,1.247813
0.397164,0.164453,0.618194,0.068898,0.856185,1.257477
0.406604,0.169029,0.610258,0.068258,0.851577,1.262694
0.396492,0.189094,0.608562,0.074498,0.876058,1.276966
0.397260,0.193477,0.633491,0.086915,0.919099,1.320327
0.396396,0.191781,0.610034,0.074914,0.880826,1.281158
0.396556,0.191334,0.623250,0.075202,0.893850,1.294790
0.396076,0.159077,0.616242,0.072834,0.852601,1.252645
0.396748,0.166405,0.623186,0.067362,0.861081,1.261765
0.396300,0.138916,0.617842,0.074435,0.835129,1.234853
0.413133,0.161349,0.621842,0.077058,0.864089,1.281318
0.396427,0.146853,0.608562,0.067298,0.826393,1.226916
0.396524,0.171685,0.617234,0.101923,0.895066,1.295622
0.395755,0.164580,0.622355,0.073250,0.864313,1.264453
0.397388,0.170469,0.611634,0.072066,0.858682,1.261510
0.397164,0.168741,0.632083,0.086562,0.892506,1.295206
0.396684,0.148196,0.617043,0.071170,0.840441,1.241093
0.397036,0.138436,0.608594,0.067618,0.818968,1.219780
0.408844,0.164901,0.621618,0.069538,0.860474,1.273222
0.397164,0.161029,0.607634,0.066562,0.839257,1.240229
0.396588,0.147076,0.607506,0.066754,0.825400,1.226852
0.395947,0.174437,0.618450,0.070594,0.869273,1.268741
0.395820,0.141860,0.622227,0.067746,0.835993,1.235141
0.396236,0.140548,0.624210,0.078466,0.847961,1.248325
0.397100,0.140068,0.618514,0.068322,0.831192,1.232004
0.396108,0.169669,0.609618,0.068482,0.851865,1.253349
0.396235,0.157797,0.623026,0.066145,0.851162,1.252229
0.395819,0.139781,0.609554,0.065186,0.818489,1.217924
0.403084,0.225095,0.617362,0.073122,0.919835,1.328231
0.397707,0.192902,0.612146,0.075907,0.885051,1.288742
0.397612,0.166821,0.610546,0.070530,0.852313,1.254885
0.398636,0.153925,0.631955,0.112579,0.903099,1.306119
0.397355,0.166500,0.608786,0.068226,0.847705,1.249413
0.397196,0.162469,0.609362,0.071042,0.846809,1.247717
0.418541,0.172037,0.608946,0.070850,0.855801,1.278502
0.397228,0.155045,0.608434,0.068130,0.835705,1.237413
0.396043,0.166756,0.611955,0.068386,0.851385,1.251685
0.395916,0.169541,0.609586,0.069090,0.852473,1.252613
0.396620,0.157188,0.609010,0.068482,0.838616,1.239428
0.396012,0.169573,0.624082,0.076419,0.876122,1.277126
0.395787,0.197317,0.611187,0.067074,0.880442,1.280230
0.396588,0.159909,0.610546,0.076866,0.851161,1.251845
0.410412,0.160965,0.623762,0.067970,0.857081,1.271750
0.396396,0.167525,0.620306,0.068578,0.860281,1.260453
0.396972,0.172357,0.613298,0.071426,0.861273,1.262725
0.397388,0.205062,0.612242,0.071842,0.893498,1.295654
0.395756,0.156933,0.610130,0.069154,0.840569,1.240229
0.397355,0.167749,0.628467,0.091203,0.891707,1.293094
0.398571,0.152900,0.615506,0.074147,0.847193,1.250405
0.398667,0.174278,0.620146,0.072002,0.871226,1.274661
0.415340,0.168965,0.623666,0.070018,0.866778,1.286470
0.396492,0.189702,0.609234,0.071010,0.874234,1.275110
0.397195,0.166053,0.627379,0.081090,0.879098,1.280517
0.396364,0.154852,0.611058,0.071299,0.841145,1.241573
0.396716,0.185221,0.608562,0.071331,0.868954,1.269094
0.396331,0.145860,0.625298,0.076322,0.851673,1.252965
0.396748,0.180709,0.610867,0.069922,0.865210,1.265734
0.397804,0.155716,0.608274,0.077506,0.845337,1.247493
0.420109,0.147940,0.616787,0.068610,0.837369,1.261350
0.397420,0.159621,0.611250,0.070114,0.845145,1.247109
