Layer[0],Layer[1],Layer[2],Layer[3],Layer[4],Layer[5],TEE[6-9],Layer[10],classifier
0.415792,0.017409,0.202760,0.004832,0.048194,0.000768,0.193640,0.000704,0.891523
0.420273,0.017536,0.202599,0.004833,0.049442,0.000768,0.203400,0.000576,0.906660
0.417424,0.017472,0.202312,0.004800,0.047938,0.000768,0.209033,0.000672,0.907972
0.436529,0.017729,0.203976,0.005088,0.047906,0.000800,0.204680,0.000704,0.924676
0.416304,0.017345,0.203752,0.004992,0.048642,0.000768,0.205000,0.000640,0.905060
0.420336,0.017537,0.203720,0.004896,0.048578,0.000800,0.206312,0.000608,0.909667
0.419728,0.017409,0.202440,0.004832,0.047554,0.000800,0.214120,0.000576,0.915011
0.416624,0.017185,0.201864,0.005312,0.048962,0.000800,0.198600,0.000544,0.896547
0.420209,0.017569,0.202696,0.005024,0.047554,0.000800,0.203720,0.000544,0.904516
0.415248,0.017441,0.201959,0.005057,0.047394,0.000768,0.186087,0.000576,0.880995
0.436049,0.017473,0.203528,0.004832,0.047330,0.000800,0.213064,0.000448,0.929828
0.420240,0.017505,0.202344,0.004864,0.047010,0.000800,0.191720,0.000480,0.891747
0.416112,0.017312,0.202472,0.004896,0.047138,0.000768,0.190408,0.000576,0.886723
0.417297,0.017761,0.202696,0.004832,0.047426,0.001024,0.193831,0.000640,0.892995
0.415184,0.017728,0.202824,0.004864,0.048290,0.000800,0.195816,0.000576,0.894851
0.415601,0.017697,0.202247,0.005025,0.047650,0.000768,0.196839,0.000608,0.893955
0.417072,0.017505,0.203112,0.004800,0.048834,0.000800,0.207656,0.000672,0.908131
0.435473,0.017889,0.203080,0.004800,0.047778,0.000800,0.203432,0.000640,0.921892
0.415568,0.017601,0.202440,0.004992,0.048450,0.000768,0.206824,0.000608,0.904579
0.419633,0.017888,0.202536,0.005025,0.049345,0.000769,0.209096,0.000672,0.912228
0.416016,0.017665,0.202632,0.004832,0.048002,0.000864,0.199816,0.000608,0.898435
0.419889,0.018209,0.202696,0.004992,0.049346,0.000800,0.210344,0.000576,0.914788
0.418736,0.017729,0.202824,0.005024,0.048162,0.000800,0.235305,0.000768,0.938372
0.418160,0.017344,0.202536,0.004960,0.048290,0.000864,0.223145,0.000800,0.924676
0.431633,0.017857,0.202632,0.004832,0.048706,0.000800,0.200552,0.000864,0.916932
0.416016,0.017409,0.203496,0.005312,0.048290,0.000768,0.215913,0.000704,0.915364
0.416113,0.017760,0.202280,0.005024,0.049634,0.000800,0.214025,0.000736,0.913860
0.420273,0.017537,0.202376,0.004896,0.048066,0.000800,0.219848,0.000896,0.922629
0.417456,0.017504,0.202728,0.004992,0.048386,0.000768,0.203400,0.000672,0.903908
0.420400,0.017728,0.202728,0.004896,0.048578,0.000832,0.212745,0.000672,0.916484
0.419921,0.017537,0.202824,0.005280,0.048354,0.000832,0.208616,0.000608,0.911364
0.451282,0.017505,0.202215,0.005025,0.047426,0.000800,0.215848,0.000832,0.949157
0.421200,0.017504,0.203208,0.005344,0.049154,0.000800,0.200936,0.000704,0.907747
0.417328,0.017633,0.204008,0.005088,0.048354,0.000800,0.198088,0.000672,0.899907
0.416528,0.017441,0.220552,0.005345,0.048737,0.000800,0.195751,0.000992,0.913507
0.420273,0.017536,0.202824,0.004832,0.048865,0.000832,0.220201,0.000672,0.923140
0.415184,0.017313,0.202216,0.004864,0.047234,0.000576,0.207048,0.000736,0.903491
0.422417,0.017537,0.202632,0.005024,0.048418,0.000896,0.216424,0.000608,0.921380
0.416817,0.017568,0.203560,0.004897,0.046881,0.000801,0.216520,0.000544,0.915204
0.420849,0.017249,0.204200,0.005216,0.047458,0.000768,0.204616,0.000864,0.908324
0.421649,0.017345,0.202536,0.005312,0.046818,0.000768,0.216104,0.001152,0.919204
0.421873,0.017217,0.232841,0.005408,0.046978,0.000800,0.193031,0.000640,0.925924
0.418096,0.017633,0.204424,0.005024,0.048642,0.000800,0.215208,0.000640,0.918372
0.418128,0.017889,0.203656,0.004800,0.048866,0.000800,0.191079,0.000608,0.893987
0.416145,0.017664,0.202760,0.004800,0.048865,0.000832,0.218473,0.000704,0.918340
0.420753,0.017505,0.203592,0.004736,0.048546,0.000800,0.199432,0.000608,0.903108
0.423024,0.017633,0.203112,0.004864,0.048610,0.000800,0.217545,0.000832,0.923492
0.421233,0.017697,0.203495,0.005216,0.049474,0.000832,0.201768,0.000768,0.907972
0.439441,0.017632,0.202824,0.004768,0.048642,0.000576,0.210473,0.000864,0.932229
0.417617,0.017696,0.202312,0.004864,0.048418,0.000832,0.209001,0.000640,0.908004
0.421488,0.017441,0.202568,0.004832,0.048098,0.000800,0.208200,0.001088,0.911459
0.417104,0.017441,0.202472,0.004832,0.048322,0.000800,0.239914,0.001024,0.939877
0.422032,0.017664,0.202728,0.005280,0.048386,0.000832,0.212425,0.000832,0.917540
0.417296,0.017601,0.203176,0.005120,0.048418,0.000768,0.221609,0.000736,0.922884
0.418192,0.017633,0.202920,0.005088,0.048002,0.000800,0.176071,0.000672,0.876962
0.436721,0.017856,0.202792,0.005025,0.048385,0.000801,0.221128,0.000576,0.941765
0.421072,0.017569,0.202152,0.005120,0.048610,0.000800,0.215337,0.000736,0.918948
0.416080,0.017761,0.202952,0.004864,0.049090,0.000832,0.217769,0.000672,0.917220
0.422256,0.017313,0.220905,0.005344,0.048034,0.000800,0.204296,0.000704,0.927332
0.415408,0.017505,0.202344,0.005056,0.048578,0.000768,0.196872,0.000608,0.893891
0.416432,0.017793,0.202344,0.005056,0.048450,0.000800,0.198248,0.000864,0.897763
0.417936,0.017665,0.202600,0.005216,0.048674,0.000864,0.205928,0.000928,0.906948
0.416176,0.017569,0.202472,0.005056,0.048354,0.000768,0.217865,0.000832,0.917124
0.422769,0.017761,0.202632,0.005024,0.048706,0.000832,0.199496,0.000800,0.905700
0.420305,0.017536,0.203144,0.005088,0.048609,0.000800,0.190760,0.000608,0.894947
0.416720,0.017601,0.222728,0.005377,0.048130,0.000768,0.215048,0.000896,0.935172
0.421073,0.017280,0.203176,0.005089,0.048161,0.000801,0.199111,0.000704,0.902723
0.417296,0.017697,0.202696,0.005216,0.048738,0.000736,0.212297,0.000608,0.912484
0.421553,0.017600,0.203016,0.005025,0.048193,0.000768,0.212905,0.000704,0.917156
0.423216,0.017729,0.203496,0.004864,0.047906,0.000832,0.223593,0.000928,0.929412
0.416145,0.017665,0.202119,0.004993,0.047874,0.000768,0.223080,0.000736,0.920869
0.416784,0.017729,0.202344,0.005216,0.048642,0.000768,0.212553,0.001056,0.912132
0.437425,0.017665,0.203336,0.004832,0.048866,0.000832,0.217033,0.001024,0.939109
0.419889,0.017856,0.202632,0.004865,0.048034,0.000832,0.219688,0.000704,0.922500
0.421105,0.017728,0.202632,0.004865,0.048738,0.000800,0.221416,0.000704,0.925540
0.419889,0.017696,0.203624,0.004961,0.048769,0.000832,0.237609,0.000640,0.941573
0.419953,0.017536,0.203240,0.004993,0.048738,0.000768,0.212872,0.000672,0.916772
0.420912,0.017729,0.202472,0.005312,0.048034,0.000800,0.214633,0.000672,0.918500
0.416017,0.017697,0.202247,0.004801,0.048066,0.000832,0.210536,0.000640,0.908644
0.435825,0.017633,0.203176,0.004832,0.048642,0.000800,0.217096,0.000640,0.936100
0.415824,0.017665,0.202184,0.005440,0.048802,0.000800,0.202120,0.000864,0.901283
0.421137,0.017729,0.203176,0.005056,0.048514,0.000800,0.202856,0.000672,0.906948
0.418096,0.017537,0.219497,0.005088,0.048482,0.000800,0.210504,0.000992,0.928868
0.420368,0.017696,0.202120,0.004896,0.048738,0.000832,0.207464,0.000960,0.911108
0.421521,0.017824,0.203367,0.005281,0.048578,0.000800,0.214952,0.000672,0.920388
0.421009,0.017728,0.203208,0.005057,0.048449,0.000769,0.223496,0.000768,0.927876
0.420529,0.017537,0.202056,0.005280,0.048770,0.000800,0.205544,0.000608,0.909924
0.420432,0.017569,0.202312,0.005280,0.047650,0.000800,0.215785,0.000736,0.918372
0.422129,0.017505,0.202343,0.005024,0.048514,0.000800,0.211944,0.000704,0.916612
0.439793,0.017569,0.202184,0.005280,0.048674,0.000800,0.211592,0.000800,0.934372
0.420849,0.017728,0.202504,0.004993,0.048962,0.000832,0.211976,0.000672,0.916548
0.416208,0.017761,0.202600,0.004832,0.049058,0.000832,0.212329,0.000736,0.911748
0.416625,0.017760,0.202951,0.005281,0.048834,0.000800,0.240521,0.000992,0.941477
0.420176,0.017537,0.202440,0.005024,0.048834,0.000864,0.217833,0.000608,0.921348
0.416881,0.017505,0.203560,0.004832,0.048130,0.000800,0.214184,0.000640,0.913796
0.420624,0.017729,0.203080,0.005024,0.048578,0.000768,0.212233,0.000640,0.915748
0.439025,0.017504,0.203752,0.004864,0.049794,0.000992,0.210089,0.000576,0.934245
0.419569,0.017921,0.202504,0.005120,0.049090,0.000800,0.195847,0.000609,0.898660
0.415632,0.017569,0.202215,0.004864,0.048866,0.000800,0.208808,0.000896,0.906787
0.417296,0.017569,0.202440,0.004896,0.048130,0.000800,0.255466,0.000704,0.954917
0.415505,0.017569,0.202791,0.005249,0.049154,0.000832,0.200200,0.000704,0.899076
0.417008,0.017505,0.202248,0.005088,0.048546,0.000768,0.218249,0.000640,0.917284
0.417296,0.017568,0.203752,0.005312,0.048578,0.000832,0.215977,0.000608,0.917924
0.432849,0.017504,0.202120,0.005057,0.047713,0.000800,0.230473,0.000608,0.945061
0.420784,0.017313,0.202088,0.004864,0.048130,0.001024,0.184103,0.000544,0.885122
0.415697,0.017536,0.202184,0.004832,0.047906,0.000576,0.218313,0.000480,0.914564
0.415025,0.017504,0.202120,0.004833,0.060962,0.000832,0.191336,0.000480,0.900388
0.419824,0.017440,0.202504,0.005056,0.048706,0.000576,0.191816,0.000704,0.893507
0.415792,0.017953,0.202248,0.005216,0.048226,0.000544,0.238602,0.000640,0.936133
0.415888,0.017249,0.202088,0.004800,0.047778,0.000544,0.186343,0.000608,0.881795
0.445521,0.017377,0.202376,0.005248,0.047458,0.000544,0.204072,0.000480,0.929284
0.415185,0.017216,0.202152,0.004833,0.046881,0.000672,0.182344,0.000544,0.876387
0.421136,0.017281,0.202056,0.004832,0.046978,0.000768,0.192551,0.000480,0.892034
0.420016,0.017632,0.202888,0.005248,0.047714,0.000768,0.229033,0.000736,0.930788
0.415120,0.017377,0.202823,0.005089,0.048322,0.000800,0.196231,0.000640,0.893059
0.415472,0.017441,0.202664,0.004992,0.047426,0.000800,0.216680,0.000672,0.912291
0.415377,0.017568,0.202536,0.005089,0.047361,0.000768,0.209481,0.000576,0.905092
0.430545,0.017473,0.201831,0.005056,0.048514,0.000480,0.192999,0.000768,0.903939
0.416720,0.017217,0.202152,0.004800,0.047714,0.000544,0.194215,0.000864,0.890466
0.415536,0.017537,0.202280,0.004832,0.047490,0.000800,0.217992,0.000865,0.913988
0.424177,0.017729,0.205096,0.005280,0.047970,0.000768,0.204520,0.000608,0.913604
0.417809,0.017633,0.203080,0.005248,0.048834,0.000800,0.199432,0.000800,0.901476
0.418385,0.017825,0.202663,0.005249,0.048578,0.000800,0.201704,0.000576,0.903524
0.421872,0.017889,0.203016,0.004992,0.048642,0.000832,0.202408,0.000800,0.908707
0.439569,0.017569,0.202984,0.005248,0.048770,0.000800,0.213609,0.000576,0.936357
