Layer[0],Layer[1],Layer[2],Layer[3],Layer[4],Layer[5],TEE[6-8],Layer[9],Layer[10],classifier
0.420977,0.017632,0.204072,0.005121,0.048001,0.000801,0.198375,0.001632,0.000352,0.905091
0.420497,0.017536,0.202728,0.004865,0.047905,0.000577,0.197767,0.001504,0.000448,0.901315
0.420273,0.017472,0.202888,0.004865,0.048737,0.000609,0.218792,0.001312,0.000352,0.922500
0.419824,0.017665,0.202536,0.004832,0.048002,0.000544,0.185895,0.001536,0.000448,0.888802
0.437073,0.017697,0.202472,0.004832,0.048610,0.000800,0.195783,0.001440,0.000416,0.917028
0.420464,0.017473,0.201928,0.005024,0.048674,0.000768,0.192583,0.001632,0.000448,0.896003
0.416240,0.017601,0.202344,0.005088,0.048322,0.000576,0.195880,0.001376,0.000448,0.897475
0.420912,0.017665,0.202312,0.005120,0.048482,0.000832,0.215753,0.001504,0.000384,0.921156
0.415569,0.017824,0.202696,0.005088,0.048738,0.000576,0.205480,0.001312,0.000384,0.905636
0.421616,0.017600,0.202824,0.004896,0.047906,0.000832,0.194472,0.001440,0.000320,0.899459
0.416528,0.017505,0.202312,0.005120,0.048706,0.000576,0.198055,0.001440,0.000448,0.900131
0.439730,0.017632,0.202728,0.005120,0.048002,0.000544,0.199336,0.001248,0.000416,0.922148
0.420976,0.017505,0.203240,0.004960,0.047906,0.000576,0.195144,0.001312,0.000384,0.899171
0.415857,0.017504,0.202600,0.005121,0.048641,0.000576,0.198983,0.001280,0.000384,0.897891
0.420208,0.017505,0.202728,0.004864,0.048898,0.000576,0.223529,0.001472,0.000512,0.928260
0.416752,0.017537,0.202344,0.004864,0.048290,0.000576,0.191559,0.001184,0.000416,0.890787
0.416240,0.017505,0.202088,0.005248,0.048066,0.000544,0.191623,0.001440,0.000448,0.890882
0.415888,0.017441,0.203144,0.005056,0.047778,0.000576,0.189415,0.001440,0.000416,0.889155
0.438193,0.017633,0.202344,0.005088,0.049186,0.000576,0.184391,0.001280,0.000352,0.907491
0.415984,0.017569,0.202184,0.005056,0.048482,0.000576,0.223145,0.001344,0.000384,0.921924
0.420336,0.017633,0.201864,0.005088,0.047906,0.000800,0.197480,0.001408,0.000416,0.902211
0.415664,0.017473,0.202472,0.005056,0.047874,0.000576,0.222665,0.001568,0.000288,0.922468
0.419761,0.017696,0.202696,0.005121,0.047745,0.000576,0.199719,0.001440,0.000288,0.902148
0.416272,0.017761,0.202152,0.004864,0.048002,0.000544,0.203240,0.001312,0.000448,0.902307
0.415793,0.017889,0.202791,0.005249,0.049186,0.000608,0.201352,0.001536,0.000416,0.902532
0.435089,0.017728,0.202056,0.005056,0.048098,0.000608,0.203240,0.001408,0.000448,0.923141
0.420528,0.017697,0.202024,0.004800,0.048194,0.000576,0.208712,0.001504,0.000384,0.911779
0.416432,0.017921,0.202280,0.005056,0.048034,0.000544,0.213672,0.001376,0.000352,0.913828
0.416209,0.017472,0.201832,0.005088,0.048482,0.000608,0.202792,0.001472,0.000416,0.902244
0.420592,0.017665,0.210920,0.004896,0.048418,0.000800,0.244586,0.001632,0.000416,0.960293
0.421552,0.017729,0.204488,0.004928,0.047842,0.000832,0.196840,0.001760,0.000416,0.904195
0.415952,0.017505,0.203816,0.004992,0.048130,0.000576,0.194983,0.001345,0.000416,0.895203
0.432881,0.017600,0.202536,0.004961,0.048129,0.000577,0.200135,0.001408,0.000449,0.916804
0.420465,0.017569,0.203432,0.004800,0.048226,0.000576,0.193575,0.001376,0.000352,0.897860
0.420433,0.017569,0.203208,0.004832,0.048514,0.000576,0.188551,0.001440,0.000448,0.892963
0.420689,0.017537,0.221096,0.005056,0.049442,0.000608,0.195016,0.001376,0.000352,0.920612
0.415056,0.017633,0.202344,0.004864,0.048162,0.000576,0.194792,0.001280,0.000384,0.892483
0.416112,0.017953,0.202920,0.005056,0.047970,0.000576,0.206056,0.001344,0.000416,0.907651
0.415569,0.017920,0.202696,0.004833,0.048097,0.000609,0.189127,0.001248,0.000352,0.888131
0.420304,0.017665,0.202280,0.004864,0.048066,0.000608,0.195432,0.001440,0.000384,0.898627
0.420337,0.017761,0.202216,0.005280,0.048258,0.000608,0.197768,0.001312,0.000384,0.900900
0.420880,0.017921,0.202312,0.005088,0.048354,0.000576,0.195496,0.001312,0.000352,0.899939
0.415600,0.017473,0.220456,0.005152,0.048194,0.000576,0.194599,0.001344,0.000384,0.911107
0.420368,0.017633,0.202792,0.004992,0.047714,0.000576,0.189736,0.001248,0.000352,0.892803
0.416464,0.017537,0.202568,0.005024,0.047842,0.000544,0.188679,0.001377,0.000448,0.887491
0.422097,0.017569,0.204232,0.005152,0.047874,0.000608,0.194087,0.001440,0.000352,0.901988
0.417616,0.017665,0.202632,0.005216,0.048418,0.000576,0.196904,0.001248,0.000320,0.898115
0.421616,0.017473,0.202248,0.004896,0.048418,0.000576,0.197192,0.001344,0.000384,0.901411
0.420401,0.017537,0.202728,0.004928,0.047906,0.000544,0.201160,0.001216,0.000352,0.903780
0.420593,0.035073,0.203240,0.005408,0.048098,0.000576,0.184744,0.001248,0.000352,0.907332
0.416336,0.017345,0.202152,0.004896,0.047938,0.000544,0.189288,0.001344,0.000416,0.886979
0.419952,0.017697,0.202664,0.005056,0.047298,0.000544,0.194184,0.001504,0.000480,0.898275
0.415920,0.017697,0.201928,0.005088,0.047682,0.000544,0.198663,0.001408,0.000480,0.896003
0.420913,0.017505,0.202087,0.005057,0.047170,0.000576,0.195303,0.001440,0.000416,0.897379
0.415376,0.017953,0.203047,0.005280,0.048130,0.000576,0.190983,0.001344,0.000416,0.890179
0.420113,0.017664,0.201608,0.004864,0.048130,0.000576,0.185608,0.001312,0.000384,0.886883
0.414768,0.017664,0.217641,0.005024,0.048066,0.000576,0.192487,0.001344,0.000416,0.904836
0.420496,0.017696,0.202952,0.004800,0.047746,0.000544,0.205864,0.001184,0.000416,0.908228
