TEE[0-5],Layer[6],Layer[7],Layer[8],Layer[9],Layer[10],classifier
1.778210,0.015905,0.000704,0.001504,0.001280,0.000416,1.804899
1.732703,0.015168,0.000769,0.001440,0.001152,0.000352,1.758497
1.788994,0.015585,0.000704,0.001505,0.001184,0.000384,1.815364
1.740224,0.016001,0.000704,0.001472,0.001216,0.000352,1.767233
1.792227,0.016353,0.000768,0.001760,0.001152,0.000352,1.819716
1.733440,0.015521,0.000800,0.001536,0.001120,0.000320,1.759553
1.761377,0.015777,0.000768,0.001472,0.001408,0.000352,1.787586
1.739968,0.017185,0.000928,0.001568,0.001184,0.000384,1.768770
1.770594,0.014945,0.000704,0.001504,0.001248,0.000416,1.796611
1.761057,0.015969,0.000768,0.001472,0.001216,0.000416,1.787842
1.789890,0.014913,0.000928,0.001504,0.001120,0.000384,1.815844
1.729087,0.015040,0.000704,0.001664,0.001184,0.000384,1.755137
1.783523,0.015425,0.000704,0.001536,0.001184,0.000384,1.809540
1.732064,0.015265,0.000896,0.001408,0.001216,0.000352,1.758145
1.756704,0.015137,0.000704,0.001440,0.001216,0.000416,1.782914
1.737248,0.015201,0.000928,0.001408,0.001184,0.000384,1.763009
1.775778,0.015617,0.000928,0.001472,0.001184,0.000384,1.802371
1.744576,0.015008,0.000736,0.001504,0.001216,0.000384,1.770594
1.801091,0.015425,0.000896,0.001504,0.001120,0.000384,1.827396
1.715774,0.014689,0.000736,0.001536,0.001377,0.000416,1.741280
1.748288,0.015521,0.000800,0.001536,0.001120,0.000416,1.774689
1.736896,0.014753,0.000704,0.001472,0.001216,0.000384,1.762081
1.747008,0.014945,0.000704,0.001440,0.001184,0.000416,1.773249
1.742528,0.014945,0.000896,0.001408,0.001152,0.000384,1.768545
1.797283,0.017153,0.000928,0.001504,0.001120,0.000416,1.825476
1.752832,0.014529,0.000704,0.001472,0.001120,0.000384,1.778177
1.754113,0.015713,0.000800,0.001504,0.001120,0.000384,1.780578
1.747713,0.015969,0.000736,0.001504,0.001088,0.000352,1.774082
1.764033,0.016961,0.000768,0.001600,0.001376,0.000417,1.792195
1.750016,0.016225,0.000992,0.001504,0.001216,0.000384,1.777378
1.786627,0.014977,0.000736,0.001504,0.001152,0.000384,1.812388
1.750369,0.015105,0.000768,0.001472,0.001216,0.000320,1.776130
1.830917,0.015297,0.000768,0.001408,0.001152,0.000416,1.857094
1.755072,0.014657,0.000704,0.001568,0.001088,0.000384,1.780417
1.752800,0.015040,0.000800,0.001440,0.001056,0.000384,1.778498
1.726719,0.014945,0.000704,0.001408,0.001152,0.000384,1.751648
1.779233,0.014784,0.000736,0.001408,0.001024,0.000384,1.804260
1.748737,0.014977,0.000736,0.001440,0.001152,0.000384,1.773794
1.782530,0.014753,0.000672,0.001376,0.000960,0.000416,1.806979
1.756992,0.014624,0.000704,0.001473,0.001120,0.000416,1.782114
1.790371,0.016033,0.000672,0.001408,0.000992,0.000384,1.816836
1.723199,0.014817,0.000672,0.001440,0.001024,0.000320,1.748768
1.788194,0.014721,0.000736,0.001376,0.000992,0.000416,1.812515
1.754945,0.014721,0.000672,0.001440,0.001120,0.000384,1.780514
1.738016,0.016161,0.000864,0.001568,0.001024,0.000416,1.764673
1.727807,0.015520,0.000704,0.001440,0.001120,0.000352,1.754049
1.750944,0.014785,0.000928,0.001504,0.001184,0.000352,1.776545
1.720766,0.014689,0.000704,0.001504,0.001184,0.000384,1.746272
1.707294,0.015009,0.000736,0.001440,0.001056,0.000416,1.732639
1.754689,0.015137,0.000704,0.001472,0.001056,0.000384,1.779714
1.734271,0.015105,0.000896,0.001472,0.001184,0.000384,1.759680
1.723519,0.014913,0.000704,0.001472,0.001088,0.000384,1.747968
1.746624,0.014849,0.000736,0.001536,0.001152,0.000384,1.772545
1.764161,0.034082,0.000800,0.001728,0.001184,0.000384,1.810531
1.728607,0.015425,0.000768,0.001504,0.001152,0.000352,1.754432
1.784130,0.016288,0.000736,0.001568,0.001024,0.000416,1.810532
1.758881,0.014721,0.000768,0.001600,0.001248,0.000384,1.784610
1.743616,0.014593,0.000896,0.001632,0.000992,0.000384,1.768097
1.735072,0.014753,0.000704,0.001536,0.001088,0.000416,1.760097
1.774498,0.016225,0.000896,0.001472,0.001184,0.000352,1.801795
1.751392,0.014465,0.000640,0.001472,0.001120,0.000352,1.776321
1.777601,0.014752,0.000832,0.001473,0.001152,0.000416,1.803587
1.766817,0.015072,0.000704,0.001472,0.001056,0.000352,1.792579
1.758081,0.015201,0.000928,0.001440,0.001152,0.000416,1.784546
1.757953,0.014689,0.000768,0.001472,0.001152,0.000416,1.783490
1.750592,0.015297,0.000960,0.001504,0.001088,0.000384,1.776482
1.761089,0.014497,0.000512,0.001440,0.001184,0.000416,1.785090
1.776450,0.014625,0.000704,0.001440,0.001152,0.000384,1.801315
1.722078,0.014625,0.000736,0.001472,0.001120,0.000417,1.746976
1.731679,0.015072,0.000704,0.001377,0.001088,0.000384,1.756897
1.725598,0.014592,0.000928,0.001441,0.001088,0.000352,1.750720
1.747936,0.015073,0.000928,0.001440,0.001056,0.000384,1.774113
1.745184,0.015457,0.000704,0.001440,0.001280,0.000352,1.772001
1.786050,0.015073,0.000736,0.001536,0.001216,0.000353,1.812484
1.738271,0.014944,0.000929,0.001504,0.001152,0.000384,1.763873
1.785826,0.014529,0.000704,0.001440,0.001217,0.000384,1.811332
1.743744,0.015041,0.000960,0.001536,0.001280,0.000384,1.769825
1.773026,0.014689,0.000960,0.001472,0.001088,0.000416,1.798659
