Layer[0],Layer[1],Layer[2],TEE[3-6],Layer[7],Layer[8],Layer[9],Layer[10],classifier
0.415825,0.017664,0.202216,0.257515,0.000768,0.002016,0.001248,0.000352,0.905380
0.415408,0.017633,0.201768,0.261194,0.000704,0.002784,0.001248,0.000384,0.908868
0.415760,0.017825,0.202344,0.253098,0.000672,0.001952,0.001056,0.000384,0.900963
0.420337,0.017857,0.201832,0.260426,0.000768,0.002048,0.001120,0.000384,0.912484
0.416048,0.017569,0.202792,0.260650,0.000800,0.002144,0.001248,0.000384,0.909763
0.417041,0.017792,0.202184,0.271179,0.000704,0.002176,0.001184,0.000416,0.920772
0.432017,0.017569,0.202504,0.244842,0.000704,0.002112,0.001024,0.000416,0.907972
0.415473,0.017441,0.201959,0.246602,0.000704,0.002656,0.001120,0.000384,0.892387
0.419504,0.017632,0.201992,0.253130,0.000736,0.001920,0.000992,0.000384,0.903843
0.416016,0.017569,0.202280,0.244905,0.000672,0.001920,0.000993,0.000416,0.891907
0.415601,0.017824,0.201864,0.285388,0.000672,0.002080,0.001024,0.000384,0.931493
0.420560,0.017505,0.202216,0.255626,0.001088,0.002048,0.000992,0.000416,0.907843
0.414224,0.017697,0.203080,0.252970,0.000704,0.001888,0.000992,0.000416,0.897987
0.428241,0.017985,0.202344,0.259882,0.000736,0.002176,0.001184,0.000384,0.922085
0.418929,0.017792,0.202184,0.240138,0.000640,0.002016,0.001088,0.000384,0.891043
0.415984,0.017697,0.203272,0.260650,0.000736,0.002080,0.001024,0.000384,0.909667
0.420209,0.017664,0.202440,0.276651,0.000704,0.002208,0.001248,0.000352,0.929732
0.415664,0.017761,0.202120,0.260586,0.000736,0.002752,0.001120,0.000576,0.909092
0.416112,0.017472,0.202056,0.268939,0.000736,0.002080,0.001056,0.000384,0.917892
0.415537,0.017632,0.202920,0.254314,0.000801,0.002112,0.001152,0.000352,0.902724
0.433009,0.017569,0.202792,0.270794,0.000864,0.002113,0.001088,0.000416,0.936517
