Layer[0],Layer[1],Layer[2],Layer[3],TEE[4-10],classifier
0.419632,0.017729,0.202952,0.005216,0.201064,0.917380
0.419920,0.017665,0.202344,0.005056,0.197896,0.910787
0.435313,0.017568,0.222025,0.005408,0.230345,1.008103
0.420337,0.017696,0.202216,0.005312,0.202184,0.914724
0.420049,0.017601,0.201959,0.005152,0.187335,0.898531
0.420272,0.017761,0.201960,0.005248,0.199528,0.912772
0.421201,0.017761,0.203816,0.004800,0.200200,0.919396
0.420048,0.017537,0.201992,0.005280,0.201800,0.917540
0.420145,0.017537,0.202440,0.005344,0.187111,0.899908
0.440209,0.017633,0.202248,0.004992,0.203496,0.936388
0.420017,0.017536,0.202632,0.005249,0.187911,0.903524
0.420401,0.017537,0.202696,0.005312,0.196872,0.910948
0.419761,0.017568,0.201960,0.004801,0.224360,0.945765
0.420816,0.017569,0.203304,0.005248,0.200264,0.915684
0.420560,0.017505,0.202696,0.005280,0.195176,0.910563
0.419729,0.017537,0.202248,0.005120,0.201512,0.915652
0.439121,0.017633,0.202888,0.005248,0.200232,0.935460
0.420241,0.017665,0.203464,0.005280,0.193095,0.909700
0.421777,0.017921,0.202536,0.004864,0.201352,0.916676
0.420465,0.017569,0.222280,0.005249,0.204552,0.938085
0.419696,0.017697,0.202696,0.004800,0.187815,0.912387
0.420113,0.017761,0.202088,0.004800,0.196391,0.912996
0.419952,0.017697,0.203240,0.005216,0.195816,0.908739
0.420305,0.017761,0.202856,0.005120,0.183431,0.921828
0.421712,0.017760,0.204136,0.005249,0.190151,0.906819
0.415664,0.017793,0.203208,0.005216,0.194759,0.912963
0.420081,0.017568,0.225609,0.005377,0.199303,0.937733
0.415728,0.017729,0.203816,0.005088,0.201448,0.919044
0.415729,0.017600,0.202472,0.005089,0.182311,0.893091
0.419952,0.017537,0.202280,0.005152,0.174983,0.891299
0.420273,0.017697,0.202023,0.005025,0.186727,0.897475
0.416433,0.017473,0.202023,0.005249,0.195943,0.903844
0.420272,0.017665,0.203624,0.005184,0.185831,0.900739
0.420336,0.017505,0.221864,0.005121,0.185191,0.917732
0.419632,0.017505,0.202120,0.004832,0.192616,0.902211
0.420176,0.017952,0.203944,0.005249,0.186663,0.900355
0.420369,0.017472,0.202312,0.004993,0.187591,0.898371
0.420241,0.017473,0.202824,0.005216,0.195079,0.905956
0.416209,0.017537,0.202183,0.004833,0.181031,0.895140
0.419728,0.017857,0.203080,0.005024,0.195528,0.906979
0.416048,0.017505,0.218984,0.005153,0.204840,0.927140
0.414800,0.017409,0.202632,0.005280,0.193672,0.899075
0.415056,0.017665,0.203656,0.004992,0.197032,0.915524
0.420337,0.017537,0.203240,0.005248,0.202536,0.915172
0.421040,0.017729,0.202056,0.005248,0.190184,0.913796
0.422576,0.017505,0.203048,0.005120,0.199272,0.925764
0.416368,0.017792,0.202600,0.005216,0.194504,0.909860
0.437585,0.017856,0.202056,0.005120,0.188872,0.920036
0.420144,0.017569,0.202152,0.005056,0.196136,0.906755
0.427024,0.017600,0.206216,0.005249,0.207464,0.934436
0.421232,0.017601,0.204360,0.005056,0.194696,0.917572
0.421136,0.017633,0.202632,0.005056,0.207400,0.923908
0.421488,0.017825,0.203368,0.005216,0.201928,0.921765
0.416048,0.017537,0.202824,0.004832,0.204008,0.912195
0.437137,0.017729,0.203496,0.004864,0.208424,0.944325
0.417008,0.017793,0.204616,0.005056,0.205928,0.918980
0.420496,0.017537,0.203464,0.005024,0.204424,0.922212
0.420880,0.017697,0.203720,0.005216,0.211273,0.929636
0.416688,0.017665,0.203048,0.005248,0.192872,0.902499
0.419697,0.017536,0.203304,0.005281,0.201480,0.916868
0.420784,0.017281,0.202504,0.005248,0.198312,0.910211
0.443121,0.017633,0.202824,0.004800,0.199752,0.937636
0.420720,0.017665,0.203592,0.005184,0.191272,0.910883
0.416081,0.017760,0.202696,0.005249,0.189927,0.911492
0.420336,0.017601,0.223849,0.005216,0.190375,0.942565
0.419440,0.017697,0.203432,0.005216,0.201864,0.920260
0.415888,0.017601,0.202920,0.005216,0.203048,0.919780
0.420240,0.017537,0.203016,0.005248,0.203240,0.920388
0.420464,0.017728,0.202760,0.005216,0.200680,0.912932
0.420688,0.017313,0.202184,0.005216,0.203368,0.915460
0.421200,0.017697,0.202568,0.005280,0.205896,0.920996
0.419888,0.017537,0.233321,0.005441,0.194599,0.940933
0.420240,0.017537,0.202120,0.004960,0.200648,0.914787
0.415697,0.017568,0.203176,0.005249,0.201991,0.911940
0.421392,0.017505,0.203880,0.005216,0.186632,0.902595
0.415952,0.017697,0.202632,0.004960,0.204328,0.915876
0.422736,0.017761,0.203624,0.005120,0.200072,0.917572
0.420240,0.017505,0.202504,0.005248,0.204136,0.917956
0.440497,0.017921,0.202408,0.005056,0.204840,0.944517
0.420465,0.017473,0.202120,0.005024,0.199816,0.912196
0.420497,0.017536,0.202536,0.005089,0.194311,0.914180
0.415792,0.017793,0.203144,0.005280,0.193992,0.931172
0.420753,0.017472,0.202439,0.005281,0.204776,0.916516
0.416273,0.017600,0.203208,0.005281,0.203304,0.914532
0.420881,0.017537,0.202760,0.004864,0.189767,0.907044
0.436497,0.017505,0.202408,0.005216,0.192743,0.926308
0.416464,0.017697,0.202920,0.005280,0.205352,0.922116
0.420080,0.017633,0.203048,0.005056,0.204136,0.926180
0.421361,0.017505,0.202728,0.005056,0.214696,0.940165
0.420240,0.017505,0.203048,0.005248,0.198664,0.917860
0.417040,0.017569,0.202856,0.005056,0.189575,0.899363
0.419856,0.017505,0.202248,0.004992,0.202248,0.918372
0.433873,0.017536,0.202760,0.005249,0.190279,0.926372
0.420529,0.017793,0.202312,0.005024,0.198920,0.917700
0.420560,0.017729,0.202152,0.005312,0.200936,0.921316
0.420112,0.017601,0.223753,0.005312,0.207176,0.943588
0.420721,0.017569,0.203111,0.005248,0.198920,0.919940
0.420113,0.017729,0.202760,0.005312,0.194024,0.913572
0.415856,0.017441,0.202920,0.005248,0.189127,0.904900
0.420369,0.017665,0.202408,0.004992,0.193703,0.910724
0.415696,0.017505,0.202344,0.005248,0.193639,0.903395
0.420369,0.017568,0.202440,0.005249,0.206600,0.928132
0.420593,0.017824,0.224521,0.005664,0.206729,0.946885
0.416656,0.017665,0.203016,0.005248,0.191879,0.900515
0.420848,0.017505,0.202888,0.005248,0.189064,0.922468
0.415569,0.017568,0.202247,0.004801,0.202472,0.911396
0.419985,0.017472,0.202952,0.005249,0.200871,0.916388
0.415760,0.017665,0.202408,0.005248,0.231593,0.973606
0.420464,0.017568,0.202280,0.005280,0.179015,0.892067
0.438193,0.017665,0.203656,0.005280,0.201448,0.938853
0.420720,0.017761,0.203208,0.005056,0.195400,0.914276
0.417713,0.017568,0.202280,0.005089,0.198535,0.907812
0.416784,0.017537,0.202600,0.005248,0.215272,0.933220
0.420369,0.017632,0.203336,0.005249,0.190119,0.901091
0.421521,0.017473,0.202344,0.005248,0.201000,0.914212
0.420272,0.017664,0.202056,0.004832,0.201512,0.921828
0.436753,0.017633,0.203624,0.005056,0.197320,0.951173
0.415952,0.017472,0.202312,0.005024,0.193928,0.907012
0.420496,0.017665,0.202440,0.004768,0.201448,0.912675
0.417712,0.017825,0.205192,0.005216,0.237481,0.985158
0.417361,0.017472,0.203656,0.004897,0.202247,0.915780
0.421041,0.017569,0.203208,0.005088,0.230633,0.948101
0.420656,0.017824,0.203688,0.005024,0.193320,0.913508
0.415920,0.017537,0.202312,0.004960,0.198696,0.908996
0.415888,0.017728,0.203688,0.005249,0.202343,0.918532
0.416464,0.017984,0.203592,0.005184,0.197640,0.909124
0.417136,0.017441,0.221800,0.005344,0.211528,0.959013
0.417392,0.017760,0.202536,0.004992,0.203624,0.915844
0.416496,0.017537,0.203368,0.005280,0.200200,0.917220
0.417136,0.017537,0.203624,0.004992,0.205512,0.920420
0.417041,0.017824,0.202568,0.005088,0.190823,0.900963
0.422544,0.017505,0.202344,0.005248,0.193480,0.916164
0.416753,0.017761,0.203528,0.005216,0.189639,0.912932
0.437105,0.017569,0.202728,0.005216,0.205384,0.936677
0.417040,0.017537,0.203112,0.005280,0.204872,0.927556
0.416848,0.017505,0.203368,0.005312,0.197608,0.911939
0.416656,0.017473,0.205096,0.005056,0.209576,0.929988
0.416464,0.017664,0.203112,0.005312,0.204103,0.914660
0.417104,0.017697,0.203752,0.005280,0.202792,0.915620
0.415792,0.017761,0.204200,0.005120,0.200936,0.912195
0.444594,0.017569,0.202600,0.005248,0.226537,0.972006
0.417584,0.017696,0.201992,0.005248,0.202568,0.914756
0.415440,0.017537,0.202344,0.004832,0.199624,0.906211
0.416528,0.017760,0.203912,0.005216,0.210473,0.928164
0.417168,0.017505,0.202568,0.005280,0.202024,0.919780
0.414928,0.017665,0.205512,0.005280,0.211208,0.936164
0.417936,0.017601,0.202376,0.005216,0.204136,0.914980
0.442321,0.017665,0.202728,0.005056,0.205768,0.947237
0.416304,0.017729,0.202856,0.005152,0.192616,0.902083
0.415633,0.017536,0.202696,0.005249,0.187367,0.896323
0.414833,0.017536,0.237162,0.005152,0.212040,0.985959
0.417296,0.017537,0.202536,0.005248,0.187015,0.897475
0.416208,0.017537,0.202472,0.005280,0.180679,0.887330
0.416432,0.017761,0.202152,0.005280,0.208232,0.918532
0.416528,0.017761,0.203048,0.005280,0.192456,0.903267
0.417041,0.017569,0.202088,0.005120,0.194279,0.907364
0.416400,0.017569,0.202408,0.005024,0.200744,0.908643
0.416048,0.017537,0.221417,0.005408,0.205864,0.933445
0.415473,0.017728,0.203656,0.004993,0.201064,0.915556
0.421617,0.017537,0.204424,0.004992,0.202344,0.926629
0.420240,0.017569,0.202824,0.005056,0.205736,0.925700
0.416625,0.017505,0.203015,0.005025,0.196935,0.910692
0.416720,0.017697,0.202856,0.005120,0.203688,0.920324
0.419825,0.017729,0.202920,0.005312,0.216232,0.939077
0.433105,0.017345,0.202632,0.005280,0.208872,0.944133
0.420720,0.017537,0.202632,0.005248,0.194504,0.912611
0.420016,0.017569,0.202952,0.005280,0.203016,0.922852
0.420689,0.017601,0.202311,0.005248,0.215560,0.937829
0.416112,0.017665,0.203912,0.005024,0.188424,0.898883
0.420528,0.017793,0.203400,0.005248,0.181767,0.894275
0.415472,0.017536,0.202216,0.005024,0.206824,0.922244
0.433649,0.017729,0.201864,0.005280,0.205768,0.930788
0.417776,0.017441,0.203080,0.005024,0.189799,0.902948
0.420144,0.017633,0.203592,0.004800,0.199496,0.914212
0.420689,0.017505,0.202600,0.005280,0.222281,0.951750
0.415601,0.017600,0.203528,0.005121,0.195655,0.911780
0.416912,0.017537,0.203592,0.005184,0.197512,0.910660
0.415889,0.018144,0.202312,0.005249,0.203144,0.916164
0.418832,0.017664,0.202600,0.005344,0.194600,0.916100
0.418736,0.017761,0.202728,0.005248,0.196968,0.907171
0.415568,0.017569,0.203432,0.005280,0.200648,0.911299
0.419057,0.017664,0.219337,0.005152,0.198344,0.929957
0.416304,0.017536,0.202568,0.005248,0.196680,0.904484
