Layer[0],Layer[1],IN[2],INFER[2-8],OUT[8],TEE[2-8],Layer[9],Layer[10],classifier
0.394572,0.017536,0.132484,0.585682,0.064386,0.785976,0.001408,0.000640,1.205604
0.394892,0.017601,0.142148,0.584881,0.067490,0.798071,0.001568,0.000672,1.218276
0.414284,0.017665,0.142564,0.583089,0.063809,0.792695,0.001568,0.000576,1.232901
0.394859,0.017472,0.132100,0.581809,0.066274,0.784151,0.001472,0.000640,1.204387
0.394828,0.017569,0.139268,0.583537,0.064418,0.790487,0.001504,0.000480,1.210180
0.394988,0.017344,0.142117,0.584785,0.063938,0.794008,0.001408,0.000448,1.213284
0.394571,0.017409,0.141316,0.583249,0.068035,0.796152,0.001568,0.000416,1.216196
0.394988,0.017537,0.143428,0.600530,0.084610,0.832408,0.001504,0.000384,1.252005
0.396300,0.017632,0.143173,0.584209,0.064706,0.795544,0.001600,0.000384,1.216708
0.395179,0.017633,0.141572,0.583281,0.068322,0.796887,0.001569,0.000448,1.216932
0.395084,0.017729,0.177381,0.609426,0.067842,0.858265,0.001568,0.000448,1.277830
0.394924,0.017441,0.133060,0.585745,0.072418,0.794679,0.001568,0.000416,1.213956
0.394860,0.017312,0.142916,0.583217,0.064898,0.794904,0.001376,0.000448,1.214340
0.413324,0.017313,0.128452,0.585841,0.066626,0.784919,0.001472,0.000608,1.223236
0.395724,0.017632,0.136516,0.587186,0.065442,0.792504,0.001760,0.000448,1.213188
0.396267,0.017536,0.136484,0.584081,0.082658,0.823928,0.001569,0.000480,1.245317
0.396012,0.017568,0.144708,0.583858,0.071202,0.803064,0.001600,0.000448,1.223940
0.394283,0.017729,0.138180,0.585905,0.071874,0.799063,0.001504,0.000448,1.218244
0.394732,0.017377,0.137028,0.602418,0.078914,0.821976,0.001536,0.000384,1.241573
0.394540,0.017377,0.144452,0.585105,0.069570,0.802423,0.001536,0.000448,1.221316
0.394668,0.017536,0.127876,0.584081,0.063842,0.779191,0.001632,0.000448,1.198595
0.410988,0.017600,0.142469,0.587569,0.069474,0.802648,0.001632,0.000448,1.238596
0.396139,0.017568,0.136004,0.595122,0.077730,0.812344,0.001472,0.000448,1.233348
0.394924,0.017473,0.139044,0.585841,0.073090,0.801719,0.001472,0.000544,1.221636
0.395180,0.017760,0.121892,0.583953,0.063682,0.773015,0.001376,0.000448,1.192291
0.394604,0.017696,0.119876,0.585073,0.064962,0.773591,0.001440,0.000384,1.191715
0.395563,0.017569,0.137348,0.603442,0.074722,0.820760,0.001472,0.000448,1.241860
0.395275,0.017601,0.132580,0.582641,0.063842,0.782903,0.001312,0.000448,1.201860
0.394540,0.017568,0.133028,0.585265,0.066082,0.787543,0.001281,0.000416,1.205540
0.394859,0.017505,0.120708,0.620274,0.090339,0.834937,0.001440,0.000448,1.254373
0.395211,0.017537,0.134212,0.586705,0.067906,0.792215,0.001344,0.000480,1.211267
0.395884,0.017472,0.128836,0.582801,0.067042,0.782071,0.001664,0.000448,1.202851
0.409132,0.017664,0.119524,0.585329,0.066530,0.774999,0.001344,0.000416,1.208707
0.396652,0.017664,0.138692,0.586194,0.079106,0.807992,0.001536,0.000480,1.230756
0.395564,0.017472,0.140068,0.586130,0.071586,0.801720,0.001376,0.000416,1.221508
0.394827,0.017280,0.137092,0.600850,0.065954,0.807320,0.001408,0.000416,1.226148
0.394763,0.017377,0.139332,0.590225,0.065794,0.798903,0.001376,0.000384,1.217987
0.394860,0.017408,0.136388,0.605202,0.073858,0.818712,0.001440,0.000384,1.237893
0.396204,0.017344,0.138180,0.585394,0.067010,0.793880,0.001344,0.000384,1.214404
0.395308,0.017568,0.139301,0.587665,0.066594,0.796920,0.001536,0.000448,1.217092
0.395116,0.017473,0.158436,0.603538,0.070210,0.835960,0.001504,0.000448,1.256069
0.395372,0.018048,0.135044,0.589746,0.067778,0.796472,0.001600,0.000416,1.217732
0.395499,0.017793,0.134340,0.587921,0.069442,0.795575,0.001856,0.000416,1.216868
0.408204,0.017633,0.144132,0.598642,0.068642,0.814840,0.001600,0.000544,1.248357
0.395564,0.017537,0.124163,0.589170,0.067650,0.784567,0.001696,0.000416,1.205156
0.394924,0.017504,0.132995,0.607154,0.079107,0.822712,0.001472,0.000416,1.242117
0.395115,0.017281,0.133348,0.586001,0.065954,0.789399,0.001376,0.000448,1.209571
0.395692,0.017568,0.136964,0.588882,0.066658,0.795768,0.001376,0.000384,1.215716
0.395596,0.017472,0.131844,0.606322,0.077347,0.818841,0.001376,0.000704,1.239141
0.395116,0.017632,0.143556,0.587505,0.068514,0.802903,0.001504,0.000416,1.223076
0.394796,0.017600,0.128612,0.586769,0.063586,0.782263,0.001440,0.000512,1.202435
0.414733,0.017472,0.136644,0.595474,0.066946,0.802360,0.001472,0.000448,1.242213
0.395500,0.017665,0.136740,0.588113,0.068386,0.797079,0.001472,0.000448,1.217732
0.395404,0.017472,0.132548,0.589618,0.066178,0.791800,0.001408,0.000416,1.211588
0.395532,0.017600,0.140772,0.588466,0.067138,0.799800,0.001664,0.000416,1.219812
0.394956,0.017632,0.135044,0.585585,0.064514,0.788440,0.001408,0.000416,1.208068
0.395532,0.017441,0.130787,0.605970,0.071426,0.811704,0.001664,0.000416,1.231877
0.394444,0.017632,0.125540,0.583729,0.066850,0.779767,0.001409,0.000384,1.198564
0.395148,0.017536,0.127172,0.584465,0.064290,0.779415,0.001344,0.000416,1.198755
0.394891,0.017569,0.133156,0.603922,0.091395,0.832121,0.001728,0.000480,1.252453
0.395628,0.017760,0.143557,0.585137,0.064386,0.796632,0.001472,0.000384,1.217476
0.394892,0.017760,0.130948,0.595954,0.064706,0.795128,0.001600,0.000416,1.214916
0.411628,0.017952,0.135460,0.606450,0.068002,0.813496,0.001568,0.000480,1.251365
0.395595,0.017601,0.135236,0.587921,0.067522,0.794391,0.001408,0.000640,1.214979
0.394539,0.017729,0.133444,0.585265,0.065058,0.787095,0.001504,0.000448,1.206051
0.394188,0.017568,0.136837,0.586833,0.067554,0.794712,0.001376,0.000384,1.213380
0.394603,0.017537,0.133252,0.586929,0.068034,0.791927,0.001440,0.000416,1.211043
0.396204,0.017665,0.125892,0.601617,0.074659,0.805624,0.001440,0.000384,1.226181
0.394700,0.017376,0.121540,0.584177,0.066082,0.775127,0.001536,0.000480,1.194595
0.394411,0.017665,0.131300,0.586833,0.066178,0.787415,0.001344,0.000384,1.206051
0.394540,0.017473,0.153092,0.599858,0.066978,0.823352,0.001600,0.000416,1.242309
0.395660,0.017697,0.136868,0.586609,0.066946,0.793687,0.001568,0.000384,1.213700
0.395147,0.017697,0.129188,0.590161,0.066946,0.790071,0.001568,0.000512,1.210883
0.410925,0.017824,0.123268,0.602322,0.065602,0.794392,0.001344,0.000416,1.229829
0.394668,0.017504,0.127492,0.600850,0.064322,0.795960,0.001280,0.000416,1.215396
0.394347,0.017761,0.125828,0.585585,0.086371,0.801592,0.001440,0.000480,1.220676
0.396396,0.017408,0.123364,0.583441,0.064162,0.774359,0.001440,0.000448,1.195139
0.393996,0.017409,0.125347,0.582066,0.064066,0.775223,0.001376,0.000448,1.193764
0.394443,0.017408,0.139172,0.599250,0.083586,0.825400,0.001473,0.000448,1.244101
0.394955,0.017568,0.139300,0.585042,0.066658,0.794232,0.001376,0.000448,1.214116
0.395020,0.017568,0.135716,0.582898,0.063809,0.785815,0.001345,0.000384,1.205284
0.394795,0.017601,0.150660,0.593746,0.064226,0.811672,0.001312,0.000416,1.230564
0.397804,0.017729,0.140484,0.585873,0.067394,0.797975,0.001600,0.000512,1.221956
0.395724,0.017696,0.140708,0.587602,0.067330,0.799448,0.001344,0.000416,1.218916
0.411436,0.017857,0.131332,0.590225,0.068578,0.793751,0.001441,0.000512,1.230501
0.395276,0.017568,0.127652,0.587697,0.066529,0.785336,0.001376,0.000640,1.205156
0.394187,0.017696,0.130500,0.604274,0.077538,0.815992,0.001472,0.000448,1.235268
0.396331,0.017697,0.131876,0.584497,0.064898,0.784695,0.001600,0.000384,1.204899
0.395436,0.017409,0.120579,0.581202,0.063809,0.769558,0.001440,0.000416,1.189284
0.394540,0.017376,0.129252,0.622162,0.086147,0.841145,0.001440,0.000416,1.259685
0.395244,0.017761,0.132612,0.585617,0.067714,0.789367,0.001440,0.000416,1.209860
0.394668,0.017504,0.125603,0.582097,0.064450,0.775415,0.001248,0.000416,1.194276
0.414957,0.017632,0.139652,0.596114,0.070338,0.809752,0.001504,0.000448,1.250469
0.395308,0.017728,0.134052,0.592690,0.066498,0.796632,0.001312,0.000480,1.216900
0.394380,0.017472,0.141124,0.587602,0.066882,0.799224,0.001376,0.000416,1.218340
0.394859,0.017633,0.139972,0.585361,0.066434,0.795287,0.001249,0.000416,1.214372
0.395403,0.017536,0.138724,0.583922,0.070690,0.796664,0.001408,0.000480,1.216932
0.396171,0.017537,0.148132,0.607314,0.091587,0.851097,0.001984,0.000544,1.273157
0.395276,0.017536,0.138116,0.584626,0.067298,0.793432,0.001184,0.000416,1.213284
0.394796,0.017312,0.127204,0.585105,0.065410,0.780951,0.001440,0.000385,1.200228
0.394700,0.017344,0.160517,0.591889,0.066434,0.822488,0.001376,0.000417,1.241797
0.394764,0.017280,0.138948,0.586866,0.064066,0.792888,0.001344,0.000384,1.211780
0.396300,0.017856,0.129220,0.589874,0.069410,0.792504,0.001408,0.000480,1.214500
0.411149,0.017888,0.140868,0.600722,0.068514,0.813432,0.001600,0.000448,1.250373
0.395179,0.017344,0.142788,0.586866,0.067298,0.800152,0.001408,0.000384,1.219620
0.395308,0.017537,0.141060,0.587153,0.086371,0.818200,0.001408,0.000448,1.238789
0.395436,0.017537,0.139172,0.582449,0.064898,0.789879,0.001312,0.000384,1.209636
0.396619,0.017665,0.143140,0.585650,0.068034,0.800408,0.001440,0.000416,1.221732
0.395212,0.017376,0.148741,0.621522,0.079491,0.853114,0.001440,0.000448,1.273190
0.395340,0.017312,0.137508,0.588210,0.068162,0.797304,0.001376,0.000480,1.216964
0.395692,0.017601,0.119491,0.586066,0.072226,0.781399,0.001632,0.000448,1.202564
0.415628,0.017697,0.138564,0.598162,0.067970,0.807832,0.001312,0.000448,1.249349
