IN[0],INFER[0-8],OUT[8],TEE[0-8],Layer[9],Layer[10],classifier
0.167973,1.586255,0.067618,1.828726,0.001504,0.000480,1.832823
0.147429,1.568495,0.067266,1.789718,0.001504,0.000448,1.793846
0.151717,1.575983,0.068290,1.803542,0.001536,0.000576,1.807766
0.152453,1.569871,0.066850,1.795286,0.001536,0.000608,1.799382
0.149476,1.571567,0.071874,1.798837,0.001440,0.000544,1.802837
0.145700,1.569998,0.082275,1.803574,0.001440,0.000544,1.807702
0.145125,1.568142,0.066690,1.785557,0.001344,0.000480,1.789621
0.144133,1.591951,0.074082,1.816182,0.001344,0.000576,1.820438
0.145925,1.565038,0.063810,1.779861,0.001408,0.000544,1.784117
0.144421,1.586127,0.092739,1.830551,0.001312,0.000512,1.834487
0.143716,1.566574,0.064546,1.780885,0.001376,0.000384,1.784565
0.148293,1.579855,0.076418,1.814070,0.001344,0.000480,1.817782
0.143941,1.571246,0.067426,1.788949,0.001344,0.000448,1.792885
0.143716,1.583311,0.083106,1.817942,0.001472,0.000576,1.823030
0.145733,1.570190,0.065218,1.787669,0.001376,0.000416,1.791349
0.148357,1.585679,0.083363,1.823415,0.001440,0.000544,1.827767
0.150948,1.570671,0.066210,1.794197,0.001408,0.000576,1.798101
0.142981,1.586223,0.080386,1.816694,0.001472,0.000640,1.821718
0.138308,1.564239,0.064642,1.773621,0.001376,0.000544,1.777589
0.145252,1.587599,0.079875,1.820406,0.001504,0.000576,1.825910
0.146020,1.565775,0.065954,1.783669,0.001536,0.000608,1.787925
0.155301,1.593743,0.087139,1.843351,0.001664,0.000608,1.848215
0.148196,1.570670,0.068162,1.793365,0.001568,0.000512,1.797973
0.147300,1.605232,0.089475,1.849207,0.001440,0.000608,1.853655
0.145956,1.570030,0.064418,1.786805,0.001312,0.000608,1.790741
0.144004,1.584815,0.072098,1.807989,0.001504,0.000672,1.812245
0.144132,1.566222,0.063778,1.779380,0.001440,0.000544,1.783316
0.142565,1.583727,0.069058,1.802262,0.001472,0.000512,1.807094
0.146276,1.564271,0.075810,1.792309,0.001440,0.000544,1.796373
0.145925,1.586959,0.078082,1.817558,0.001536,0.000384,1.822166
0.150820,1.570671,0.066594,1.795701,0.001472,0.000480,1.800021
0.174822,1.585935,0.083266,1.851799,0.001696,0.000416,1.856856
0.149860,1.571887,0.065282,1.793813,0.001440,0.000512,1.797941
0.150021,1.609776,0.087202,1.855287,0.001600,0.000512,1.860567
0.146789,1.568750,0.066434,1.787957,0.001472,0.000512,1.792085
0.165733,1.566191,0.072194,1.811350,0.001408,0.000544,1.815510
0.166597,1.566703,0.066594,1.806070,0.001536,0.000384,1.809878
0.165125,1.566991,0.066722,1.804534,0.001536,0.000320,1.808566
0.144453,1.568526,0.065346,1.783797,0.001248,0.000416,1.787381
0.158692,1.566574,0.062946,1.794005,0.001344,0.000384,1.797557
0.141764,1.568526,0.063585,1.780052,0.001505,0.000416,1.784053
0.134596,1.566446,0.065218,1.773076,0.001409,0.000384,1.777109
0.137956,1.567566,0.086051,1.797973,0.001472,0.000416,1.801941
0.140004,1.568110,0.067010,1.782101,0.001568,0.000576,1.786261
0.146788,1.586991,0.074402,1.814550,0.001440,0.000512,1.818646
0.162181,1.566959,0.066018,1.800182,0.001376,0.000384,1.803766
0.144036,1.585807,0.078818,1.813845,0.001569,0.000416,1.818454
0.143460,1.565390,0.070435,1.784725,0.001664,0.000416,1.788725
0.143973,1.582415,0.071394,1.803350,0.001600,0.000384,1.807222
0.142340,1.568494,0.063553,1.780308,0.001377,0.000416,1.783765
0.145316,1.580430,0.069315,1.799798,0.001184,0.000384,1.803478
0.146565,1.566958,0.069346,1.790293,0.001376,0.000384,1.793941
0.143908,1.587279,0.078339,1.815446,0.001440,0.000384,1.819222
0.149029,1.572398,0.065633,1.793974,0.001440,0.000512,1.797846
0.145156,1.589679,0.076003,1.817302,0.001600,0.000448,1.821654
0.145189,1.572910,0.065346,1.790261,0.001504,0.000480,1.794165
0.111491,1.579311,0.086275,1.783445,0.001312,0.000448,1.787317
0.152165,1.566638,0.064130,1.788149,0.001376,0.000416,1.792085
0.164293,1.579150,0.084579,1.832374,0.001440,0.000320,1.835926
0.114980,1.563406,0.062978,1.746740,0.001376,0.000416,1.750612
0.129796,1.579503,0.066274,1.779861,0.001344,0.000416,1.783701
0.124420,1.567887,0.069154,1.767253,0.001056,0.000416,1.770613
0.173061,1.581903,0.071458,1.831798,0.001441,0.000384,1.835799
0.123203,1.572015,0.065666,1.766676,0.001312,0.000320,1.770196
0.142692,1.583631,0.077827,1.812214,0.001472,0.000448,1.817174
0.135428,1.591344,0.064322,1.797302,0.001312,0.000352,1.800822
0.137060,1.583823,0.121892,1.848631,0.001344,0.000576,1.852503
0.168965,1.578767,0.065410,1.817814,0.001248,0.000416,1.821686
0.140484,1.587471,0.085411,1.819990,0.001344,0.000448,1.825046
0.164549,1.578895,0.065378,1.813846,0.001248,0.000384,1.817430
0.132516,1.588207,0.071522,1.798742,0.001504,0.000416,1.802678
0.126116,1.567438,0.063138,1.761428,0.001344,0.000448,1.765332
0.134628,1.600495,0.069475,1.810518,0.001408,0.000480,1.814646
0.111171,1.565647,0.063905,1.746420,0.001376,0.000416,1.750132
0.147365,1.586575,0.077090,1.818486,0.001408,0.000576,1.822550
0.124612,1.566959,0.063618,1.760469,0.001248,0.000448,1.764053
0.128004,1.588655,0.068162,1.790709,0.001344,0.000512,1.795029
0.130788,1.564911,0.063490,1.764757,0.001312,0.000416,1.768693
0.137988,1.580015,0.065506,1.788725,0.001344,0.000416,1.792437
0.138244,1.565678,0.068258,1.777845,0.001248,0.000480,1.781557
