IN[0],INFER[0-3],OUT[3],TEE[0-3],Layer[4],Layer[5],Layer[6],Layer[7],Layer[8],Layer[9],Layer[10],classifier
0.145668,1.505005,0.066338,1.723315,0.066818,0.000928,0.013697,0.000352,0.001472,0.001184,0.000416,1.813046
0.145700,1.503597,0.072642,1.728499,0.050018,0.000832,0.013568,0.000352,0.001440,0.001120,0.000384,1.800501
0.145317,1.531438,0.085922,1.770165,0.050338,0.000896,0.014240,0.000352,0.001568,0.001216,0.000480,1.844055
0.145861,1.505101,0.068098,1.725652,0.050241,0.000864,0.013857,0.000416,0.001696,0.001216,0.000416,1.798614
0.144228,1.520174,0.080290,1.752180,0.049762,0.000864,0.013664,0.000384,0.001472,0.001152,0.000384,1.824470
0.143044,1.501644,0.066914,1.718963,0.049090,0.000928,0.013632,0.000384,0.001504,0.001184,0.000416,1.790678
0.134660,1.528110,0.083234,1.754324,0.049506,0.000832,0.013824,0.000352,0.001536,0.001248,0.000384,1.826550
0.147204,1.509133,0.070914,1.734900,0.050081,0.000864,0.013537,0.000384,0.001536,0.001152,0.000384,1.807318
0.145796,1.520974,0.106083,1.780789,0.050146,0.000864,0.013792,0.000384,0.001760,0.001248,0.000352,1.853783
0.145604,1.505293,0.067874,1.724627,0.050434,0.000832,0.013952,0.000352,0.001536,0.001120,0.000384,1.797173
0.151109,1.520525,0.070914,1.748884,0.049186,0.000896,0.013600,0.000352,0.001472,0.001184,0.000352,1.819958
0.133412,1.504397,0.068738,1.713395,0.049250,0.000832,0.013600,0.000384,0.001568,0.001088,0.000352,1.784437
0.144644,1.518349,0.076834,1.745652,0.050913,0.000864,0.013825,0.000352,0.001440,0.001376,0.000384,1.819030
0.151909,1.509709,0.070722,1.739220,0.049602,0.000832,0.014048,0.000384,0.001600,0.001216,0.000352,1.811158
0.144324,1.518381,0.083266,1.752884,0.049794,0.000864,0.013696,0.000320,0.001536,0.001024,0.000384,1.824822
0.135972,1.501836,0.071266,1.716116,0.052289,0.000832,0.013665,0.000384,0.001600,0.001056,0.000416,1.790230
0.131140,1.519566,0.082082,1.739892,0.051842,0.000864,0.013728,0.000384,0.001504,0.001184,0.000384,1.813975
0.138276,1.500333,0.065442,1.708819,0.049890,0.000864,0.013504,0.000384,0.001504,0.001248,0.000416,1.780341
0.144996,1.525326,0.073538,1.750612,0.050529,0.000864,0.014081,0.000352,0.001536,0.001088,0.000352,1.823862
0.143237,1.501261,0.072066,1.723060,0.050785,0.000928,0.013793,0.000384,0.001568,0.001024,0.000384,1.795830
0.144196,1.520301,0.103011,1.774228,0.052994,0.000864,0.014209,0.000384,0.001536,0.001024,0.000416,1.850007
0.137316,1.501229,0.065794,1.710579,0.050690,0.000832,0.014048,0.000384,0.001536,0.001024,0.000384,1.783349
0.141925,1.526253,0.090083,1.765205,0.051297,0.001120,0.013536,0.000320,0.001504,0.000992,0.000384,1.838839
0.144228,1.502189,0.068002,1.720755,0.050946,0.000928,0.013536,0.000352,0.001536,0.001152,0.000384,1.793685
0.164421,1.540302,0.075810,1.788021,0.051362,0.000864,0.013664,0.000352,0.001472,0.001121,0.000384,1.861176
0.142372,1.515022,0.066882,1.730356,0.053377,0.000832,0.013569,0.000384,0.001504,0.001024,0.000384,1.805206
0.156645,1.523149,0.066946,1.754292,0.049314,0.000896,0.013536,0.000384,0.001504,0.001024,0.000416,1.825206
0.144228,1.500525,0.076034,1.727507,0.053186,0.000864,0.013793,0.000384,0.001536,0.001344,0.000320,1.803126
0.142949,1.510861,0.068258,1.728244,0.051105,0.000864,0.014273,0.000352,0.001728,0.001024,0.000608,1.802230
0.143653,1.514893,0.075138,1.739220,0.049442,0.000832,0.013760,0.000352,0.001472,0.000992,0.000352,1.810134
0.131748,1.502541,0.067266,1.708083,0.050209,0.000864,0.013761,0.000352,0.001504,0.001024,0.000384,1.780117
0.136324,1.503053,0.085475,1.731316,0.050561,0.000800,0.013697,0.000384,0.001472,0.001088,0.000352,1.803542
0.145157,1.501836,0.071395,1.725428,0.051937,0.000864,0.013825,0.000384,0.001536,0.001088,0.000384,1.799542
0.143812,1.519405,0.080387,1.751156,0.050113,0.000896,0.013729,0.000384,0.001536,0.001152,0.000448,1.824022
0.145413,1.506413,0.069378,1.728148,0.051233,0.000832,0.013633,0.000384,0.001536,0.001280,0.000352,1.801558
0.140420,1.517645,0.069474,1.734164,0.052866,0.000800,0.013536,0.000416,0.001504,0.001056,0.000416,1.808790
0.147172,1.503629,0.069506,1.727763,0.051746,0.000864,0.013568,0.000352,0.001632,0.001024,0.000384,1.801365
0.129476,1.547726,0.107107,1.792053,0.056034,0.000768,0.013536,0.000352,0.001537,0.001056,0.000384,1.870168
0.143524,1.501773,0.068450,1.720435,0.052738,0.000800,0.013792,0.000384,0.001536,0.001312,0.000384,1.795413
0.141060,1.519789,0.075459,1.743796,0.050049,0.000864,0.014049,0.000352,0.001536,0.001440,0.000544,1.816982
0.141093,1.503533,0.069794,1.720916,0.052737,0.000832,0.014113,0.000352,0.001472,0.001120,0.000384,1.795990
0.144357,1.518317,0.087875,1.757973,0.051393,0.000896,0.013505,0.000352,0.001536,0.001152,0.000384,1.831639
0.130660,1.510445,0.074818,1.722771,0.052130,0.000800,0.013536,0.000352,0.001536,0.001408,0.000384,1.796885
0.142212,1.516654,0.074978,1.740340,0.052737,0.000897,0.013440,0.000384,0.001504,0.001024,0.000352,1.814646
0.146020,1.510509,0.070946,1.733908,0.051906,0.000832,0.013504,0.000352,0.001568,0.000992,0.000384,1.807446
0.144645,1.526349,0.093475,1.771637,0.050114,0.000864,0.013504,0.000352,0.001536,0.000992,0.000416,1.843991
0.145381,1.512877,0.073666,1.739700,0.052194,0.000832,0.013568,0.000352,0.001504,0.001184,0.000384,1.814262
0.141220,1.517197,0.085987,1.751924,0.049858,0.000864,0.013728,0.000352,0.001536,0.001088,0.000384,1.824214
0.134884,1.501196,0.064290,1.706867,0.052610,0.000832,0.013728,0.000352,0.001536,0.001568,0.000384,1.781781
