Layer[0],Layer[1],Layer[2],IN[3],INFER[3-5],OUT[5],TEE[3-5],Layer[6],Layer[7],Layer[8],Layer[9],Layer[10],classifier
0.394988,0.017473,0.191909,0.130052,0.088739,0.064514,0.286505,0.015136,0.000544,0.001440,0.001056,0.000320,0.915451
0.394475,0.017505,0.191750,0.135460,0.083202,0.067618,0.289288,0.014241,0.000512,0.001408,0.001024,0.000352,0.917083
0.394444,0.017504,0.191846,0.139588,0.087267,0.060545,0.290696,0.014848,0.000832,0.001760,0.001088,0.000320,0.919963
0.413900,0.017153,0.191814,0.136228,0.086146,0.063842,0.290792,0.015521,0.000512,0.001536,0.000960,0.000384,0.938204
0.395084,0.017504,0.191942,0.137220,0.086402,0.060290,0.287144,0.014529,0.000576,0.001440,0.000992,0.000352,0.915483
0.395212,0.017504,0.192070,0.142372,0.085699,0.066562,0.297673,0.015264,0.000544,0.001472,0.000960,0.000384,0.927579
0.394123,0.017409,0.209990,0.158149,0.102819,0.061058,0.325258,0.014688,0.000768,0.001504,0.000928,0.000352,0.971644
0.394796,0.017697,0.192005,0.143941,0.085250,0.060834,0.293289,0.014368,0.000608,0.001504,0.001056,0.000416,0.923452
0.394508,0.017664,0.192198,0.140932,0.084771,0.062273,0.291113,0.014688,0.000480,0.001504,0.001056,0.000320,0.920667
0.394667,0.017601,0.192390,0.138596,0.086722,0.060610,0.289128,0.014625,0.000448,0.001504,0.000992,0.000384,0.917435
0.394955,0.017697,0.191910,0.129923,0.085090,0.059074,0.277064,0.014208,0.000512,0.001408,0.000960,0.000288,0.905050
0.394987,0.017632,0.192038,0.137380,0.084034,0.063170,0.287848,0.014849,0.000544,0.001472,0.001568,0.000320,0.918267
0.394220,0.017793,0.191333,0.139940,0.086691,0.060578,0.290153,0.014368,0.000512,0.001472,0.000992,0.000320,0.917723
0.417196,0.017761,0.191621,0.135428,0.096867,0.061730,0.297097,0.014241,0.000480,0.001504,0.000896,0.000352,0.947484
0.394315,0.017665,0.191366,0.158596,0.086787,0.061666,0.310217,0.015424,0.000512,0.001536,0.000960,0.000320,0.938779
0.394956,0.017537,0.192101,0.128196,0.086243,0.060545,0.277992,0.014753,0.000512,0.001536,0.001056,0.000352,0.907899
0.394347,0.017345,0.191941,0.136164,0.084131,0.079170,0.302729,0.015681,0.000576,0.001440,0.001120,0.000320,0.932188
0.396748,0.017793,0.192037,0.140356,0.087971,0.063042,0.294921,0.014752,0.000544,0.001568,0.000992,0.000352,0.928284
0.394796,0.017696,0.192390,0.162117,0.088291,0.060961,0.314825,0.015297,0.000512,0.001408,0.001184,0.000384,0.945148
