IN[0],INFER[0-10],OUT[10],TEE[0-10],classifier
0.144901,1.570094,0.075586,1.797942,1.799606
0.143524,1.595728,0.088546,1.835606,1.837046
0.148229,1.579055,0.075010,1.808406,1.809718
0.143652,1.585967,0.092035,1.829398,1.831030
0.130084,1.567790,0.071650,1.775156,1.776372
0.142468,1.581583,0.084291,1.815350,1.817078
0.142628,1.570031,0.064609,1.783669,1.785429
0.149156,1.607344,0.094819,1.861431,1.863063
0.144196,1.589072,0.069602,1.809526,1.810966
0.147940,1.595760,0.087906,1.839766,1.841270
0.146116,1.581550,0.075554,1.809174,1.810550
0.143780,1.599088,0.077154,1.826582,1.828278
0.147429,1.576078,0.072579,1.802710,1.804022
0.144196,1.599727,0.090403,1.841590,1.843766
0.146117,1.578766,0.078915,1.810550,1.812182
0.145412,1.599376,0.081954,1.833334,1.834998
0.143556,1.578063,0.066594,1.794101,1.795413
0.136004,1.594992,0.080866,1.819894,1.821558
0.145668,1.581487,0.071586,1.807381,1.809205
0.148836,1.602000,0.119779,1.879351,1.881271
0.152037,1.573199,0.073602,1.806934,1.808406
0.149381,1.590959,0.078722,1.826966,1.828983
0.137316,1.584623,0.073826,1.803157,1.804597
0.175429,1.604784,0.070658,1.858039,1.859703
0.146980,1.582895,0.070210,1.806421,1.807861
0.125284,1.578095,0.073698,1.784757,1.786485
0.148101,1.577198,0.071682,1.804246,1.805622
0.147813,1.577967,0.068002,1.800566,1.801910
0.175269,1.577647,0.094275,1.854135,1.855703
0.147972,1.584175,0.072771,1.811862,1.813302
0.149508,1.598544,0.080130,1.835702,1.837078
0.148260,1.577807,0.076834,1.809973,1.811381
0.150085,1.603792,0.078242,1.839863,1.841847
0.146500,1.572143,0.065922,1.790133,1.791733
0.141860,1.593871,0.106595,1.848183,1.849879
0.151525,1.573678,0.075299,1.806710,1.808182
0.147012,1.593360,0.086146,1.833110,1.834198
0.143908,1.570319,0.073570,1.793685,1.794837
0.143524,1.596591,0.079843,1.827223,1.828951
0.152164,1.576783,0.074754,1.813142,1.814678
0.150853,1.592943,0.082019,1.833495,1.835127
0.130563,1.566862,0.070914,1.775636,1.776980
0.145700,1.586991,0.078018,1.818774,1.820598
0.148741,1.575407,0.073122,1.803862,1.805142
0.145380,1.593807,0.089091,1.835926,1.837590
0.131107,1.578158,0.073667,1.788885,1.790229
0.149701,1.597167,0.088131,1.843031,1.844855
0.148516,1.580431,0.075395,1.811286,1.812566
0.147972,1.587247,0.106467,1.848534,1.850167
0.147108,1.577870,0.076611,1.808566,1.809942
0.145956,1.598223,0.106723,1.858903,1.860695
0.141413,1.571182,0.067458,1.786293,1.787445
0.135620,1.595695,0.083459,1.822550,1.824214
0.174053,1.573103,0.070626,1.825238,1.827062
0.168069,1.618608,0.074530,1.868087,1.869367
0.179077,1.569199,0.070402,1.825270,1.826934
0.147204,1.577903,0.074082,1.806805,1.808405
0.129220,1.578446,0.074242,1.789173,1.790805
0.151524,1.577614,0.076291,1.812246,1.814006
0.147460,1.582959,0.090499,1.828374,1.830006
0.144965,1.582159,0.073090,1.807062,1.808246
0.146884,1.596207,0.083010,1.833430,1.835382
0.166405,1.572687,0.072418,1.818198,1.819606
0.147268,1.597136,0.084482,1.835862,1.837686
0.146053,1.570958,0.077667,1.800566,1.801846
0.145444,1.582575,0.077443,1.812694,1.814710
0.143077,1.583471,0.069954,1.802870,1.803990
0.145188,1.584623,0.081890,1.819189,1.820758
0.145188,1.578414,0.070531,1.801526,1.803126
0.147621,1.589423,0.081762,1.826582,1.828151
0.130724,1.570063,0.069122,1.776853,1.778261
0.131876,1.596783,0.077251,1.813142,1.815030
0.147365,1.575118,0.073731,1.803126,1.804822
0.143620,1.596816,0.077954,1.824790,1.826262
0.141380,1.583503,0.067938,1.799253,1.800533
0.142724,1.582063,0.077026,1.807157,1.808405
0.125827,1.567502,0.068866,1.768340,1.769460
0.124259,1.591695,0.076482,1.799157,1.800757
0.138052,1.567086,0.069251,1.780277,1.781557
0.149445,1.595343,0.086371,1.839383,1.841047
0.145316,1.582287,0.077955,1.812342,1.813878
0.148132,1.595727,0.086626,1.838230,1.840310
0.153380,1.572303,0.072002,1.803669,1.805045
0.144485,1.598351,0.093635,1.843159,1.844343
0.143748,1.580527,0.077250,1.809013,1.810485
0.143844,1.589967,0.076739,1.817814,1.819510
0.144644,1.569615,0.074882,1.796053,1.797333
0.144900,1.595855,0.081667,1.829302,1.830934
0.135684,1.574478,0.073474,1.791734,1.793046
0.134148,1.585935,0.085763,1.813462,1.815158
0.170373,1.570542,0.074723,1.822582,1.823990
0.166789,1.579694,0.074530,1.828726,1.830582
0.127907,1.578063,0.071618,1.784020,1.785269
0.144132,1.571695,0.067778,1.789493,1.790869
0.128420,1.567695,0.064546,1.765877,1.767061
0.143076,1.568334,0.070211,1.788181,1.789301
0.147845,1.577135,0.073442,1.804374,1.805558
0.151781,1.581519,0.073154,1.814870,1.816342
0.151781,1.574894,0.099011,1.834454,1.836022
0.136484,1.588943,0.068770,1.801398,1.802806
0.148805,1.587855,0.079650,1.823734,1.825334
0.149989,1.583183,0.078818,1.818966,1.820278
0.132580,1.602416,0.095874,1.838391,1.840023
0.128452,1.577391,0.070274,1.783093,1.784117
0.147332,1.594544,0.089570,1.839159,1.840855
0.146020,1.571951,0.070082,1.795669,1.797077
0.143588,1.598767,0.093123,1.842774,1.844534
0.147620,1.570511,0.075938,1.801013,1.802293
0.146852,1.591664,0.078498,1.824758,1.826358
0.136292,1.578287,0.077922,1.801365,1.803093
0.135620,1.600784,0.117891,1.862103,1.863799
0.145380,1.573423,0.070114,1.795157,1.796341
0.150468,1.598736,0.124196,1.882008,1.883608
0.170597,1.586639,0.073698,1.837366,1.838550
0.149573,1.599503,0.122308,1.879416,1.881208
0.148644,1.578639,0.069026,1.803125,1.804437
0.151236,1.598928,0.082050,1.840694,1.842294
0.148004,1.581647,0.069155,1.806358,1.807702
0.153733,1.596815,0.085795,1.844439,1.846231
0.128196,1.581391,0.075523,1.791478,1.792790
