Layer[0],Layer[1],Layer[2],IN[3],INFER[3-7],OUT[7],TEE[3-7],Layer[8],Layer[9],Layer[10],classifier
0.396332,0.017697,0.192261,0.142181,0.104835,0.064194,0.314570,0.002496,0.001088,0.000384,0.930716
0.396940,0.017761,0.191461,0.143781,0.101571,0.062050,0.310730,0.003328,0.001184,0.000384,0.927964
0.395532,0.017568,0.191461,0.142564,0.102403,0.062658,0.310953,0.002400,0.001152,0.000448,0.925500
0.396076,0.017889,0.191909,0.149477,0.102339,0.067106,0.322154,0.002592,0.001216,0.000416,0.938140
0.396716,0.017760,0.191398,0.145316,0.103011,0.062658,0.314953,0.002592,0.001088,0.000416,0.931515
0.395627,0.017537,0.191622,0.160196,0.102211,0.070530,0.336585,0.002721,0.001152,0.000384,0.952188
0.409484,0.017825,0.191718,0.140484,0.110947,0.064642,0.319305,0.002592,0.001152,0.000352,0.948604
0.396331,0.017665,0.192198,0.137924,0.104099,0.070210,0.315945,0.002528,0.001088,0.000384,0.932443
0.395979,0.017761,0.191878,0.136804,0.105251,0.065026,0.310825,0.002656,0.001088,0.000384,0.927451
0.397452,0.017760,0.227943,0.141444,0.110531,0.072099,0.328202,0.002624,0.001280,0.000416,0.982845
0.396844,0.017377,0.191845,0.135716,0.104836,0.066114,0.309962,0.002656,0.001088,0.000416,0.926524
0.396844,0.017633,0.191461,0.142116,0.103876,0.066146,0.315370,0.002784,0.001088,0.000416,0.931676
0.396236,0.017408,0.192006,0.132996,0.104579,0.066242,0.307209,0.002688,0.001120,0.000384,0.923259
0.395692,0.017761,0.191365,0.137284,0.101251,0.064834,0.307209,0.002784,0.001088,0.000416,0.922108
0.396140,0.017536,0.191814,0.138372,0.101603,0.062690,0.306217,0.002592,0.001120,0.000352,0.921403
0.395947,0.017568,0.191558,0.132932,0.103107,0.067426,0.306697,0.002400,0.001152,0.000384,0.921595
0.410925,0.017856,0.191750,0.136836,0.115939,0.065698,0.321833,0.003297,0.001120,0.000384,0.953725
0.395595,0.017569,0.192038,0.136132,0.102627,0.065378,0.307209,0.002656,0.001120,0.000384,0.922811
0.403532,0.017793,0.191973,0.127588,0.103459,0.062626,0.297193,0.002656,0.001184,0.000416,0.921787
0.396268,0.017632,0.191942,0.178917,0.105796,0.063490,0.351691,0.003200,0.001088,0.000320,0.969309
0.396716,0.017728,0.191622,0.129764,0.102659,0.063170,0.298889,0.003264,0.001120,0.000416,0.915931
0.395595,0.017697,0.191653,0.136068,0.101507,0.065282,0.306377,0.002656,0.001248,0.000384,0.921115
0.395948,0.017728,0.191846,0.135652,0.102755,0.066562,0.308841,0.002656,0.001120,0.000384,0.924347
0.395820,0.017633,0.191749,0.137541,0.102819,0.065314,0.309098,0.002592,0.001152,0.000416,0.924476
0.395244,0.017825,0.191589,0.118276,0.111235,0.066562,0.299369,0.002624,0.001120,0.000416,0.914395
0.395660,0.017664,0.191622,0.125316,0.102179,0.064546,0.295369,0.002720,0.001120,0.000416,0.910299
0.397387,0.031712,0.192614,0.135108,0.105827,0.067618,0.312041,0.002656,0.001152,0.000416,0.945052
0.396300,0.017600,0.191814,0.139460,0.099491,0.061858,0.304201,0.003264,0.001152,0.000384,0.920923
0.401356,0.017376,0.192710,0.132740,0.103043,0.066786,0.306057,0.002784,0.001184,0.000384,0.928987
0.396203,0.017408,0.191622,0.143716,0.134180,0.084771,0.366795,0.003072,0.001120,0.000352,0.982749
0.395852,0.017568,0.191750,0.132804,0.101027,0.062882,0.299849,0.003104,0.001120,0.000416,0.915579
0.396012,0.017696,0.192006,0.136804,0.103235,0.063042,0.306313,0.002560,0.001120,0.000384,0.921691
0.395564,0.017601,0.191877,0.141477,0.100355,0.063074,0.308554,0.002912,0.001152,0.000384,0.923900
0.414156,0.017665,0.191494,0.139876,0.111267,0.063810,0.318537,0.002432,0.001088,0.000320,0.952252
0.395532,0.017569,0.191333,0.133668,0.101571,0.062338,0.301257,0.003104,0.001152,0.000320,0.915995
0.395691,0.017793,0.191205,0.133860,0.102980,0.063233,0.303145,0.002497,0.001120,0.000320,0.917371
0.395564,0.017344,0.205574,0.137284,0.109380,0.065890,0.315722,0.002496,0.001216,0.000384,0.944956
0.395884,0.017728,0.191398,0.131460,0.100963,0.064770,0.300425,0.002560,0.001088,0.000416,0.915323
0.400588,0.017536,0.191878,0.127172,0.100707,0.065474,0.297257,0.002912,0.001152,0.000384,0.918651
0.395627,0.017824,0.191558,0.135012,0.102179,0.063554,0.304297,0.003264,0.001120,0.000384,0.919771
0.395371,0.017729,0.191366,0.137188,0.105443,0.071138,0.317769,0.002624,0.001056,0.000384,0.932987
0.396268,0.017857,0.191493,0.137636,0.100419,0.062754,0.304169,0.002624,0.001120,0.000321,0.919740
0.399916,0.017761,0.191526,0.128611,0.102147,0.065890,0.299912,0.002945,0.001088,0.000352,0.919132
0.421069,0.017664,0.191366,0.133828,0.110627,0.063970,0.311881,0.002304,0.001120,0.000320,0.951708
0.396076,0.017825,0.191333,0.125508,0.100995,0.061250,0.290729,0.002496,0.001120,0.000320,0.905755
0.395468,0.017472,0.191718,0.120259,0.098627,0.060098,0.282088,0.002560,0.001088,0.000352,0.896762
0.396556,0.017793,0.191589,0.132516,0.100547,0.082051,0.318890,0.002624,0.001120,0.000320,0.935292
0.399852,0.017697,0.191429,0.145029,0.106307,0.064674,0.318922,0.003264,0.001024,0.000320,0.938172
0.395852,0.017824,0.191622,0.129636,0.102915,0.063362,0.299241,0.002592,0.001152,0.000416,0.915835
0.400235,0.017729,0.191302,0.129091,0.102467,0.064289,0.299144,0.002720,0.001024,0.000384,0.918459
0.417132,0.017664,0.191558,0.144164,0.108260,0.063874,0.319978,0.002496,0.001056,0.000384,0.956380
0.400172,0.017665,0.191334,0.131011,0.102499,0.065442,0.302153,0.002496,0.001088,0.000384,0.921404
0.400235,0.017729,0.191878,0.120707,0.101379,0.061474,0.287208,0.002592,0.001184,0.000384,0.906298
0.400203,0.017664,0.191270,0.125443,0.114276,0.072162,0.314889,0.005280,0.001152,0.000416,0.937243
0.400556,0.017472,0.191270,0.125860,0.114115,0.063266,0.306377,0.003328,0.001152,0.000384,0.926075
0.400172,0.017825,0.191109,0.131268,0.101059,0.065826,0.301353,0.002400,0.001088,0.000384,0.919900
0.395468,0.017664,0.191141,0.136484,0.101603,0.063842,0.305449,0.003232,0.001184,0.000384,0.920187
0.418316,0.017537,0.191781,0.137540,0.110308,0.063969,0.315178,0.002464,0.001088,0.000384,0.953852
0.401388,0.017984,0.192806,0.127140,0.101699,0.065250,0.297897,0.002944,0.001184,0.000384,0.922043
0.401292,0.017857,0.191718,0.129827,0.101443,0.061761,0.296200,0.002592,0.001121,0.000320,0.917244
0.401196,0.017825,0.213606,0.150821,0.113155,0.067298,0.334954,0.002752,0.001184,0.000416,0.978685
0.397228,0.017792,0.191238,0.126980,0.103683,0.067106,0.301545,0.003424,0.001216,0.000352,0.919483
0.401164,0.017665,0.191590,0.137092,0.102723,0.063010,0.306153,0.002560,0.001152,0.000384,0.926780
0.400300,0.017633,0.191909,0.137540,0.102211,0.063554,0.306889,0.005280,0.001089,0.000416,0.930044
0.402956,0.017697,0.191461,0.120676,0.100675,0.063234,0.288297,0.002528,0.001120,0.000384,0.910555
0.401132,0.017569,0.192070,0.138116,0.101635,0.064706,0.307657,0.002560,0.001248,0.000384,0.928892
0.400908,0.017600,0.191526,0.142884,0.113412,0.064865,0.324970,0.002656,0.001120,0.000384,0.945564
0.417932,0.017601,0.191333,0.141093,0.112931,0.064770,0.322410,0.002560,0.001184,0.000416,0.959580
0.396780,0.017697,0.191813,0.139844,0.107268,0.064450,0.315818,0.002944,0.001280,0.000352,0.933724
0.395404,0.017408,0.191782,0.122340,0.101283,0.066978,0.294089,0.002656,0.001152,0.000384,0.908283
0.400139,0.017824,0.191750,0.150532,0.136420,0.063970,0.354186,0.002560,0.001088,0.000352,0.973788
0.402892,0.017633,0.192069,0.133316,0.102371,0.067170,0.306089,0.003169,0.001120,0.000416,0.929340
0.400363,0.017377,0.191558,0.127779,0.101475,0.071459,0.304169,0.002624,0.001152,0.000384,0.923995
0.400044,0.017760,0.191590,0.126468,0.102787,0.062466,0.294857,0.002880,0.001120,0.000352,0.914811
0.412268,0.017601,0.191557,0.134372,0.110628,0.065346,0.314442,0.002528,0.001248,0.000416,0.945916
0.400268,0.017472,0.191462,0.140260,0.101955,0.064482,0.309961,0.002496,0.001120,0.000416,0.928827
0.400236,0.017568,0.191302,0.143716,0.100899,0.069314,0.317609,0.005505,0.001120,0.000384,0.939996
0.395500,0.017569,0.209606,0.137764,0.113603,0.064641,0.319817,0.002497,0.001088,0.000416,0.952669
