IN[0],INFER[0-5],OUT[5],TEE[0-5],Layer[6],Layer[7],Layer[8],Layer[9],Layer[10],classifier
0.144548,1.563823,0.080162,1.795317,0.015649,0.000480,0.001376,0.001280,0.000352,1.817910
0.144485,1.547086,0.063970,1.761525,0.015776,0.000544,0.001440,0.001120,0.000352,1.783765
0.148997,1.566255,0.072194,1.793270,0.015680,0.000544,0.001440,0.001120,0.000352,1.815478
0.146885,1.548782,0.062914,1.763381,0.014592,0.000992,0.001504,0.001056,0.000352,1.784821
0.148677,1.586863,0.075970,1.817302,0.015649,0.000544,0.001440,0.001152,0.000384,1.839383
0.143748,1.549998,0.063266,1.762740,0.015936,0.000704,0.001441,0.001152,0.000352,1.785365
0.149092,1.584367,0.077635,1.816982,0.015968,0.000544,0.001568,0.001248,0.000352,1.840278
0.176805,1.555502,0.065730,1.803829,0.016033,0.000704,0.001504,0.001120,0.000416,1.826870
0.169701,1.567982,0.068162,1.811158,0.016256,0.000704,0.001440,0.001024,0.000384,1.834166
0.148836,1.556943,0.067810,1.779701,0.014848,0.000480,0.001472,0.001280,0.000480,1.801365
0.143108,1.567918,0.088355,1.806294,0.015936,0.000928,0.001504,0.001024,0.000384,1.829687
0.145605,1.547854,0.064162,1.762645,0.015520,0.000544,0.001472,0.001088,0.000384,1.784821
0.148069,1.566446,0.077251,1.799862,0.015584,0.000576,0.001504,0.001280,0.000416,1.822326
0.152196,1.550990,0.066114,1.775988,0.014944,0.000544,0.001472,0.001184,0.000448,1.797781
0.148709,1.581199,0.077442,1.814454,0.015841,0.000544,0.001536,0.001184,0.000384,1.837655
0.131748,1.549038,0.070178,1.757716,0.015776,0.000512,0.001441,0.001280,0.000416,1.780181
0.155268,1.573327,0.078402,1.815574,0.015904,0.000736,0.001568,0.001184,0.000384,1.838646
0.148325,1.553518,0.067074,1.775445,0.015905,0.000576,0.001536,0.001248,0.000448,1.798838
0.178565,1.575183,0.073186,1.834134,0.015713,0.000608,0.001536,0.001184,0.000416,1.856791
0.149477,1.553390,0.067714,1.776149,0.015905,0.000512,0.001536,0.001216,0.000416,1.798870
0.170917,1.574735,0.067490,1.820022,0.014912,0.000992,0.001600,0.001217,0.000384,1.842487
0.147685,1.562638,0.067010,1.783669,0.015553,0.000800,0.001504,0.001152,0.000416,1.806262
0.153348,1.553070,0.073987,1.788309,0.014976,0.000544,0.001472,0.001216,0.000416,1.810133
0.147013,1.553198,0.065410,1.772181,0.014913,0.000704,0.001568,0.001280,0.000384,1.794134
0.133860,1.552751,0.064514,1.758005,0.014944,0.000480,0.001472,0.001216,0.000416,1.779541
0.154021,1.556686,0.067266,1.785013,0.030401,0.000640,0.001632,0.001120,0.000384,1.822966
0.152516,1.556174,0.065570,1.781429,0.014977,0.000512,0.001440,0.001184,0.000384,1.803158
0.172933,1.565743,0.074370,1.819638,0.015361,0.000480,0.001568,0.001280,0.000352,1.842359
0.146980,1.550382,0.065538,1.769524,0.015713,0.000640,0.001472,0.001216,0.000384,1.792245
0.149828,1.573263,0.074211,1.804598,0.015904,0.000544,0.001472,0.001152,0.000416,1.827478
0.148261,1.550638,0.065762,1.770069,0.015584,0.000608,0.001536,0.001216,0.000384,1.792662
0.149668,1.565743,0.072290,1.794357,0.016000,0.000544,0.001536,0.001153,0.000384,1.817494
0.152197,1.550254,0.070882,1.780405,0.016288,0.000512,0.001472,0.001056,0.000416,1.803286
0.171301,1.562831,0.099171,1.839383,0.015168,0.000480,0.001409,0.001056,0.000384,1.861400
0.146565,1.547982,0.077762,1.777813,0.015553,0.000544,0.001600,0.001120,0.000352,1.800438
0.142340,1.567727,0.074018,1.791253,0.015329,0.000544,0.001600,0.001184,0.000384,1.813974
0.174789,1.549166,0.066338,1.795573,0.014849,0.000480,0.001504,0.001184,0.000352,1.817302
0.171654,1.562190,0.078818,1.818135,0.014816,0.000576,0.001536,0.001216,0.000352,1.840055
0.130660,1.548302,0.061666,1.746548,0.015264,0.000480,0.001504,0.001024,0.000352,1.768276
0.147012,1.562863,0.071714,1.787637,0.015841,0.000608,0.001568,0.001056,0.000384,1.810134
0.151716,1.549134,0.063842,1.770804,0.015105,0.000512,0.001504,0.001120,0.000416,1.792565
0.149700,1.566927,0.078466,1.801845,0.015585,0.000544,0.001536,0.001120,0.000416,1.824662
0.150084,1.552270,0.065889,1.775284,0.015008,0.000480,0.001536,0.001216,0.000416,1.797237
0.148837,1.567791,0.086210,1.809942,0.015649,0.000544,0.001504,0.001216,0.000320,1.832919
0.144484,1.549422,0.064482,1.765300,0.014977,0.000544,0.001536,0.001152,0.000416,1.787541
0.137860,1.571791,0.083586,1.801589,0.015713,0.000544,0.001600,0.001216,0.000384,1.824982
0.139140,1.553967,0.065858,1.765813,0.015072,0.000576,0.001472,0.001216,0.000416,1.787925
0.150885,1.568654,0.067618,1.792598,0.015648,0.000512,0.001504,0.001248,0.000352,1.815062
0.171653,1.550478,0.067010,1.794773,0.015648,0.000512,0.001504,0.001184,0.000416,1.817302
0.134692,1.569039,0.082659,1.793750,0.015712,0.000512,0.001504,0.001184,0.000384,1.816758
0.134500,1.563759,0.065858,1.770005,0.014912,0.000768,0.001472,0.001216,0.000385,1.792054
0.174213,1.586671,0.072194,1.839543,0.015200,0.000736,0.001504,0.001280,0.000384,1.862167
0.152036,1.553198,0.066562,1.778164,0.015073,0.000736,0.001440,0.001280,0.000416,1.800149
0.149316,1.559951,0.066722,1.782965,0.015328,0.000480,0.001536,0.001216,0.000384,1.805205
0.151333,1.564495,0.066434,1.788726,0.015168,0.000512,0.001760,0.001152,0.000384,1.810806
0.120964,1.557038,0.068130,1.753140,0.015169,0.000736,0.001760,0.001248,0.000384,1.775701
0.168549,1.563694,0.066338,1.804822,0.015009,0.000544,0.001504,0.001120,0.000352,1.826679
0.149477,1.551086,0.065826,1.773013,0.014688,0.000480,0.001600,0.001216,0.000416,1.794678
0.136772,1.550606,0.109219,1.821622,0.015392,0.000544,0.001504,0.001440,0.000416,1.844663
0.152228,1.550414,0.070498,1.779189,0.015521,0.000928,0.001504,0.001184,0.000384,1.801942
0.147365,1.568014,0.073059,1.794390,0.015680,0.000544,0.001600,0.001184,0.000416,1.816950
0.150021,1.553902,0.068866,1.779893,0.015329,0.000512,0.001600,0.001472,0.000352,1.802390
0.175781,1.567535,0.073282,1.823862,0.015649,0.000960,0.001632,0.001344,0.000352,1.847447
0.151109,1.555150,0.065890,1.778613,0.014880,0.000576,0.001537,0.001312,0.000416,1.800406
0.148900,1.569519,0.079490,1.805461,0.015489,0.000768,0.001568,0.001280,0.000384,1.827958
0.152644,1.564463,0.072738,1.797333,0.015680,0.000769,0.001568,0.001216,0.000384,1.820278
0.182309,1.582095,0.080515,1.852535,0.014976,0.000736,0.001568,0.001153,0.000416,1.875224
0.151365,1.567631,0.065474,1.790806,0.015584,0.000512,0.001600,0.001120,0.000384,1.813206
0.150213,1.573039,0.079042,1.810038,0.015553,0.000512,0.001536,0.001248,0.000448,1.833303
0.148004,1.552430,0.066049,1.773077,0.014912,0.000544,0.001536,0.001152,0.000352,1.794837
0.134020,1.571727,0.086178,1.799317,0.015553,0.000576,0.001536,0.001120,0.000384,1.822230
0.150564,1.552558,0.071459,1.781877,0.015680,0.000672,0.001504,0.001280,0.000352,1.804789
0.149989,1.573359,0.118211,1.848599,0.015137,0.000512,0.001504,0.001184,0.000384,1.871160
0.150084,1.553198,0.066562,1.776724,0.015585,0.000608,0.001504,0.001184,0.000384,1.799317
0.148388,1.571951,0.104803,1.832726,0.015457,0.000928,0.001504,0.001248,0.000384,1.856119
0.155557,1.553358,0.068322,1.784341,0.015649,0.000576,0.001632,0.001408,0.000384,1.807446
0.150853,1.573199,0.086338,1.817110,0.015745,0.000800,0.001536,0.001248,0.000448,1.840375
0.148292,1.550959,0.064322,1.769237,0.014976,0.000576,0.001568,0.001216,0.000384,1.791157
0.166085,1.582095,0.065058,1.819382,0.014945,0.000928,0.001504,0.001216,0.000384,1.841463
0.167973,1.550126,0.064770,1.789430,0.014816,0.000544,0.001568,0.001088,0.000448,1.810902
0.138629,1.557006,0.067586,1.769333,0.014912,0.000960,0.001472,0.001088,0.000384,1.791222
0.148100,1.550510,0.065154,1.772085,0.015584,0.000960,0.001504,0.000960,0.000384,1.794613
0.146437,1.549326,0.064290,1.765845,0.015584,0.000544,0.001504,0.001120,0.000384,1.788341
0.169189,1.556847,0.063714,1.795158,0.014848,0.000960,0.001472,0.001120,0.000352,1.817014
0.149732,1.559854,0.066306,1.782261,0.015392,0.000576,0.001569,0.001248,0.000416,1.805046
0.132291,1.549454,0.085826,1.774293,0.015585,0.000768,0.001408,0.001216,0.000416,1.796950
0.132356,1.550126,0.063106,1.751092,0.015521,0.000768,0.001472,0.001152,0.000352,1.773397
0.152997,1.563790,0.069890,1.793269,0.015649,0.000512,0.001472,0.000992,0.000384,1.815862
0.148037,1.550542,0.063842,1.767893,0.014400,0.000512,0.001440,0.001120,0.000384,1.788821
0.164388,1.566991,0.093635,1.829847,0.015520,0.000736,0.001408,0.001185,0.000448,1.852216
0.168581,1.565870,0.077123,1.820054,0.016416,0.000736,0.001568,0.001472,0.000384,1.844311
0.152420,1.573647,0.075331,1.809494,0.015808,0.000768,0.001632,0.001248,0.000416,1.832726
0.150981,1.554958,0.072290,1.784245,0.015553,0.000544,0.001632,0.001248,0.000384,1.806998
0.154981,1.572495,0.073570,1.808054,0.015168,0.000576,0.001537,0.001184,0.000384,1.830103
0.135460,1.554670,0.067746,1.765044,0.015841,0.000736,0.001536,0.001184,0.000416,1.788213
0.137156,1.571343,0.077794,1.794165,0.015489,0.000544,0.001632,0.001248,0.000448,1.817174
0.145156,1.551214,0.063586,1.765428,0.015745,0.000608,0.001664,0.001248,0.000416,1.788629
0.149668,1.568494,0.073410,1.797461,0.015489,0.000736,0.001568,0.001152,0.000384,1.819926
0.149412,1.552175,0.067682,1.776277,0.015552,0.000544,0.001568,0.001248,0.000352,1.799317
0.133668,1.568686,0.074243,1.782997,0.015808,0.000576,0.001504,0.001184,0.000384,1.805557
0.173317,1.551022,0.065826,1.796373,0.015841,0.000576,0.001504,0.001280,0.000384,1.819254
0.153444,1.569071,0.076610,1.806357,0.015809,0.000992,0.001536,0.001184,0.000384,1.829622
0.150724,1.550286,0.066946,1.774069,0.014816,0.000608,0.001536,0.001312,0.000352,1.795893
0.150981,1.567886,0.106724,1.832855,0.016000,0.001024,0.001536,0.001248,0.000416,1.857047
0.145508,1.558063,0.067458,1.777749,0.015072,0.000704,0.001536,0.001280,0.000384,1.800309
0.175813,1.571215,0.076898,1.830198,0.015264,0.000544,0.001536,0.001312,0.000416,1.852919
0.150436,1.554766,0.067586,1.778901,0.014976,0.000768,0.001568,0.001280,0.000352,1.801333
0.150885,1.569710,0.072995,1.800694,0.015488,0.000544,0.001632,0.001248,0.000416,1.824086
0.143012,1.549326,0.065314,1.764148,0.015105,0.000576,0.001536,0.001152,0.000416,1.786133
0.154469,1.565390,0.065570,1.792213,0.015041,0.000544,0.001600,0.001216,0.000832,1.814902
0.151844,1.554575,0.066594,1.780437,0.015104,0.000544,0.001600,0.001184,0.000416,1.802613
0.173989,1.553742,0.064738,1.798870,0.015456,0.000544,0.001632,0.001152,0.000384,1.821334
0.157893,1.551726,0.067778,1.783637,0.015393,0.000704,0.001536,0.001248,0.000384,1.806262
0.151013,1.551406,0.065602,1.774069,0.014849,0.000992,0.001504,0.001216,0.000384,1.796214
0.134788,1.575375,0.079075,1.796438,0.015840,0.000640,0.001536,0.001248,0.000416,1.820150
0.149765,1.560558,0.067010,1.783157,0.015105,0.000576,0.001536,0.001184,0.000384,1.805270
0.152100,1.573615,0.084483,1.817398,0.015808,0.000576,0.001568,0.001280,0.000384,1.840278
0.154884,1.556302,0.065858,1.783253,0.014880,0.000736,0.001536,0.001280,0.000417,1.805398
0.153669,1.569294,0.104228,1.834423,0.015520,0.000576,0.001472,0.001216,0.000416,1.857527
0.151557,1.554286,0.065890,1.778101,0.015329,0.000512,0.001536,0.001216,0.000384,1.800438
0.153220,1.569999,0.075650,1.806166,0.015521,0.000544,0.001536,0.001248,0.000416,1.828695
0.152708,1.550287,0.066658,1.775765,0.015360,0.000768,0.001504,0.001280,0.000416,1.798197
0.177893,1.568047,0.077634,1.829750,0.015329,0.000544,0.001504,0.001280,0.000416,1.851831
0.147845,1.560142,0.066146,1.780565,0.014881,0.000480,0.001440,0.001280,0.000416,1.802390
0.140228,1.575567,0.085731,1.810742,0.015296,0.000512,0.001600,0.001280,0.000384,1.833558
0.154021,1.570255,0.068706,1.799254,0.014880,0.000736,0.001536,0.001248,0.000384,1.821558
0.150468,1.571150,0.076867,1.806006,0.015616,0.000768,0.001504,0.001248,0.000416,1.829398
0.144517,1.553934,0.065378,1.769877,0.014561,0.000736,0.001536,0.001152,0.000448,1.791638
0.148676,1.564783,0.073634,1.792405,0.014784,0.000480,0.001536,0.000832,0.000352,1.813589
0.116163,1.564367,0.062274,1.747796,0.014560,0.000544,0.001472,0.001024,0.000417,1.768821
0.132868,1.571695,0.065442,1.776597,0.015712,0.000672,0.001473,0.001056,0.000416,1.799446
0.149828,1.561359,0.063298,1.780181,0.016064,0.000544,0.001504,0.001120,0.000384,1.803030
0.127844,1.567886,0.074979,1.776501,0.015872,0.000512,0.001504,0.001024,0.000384,1.798997
0.137060,1.550447,0.067362,1.761493,0.015296,0.000512,0.001472,0.001248,0.000384,1.783701
0.131620,1.568431,0.121891,1.829270,0.015265,0.000576,0.001504,0.001216,0.000384,1.851959
0.135396,1.548750,0.064034,1.754356,0.014913,0.000736,0.001472,0.001152,0.000384,1.776053
0.153220,1.580751,0.085923,1.826774,0.014816,0.000544,0.001440,0.001248,0.000416,1.848919
0.175717,1.546894,0.063170,1.791605,0.015073,0.000512,0.001504,0.001376,0.000448,1.813526
0.176038,1.566510,0.075747,1.824919,0.015104,0.000768,0.001536,0.001216,0.000352,1.847703
0.146245,1.549198,0.063618,1.764821,0.014624,0.000704,0.001472,0.001185,0.000416,1.786134
0.168517,1.569135,0.066850,1.812118,0.015040,0.000544,0.001440,0.001121,0.000384,1.834295
0.145924,1.551118,0.063106,1.766741,0.014656,0.000544,0.001504,0.001280,0.000384,1.788149
0.171397,1.561871,0.064194,1.803574,0.014528,0.001024,0.001472,0.001184,0.000416,1.825366
0.152260,1.563055,0.068098,1.790965,0.015040,0.000480,0.001472,0.001184,0.000352,1.813461
0.153188,1.551470,0.064674,1.776212,0.014977,0.000992,0.001472,0.001216,0.000384,1.798485
0.146404,1.557710,0.065186,1.775285,0.032193,0.000576,0.001632,0.001088,0.000416,1.814774
0.141796,1.549742,0.063778,1.761492,0.014625,0.001184,0.001504,0.001056,0.000416,1.783285
0.159173,1.564527,0.101091,1.829975,0.015072,0.000704,0.001440,0.001056,0.000416,1.851959
0.174757,1.548334,0.063362,1.792597,0.015200,0.000736,0.001408,0.001025,0.000416,1.814486
0.148260,1.565231,0.070946,1.789909,0.014945,0.000832,0.001472,0.001184,0.000320,1.811542
0.132676,1.553262,0.062562,1.755476,0.014657,0.000768,0.001472,0.001152,0.000416,1.776789
0.150085,1.565423,0.082978,1.804822,0.015073,0.000576,0.001504,0.001056,0.000416,1.826455
0.145093,1.549006,0.063618,1.763221,0.014752,0.000576,0.001408,0.000992,0.000384,1.784309
0.156325,1.579599,0.090115,1.832535,0.015520,0.000736,0.001440,0.001089,0.000384,1.855640
0.152613,1.552494,0.070722,1.781397,0.015201,0.000992,0.001504,0.001120,0.000384,1.803894
0.145764,1.563439,0.090659,1.804886,0.015040,0.000960,0.001504,0.001152,0.000512,1.827318
0.148612,1.551118,0.065858,1.771828,0.014849,0.000480,0.001472,0.001120,0.000384,1.793493
0.148805,1.563950,0.084099,1.802550,0.015264,0.000992,0.001536,0.001088,0.000384,1.824918
0.129667,1.552238,0.065122,1.752916,0.014784,0.000704,0.001472,0.001152,0.000416,1.774740
0.149604,1.565327,0.101731,1.824086,0.015136,0.000736,0.001472,0.001184,0.000352,1.846839
0.151877,1.550094,0.064930,1.773429,0.014720,0.000544,0.001504,0.001153,0.000352,1.794806
0.144804,1.567407,0.074754,1.793781,0.015297,0.000544,0.001472,0.001120,0.000384,1.816310
0.167141,1.552910,0.064258,1.790325,0.014849,0.001024,0.001504,0.001184,0.000448,1.812566
0.148901,1.582319,0.083234,1.823382,0.015553,0.000576,0.001504,0.001120,0.000416,1.846231
0.148261,1.575599,0.066018,1.796214,0.014688,0.000544,0.001472,0.001120,0.000352,1.817526
0.111555,1.566862,0.081538,1.765173,0.015776,0.000961,0.001408,0.001024,0.000384,1.787766
0.147332,1.550670,0.063842,1.767508,0.014689,0.000480,0.001472,0.000960,0.000352,1.788597
0.143588,1.569167,0.085123,1.804854,0.015456,0.000544,0.001472,0.000992,0.000384,1.827286
0.144676,1.554254,0.063778,1.768181,0.014720,0.000512,0.001408,0.001056,0.000384,1.789269
0.142660,1.565678,0.081923,1.796662,0.015552,0.000960,0.001408,0.000992,0.000448,1.820118
0.148005,1.548174,0.063618,1.765653,0.015680,0.000512,0.001440,0.000992,0.000416,1.788182
0.172517,1.573775,0.075842,1.828406,0.016033,0.000960,0.001440,0.001024,0.000384,1.851799
0.145957,1.549070,0.064450,1.765493,0.014688,0.000448,0.001504,0.001056,0.000288,1.786549
0.146500,1.571311,0.093475,1.819990,0.015552,0.000544,0.001440,0.001313,0.000416,1.843127
0.146852,1.547663,0.065250,1.765205,0.014624,0.000736,0.001440,0.001088,0.000320,1.786645
0.169157,1.585647,0.069410,1.830743,0.015168,0.000704,0.001440,0.001024,0.000384,1.852599
0.130788,1.548974,0.073891,1.759925,0.015648,0.000704,0.001440,0.001216,0.000352,1.782389
0.133860,1.556462,0.064290,1.760340,0.014977,0.000512,0.001408,0.001120,0.000320,1.781685
0.143492,1.546638,0.065794,1.761972,0.014625,0.000960,0.001472,0.001120,0.000320,1.783477
0.147781,1.559054,0.064002,1.778773,0.014785,0.000576,0.001408,0.001216,0.000320,1.800310
0.169285,1.547886,0.063906,1.786965,0.014753,0.000480,0.001440,0.000992,0.000320,1.808118
0.147557,1.550350,0.063618,1.767285,0.014752,0.000960,0.001472,0.000960,0.000288,1.788725
0.150596,1.550318,0.100707,1.808597,0.016257,0.000480,0.001536,0.001120,0.000352,1.831766
0.150917,1.553390,0.065570,1.777045,0.015776,0.000544,0.001504,0.001217,0.000416,1.799862
0.150212,1.571791,0.085507,1.814262,0.015872,0.000960,0.001440,0.001216,0.000352,1.837846
0.147172,1.549198,0.064386,1.766421,0.014624,0.000704,0.001408,0.001024,0.000320,1.787637
0.145860,1.567150,0.074818,1.793173,0.015553,0.000480,0.001440,0.000960,0.000352,1.814902
0.130884,1.551054,0.062370,1.750644,0.015168,0.000928,0.001408,0.001024,0.000352,1.772373
0.168293,1.564046,0.076323,1.814006,0.015104,0.000544,0.001472,0.001216,0.000416,1.835766
0.168933,1.547950,0.063618,1.787797,0.014689,0.000704,0.001408,0.001056,0.000384,1.809142
0.168101,1.565838,0.070210,1.810774,0.015776,0.000832,0.001440,0.001024,0.000384,1.834038
0.144677,1.550094,0.064258,1.765557,0.015712,0.000544,0.001440,0.000960,0.000352,1.787765
0.161028,1.566191,0.076610,1.811093,0.014561,0.000608,0.001440,0.001024,0.000384,1.832822
0.172805,1.551534,0.065122,1.794901,0.015521,0.001024,0.001440,0.001024,0.000480,1.817494
0.144708,1.564815,0.091427,1.807094,0.015520,0.000512,0.001440,0.001120,0.000320,1.829814
0.154597,1.546350,0.063106,1.769525,0.015488,0.000512,0.001376,0.001056,0.000320,1.791317
0.165125,1.573039,0.066210,1.810166,0.015585,0.000960,0.001376,0.000960,0.000320,1.832439
0.149573,1.545134,0.062081,1.762612,0.014465,0.000576,0.001440,0.000928,0.000320,1.783317
0.166149,1.580271,0.073058,1.825270,0.015457,0.000544,0.001408,0.000992,0.000320,1.847159
0.170661,1.548143,0.062497,1.786901,0.014529,0.000960,0.001440,0.001184,0.000352,1.808310
0.159877,1.579087,0.076770,1.821622,0.015553,0.000608,0.001888,0.000928,0.000384,1.843991
0.143812,1.547438,0.064066,1.760628,0.014560,0.000704,0.001409,0.001024,0.000384,1.781781
0.177349,1.585871,0.091235,1.862391,0.016928,0.000737,0.001632,0.002528,0.000608,1.888760
0.194310,1.560751,0.070722,1.834103,0.016736,0.000704,0.001536,0.002368,0.000704,1.860312
0.152708,1.573391,0.078690,1.811285,0.017409,0.000768,0.001536,0.001856,0.000576,1.837590
0.153348,1.556430,0.071010,1.787605,0.017728,0.000736,0.001632,0.001088,0.000608,1.812789
0.172869,1.582127,0.077826,1.840406,0.019297,0.000768,0.001632,0.001152,0.000576,1.867927
0.148901,1.565038,0.070722,1.790965,0.017281,0.000512,0.001504,0.001088,0.000512,1.816086
0.170470,1.584399,0.069186,1.831319,0.015616,0.000768,0.001665,0.001120,0.000640,1.854424
0.149732,1.562895,0.078146,1.798101,0.017857,0.000544,0.001472,0.001120,0.000640,1.823734
0.151941,1.555982,0.068930,1.782901,0.015617,0.000736,0.001504,0.001312,0.000608,1.805782
0.147781,1.553262,0.067522,1.775509,0.016576,0.000705,0.001440,0.001056,0.000576,1.799254
0.152517,1.556462,0.069378,1.785781,0.015072,0.000800,0.001504,0.001088,0.000672,1.807990
0.149861,1.570063,0.088130,1.815286,0.016577,0.001056,0.001504,0.001216,0.000672,1.840055
0.170245,1.555950,0.067042,1.799573,0.015105,0.000512,0.001504,0.001216,0.000576,1.821846
0.151172,1.580847,0.077955,1.816406,0.016960,0.000960,0.001504,0.001056,0.000352,1.840887
0.146693,1.558990,0.074915,1.786742,0.016128,0.000960,0.001376,0.001024,0.000416,1.809590
0.148517,1.563694,0.082499,1.800598,0.015936,0.000832,0.001440,0.001152,0.000416,1.823414
0.146853,1.562830,0.067426,1.783221,0.019009,0.000960,0.001408,0.001152,0.000416,1.809174
0.147620,1.566254,0.070690,1.790709,0.015297,0.000576,0.001440,0.001120,0.000512,1.812790
0.154757,1.558414,0.069314,1.789685,0.015009,0.000480,0.001536,0.001248,0.000384,1.811702
0.173221,1.569423,0.098915,1.849175,0.015873,0.000960,0.001472,0.001152,0.000448,1.872856
0.153541,1.552782,0.065890,1.779157,0.016065,0.000640,0.001600,0.001152,0.000512,1.802774
