Layer[0],Layer[1],Layer[2],Layer[3],Layer[4],Layer[5],Layer[6],IN[7],INFER[7-7],OUT[7],TEE[7-7],Layer[8],Layer[9],Layer[10],classifier
0.394508,0.017376,0.191718,0.004928,0.047042,0.000608,0.013408,0.106435,0.029633,0.056066,0.194854,0.001856,0.001152,0.000352,0.874522
0.415692,0.017569,0.192294,0.004864,0.046881,0.000544,0.013409,0.100963,0.032641,0.058465,0.196453,0.001920,0.001024,0.000320,0.898234
0.393932,0.017472,0.192198,0.004896,0.047169,0.000576,0.013440,0.101411,0.033057,0.058402,0.195558,0.001856,0.000960,0.000288,0.875130
0.394635,0.017505,0.191557,0.004833,0.047393,0.000576,0.013472,0.102243,0.032801,0.056514,0.194054,0.001920,0.000960,0.000320,0.873753
0.395820,0.017441,0.192293,0.004929,0.047585,0.000608,0.013568,0.112964,0.033057,0.059234,0.208327,0.002176,0.001216,0.000384,0.892699
0.394284,0.017697,0.191557,0.004960,0.047458,0.000768,0.013536,0.106563,0.030432,0.056834,0.196582,0.002016,0.001184,0.000352,0.877274
0.394028,0.017344,0.191494,0.004864,0.046881,0.000576,0.013441,0.104419,0.032353,0.060802,0.200230,0.001856,0.001056,0.000352,0.878906
0.395243,0.017537,0.191941,0.004896,0.047073,0.000608,0.013408,0.110563,0.034145,0.058754,0.206343,0.002080,0.001216,0.000480,0.888250
0.394476,0.017697,0.191750,0.004864,0.047105,0.000640,0.013473,0.112099,0.039649,0.060258,0.214726,0.001984,0.001152,0.000384,0.913403
0.395404,0.017345,0.191557,0.004897,0.047617,0.000608,0.013504,0.110820,0.035137,0.057377,0.206247,0.001952,0.001184,0.000352,0.888251
0.394507,0.017601,0.192454,0.004896,0.047041,0.000544,0.013537,0.105603,0.032545,0.058145,0.199270,0.001920,0.001088,0.000288,0.880026
0.395020,0.017280,0.191590,0.004928,0.047266,0.000544,0.013472,0.095683,0.031937,0.056002,0.186310,0.001952,0.001088,0.000288,0.866394
0.393835,0.017249,0.191878,0.004832,0.046913,0.000544,0.013505,0.131619,0.032705,0.057954,0.225158,0.001920,0.001056,0.000320,0.904410
0.394284,0.017312,0.192198,0.004896,0.047105,0.000608,0.013440,0.102979,0.033217,0.057986,0.196998,0.001920,0.001056,0.000352,0.877018
0.395115,0.017441,0.191846,0.004896,0.047969,0.000576,0.013473,0.101379,0.031777,0.056289,0.192325,0.001920,0.001249,0.000480,0.874426
0.395020,0.017505,0.212166,0.004928,0.047073,0.000576,0.013441,0.111011,0.039841,0.060578,0.214278,0.002272,0.001120,0.000320,0.915931
0.393996,0.017472,0.191622,0.004896,0.046946,0.000576,0.013376,0.105219,0.031041,0.061858,0.200806,0.002208,0.001152,0.000320,0.880154
0.395019,0.017312,0.191814,0.004928,0.047457,0.000544,0.013473,0.107491,0.034433,0.057890,0.202726,0.001984,0.001504,0.000384,0.884538
0.394060,0.017312,0.191270,0.004864,0.047042,0.000608,0.013504,0.114467,0.032545,0.058690,0.208422,0.001888,0.001088,0.000320,0.887802
0.413101,0.017344,0.191366,0.004960,0.047009,0.000608,0.013537,0.109315,0.033505,0.058978,0.204518,0.002208,0.001184,0.000352,0.903227
0.394316,0.017312,0.192070,0.004896,0.047041,0.000608,0.013441,0.099107,0.029281,0.055361,0.186597,0.001856,0.001152,0.000352,0.866010
0.394604,0.017280,0.191302,0.004864,0.046946,0.000576,0.013440,0.102947,0.033921,0.061602,0.201030,0.002304,0.001120,0.000320,0.880218
0.394123,0.017441,0.191333,0.004832,0.046977,0.000608,0.048770,0.103427,0.036353,0.056961,0.199365,0.002177,0.000992,0.000320,0.914139
0.394028,0.017504,0.192037,0.004928,0.047618,0.000576,0.013440,0.104803,0.032385,0.058242,0.198118,0.002016,0.001120,0.000320,0.878010
