Layer[0],Layer[1],Layer[2],Layer[3],Layer[4],Layer[5],IN[6],INFER[6-8],OUT[8],TEE[6-8],Layer[9],Layer[10],classifier
0.401164,0.017632,0.191718,0.005248,0.047585,0.000832,0.111523,0.051489,0.061186,0.227655,0.001536,0.000416,0.900282
0.397228,0.017377,0.191429,0.005057,0.048129,0.001024,0.107875,0.051074,0.060738,0.223047,0.001760,0.000416,0.892187
0.421516,0.017761,0.192165,0.005153,0.047713,0.001024,0.106147,0.048930,0.059201,0.217639,0.001408,0.000480,0.911451
0.400524,0.017632,0.192006,0.005056,0.048258,0.000768,0.106275,0.048129,0.060098,0.217670,0.001440,0.000352,0.890362
0.400140,0.017473,0.191589,0.005440,0.048034,0.000800,0.105123,0.048577,0.060898,0.217638,0.001280,0.000416,0.888922
0.401132,0.017217,0.191493,0.005120,0.066018,0.000800,0.110404,0.050977,0.060450,0.225191,0.001408,0.000352,0.916251
0.400620,0.017569,0.191461,0.005408,0.048194,0.000800,0.111619,0.051522,0.061186,0.227559,0.001344,0.000416,0.899579
0.396555,0.017857,0.191622,0.005088,0.048033,0.000800,0.122884,0.049505,0.063266,0.238791,0.001600,0.000448,0.907450
0.396076,0.017600,0.191878,0.005248,0.048994,0.000608,0.113539,0.052514,0.060418,0.229543,0.001440,0.000352,0.898011
0.415692,0.017697,0.191973,0.005088,0.049089,0.000832,0.109411,0.061122,0.061282,0.235015,0.001632,0.000352,0.924123
0.400844,0.017632,0.191782,0.005152,0.048930,0.000800,0.117955,0.051330,0.062882,0.235527,0.001536,0.000480,0.908763
0.400684,0.017472,0.192070,0.005376,0.048386,0.000832,0.106243,0.048481,0.059394,0.217574,0.001408,0.000384,0.890746
0.397900,0.017568,0.205799,0.005184,0.048065,0.001088,0.108067,0.059938,0.062242,0.233511,0.001376,0.000416,0.917563
0.396460,0.017569,0.192261,0.005216,0.047425,0.000960,0.106115,0.047234,0.059777,0.216326,0.001312,0.000416,0.884602
0.401452,0.017377,0.191365,0.005056,0.047202,0.000832,0.105379,0.047233,0.060194,0.215878,0.001504,0.000416,0.887162
0.399051,0.017568,0.193126,0.005408,0.047617,0.000992,0.119012,0.050497,0.064802,0.237959,0.001696,0.000448,0.911643
0.415244,0.017857,0.192422,0.005088,0.047457,0.000800,0.106915,0.047841,0.061826,0.219591,0.001440,0.000480,0.906907
0.397900,0.017760,0.192774,0.005152,0.049602,0.000768,0.112035,0.051137,0.062306,0.228774,0.001472,0.000480,0.901306
0.396396,0.017376,0.192134,0.005376,0.047490,0.000896,0.118851,0.056642,0.065922,0.244455,0.001536,0.000416,0.912187
0.396972,0.017280,0.205766,0.005056,0.049346,0.000832,0.114563,0.051458,0.059842,0.229287,0.001440,0.000416,0.914619
0.402572,0.017569,0.192133,0.004896,0.050434,0.000832,0.108355,0.051074,0.059873,0.222471,0.001408,0.000384,0.898971
0.395915,0.017537,0.191974,0.004960,0.048225,0.000768,0.104323,0.048642,0.059074,0.215367,0.001504,0.000352,0.883258
0.400619,0.017761,0.192326,0.004800,0.048065,0.000832,0.110276,0.052449,0.064898,0.230855,0.001664,0.000352,0.903482
0.414733,0.017344,0.192230,0.004896,0.048001,0.000832,0.108099,0.061410,0.061409,0.234502,0.001537,0.000352,0.921116
0.400076,0.017601,0.192005,0.004928,0.048449,0.000768,0.107107,0.053474,0.059874,0.223463,0.001536,0.000384,0.895419
0.396524,0.017440,0.191814,0.004896,0.047810,0.000768,0.106403,0.050081,0.061986,0.221894,0.001632,0.000352,0.890234
0.400268,0.017857,0.208134,0.005184,0.048514,0.000832,0.106563,0.049409,0.061442,0.220326,0.001536,0.000416,0.909787
0.396236,0.017408,0.191910,0.005152,0.049250,0.000800,0.120099,0.053634,0.065474,0.242311,0.001344,0.000384,0.912603
0.396012,0.017344,0.191206,0.005280,0.047938,0.000800,0.120835,0.049826,0.059458,0.233223,0.001408,0.000384,0.900315
0.400364,0.017409,0.191654,0.005344,0.047873,0.000800,0.108675,0.051330,0.069570,0.232935,0.001536,0.000384,0.906427
0.414924,0.017633,0.191814,0.004864,0.047777,0.000800,0.103459,0.059522,0.061506,0.227527,0.001408,0.000480,0.913307
0.396940,0.017536,0.191334,0.004896,0.049153,0.000768,0.136676,0.052385,0.062818,0.255112,0.001280,0.000416,0.924827
0.396620,0.017408,0.192070,0.004896,0.047201,0.000768,0.110596,0.060065,0.060961,0.234727,0.001440,0.000384,0.901690
0.395883,0.017409,0.210886,0.005152,0.047810,0.000800,0.110851,0.060738,0.061954,0.236615,0.001696,0.000352,0.923931
0.396620,0.017600,0.192390,0.004896,0.047969,0.000768,0.107140,0.051489,0.060194,0.222023,0.001568,0.000416,0.890458
0.401708,0.017376,0.192742,0.004992,0.048130,0.000800,0.113635,0.050498,0.062017,0.229639,0.001472,0.000416,0.904475
0.397068,0.017504,0.191782,0.004896,0.048386,0.000800,0.102499,0.046593,0.058338,0.210630,0.001536,0.000416,0.879290
0.412620,0.017568,0.191622,0.005312,0.047906,0.000576,0.105827,0.060802,0.061153,0.230918,0.001408,0.000352,0.914619
0.400716,0.017345,0.191493,0.005281,0.049121,0.000768,0.107363,0.060450,0.061986,0.233223,0.001312,0.000384,0.906075
0.395915,0.017568,0.191750,0.005216,0.047969,0.000800,0.107940,0.052385,0.062210,0.225959,0.001408,0.000384,0.894362
0.401676,0.017441,0.213446,0.005536,0.047874,0.000800,0.117219,0.059746,0.061506,0.241927,0.001536,0.000448,0.938044
0.396364,0.017504,0.191814,0.005056,0.048002,0.000800,0.112035,0.050114,0.062401,0.227814,0.001408,0.000384,0.896283
0.396844,0.017601,0.192261,0.005249,0.048129,0.000768,0.106083,0.048482,0.060930,0.218663,0.001664,0.000416,0.887803
