Layer[0],Layer[1],Layer[2],Layer[3],Layer[4],Layer[5],IN[6],INFER[6-7],OUT[7],TEE[6-7],Layer[8],Layer[9],Layer[10],classifier
0.395212,0.017568,0.191718,0.005440,0.048065,0.001057,0.106723,0.046209,0.060578,0.216966,0.002656,0.001536,0.000416,0.888666
0.399372,0.017633,0.191557,0.005024,0.047650,0.000800,0.113347,0.049794,0.061250,0.227975,0.002368,0.001344,0.000384,0.901371
0.399724,0.017792,0.191654,0.004864,0.049090,0.000768,0.104835,0.048481,0.061154,0.217574,0.002496,0.001312,0.000640,0.892794
0.399020,0.017760,0.191526,0.005280,0.048930,0.000832,0.108835,0.049313,0.067330,0.228486,0.002465,0.001248,0.000640,0.902971
0.399468,0.017633,0.211014,0.005280,0.048258,0.000832,0.119715,0.049506,0.063074,0.235559,0.002432,0.001248,0.000352,0.930492
0.399308,0.017824,0.191654,0.004960,0.049314,0.000800,0.107587,0.066978,0.061218,0.238919,0.002336,0.001312,0.000608,0.914907
0.400364,0.017793,0.191397,0.004833,0.048833,0.000832,0.109539,0.049282,0.063618,0.225543,0.002880,0.001152,0.000416,0.901243
0.399692,0.017793,0.191877,0.004833,0.048353,0.001024,0.108803,0.049474,0.063074,0.224295,0.002304,0.001760,0.000416,0.899099
0.414445,0.017792,0.191942,0.004896,0.047393,0.000864,0.117059,0.051682,0.062593,0.234534,0.003297,0.001600,0.000416,0.924796
0.401035,0.017824,0.191526,0.004832,0.047873,0.000768,0.109412,0.049537,0.059970,0.222087,0.002176,0.001184,0.000384,0.897786
0.400140,0.017761,0.191621,0.004992,0.048226,0.001056,0.113475,0.048418,0.060865,0.225895,0.002720,0.001376,0.000416,0.901115
0.415596,0.017665,0.192006,0.004896,0.047905,0.000800,0.109892,0.049089,0.062338,0.224199,0.002528,0.001216,0.000416,0.914523
0.400012,0.017792,0.191782,0.004864,0.047809,0.001024,0.107748,0.045889,0.058050,0.214919,0.002368,0.001056,0.000416,0.888730
0.400044,0.017760,0.192006,0.004832,0.049762,0.000800,0.115363,0.049410,0.061794,0.229575,0.002304,0.000960,0.000384,0.905947
0.399403,0.017760,0.191942,0.004864,0.048001,0.000896,0.114020,0.050465,0.061538,0.229415,0.002592,0.001472,0.000608,0.903610
0.399499,0.017569,0.192102,0.004832,0.047713,0.000832,0.109187,0.049186,0.062722,0.224007,0.002240,0.001856,0.000416,0.897946
0.399820,0.017665,0.191269,0.004864,0.047490,0.000832,0.113123,0.046082,0.061857,0.223942,0.002241,0.001632,0.000384,0.896699
0.399852,0.018017,0.195526,0.005440,0.049569,0.000896,0.122980,0.051298,0.063202,0.241000,0.003264,0.001536,0.000608,0.924444
0.424204,0.017793,0.192325,0.004865,0.048769,0.000864,0.116675,0.061089,0.065794,0.246983,0.002528,0.001664,0.000640,0.947804
0.400172,0.017632,0.192358,0.004864,0.048866,0.000800,0.106947,0.049985,0.063586,0.223750,0.002304,0.001152,0.000608,0.899643
0.400396,0.017504,0.192070,0.005312,0.048865,0.000832,0.108868,0.048865,0.066786,0.228007,0.002368,0.001216,0.000608,0.904442
0.396076,0.017793,0.191653,0.005377,0.048545,0.000800,0.106595,0.066402,0.072290,0.248775,0.002208,0.001185,0.000384,0.920092
0.400972,0.017569,0.191462,0.004800,0.048097,0.000800,0.110275,0.049122,0.063234,0.226503,0.002176,0.001056,0.000352,0.900667
0.396844,0.017664,0.192006,0.005280,0.048290,0.000832,0.110595,0.048833,0.067553,0.229703,0.002368,0.001184,0.000416,0.901179
0.395788,0.017856,0.191814,0.005024,0.050722,0.000832,0.110211,0.048545,0.064354,0.226374,0.002432,0.001504,0.000352,0.899899
0.418284,0.017633,0.191653,0.004801,0.048705,0.000800,0.105315,0.053634,0.061602,0.223623,0.002432,0.001536,0.000384,0.917723
0.399628,0.017888,0.191398,0.005312,0.048994,0.000800,0.107683,0.048385,0.061890,0.221030,0.002208,0.001120,0.000576,0.895866
0.400332,0.017857,0.192389,0.005089,0.048161,0.000800,0.106147,0.049250,0.062786,0.221191,0.002304,0.001152,0.000608,0.896859
0.395563,0.017760,0.192038,0.005088,0.047681,0.000800,0.131876,0.055746,0.072546,0.263240,0.002368,0.001280,0.000480,0.933403
0.397228,0.017857,0.191813,0.005088,0.047394,0.000832,0.110531,0.045474,0.065441,0.224775,0.002208,0.001184,0.000416,0.896219
0.394956,0.017824,0.192390,0.005056,0.048418,0.001056,0.110307,0.048353,0.068866,0.230630,0.005249,0.001088,0.000448,0.904635
0.394796,0.017825,0.191493,0.004864,0.047554,0.001056,0.105603,0.067138,0.061154,0.237223,0.003584,0.001632,0.000352,0.906747
0.410125,0.017632,0.191910,0.005088,0.047809,0.001024,0.098691,0.064706,0.061634,0.229511,0.002304,0.001024,0.000320,0.912667
0.395563,0.017537,0.191846,0.004832,0.047265,0.001024,0.102275,0.059522,0.067298,0.234151,0.005280,0.001120,0.000384,0.906874
0.394380,0.017569,0.191493,0.004928,0.047938,0.000800,0.106947,0.048929,0.067234,0.225895,0.002304,0.001216,0.000352,0.893627
0.396332,0.017376,0.191430,0.005088,0.047330,0.000800,0.107235,0.076738,0.075682,0.262823,0.002209,0.000992,0.000352,0.931452
0.394987,0.017600,0.191590,0.005312,0.047265,0.000704,0.102243,0.065058,0.062178,0.232359,0.002304,0.001024,0.000288,0.898874
0.395531,0.017633,0.191461,0.005281,0.047969,0.000832,0.107587,0.047138,0.063778,0.221255,0.002272,0.000800,0.000320,0.889114
0.401356,0.017889,0.193542,0.004896,0.047297,0.000800,0.109796,0.045537,0.062690,0.221255,0.002400,0.001088,0.000416,0.897979
0.410508,0.017601,0.191877,0.004929,0.047233,0.000960,0.105379,0.048994,0.061570,0.220423,0.002176,0.001088,0.000320,0.903451
