Layer[0],Layer[1],Layer[2],Layer[3],Layer[4],Layer[5],Layer[6],Layer[7],Layer[8],IN[9],INFER[9-10],OUT[10],TEE[9-10],classifier
0.397004,0.017569,0.191557,0.004832,0.047394,0.000576,0.013472,0.000416,0.001440,0.100611,0.036705,0.058050,0.198470,0.879066
0.399756,0.017633,0.191205,0.004800,0.047458,0.000512,0.013408,0.000416,0.001440,0.101251,0.039202,0.057313,0.200870,0.883898
0.397707,0.017697,0.192358,0.005408,0.047553,0.000608,0.013505,0.000416,0.001536,0.103747,0.032993,0.066242,0.206150,0.889722
0.397100,0.021249,0.191813,0.004896,0.047329,0.000544,0.013504,0.000416,0.001472,0.107204,0.035553,0.063426,0.209287,0.893435
0.396972,0.017792,0.191877,0.005280,0.047522,0.000608,0.013472,0.000416,0.001536,0.104451,0.036641,0.061377,0.205702,0.888314
0.411308,0.017633,0.191461,0.004897,0.047233,0.000512,0.013600,0.000640,0.001537,0.103043,0.036929,0.067202,0.210502,0.906171
0.399660,0.017825,0.191557,0.005184,0.047170,0.000608,0.013568,0.000384,0.001440,0.103171,0.035714,0.058849,0.200806,0.884314
0.396491,0.017697,0.191206,0.005248,0.047265,0.000608,0.013569,0.000416,0.001376,0.099779,0.037057,0.060514,0.200742,0.880922
0.398188,0.017984,0.191750,0.005056,0.047201,0.000576,0.013441,0.000384,0.001440,0.103331,0.042465,0.072514,0.221543,0.904059
0.396363,0.017824,0.191526,0.005184,0.047617,0.000640,0.013505,0.000352,0.001376,0.100515,0.038977,0.067362,0.209766,0.890650
0.397196,0.017856,0.191301,0.004896,0.047394,0.000544,0.013472,0.000384,0.001440,0.095779,0.039073,0.057122,0.194982,0.875546
0.396172,0.017888,0.191302,0.004896,0.047201,0.000705,0.013472,0.000384,0.001472,0.098851,0.038337,0.057730,0.197990,0.877658
0.398988,0.017920,0.191622,0.004832,0.064866,0.000864,0.013569,0.000384,0.001472,0.107779,0.036417,0.058786,0.206022,0.907771
0.395884,0.017793,0.191365,0.004928,0.047137,0.000672,0.013504,0.000416,0.001408,0.101795,0.037442,0.061441,0.203654,0.883258
0.397740,0.017728,0.191654,0.005152,0.047713,0.000576,0.013473,0.000448,0.001440,0.102819,0.039041,0.056674,0.201862,0.884602
0.396940,0.018016,0.191430,0.004896,0.047841,0.000480,0.013441,0.000352,0.001408,0.104451,0.037249,0.061474,0.206118,0.887866
0.410604,0.017888,0.191174,0.005312,0.047521,0.000480,0.013568,0.000384,0.001472,0.098947,0.038817,0.060226,0.201830,0.897050
0.399884,0.017889,0.191461,0.004832,0.047330,0.000608,0.013440,0.000384,0.001408,0.103651,0.036354,0.060993,0.204230,0.888058
0.398859,0.017921,0.192230,0.004896,0.047073,0.000672,0.013409,0.000416,0.001344,0.101315,0.037921,0.058338,0.200710,0.884122
0.399084,0.017760,0.191174,0.004800,0.047298,0.000640,0.013408,0.000416,0.001376,0.099203,0.053474,0.074754,0.230951,0.913019
0.396972,0.017792,0.191718,0.004864,0.047138,0.000576,0.013440,0.000384,0.001408,0.093539,0.037825,0.061314,0.195878,0.876794
0.397356,0.018016,0.191142,0.005056,0.047266,0.000544,0.013472,0.000384,0.001440,0.099011,0.037761,0.065442,0.206598,0.887578
0.396203,0.017729,0.191430,0.005344,0.047265,0.001056,0.013569,0.000384,0.001440,0.103491,0.032897,0.058370,0.197958,0.880058
0.416620,0.017953,0.191813,0.005121,0.047265,0.000576,0.013440,0.000416,0.001409,0.101923,0.036225,0.059297,0.200677,0.901466
0.397547,0.018049,0.191590,0.005312,0.047169,0.000608,0.013761,0.000384,0.001472,0.108963,0.036001,0.065666,0.213734,0.897402
0.400172,0.017505,0.191174,0.004832,0.047201,0.000576,0.013409,0.000384,0.001376,0.099267,0.037505,0.058465,0.198245,0.881370
0.396268,0.017793,0.191429,0.004865,0.047169,0.000832,0.013536,0.000416,0.001408,0.108580,0.038849,0.064066,0.214727,0.894747
0.396492,0.017536,0.191398,0.004800,0.046913,0.000768,0.013473,0.000384,0.001440,0.108771,0.038657,0.057954,0.208806,0.888186
0.397612,0.017728,0.191686,0.005440,0.047042,0.000704,0.013632,0.000384,0.001472,0.097635,0.038561,0.065090,0.204582,0.887130
0.397132,0.017825,0.190949,0.005089,0.047105,0.000576,0.013408,0.000384,0.001440,0.092995,0.038113,0.059330,0.193638,0.873850
0.396460,0.017536,0.191558,0.004992,0.046978,0.000576,0.013825,0.000384,0.001408,0.087970,0.035489,0.056354,0.183077,0.880602
0.397004,0.017536,0.191110,0.004896,0.046882,0.000608,0.013408,0.000384,0.001440,0.098627,0.035585,0.058082,0.195878,0.875098
0.396428,0.017504,0.191878,0.004864,0.047426,0.000576,0.013568,0.000416,0.001440,0.104259,0.037793,0.059138,0.204518,0.885274
0.397100,0.017664,0.191366,0.004928,0.047074,0.000576,0.013376,0.000416,0.001440,0.099651,0.037441,0.057922,0.197990,0.877882
0.415820,0.017697,0.192582,0.005312,0.047937,0.000608,0.013761,0.000384,0.001440,0.103651,0.037281,0.063138,0.206982,0.910171
0.398924,0.017825,0.192006,0.004864,0.047489,0.000608,0.013537,0.000448,0.001408,0.099299,0.038497,0.064322,0.204934,0.888667
0.395820,0.017760,0.192038,0.005376,0.047137,0.000480,0.013441,0.000416,0.001376,0.125636,0.040897,0.057474,0.226631,0.906811
0.397547,0.017665,0.191622,0.004832,0.047137,0.000640,0.013441,0.000384,0.001408,0.099363,0.037185,0.063970,0.203430,0.884122
