Layer[0],Layer[1],Layer[2],Layer[3],Layer[4],Layer[5],Layer[6],Layer[7],IN[8],INFER[8-8],OUT[8],TEE[8-8],Layer[9],Layer[10],classifier
0.395628,0.017409,0.191333,0.004832,0.048258,0.000608,0.013472,0.000416,0.139044,0.034721,0.065282,0.242151,0.001440,0.000416,0.922747
0.415628,0.017440,0.191654,0.004832,0.047554,0.000608,0.013440,0.000416,0.138980,0.039617,0.059521,0.241223,0.001280,0.000608,0.941851
0.395884,0.017601,0.191589,0.004864,0.047554,0.000640,0.013440,0.000416,0.103747,0.032417,0.055650,0.194662,0.001344,0.000608,0.875802
0.396620,0.017312,0.191334,0.004832,0.047265,0.000577,0.013472,0.000416,0.102755,0.034881,0.058338,0.198950,0.001504,0.000608,0.879994
0.396363,0.017408,0.191974,0.004864,0.047009,0.000608,0.013473,0.000416,0.127011,0.037857,0.063746,0.232071,0.001664,0.000384,0.913691
0.395372,0.017376,0.191558,0.004896,0.047169,0.000609,0.013536,0.000384,0.108803,0.031777,0.056706,0.200166,0.001216,0.000672,0.879738
0.399596,0.017440,0.191270,0.004800,0.047233,0.000609,0.013568,0.000416,0.105539,0.034753,0.057954,0.201350,0.001312,0.000640,0.884954
0.395628,0.017600,0.191334,0.004864,0.047297,0.000576,0.013633,0.000448,0.109091,0.039233,0.064162,0.215942,0.001888,0.000640,0.898362
0.425837,0.017600,0.191622,0.004928,0.047842,0.000800,0.013504,0.000416,0.136260,0.035969,0.058786,0.234375,0.001408,0.000608,0.946076
0.395883,0.017313,0.191429,0.004769,0.048417,0.000608,0.013473,0.000416,0.105187,0.035969,0.057505,0.201606,0.001344,0.000384,0.882810
0.395499,0.017345,0.192838,0.004896,0.048865,0.000576,0.013505,0.000416,0.107939,0.033569,0.064674,0.208998,0.001408,0.000384,0.891802
0.395659,0.017473,0.191302,0.004896,0.048513,0.000608,0.013473,0.000384,0.122467,0.040865,0.062722,0.229158,0.001440,0.000384,0.910138
0.395916,0.017536,0.191078,0.005024,0.048130,0.000576,0.013504,0.000384,0.103811,0.034433,0.059202,0.200038,0.001280,0.000640,0.880730
0.396364,0.017376,0.191398,0.004864,0.047681,0.000608,0.013505,0.000448,0.105315,0.034529,0.057762,0.200454,0.001568,0.000416,0.881946
0.397164,0.017377,0.191205,0.004928,0.047266,0.000640,0.013472,0.000416,0.110436,0.033889,0.059233,0.206726,0.001536,0.000352,0.888858
0.416109,0.017696,0.191526,0.004928,0.049506,0.000832,0.014016,0.000416,0.108067,0.032481,0.056674,0.200614,0.001568,0.000416,0.905627
0.395883,0.017601,0.191397,0.004864,0.048641,0.000576,0.013761,0.000416,0.109763,0.033857,0.060130,0.207110,0.001568,0.000416,0.889914
0.395916,0.017472,0.191558,0.004864,0.049954,0.000800,0.013664,0.000416,0.115620,0.034017,0.057537,0.211014,0.001664,0.000608,0.896123
0.396492,0.017409,0.191621,0.004833,0.049473,0.000768,0.013536,0.000480,0.142469,0.043777,0.066914,0.257608,0.001824,0.000672,0.943356
0.396236,0.017441,0.191429,0.004929,0.048609,0.000768,0.013760,0.000416,0.101155,0.033441,0.061218,0.198982,0.001536,0.000608,0.882778
0.396075,0.017441,0.191366,0.004832,0.049601,0.000576,0.014145,0.000448,0.108067,0.035169,0.058466,0.204742,0.001568,0.000704,0.888890
0.396652,0.017505,0.191685,0.004832,0.048098,0.000608,0.013600,0.000416,0.110020,0.035393,0.062626,0.211175,0.001408,0.000640,0.894203
0.409164,0.017505,0.191493,0.004960,0.048450,0.000640,0.013824,0.000480,0.116004,0.040865,0.072450,0.232711,0.001856,0.000640,0.930011
0.396364,0.017409,0.191845,0.004929,0.049601,0.000608,0.013632,0.000416,0.100515,0.031648,0.056514,0.191557,0.001408,0.000640,0.875418
0.396364,0.017601,0.191525,0.004896,0.048354,0.000608,0.013568,0.000416,0.105315,0.038018,0.059521,0.206278,0.001568,0.000448,0.889210
0.396523,0.017601,0.191526,0.004896,0.048417,0.000800,0.029697,0.000768,0.118916,0.035937,0.059266,0.217191,0.001440,0.000640,0.917115
0.396172,0.017568,0.191494,0.004832,0.048066,0.000768,0.013504,0.000416,0.111491,0.033569,0.059618,0.208166,0.001472,0.000608,0.890586
0.398443,0.017632,0.194566,0.005312,0.048737,0.000640,0.013665,0.000480,0.112867,0.035105,0.060482,0.211910,0.001600,0.000704,0.901562
0.396556,0.017696,0.192326,0.004832,0.048449,0.000832,0.013984,0.000416,0.111139,0.039425,0.064962,0.218726,0.001377,0.000416,0.903483
0.411692,0.017697,0.191909,0.004833,0.049089,0.000768,0.013504,0.000417,0.108707,0.035297,0.058754,0.205766,0.001472,0.000608,0.905467
0.396620,0.017600,0.192453,0.004800,0.048674,0.000832,0.013600,0.000448,0.105251,0.036097,0.055969,0.200422,0.001280,0.000640,0.884922
0.395948,0.017601,0.191781,0.004929,0.049025,0.000608,0.013664,0.000480,0.107940,0.034625,0.061698,0.207175,0.001280,0.000576,0.890107
0.395851,0.017665,0.209862,0.005120,0.048002,0.000608,0.013664,0.000416,0.111108,0.034689,0.059969,0.208550,0.001473,0.000608,0.909659
0.396364,0.017633,0.191269,0.004896,0.047617,0.000608,0.013600,0.000416,0.106564,0.035777,0.058657,0.203782,0.001600,0.000641,0.885563
0.396012,0.017312,0.191622,0.004864,0.047937,0.000640,0.013600,0.000448,0.095811,0.034945,0.055106,0.188998,0.001792,0.000672,0.871386
0.396172,0.017952,0.191654,0.004800,0.047522,0.000608,0.013632,0.000416,0.111075,0.039009,0.060226,0.213350,0.001536,0.000640,0.895418
0.413676,0.017761,0.192101,0.004864,0.048546,0.000608,0.013664,0.000416,0.113604,0.039969,0.060418,0.217639,0.001696,0.000640,0.919483
0.397580,0.017664,0.192006,0.004832,0.047842,0.000608,0.013568,0.000448,0.110851,0.034530,0.060289,0.208678,0.001408,0.000448,0.892826
0.395852,0.017440,0.191462,0.004832,0.047841,0.000640,0.013633,0.000480,0.109891,0.039329,0.059202,0.211206,0.001568,0.000448,0.892314
0.396236,0.017441,0.212262,0.005088,0.047522,0.000608,0.013632,0.000416,0.108323,0.039137,0.060353,0.210726,0.001504,0.000640,0.914107
0.396076,0.017536,0.191398,0.004864,0.047937,0.000800,0.013505,0.000448,0.109251,0.035073,0.060738,0.207782,0.001440,0.000640,0.889306
0.395916,0.017569,0.191237,0.004897,0.048225,0.000608,0.013568,0.000384,0.109028,0.039585,0.060770,0.212199,0.001440,0.000608,0.893787
0.395436,0.017664,0.191430,0.004928,0.047266,0.000576,0.013600,0.000416,0.110531,0.036162,0.057441,0.207238,0.001472,0.000448,0.887354
0.395788,0.017440,0.191142,0.004864,0.047745,0.000577,0.013600,0.000384,0.108835,0.034689,0.060226,0.206694,0.001472,0.000640,0.887706
0.395404,0.017376,0.192134,0.004864,0.046978,0.000640,0.013472,0.000416,0.103459,0.035169,0.057698,0.199654,0.001536,0.000864,0.880794
0.396204,0.017633,0.191525,0.004833,0.047297,0.000576,0.013536,0.000416,0.107908,0.034561,0.064130,0.209511,0.001312,0.000384,0.890555
0.398348,0.017633,0.206758,0.005088,0.047425,0.000800,0.013569,0.000416,0.112611,0.041217,0.072547,0.229479,0.001600,0.000416,0.929948
0.396492,0.017600,0.192134,0.004896,0.047042,0.000608,0.013536,0.000448,0.111267,0.039394,0.068930,0.222631,0.001568,0.000416,0.904475
0.395884,0.017537,0.191781,0.004832,0.047010,0.000576,0.013536,0.000416,0.111716,0.034369,0.059969,0.208902,0.001601,0.000640,0.890043
0.395755,0.017377,0.191654,0.004832,0.047073,0.000608,0.013569,0.000416,0.109187,0.033601,0.058018,0.203878,0.001376,0.000416,0.884026
0.395756,0.017537,0.192421,0.004864,0.047042,0.000576,0.013600,0.000416,0.106339,0.034177,0.063458,0.206822,0.001408,0.000416,0.887866
0.395371,0.017377,0.191462,0.004864,0.046977,0.000576,0.013601,0.000416,0.107459,0.034177,0.058594,0.203366,0.001792,0.000416,0.883674
0.395691,0.017633,0.191750,0.004832,0.047041,0.000640,0.013537,0.000416,0.109795,0.040673,0.062114,0.215878,0.001504,0.000384,0.897114
0.395660,0.017537,0.208582,0.005088,0.047169,0.000608,0.013569,0.000416,0.110243,0.041057,0.071523,0.225543,0.001440,0.000864,0.923996
0.395468,0.017504,0.191494,0.004928,0.047233,0.000608,0.013569,0.000448,0.111619,0.039745,0.059842,0.214118,0.001536,0.000896,0.894810
0.396043,0.017505,0.191622,0.004864,0.047041,0.000576,0.013569,0.000416,0.107043,0.036609,0.063362,0.209926,0.001760,0.000384,0.890586
0.397644,0.017472,0.191878,0.004896,0.047042,0.000576,0.013632,0.000416,0.109155,0.039841,0.061473,0.213862,0.001472,0.000448,0.897498
0.396012,0.017568,0.191526,0.004864,0.047105,0.000608,0.013632,0.000448,0.108899,0.035041,0.061218,0.208134,0.001824,0.000448,0.889466
0.396044,0.021121,0.191621,0.004865,0.047041,0.000576,0.013504,0.000448,0.108964,0.034401,0.058049,0.204230,0.001856,0.000608,0.889051
0.396555,0.017505,0.191558,0.004832,0.047073,0.000608,0.013569,0.000416,0.113123,0.039713,0.061538,0.217638,0.001696,0.000640,0.899322
0.395659,0.017409,0.210502,0.004928,0.047074,0.000608,0.013536,0.000416,0.109219,0.039521,0.061986,0.213607,0.001472,0.000416,0.912987
0.395915,0.017505,0.192038,0.004928,0.047041,0.000608,0.013537,0.000448,0.134692,0.037377,0.059042,0.233895,0.001440,0.000672,0.914779
0.395660,0.017472,0.191462,0.004864,0.047009,0.000608,0.013569,0.000448,0.106403,0.034689,0.058626,0.202854,0.001568,0.000384,0.883546
0.395788,0.017441,0.191557,0.004896,0.047074,0.000640,0.013568,0.000448,0.109059,0.034657,0.060065,0.206502,0.001280,0.000384,0.886426
0.396044,0.017632,0.191526,0.004896,0.046977,0.000641,0.013600,0.000672,0.102531,0.032929,0.055586,0.193926,0.001536,0.000384,0.874682
0.395660,0.017472,0.191558,0.004864,0.047042,0.000640,0.013536,0.000384,0.109763,0.039522,0.059905,0.211942,0.001504,0.000416,0.891770
0.400332,0.017537,0.196038,0.005344,0.047265,0.000736,0.013633,0.000416,0.114627,0.036609,0.060546,0.215398,0.001632,0.000672,0.907579
0.428301,0.017888,0.192486,0.004832,0.048929,0.000801,0.013696,0.000608,0.113219,0.039266,0.061601,0.217126,0.001696,0.000704,0.934652
0.395691,0.017249,0.191782,0.004896,0.048929,0.000832,0.013953,0.000448,0.108451,0.034401,0.058690,0.204454,0.001376,0.000672,0.887066
0.395724,0.017505,0.191909,0.005024,0.048866,0.000800,0.013568,0.000416,0.108004,0.031648,0.056993,0.199686,0.001568,0.000672,0.882842
0.394571,0.017441,0.191621,0.004833,0.048257,0.000576,0.013664,0.000448,0.135172,0.036321,0.069314,0.243623,0.001536,0.000640,0.924411
0.394668,0.017504,0.191302,0.004864,0.047426,0.000608,0.013536,0.000448,0.109283,0.034177,0.059714,0.206022,0.001408,0.000416,0.885082
0.394892,0.017312,0.191430,0.004864,0.047426,0.000608,0.013472,0.000448,0.106819,0.039329,0.064866,0.213830,0.001344,0.000384,0.893242
0.394572,0.017408,0.191462,0.004928,0.047809,0.000576,0.013601,0.000480,0.108995,0.034305,0.060162,0.206374,0.001408,0.000384,0.886234
0.413677,0.017568,0.191526,0.004960,0.047393,0.000576,0.013537,0.000416,0.103395,0.041665,0.072130,0.220006,0.001536,0.000384,0.918619
0.394476,0.017505,0.191525,0.004896,0.047010,0.000576,0.013568,0.000448,0.106115,0.036193,0.059394,0.204582,0.001408,0.000352,0.883354
0.396652,0.017313,0.191909,0.004865,0.047073,0.000800,0.013632,0.000416,0.109731,0.038561,0.072066,0.223526,0.001312,0.000672,0.906651
0.395948,0.017536,0.191142,0.004832,0.047169,0.000640,0.013665,0.000448,0.110563,0.039809,0.095651,0.248871,0.001600,0.000384,0.929115
0.394796,0.017377,0.191749,0.004896,0.047106,0.000640,0.013568,0.000640,0.106980,0.034113,0.058657,0.202534,0.001632,0.000640,0.882554
0.395275,0.017505,0.191366,0.004864,0.046977,0.000576,0.013537,0.000448,0.109155,0.034113,0.058850,0.205158,0.001632,0.000448,0.885018
0.394988,0.017344,0.191526,0.004928,0.047009,0.000640,0.013569,0.000448,0.107555,0.034497,0.059170,0.204070,0.001600,0.000608,0.883706
0.413740,0.017312,0.191142,0.004864,0.047137,0.000672,0.013601,0.000416,0.104835,0.035201,0.062530,0.205414,0.001568,0.000384,0.903195
