Layer[0],Layer[1],Layer[2],Layer[3],Layer[4],TEE[5-6],Layer[7],Layer[8],Layer[9],Layer[10],classifier
0.415376,0.017473,0.218312,0.005440,0.047618,0.188936,0.000864,0.001952,0.001056,0.000352,0.904803
0.415664,0.017632,0.202664,0.005280,0.048354,0.206376,0.000673,0.001664,0.001184,0.000352,0.908260
0.416496,0.017760,0.202312,0.005280,0.048354,0.188200,0.000672,0.001696,0.001152,0.000384,0.889923
0.420081,0.017825,0.202440,0.005376,0.048514,0.183815,0.000704,0.001792,0.001056,0.000352,0.889027
0.432113,0.018176,0.201896,0.005281,0.048034,0.186759,0.000832,0.001856,0.001120,0.000352,0.903651
0.420081,0.017280,0.202120,0.005312,0.047682,0.203752,0.000768,0.001728,0.001088,0.000352,0.907492
0.419984,0.017440,0.202120,0.005312,0.048098,0.190088,0.000704,0.001792,0.001120,0.000352,0.894691
0.415216,0.017473,0.224297,0.005280,0.048674,0.194279,0.000704,0.001729,0.001248,0.000352,0.917636
0.415568,0.017441,0.202248,0.005280,0.048162,0.187719,0.000704,0.001728,0.001120,0.000352,0.887170
0.416561,0.017472,0.202504,0.005313,0.048129,0.206793,0.000864,0.001760,0.001248,0.000384,0.908708
0.415568,0.018209,0.201960,0.005344,0.048258,0.192327,0.000704,0.001952,0.001153,0.000384,0.892835
0.434257,0.017537,0.202632,0.005344,0.048226,0.206632,0.000736,0.001825,0.001152,0.000320,0.927013
0.415472,0.017632,0.202408,0.005312,0.047810,0.196200,0.000704,0.001792,0.001184,0.000352,0.896067
0.415120,0.017409,0.202536,0.005280,0.048130,0.197352,0.000672,0.001792,0.000992,0.000352,0.897219
0.419889,0.017856,0.202536,0.005280,0.062339,0.195016,0.000704,0.001760,0.001216,0.000352,0.913860
0.415377,0.017376,0.202375,0.005281,0.048514,0.191271,0.000640,0.001696,0.001184,0.000352,0.891907
0.419696,0.017473,0.202408,0.005248,0.047458,0.183399,0.000704,0.001856,0.001184,0.000352,0.887010
0.415408,0.017665,0.202888,0.005312,0.048610,0.207272,0.000704,0.001696,0.001280,0.000320,0.908291
0.427793,0.017601,0.202216,0.005248,0.048450,0.180775,0.000672,0.001792,0.001248,0.000352,0.893475
0.415857,0.017569,0.202792,0.005248,0.048226,0.197991,0.000704,0.001760,0.001184,0.000352,0.899652
0.416017,0.017632,0.202568,0.005376,0.048161,0.183848,0.000672,0.001856,0.001152,0.000352,0.884739
0.415120,0.017281,0.202664,0.005280,0.047618,0.210856,0.000704,0.001696,0.001184,0.000352,0.910723
0.415120,0.017505,0.203208,0.005376,0.048514,0.196232,0.000704,0.001664,0.001184,0.000320,0.896899
0.415344,0.017633,0.202760,0.005280,0.048706,0.195720,0.000640,0.001696,0.001280,0.000352,0.896483
0.415952,0.017633,0.202536,0.005280,0.048354,0.189319,0.000641,0.001792,0.001152,0.000352,0.889955
0.435857,0.017536,0.202216,0.005248,0.048034,0.205384,0.000704,0.001985,0.001120,0.000352,0.926341
0.416305,0.017536,0.202664,0.005249,0.048546,0.189031,0.000736,0.001760,0.001120,0.000320,0.890691
