Layer[0],TEE[1-8],Layer[9],Layer[10],classifier
0.433073,0.774400,0.001376,0.000448,1.216081
0.416689,0.770751,0.001440,0.000416,1.195792
0.417105,0.770303,0.001409,0.000384,1.195473
0.418609,0.762847,0.001312,0.000384,1.188880
0.417425,0.774143,0.001313,0.000448,1.199569
0.415537,0.775615,0.001440,0.000609,1.199409
0.415921,0.816577,0.001408,0.000384,1.241426
0.416401,0.774943,0.001504,0.000416,1.199472
0.417105,0.784416,0.001312,0.000416,1.210353
0.417840,0.760735,0.001504,0.000672,1.186831
0.416241,0.768639,0.001216,0.000576,1.192432
0.436273,0.769599,0.001344,0.000384,1.213872
0.416753,0.771807,0.001184,0.000416,1.195120
0.416241,0.786720,0.001280,0.000416,1.211025
0.416465,0.769631,0.001409,0.000416,1.193809
0.417553,0.739838,0.001312,0.000416,1.165871
0.416689,0.791136,0.001280,0.000480,1.215825
0.416625,0.773375,0.001376,0.000416,1.198640
0.415729,0.772447,0.001248,0.000384,1.196560
0.416880,0.782687,0.001408,0.000352,1.208176
0.417136,0.781599,0.001344,0.000384,1.207056
0.416177,0.774527,0.001248,0.000416,1.198704
0.436626,0.771071,0.001408,0.000448,1.215441
0.416977,0.770271,0.001280,0.000416,1.194865
0.416849,0.750591,0.001312,0.000384,1.175280
0.416593,0.767167,0.001408,0.000416,1.192464
0.416528,0.772863,0.001344,0.000384,1.198352
0.416145,0.847586,0.001280,0.000416,1.272691
0.416913,0.758014,0.001505,0.000640,1.183632
0.416816,0.767774,0.001312,0.000416,1.192208
0.416560,0.798049,0.001376,0.000448,1.222993
0.417681,0.771071,0.001376,0.000416,1.196752
0.416689,0.766399,0.001376,0.000384,1.190672
0.434322,0.762367,0.001312,0.000384,1.204657
0.416625,0.771071,0.001376,0.000416,1.195600
0.417105,0.777663,0.001536,0.000416,1.204656
0.417488,0.770879,0.001344,0.000448,1.196912
0.416401,0.774687,0.001408,0.000448,1.200368
0.416656,0.791328,0.001441,0.000640,1.216561
0.416305,0.770271,0.001280,0.000416,1.194096
0.417233,0.772127,0.001504,0.000416,1.197808
0.415793,0.786016,0.001344,0.000384,1.209713
0.417137,0.768575,0.001408,0.000608,1.194352
0.416145,0.760094,0.001281,0.000416,1.184432
0.435634,0.766367,0.001280,0.000448,1.209841
0.416880,0.783103,0.001568,0.000416,1.209296
0.416977,0.767711,0.001280,0.000416,1.193456
0.418544,0.774975,0.001568,0.000608,1.203024
0.415569,0.775743,0.001248,0.000384,1.198768
0.417424,0.783551,0.001248,0.000384,1.208816
0.416529,0.815937,0.001280,0.000448,1.240722
0.415920,0.760222,0.001248,0.000416,1.183919
0.416977,0.794208,0.001280,0.000416,1.219153
0.417169,0.770911,0.001152,0.000384,1.195536
0.415601,0.767327,0.001312,0.000384,1.190704
0.442994,0.807521,0.001312,0.000416,1.259411
0.416625,0.756959,0.001184,0.000416,1.181136
0.416625,0.765215,0.001312,0.000384,1.190448
0.416017,0.771135,0.001184,0.000416,1.194736
0.417552,0.773279,0.001344,0.000352,1.198352
0.416977,0.784736,0.001344,0.000352,1.210097
0.417169,0.807265,0.001344,0.000352,1.232274
0.416913,0.800896,0.001280,0.000352,1.225681
0.416561,0.824001,0.001408,0.000384,1.248787
0.418737,0.786720,0.001376,0.000640,1.214577
0.416593,0.776831,0.001344,0.000608,1.202416
0.433009,0.770207,0.001248,0.000672,1.211280
0.417457,0.777696,0.001632,0.000608,1.204145
0.415953,0.761982,0.001312,0.000416,1.185327
0.416881,0.768959,0.001280,0.000384,1.192368
0.416945,0.772319,0.001440,0.000384,1.195920
0.415888,0.790848,0.001280,0.000416,1.213904
0.416081,0.765631,0.001280,0.000384,1.188656
0.415920,0.767327,0.001248,0.000384,1.190928
0.415633,0.793888,0.001504,0.000352,1.217873
0.415824,0.761694,0.001248,0.000384,1.187439
0.416976,0.767871,0.001312,0.000416,1.192944
0.430834,0.771071,0.001280,0.000640,1.210577
0.416401,0.756414,0.001216,0.000384,1.179952
0.417937,0.757247,0.001184,0.000384,1.182736
0.416977,0.795136,0.001408,0.000384,1.219601
0.416881,0.755327,0.001280,0.000416,1.180816
0.416240,0.792032,0.001184,0.000352,1.215697
0.416080,0.766335,0.001376,0.000352,1.189936
0.415888,0.762815,0.001312,0.000384,1.186607
