Layer[0],IN[1],INFER[1-9],OUT[9],TEE[1-9],Layer[10],classifier
0.410028,0.155237,0.604466,0.063298,0.826969,0.000672,1.241381
0.395980,0.157669,0.618098,0.065346,0.844697,0.000704,1.245797
0.395948,0.147236,0.633587,0.067938,0.852985,0.000704,1.253157
0.395404,0.137220,0.616882,0.064994,0.823224,0.000640,1.223236
0.394988,0.155844,0.618451,0.062690,0.840889,0.000672,1.239973
0.394732,0.137348,0.635315,0.079906,0.856313,0.000736,1.255557
0.396268,0.164932,0.606385,0.064962,0.839864,0.000704,1.240964
0.395340,0.167077,0.618930,0.063554,0.853529,0.000640,1.253093
0.404524,0.169189,0.604178,0.064514,0.841497,0.000768,1.250885
0.395212,0.178053,0.620626,0.062146,0.864633,0.000640,1.264325
0.394443,0.139428,0.619731,0.061794,0.824857,0.000832,1.223844
0.395308,0.148388,0.619634,0.062434,0.834169,0.000832,1.233029
0.394444,0.137668,0.617042,0.072611,0.831129,0.000704,1.229765
0.396492,0.151652,0.632947,0.082787,0.871610,0.000800,1.273094
0.395756,0.140580,0.605778,0.061602,0.811608,0.000672,1.211236
0.395532,0.156453,0.616850,0.064866,0.841625,0.000608,1.241029
0.395404,0.139396,0.621554,0.065985,0.831001,0.000704,1.230949
0.399980,0.150788,0.619955,0.063042,0.837497,0.000608,1.241125
0.395148,0.145157,0.605841,0.064897,0.819864,0.000705,1.221957
0.410604,0.139557,0.618034,0.063746,0.825497,0.000896,1.241061
0.394988,0.181382,0.606034,0.061921,0.853337,0.000736,1.252485
0.399820,0.157669,0.605234,0.064994,0.831417,0.000864,1.236389
0.396811,0.139684,0.606385,0.062594,0.812472,0.000672,1.213507
0.395051,0.133348,0.606002,0.062690,0.805464,0.000576,1.204835
0.395404,0.147396,0.619763,0.066274,0.837177,0.000640,1.236741
0.394988,0.161508,0.602546,0.061698,0.829112,0.000704,1.228036
0.395340,0.151844,0.605138,0.064258,0.825432,0.000768,1.226564
0.396364,0.186854,0.621746,0.078114,0.890490,0.000640,1.291174
0.395275,0.136772,0.620178,0.064546,0.825272,0.000672,1.226148
0.395339,0.137413,0.603089,0.063810,0.808248,0.000672,1.208227
0.416333,0.177125,0.620370,0.063682,0.865049,0.000672,1.285798
0.394891,0.158021,0.619923,0.064257,0.846010,0.000736,1.244805
0.396844,0.128708,0.605714,0.062369,0.800695,0.000640,1.201508
0.399724,0.145893,0.606034,0.064417,0.820665,0.000704,1.225701
0.399404,0.158885,0.604978,0.063938,0.831705,0.000672,1.235269
0.394667,0.152613,0.619410,0.069570,0.845337,0.000704,1.244548
0.401228,0.154277,0.603954,0.062914,0.824537,0.000672,1.230757
0.399851,0.158821,0.605298,0.065730,0.833465,0.000704,1.237956
0.395404,0.159845,0.622962,0.068290,0.855097,0.000768,1.256069
0.400811,0.159429,0.604530,0.064418,0.832249,0.000704,1.238212
0.398988,0.156869,0.604434,0.065794,0.830681,0.000704,1.234277
0.412780,0.151045,0.613618,0.064994,0.833273,0.000608,1.250373
0.402028,0.159141,0.606994,0.065762,0.835609,0.000864,1.243109
0.399692,0.158948,0.604146,0.063234,0.830168,0.000896,1.256965
0.395436,0.182949,0.604210,0.062338,0.852953,0.000832,1.253381
0.394796,0.145988,0.606066,0.064450,0.820184,0.000704,1.219716
0.399628,0.153508,0.619762,0.071522,0.849337,0.000864,1.254117
0.400364,0.153028,0.619475,0.064194,0.840281,0.000928,1.245445
0.395019,0.162308,0.606642,0.072355,0.845177,0.000672,1.246245
0.417933,0.168069,0.624242,0.066498,0.862617,0.000640,1.286886
0.396395,0.154916,0.607570,0.066146,0.832792,0.000832,1.234852
0.395979,0.164580,0.606418,0.069347,0.844633,0.000832,1.245893
0.396908,0.145252,0.609042,0.065730,0.823960,0.000864,1.226628
0.397068,0.149892,0.607826,0.071202,0.832952,0.000896,1.235205
0.396780,0.146820,0.629459,0.084099,0.864954,0.000768,1.267078
0.396396,0.156132,0.606770,0.064482,0.831320,0.000864,1.232996
0.401708,0.157669,0.608082,0.063906,0.833657,0.000832,1.240709
0.413804,0.164517,0.615314,0.066658,0.850457,0.000736,1.269605
0.397451,0.168965,0.619666,0.070210,0.863130,0.000800,1.267269
0.395660,0.163205,0.609138,0.066466,0.842937,0.000832,1.243813
0.396236,0.159269,0.610290,0.066210,0.839513,0.000608,1.240837
0.397132,0.154853,0.610354,0.067714,0.837049,0.000896,1.239269
0.396748,0.164805,0.629683,0.072930,0.871450,0.000704,1.274022
0.397259,0.157189,0.610994,0.066018,0.838137,0.000832,1.241316
0.395180,0.160164,0.608626,0.067842,0.840440,0.000609,1.240549
0.415052,0.149445,0.622706,0.064642,0.840729,0.000704,1.261381
0.396748,0.181765,0.606929,0.064769,0.857017,0.000800,1.258694
0.395563,0.154180,0.607666,0.064642,0.830296,0.000672,1.230756
0.396076,0.148996,0.609650,0.067330,0.829976,0.000864,1.232356
0.397036,0.153476,0.606513,0.066402,0.830552,0.000705,1.232677
0.401196,0.181029,0.625043,0.069154,0.879706,0.000896,1.286630
0.396364,0.162757,0.608530,0.067234,0.842457,0.000704,1.244133
0.401964,0.164645,0.609810,0.066946,0.845273,0.000800,1.254341
0.414540,0.184710,0.608786,0.064674,0.861978,0.000800,1.281734
0.397964,0.189701,0.611090,0.070626,0.875290,0.000800,1.278470
0.397996,0.160709,0.625042,0.069794,0.859321,0.000672,1.262277
