Layer[0],TEE[1-9],Layer[10],classifier
0.421361,0.772447,0.000672,1.200240
0.421105,0.770239,0.000704,1.198032
0.416657,0.792768,0.000672,1.216401
0.421425,0.756382,0.000832,1.184175
0.416689,0.764798,0.000832,1.189519
0.417361,0.792095,0.000928,1.216401
0.417329,0.762846,0.000672,1.186800
0.416304,0.777024,0.000896,1.199984
0.434450,0.776223,0.000704,1.217105
0.421489,0.803904,0.000672,1.231729
0.420081,0.755550,0.000736,1.182991
0.416177,0.782079,0.000704,1.205873
0.416849,0.765727,0.000768,1.188720
0.416465,0.788064,0.000768,1.210929
0.416304,0.777472,0.000864,1.201584
0.417105,0.777791,0.000736,1.201296
0.420241,0.799296,0.000672,1.226545
0.420241,0.773631,0.000832,1.200336
0.415153,0.768351,0.000608,1.189904
0.431889,0.801952,0.000640,1.240145
0.415409,0.799936,0.000704,1.221713
0.420337,0.765919,0.000672,1.193680
0.420369,0.770687,0.000704,1.197680
0.416177,0.769471,0.000704,1.192240
0.423184,0.795135,0.000832,1.226801
0.421681,0.760190,0.000704,1.188303
0.416593,0.771903,0.000768,1.194320
0.416689,0.792448,0.000832,1.215857
0.420144,0.761342,0.000576,1.187247
0.421009,0.763647,0.000672,1.190096
0.451922,0.779967,0.000928,1.239058
0.416145,0.778207,0.000768,1.202064
0.420177,0.778911,0.000673,1.205713
0.415665,0.772895,0.000672,1.194736
0.417009,0.767935,0.000832,1.192528
0.420176,0.790336,0.000704,1.217488
0.420529,0.773887,0.000768,1.200592
0.420081,0.765119,0.000672,1.191216
0.420881,0.790976,0.000576,1.218129
0.421617,0.769151,0.000768,1.196080
0.419889,0.790272,0.000800,1.217233
0.438930,0.809921,0.000736,1.256371
0.419825,0.778784,0.000672,1.206129
0.417520,0.783615,0.000736,1.209008
0.421073,0.766975,0.000672,1.195152
0.417233,0.774239,0.000672,1.198352
0.415760,0.802305,0.000768,1.224593
0.415697,0.790528,0.000736,1.213265
0.416401,0.776703,0.000992,1.199664
0.415600,0.814113,0.000704,1.236561
0.421745,0.769823,0.000768,1.197712
0.420720,0.782911,0.000704,1.210800
0.438194,0.784095,0.000768,1.228785
0.417009,0.769695,0.000672,1.194672
0.416177,0.769023,0.000640,1.192048
0.416913,0.779167,0.000576,1.202736
0.421585,0.773023,0.000672,1.200880
0.420305,0.825569,0.000673,1.252883
0.416784,0.779423,0.000800,1.203568
0.415633,0.774335,0.000544,1.196944
0.420849,0.760702,0.000832,1.188271
0.416529,0.775999,0.000704,1.199504
0.420273,0.765023,0.000672,1.191760
0.436754,0.769630,0.000608,1.214065
0.420945,0.775167,0.000608,1.202320
0.421873,0.775103,0.000640,1.203472
0.420241,0.762335,0.000736,1.189776
0.418961,0.776063,0.000672,1.200497
0.415601,0.797408,0.000672,1.219761
0.420113,0.810945,0.000576,1.238066
0.418737,0.770975,0.000704,1.196272
0.416465,0.785343,0.000608,1.207697
0.421105,0.769471,0.000608,1.195920
0.416241,0.774239,0.000800,1.198032
0.435985,0.752894,0.000576,1.194479
0.415920,0.783936,0.000640,1.204944
0.414705,0.801824,0.000640,1.222865
0.429393,0.763038,0.000576,1.197584
